"","COUNTRY","NAME_1","NAME_2","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"13","Kenya","Bungoma","Bumula",2700.6279296875,333.143981933594,1594.91198730469,0,0,0,0,0,0,69.8840026855469,0,0,212.591995239258,115.057998657227,45.2980003356934,0,6.33799982070923,35.5639991760254,335.529998779297,0,0,0,199.488006591797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8553.17211914062,1062.65200805664,4916.57592773438,0,0,0,0,0,0,190.236000061035,0,0,709.255996704102,395.319999694824,142.276000976562,0,19.742000579834,117.416000366211,1057.0539855957,0,0,0,696.577995300293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23508.7,11253.8000488281,1395.79598999023,6511.48791503906,0,0,0,0,0,0,260.120002746582,0,0,921.847991943359,510.377998352051,187.574001312256,0,26.0800004005432,152.979999542236,1392.583984375,0,0,0,896.06600189209,5648.43590021133,0,17860.2780342102,0,23508.7,100
"14","Kenya","Bungoma","Kabuchai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5111.416015625,692.980010986328,3464.76391601562,0,0.419999986886978,0,0,0,0,112.639999389648,0,162.23999786377,445.57600402832,228.214004516602,94.515998840332,0,18.07200050354,52.2479982376099,609.044036865234,0,0,0,654.996032714844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11647.1,5111.416015625,692.980010986328,3464.76391601562,0,0.419999986886978,0,0,0,0,112.639999389648,0,162.23999786377,445.57600402832,228.214004516602,94.515998840332,0,18.07200050354,52.2479982376099,609.044036865234,0,0,0,654.996032714844,0,0,11647.1260155737,0,11647.1,100
"15","Kenya","Bungoma","Kanduyi",2758.80004882812,341.339996337891,1646.00402832031,0,0,0,0,0,0,82.1559982299805,0,0,224.259994506836,140.919998168945,46.6059989929199,0,7.30000019073486,37.5,335.578002929688,0,0,0,271.010009765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8362.79223632812,1042.23202514648,5090.26391601562,0,0,0,0,0,0,248.763999938965,0,69.9720001220703,707.099975585938,458.365997314453,143.341999053955,0,25.0240006446838,114.959995269775,1001.79800415039,0,0,0,953.496032714844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24109.6,11121.5922851562,1383.57202148438,6736.26794433594,0,0,0,0,0,0,330.919998168945,0,69.9720001220703,931.359970092773,599.285995483398,189.947998046875,0,32.3240008354187,152.459995269775,1337.37600708008,0,0,0,1224.50604248047,5891.47407627106,0,18218.1101822853,0,24109.6,100
"19","Kenya","Bungoma","Mt. Elgon",1098.32678222656,172.443908691406,871.746337890625,0,0,0,0,0,0,0,0,48.5829277038574,0,0,0,0,0,0,0,0,0,0,4.30243921279907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10591.7819824219,1129.45398712158,7104.18395996094,14.4179992675781,0.755999997258186,47.5459985733032,0,82.6160011291504,0,43.2119998931885,10.6319999694824,1099.69802474976,382.663991928101,112.921997070312,66.5359983444214,0,17.0140001773834,49.2499997615814,356.024002075195,19.9260005950928,0,3.7260000705719,385.705996513367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23713.5,11690.1087646484,1301.89789581299,7975.93029785156,14.4179992675781,0.755999997258186,47.5459985733032,0,82.6160011291504,0,43.2119998931885,10.6319999694824,1148.28095245361,382.663991928101,112.921997070312,66.5359983444214,0,17.0140001773834,49.2499997615814,356.024002075195,19.9260005950928,0,3.7260000705719,390.008435726166,2195.40239572525,0,21518.0659396201,0,23713.5,100
"20","Kenya","Bungoma","Sirisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4679.52221679688,603.726013183594,3506.73400878906,0,0.293999999761581,0,0,27.5219993591309,0,102.136001586914,7.14599990844727,109.725997924805,440.469985961914,247.292007446289,84.515998840332,0,17.6560001373291,83.8219985961914,487.365997314453,13.0679998397827,0,2.16000008583069,460.939987182617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10874.1,4679.52221679688,603.726013183594,3506.73400878906,0,0.293999999761581,0,0,27.5219993591309,0,102.136001586914,7.14599990844727,109.725997924805,440.469985961914,247.292007446289,84.515998840332,0,17.6560001373291,83.8219985961914,487.365997314453,13.0679998397827,0,2.16000008583069,460.939987182617,0,0,10874.0962129533,0,10874.1,100
"22","Kenya","Bungoma","Webute West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8417.09594726562,1062.69201660156,5183.48803710938,0,0,0,0,0,0,254.537994384766,0,76.0919981002808,743.427993774414,480.333999633789,146.037998199463,0,26.1099996566772,119.967994689941,1038.25601196289,0,0,0,912.774017333984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18460.8,8417.09594726562,1062.69201660156,5183.48803710938,0,0,0,0,0,0,254.537994384766,0,76.0919981002808,743.427993774414,480.333999633789,146.037998199463,0,26.1099996566772,119.967994689941,1038.25601196289,0,0,0,912.774017333984,0,0,18460.8140087128,0,18460.8,100
"23","Kenya","Bungoma","Webuye East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5292.6279296875,701.903991699219,3567.38000488281,0,0.293999999761581,0,0,0,0,168.299995422363,0,117.048004150391,485.751998901367,334.455993652344,97.5940017700195,0,19.8999996185303,62.0419979095459,642.3740234375,0,0,99.3720016479492,673.726013183594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12262.8,5292.6279296875,701.903991699219,3567.38000488281,0,0.293999999761581,0,0,0,0,168.299995422363,0,117.048004150391,485.751998901367,334.455993652344,97.5940017700195,0,19.8999996185303,62.0419979095459,642.3740234375,0,0,99.3720016479492,673.726013183594,0,0,12262.7699559629,0,12262.8,100
"25","Kenya","Busia","Butula",2586.55200195312,386.10400390625,1193.92797851562,0,0,0,0,0,0,65.0400009155273,0,0.112000003457069,175.10400390625,167.98600769043,40,0,0,36.1679992675781,282.299987792969,2.04400014877319,0,0,9.14400005340576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2545.49194335938,412.591979980469,980.747985839844,0,0,0,0,0,0,57.8400001525879,0,0.159999996423721,137.483993530273,171.376007080078,35.9900016784668,0,0,33.0779991149902,249.723999023438,2.64000010490417,0,0,0.755999982357025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9572.4,5132.0439453125,798.695983886719,2174.67596435547,0,0,0,0,0,0,122.880001068115,0,0.271999999880791,312.587997436523,339.362014770508,75.9900016784668,0,0,69.2459983825684,532.023986816406,4.68400025367737,0,0,9.90000003576279,4944.48198415339,0,4627.87990984321,0,9572.4,100
"27","Kenya","Busia","Matayos",2676.78393554688,336.227996826172,1688.92797851562,0,0,0,0,0,0,82.4199981689453,0,0,254.756011962891,154.585998535156,48.9199981689453,0,0,43.1440010070801,359.710021972656,0,0,0,52.2239990234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4706.162109375,616.731994628906,2810.44604492188,0,0,0,0,0,121.944000244141,135.812004089355,59.25,0,570.876007080078,434.011978149414,79.1599979400635,0,18.4799995422363,80.1780014038086,607.544006347656,36.5340003967285,0,6.04200029373169,111.769996643066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16092.6,7382.94604492188,952.959991455078,4499.3740234375,0,0,0,0,0,121.944000244141,218.232002258301,59.25,0,825.632019042969,588.59797668457,128.079996109009,0,18.4799995422363,123.322002410889,967.254028320312,36.5340003967285,0,6.04200029373169,163.993995666504,5697.69993972778,0,10394.9421410561,0,16092.6,100
"28","Kenya","Busia","Nambale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11028.4558105469,1376.92395019531,6393.63195800781,0,0,0,0,0,0,209.500005722046,0,0,917.944000244141,557.199996948242,185.456001281738,0,9.55200016498566,150.479999542236,1410.38803100586,0,0,0,376.461995124817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22616,11028.4558105469,1376.92395019531,6393.63195800781,0,0,0,0,0,0,209.500005722046,0,0,917.944000244141,557.199996948242,185.456001281738,0,9.55200016498566,150.479999542236,1410.38803100586,0,0,0,376.461995124817,0,0,22615.9937487841,0,22616,100
