"","COUNTRY","NAME_1","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Malawi","Balaka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54780.1154174805,224.886002540588,4521.13597869873,42000.4459533691,6.92199996113777,7.94199999049306,0,3.33199977874756,0,0,84.4400005042553,754.051990509033,0,12039.7620925903,1046.65001106262,3034.97599029541,1820.31801223755,31464.9998474121,0,131.127997636795,0,0,3403.4759979248,155324.5,54780.1154174805,224.886002540588,4521.13597869873,42000.4459533691,6.92199996113777,7.94199999049306,0,3.33199977874756,0,0,84.4400005042553,754.051990509033,0,12039.7620925903,1046.65001106262,3034.97599029541,1820.31801223755,31464.9998474121,0,131.127997636795,0,0,3403.4759979248,0,0,0,155324.581291992,0,0
"2","Malawi","Blantyre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7439997196198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2628.27600097656,59.8920001983643,459.480026245117,235.830001831055,3.317999958992,82.2320002913475,0,34.3559989929199,0,0,37.4219989776611,111.468006134033,0,305.80199432373,133.517997741699,380.940002441406,180.011993408203,288.37198638916,0,73.0380020141602,0,0,179.633995056152,5212.3,2628.27600097656,59.8920001983643,459.480026245117,235.830001831055,3.317999958992,100.976000010967,0,34.3559989929199,0,0,37.4219989776611,111.468006134033,0,305.80199432373,133.517997741699,380.940002441406,180.011993408203,288.37198638916,0,73.0380020141602,0,0,179.633995056152,0,18.7439997196198,0,5193.59000498056,0,0
"3","Malawi","Chikwawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49939.4953865707,31104.7506904602,12603.0982168913,4828.06058645248,0,22.8711212873459,0,0,0,119.355997800827,16625.6157817841,8147.37745177746,42.4039988517761,749.136254280806,2706.23768925667,7662.22306501865,3171.39512723684,1492.59608398378,12463.8063647524,33558.2331754211,0,0,112.772488966584,185349.4,49939.4953865707,31104.7506904602,12603.0982168913,4828.06058645248,0,22.8711212873459,0,0,0,119.355997800827,16625.6157817841,8147.37745177746,42.4039988517761,749.136254280806,2706.23768925667,7662.22306501865,3171.39512723684,1492.59608398378,12463.8063647524,33558.2331754211,0,0,112.772488966584,0,0,0,185349.429480793,0,0
"4","Malawi","Chiradzulu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79999995231628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7878.830078125,210.713998794556,1436.54200744629,733.716003417969,10.5440002679825,50.7079994678497,0,205.686004638672,0,0,185.088006973267,428.695999145508,0,1145.58995819092,350.259994506836,1008.05799865723,439.356010437012,908.702003479004,0,235.591991424561,0,0,381.275993347168,15613.1,7878.830078125,210.713998794556,1436.54200744629,733.716003417969,10.5440002679825,54.507999420166,0,205.686004638672,0,0,185.088006973267,428.695999145508,0,1145.58995819092,350.259994506836,1008.05799865723,439.356010437012,908.702003479004,0,235.591991424561,0,0,381.275993347168,0,3.79999995231628,0,15609.3580483198,0,0
"5","Malawi","Chitipa",1604.3539981842,44.4799990653992,233.560000419617,70.4239993095398,0,0,0,0,0,0,2.08800005912781,157.53199839592,0.864000022411346,148.459998369217,0,115.722000598907,28.9220010042191,144.794001460075,0.755999982357025,0,0,0,103.853996917605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969.72406768799,84.2420001029968,453.416004180908,142.39799785614,0,0,0,0,0,0,35.3060010671616,364.64400100708,19.3780000805855,385.9319896698,0,244.774000167847,92.3259978294373,352.368003845215,26.1819999217987,0,0,0,490.133994877338,40511.0883579254,683.223330020905,5366.81831741333,2179.61800670624,0,24.5579996109009,0,301.344004511833,0,129.778000831604,219.061999320984,4977.11099815369,624.726006627083,4287.10162258148,0,3071.11766719818,1305.63533163071,4228.60364341736,115.654000997543,0.120000004768372,0,0,9606.36104537547,86948.4,46085.1664237976,811.9453291893,6053.79432201385,2392.44000387192,0,24.5579996109009,0,301.344004511833,0,129.778000831604,256.456000447273,5499.28699755669,644.96800673008,4821.4936106205,0,3431.61366796494,1426.88333046436,4725.76564872265,142.592000901699,0.120000004768372,0,0,10200.3490371704,2655.8099937886,0,6660.8240582943,77631.9203323275,9316.6,10.7
"6","Malawi","Dedza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4032.06237792969,148.724700927734,1200.29534912109,613.488719940186,8.79902106523514,32.8585920929909,0,0,0,24.6878051757812,59.7813196182251,969.925170898438,12.4731702804565,317.236209869385,294.197422027588,805.337432861328,269.848518371582,989.142074584961,0,65.2191429138184,0,0,358.933193206787,99155.7857666016,2418.34798240662,28200.1318206787,12679.3660507202,185.824000060558,189.347995832562,0,0.639999993145466,0,0,1135.15200209618,22662.0399971008,57.3240003585815,5432.23201751709,6164.49997329712,20169.5979766846,7617.12604522705,17526.1380157471,0,1573.73400831223,0,34.3560009002686,5262.54000473022,240667.2,103187.848144531,2567.07268333435,29400.4271697998,13292.8547706604,194.623021125793,222.206587925553,0,0.639999993145466,0,24.6878051757812,1194.9333217144,23631.9651679993,69.7971706390381,5749.46822738647,6458.69739532471,20974.9354095459,7886.97456359863,18515.280090332,0,1638.95315122604,0,34.3560009002686,5621.47319793701,0,0,10203.0102208853,230464.183658265,10203,4.2
"7","Malawi","Dowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98427.3801879883,7180.82409286499,13105.0978851318,5825.71592712402,82.3399999141693,188.152000725269,0,1.32600003480911,0,0,3980.37001800537,21316.5761108398,0,8341.28205871582,2929.75396728516,12346.6020050049,3933.87200546265,27153.8400268555,0,892.116022109985,0,0,18965.0241699219,224670.3,98427.3801879883,7180.82409286499,13105.0978851318,5825.71592712402,82.3399999141693,188.152000725269,0,1.32600003480911,0,0,3980.37001800537,21316.5761108398,0,8341.28205871582,2929.75396728516,12346.6020050049,3933.87200546265,27153.8400268555,0,892.116022109985,0,0,18965.0241699219,0,0,0,224670.272477984,0,0
"8","Malawi","Karonga",1822.53831863403,26.1750318408012,995.8890427351,44.0182359218597,0,116.039993286133,0,5.46000003814697,0,0,3,215.80809879303,0,500.429714679718,0,18.9954068958759,1.66799998283386,104.014978051186,0,0,0,5.11999988555908,4.17599992826581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2392.04399895668,54.8833326101303,2636.54267787933,50.0440001487732,0,0,0,0,0,0,0,106.668669223785,16.8840007781982,1183.78764820099,0,77.0350000858307,8.36399990320206,297.863330602646,32.2583312988281,0,454.103973388672,334.716644287109,50.5340005122125,33830.4022749066,599.076498270035,32957.4835014343,444.283238768578,0,0,0,0,0,0,0,833.76766204834,0,12008.9255523682,0,738.338088750839,62.3787507116795,3837.56831026077,7.43400007486343,0,0,3002.79029464722,459.454626461491,100340.9,38044.9845924973,680.134862720966,36589.9152220488,538.34547483921,0,116.039993286133,0,5.46000003814697,0,0,3,1156.24443006516,16.8840007781982,13693.1429152489,0,834.368495732546,72.4107505977154,4239.4466189146,39.6923313736916,0,454.103973388672,3342.62693881989,514.164626901969,3863.33282067254,0,7695.72960787639,88781.9027987029,11559.2,11.5
"9","Malawi","Kasungu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131144.619346619,9464.24664878845,15612.0224676132,7059.19481086731,176.389106340706,247.198312699795,0,828.947236455977,0,4.01600009202957,5745.56472301483,15609.8279223442,13.6100000739098,14285.6008706093,5492.75082015991,10199.7253642082,4270.13576221466,27605.8803462982,0.546000003814697,586.867271780968,0,0,24426.1303663254,272773.3,131144.619346619,9464.24664878845,15612.0224676132,7059.19481086731,176.389106340706,247.198312699795,0,828.947236455977,0,4.01600009202957,5745.56472301483,15609.8279223442,13.6100000739098,14285.6008706093,5492.75082015991,10199.7253642082,4270.13576221466,27605.8803462982,0.546000003814697,586.867271780968,0,0,24426.1303663254,0,0,0,272773.27337651,0,0
"10","Malawi","Likoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8926849365234,16.3902435302734,3.85853672027588,0,0,0.0341463424265385,0,0.197560980916023,0,3.99512195587158,0,0,2.32195138931274,16.3902435302734,7.10243892669678,0,0,2.83414649963379,0,17.7560977935791,0,0,12.1902437210083,122,38.8926849365234,16.3902435302734,3.85853672027588,0,0,0.0341463424265385,0,0.197560980916023,0,3.99512195587158,0,0,2.32195138931274,16.3902435302734,7.10243892669678,0,0,2.83414649963379,0,17.7560977935791,0,0,12.1902437210083,0,0,0,121.963416326791,0,0
