"","COUNTRY","NAME_1","NAME_2","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"60","Malawi","Karonga","SC Mwakaboko",252.018005371094,11.2379999160767,585.544006347656,5.93200016021729,0,0,0,0,0,0,0,23.738000869751,0,315.417999267578,0,5.53999996185303,0,49.5260009765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070.56997680664,20.3059997558594,1020.47401428223,12.6720004081726,0,0,0,0,0,0,0,41.8840007781982,16.8840007781982,494.932006835938,0,35.543999671936,4.75799989700317,125.271999359131,0,0,454.103973388672,0,50.32200050354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4596.7,1322.58798217773,31.543999671936,1606.01802062988,18.6040005683899,0,0,0,0,0,0,0,65.6220016479492,16.8840007781982,810.350006103516,0,41.0839996337891,4.75799989700317,174.798000335693,0,0,454.103973388672,0,50.32200050354,1248.95401287079,0,3347.72197246552,0,4596.7,100
"135","Malawi","Mulanje","SC Laston Njema",191.940002441406,45.5559997558594,92.6479949951172,0,0,4.67399978637695,0,0.159999996423721,0,3.33599996566772,0,0.200000002980232,16.1800003051758,305.679992675781,12.4680004119873,0,0,19.6240005493164,0,1.69600009918213,0,43.4560012817383,1.57200002670288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739.2,191.940002441406,45.5559997558594,92.6479949951172,0,0,4.67399978637695,0,0.159999996423721,0,3.33599996566772,0,0.200000002980232,16.1800003051758,305.679992675781,12.4680004119873,0,0,19.6240005493164,0,1.69600009918213,0,43.4560012817383,1.57200002670288,739.189992293715,0,0,0,739.2,100
"163","Malawi","Nkhata Bay","SC Fukamalaza",4573.0498046875,0,0.727999985218048,0,0,0,0,0,0,0,0,0,0,784.455993652344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19243.8869628906,0,3.24233329296112,0,0,0,0,0,0,0,0,0,0,3532.85931396484,0,0,0,0,0,0,0,53.6759986877441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28191.9,23816.9367675781,0,3.97033327817917,0,0,0,0,0,0,0,0,0,0,4317.31530761719,0,0,0,0,0,0,0,53.6759986877441,0,5358.23379832506,0,22833.6646088362,0,28191.9,100
"164","Malawi","Nkhata Bay","SC Malanda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8401.52978515625,0,1.39599996805191,0,0,0,0,0,0,0,0,0,0,1494.58197021484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9897.5,8401.52978515625,0,1.39599996805191,0,0,0,0,0,0,0,0,0,0,1494.58197021484,0,0,0,0,0,0,0,0,0,0,0,9897.50775533915,0,9897.5,100
"165","Malawi","Nkhata Bay","SC Nyaluwanga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162.59204101562,6.07200002670288,14.5219993591309,3.35999989509583,0.0599999986588955,0.119999997317791,0,0,0,0,1.77600002288818,4.18800020217896,0,236.944000244141,1.98000001907349,6.2039999961853,1.16400003433228,12.6239995956421,0,0.0120000001043081,0,0,0.0240000002086163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451.6,1162.59204101562,6.07200002670288,14.5219993591309,3.35999989509583,0.0599999986588955,0.119999997317791,0,0,0,0,1.77600002288818,4.18800020217896,0,236.944000244141,1.98000001907349,6.2039999961853,1.16400003433228,12.6239995956421,0,0.0120000001043081,0,0,0.0240000002086163,0,0,1451.64204040729,0,1451.6,100
"166","Malawi","Nkhata Bay","SC Zilakoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5679.91564941406,0,23.4132188111544,0.219512194395065,0,0,0,0,0,0,0,0,0,1019.46015930176,0,0.219512194395065,0,1.87317073345184,53.8159980773926,0,0,561.063980102539,0.23414634168148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7340.2,5679.91564941406,0,23.4132188111544,0.219512194395065,0,0,0,0,0,0,0,0,0,1019.46015930176,0,0.219512194395065,0,1.87317073345184,53.8159980773926,0,0,561.063980102539,0.23414634168148,0,0,7340.21534717083,0,7340.2,100
"167","Malawi","Nkhata Bay","TA Fukamapiri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9280.859375,0,1.78209751844406,0,0,0,0,0,0,0,0,0,0,1576.33197021484,0,0,0,0,0,0,0,162.567993164062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11021.5,9280.859375,0,1.78209751844406,0,0,0,0,0,0,0,0,0,0,1576.33197021484,0,0,0,0,0,0,0,162.567993164062,0,0,0,11021.5414358974,0,11021.5,100
"169","Malawi","Nkhata Bay","TA Malenga Mzoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4451.12414550781,0,0.670000001788139,0,0,0,0,0,0,0,0,0,0,800.297958374023,0,0,0,0,0,0,0,325.045989990234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5577.1,4451.12414550781,0,0.670000001788139,0,0,0,0,0,0,0,0,0,0,800.297958374023,0,0,0,0,0,0,0,325.045989990234,0,0,0,5577.13809387386,0,5577.1,100
"171","Malawi","Nkhata Bay","TA Timbiri",3035.54205322266,10.6080001592636,22.4659999012947,9.1800000667572,0.330000013113022,0.660000026226044,0,0,0,0,4.8840000629425,7.03200024366379,0,567.842010498047,7.47000002861023,13.7159996032715,5.34599995613098,19.3859992325306,0,0.0180000010877848,0,0,0.0660000015050173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8723.8623046875,0,1.39999997615814,0,0,0,0,0,0,0,0,0,0,1479.95397949219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13909.8,11759.4043579102,10.6080001592636,23.8659998774529,9.1800000667572,0.330000013113022,0.660000026226044,0,0,0,0,4.8840000629425,7.03200024366379,0,2047.79598999023,7.47000002861023,13.7159996032715,5.34599995613098,19.3859992325306,0,0.0180000010877848,0,0,0.0660000015050173,3704.5460630171,0,10205.2162841558,0,13909.8,100
"208","Malawi","Ntchisi","TA Kasukula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765.3740234375,0,459.440002441406,193.811996459961,0.0120000001043081,0.129999995231628,0,0,0,0,0,0,0,1196.05200195312,98.6059951782227,304.115997314453,149.330001831055,360.194000244141,0,0,0,0,390.597991943359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4917.7,1765.3740234375,0,459.440002441406,193.811996459961,0.0120000001043081,0.129999995231628,0,0,0,0,0,0,0,1196.05200195312,98.6059951782227,304.115997314453,149.330001831055,360.194000244141,0,0,0,0,390.597991943359,0,0,4917.66401079856,0,4917.7,100
