"","COUNTRY","NAME_1","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Nigeria","Abia",41305.8017578125,5.18999981880188,0,0,0,0,0,0,9.03000014275312,0,0,113.476000785828,19585.2140197754,54699.7478637695,1471.87199783325,0,0,31.8779988586903,0,0,1252.62404344976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9006.56988525391,13.083999812603,0,0,0,0,0,0,1.89200006425381,0,0,203.485999107361,5623.05807495117,16831.2261962891,259.190003395081,0,0,115.963999122381,0,0,705.627977050841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151234.9,50312.3716430664,18.2739996314049,0,0,0,0,0,0,10.9220002070069,0,0,316.961999893188,25208.2720947266,71530.9740600586,1731.06200122833,0,0,147.841997981071,0,0,1958.2520205006,0,0,118474.833682247,0,32760.0981350467,0,151234.9,100
"2","Nigeria","Adamawa",298.160003662109,196.75,0,0,0,0,0,0,0,6.68200016021729,0,5.91800022125244,1.32599997520447,6.34800004959106,156.188003540039,0,0,173.352005004883,0,51.4620018005371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690.58017683029,1443.67824363708,26.680181145668,0,0,0,0,2.69309079647064,35.0152646005154,97.590697646141,0,163.220383293927,52.4881514161825,138.928454399109,823.979588031769,0,1.34400010108948,944.865511894226,80.8283658027649,271.173684597015,1.51400001347065,0,1.08690910041332,151042.089715436,106171.743022203,1744.45509278774,0,0,214.825998663902,0,1.27272725105286,103.384241968393,13199.8249425292,0,5326.44031971693,1111.09009192884,2557.91948419809,74144.6947422624,0,126.459998629987,79023.1639423966,299.188184738159,40148.2245902717,2.18600004911423,0,32.8887271285057,481921.7,153030.829895929,107812.171265841,1771.13527393341,0,0,214.825998663902,0,3.9658180475235,138.399506568909,13304.0976403356,0,5495.57870323211,1164.90424332023,2703.19593864679,75124.8623338342,0,127.803998731077,80141.3814592957,380.016550540924,40470.8602766693,3.70000006258488,0,33.975636228919,896.186014413834,0,5775.66670330614,475249.85182216,6671.8,1.4
"3","Nigeria","Akwa Ibom",44456.0384216309,0,0,0,0,0,0,0,13.5060003232211,0,0,0,16854.0521087646,161921.144683838,113.814000070095,0,0,0,0,0,788.568031564355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.0700378418,0,0,0,0,0,0,0,0.270000016316772,0,0,0,525.549468994141,3455.6787109375,50.6454544067383,0,0,0,0,0,0.0204545464366674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229402.2,45679.1084594727,0,0,0,0,0,0,0,13.7760003395379,0,0,0,17379.6015777588,165376.823394775,164.459454476833,0,0,0,0,0,788.588486110792,0,0,224147.123246191,0,5255.23412674293,0,229402.2,100
"4","Nigeria","Anambra",11789.2099609375,75.4879977703094,0,0,0,0,0,0,1.5880000218749,0,0,1265.36798095703,8334.13391113281,42444.7198486328,15.2039999961853,0,0,18.6900009810925,144.197998046875,0,1.56799997389317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30643.66015625,444.721994876862,0,0,0,0,0,0,2.99200006388128,104.471996307373,0,3222.42401123047,19098.6537475586,84634.7499389648,232.331996917725,0,0,198.832001239061,530.754014968872,2.11200003325939,44.7079986333847,0,0,4440.2900390625,60.7099976539612,0,0,0,0,0,0,0.299999997019768,13.42799949646,0,536.206001281738,3491.21197509766,7731.03991699219,37.8120007514954,0,0,46.1640014648438,0,0.0900000035762787,0,0,0,219607.8,46873.16015625,580.919990301132,0,0,0,0,0,0,4.88000008277595,117.899995803833,0,5023.99799346924,30923.9996337891,134810.50970459,285.347997665405,0,0,263.686003684998,674.952013015747,2.20200003683567,46.2759986072779,0,0,64090.1676984504,0,139160.411857044,16357.2519318014,203250.5,92.6
"5","Nigeria","Bauchi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154394.899168015,402744.546115875,0,0,0,141.969999909401,0,0,235.909231165424,300156.127534866,0,1355.30424356461,1634.96198558807,5789.84627461433,229337.812578201,0,8272.04751173407,222115.721237183,9201.83996776305,5859.42766751349,1.36000001430511,0,0,1341241.7,154394.899168015,402744.546115875,0,0,0,141.969999909401,0,0,235.909231165424,300156.127534866,0,1355.30424356461,1634.96198558807,5789.84627461433,229337.812578201,0,8272.04751173407,222115.721237183,9201.83996776305,5859.42766751349,1.36000001430511,0,0,0,0,0,1341241.77351601,0,0
"6","Nigeria","Bayelsa",21694.7472743988,191.242736637592,0,0,0,0,0,0,0.471454551443458,0,0,379.143346577883,4839.88486671448,7226.71013784409,2269.40354049206,0,0,48.2854601815343,8825.26374816895,0,11.3700908720493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.795997619629,6.26600003242493,0,0,0,0,0,0,0,0,0,5.85600006580353,0,71.4979991912842,0,0,0,1.38800004124641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45911.3,22034.5432720184,197.508736670017,0,0,0,0,0,0,0.471454551443458,0,0,384.999346643686,4839.88486671448,7298.20813703537,2269.40354049206,0,0,49.6734602227807,8825.26374816895,0,11.3700908720493,0,0,45486.5226564389,0,424.803996950388,0,45911.3,100
"7","Nigeria","Benue",1453.47399902344,614.771995544434,0,0,0,0,0,0,0.342000003904104,223.949995040894,0,256.528003692627,2543.15803527832,5726.60809326172,301.391998291016,0,345.865997314453,798.675994873047,0,0,183.552001953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22287.5619354248,20582.1959075928,0,0,0,0,0,0,6.7780001219362,8073.79795074463,0,3537.85001754761,25288.4059143066,83707.6761169434,8003.13598251343,0,18694.2379794121,27160.0303497314,94.3000004291534,0,2950.68202865124,0,0,97509.1418304443,95889.3301239014,0,0,0,0,0,0,10.254000172019,43867.7939453125,0,18498.9319734573,105884.583763123,320857.797332764,36489.7720108032,0,144726.97236824,133417.608184814,5983.57601904869,2.64599996805191,572.705982685089,0,0,1236545.9,121250.177764893,117086.298027039,0,0,0,0,0,0,17.3740002978593,52165.541891098,0,22293.3099946976,133716.147712708,410292.081542969,44794.2999916077,0,163767.076344967,161376.314529419,6077.87601947784,2.64599996805191,3706.94001328945,0,0,12448.318114277,0,220386.652183419,1003711.11353473,232834.8,18.8
"8","Nigeria","Borno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381012.878831238,315223.658427022,838.219610869884,0.62078789435327,0,68475.9908331931,0,0,191.999043811113,376431.405451294,0,108.006485942751,90.4413348436356,94.6333332061768,231114.122256905,0,55.5239989757538,160624.182099059,52.3583332840353,11189.2813307159,0,0,36.0679696202278,1545539.3,381012.878831238,315223.658427022,838.219610869884,0.62078789435327,0,68475.9908331931,0,0,191.999043811113,376431.405451294,0,108.006485942751,90.4413348436356,94.6333332061768,231114.122256905,0,55.5239989757538,160624.182099059,52.3583332840353,11189.2813307159,0,0,36.0679696202278,0,0,0,1545539.39012787,0,0
"9","Nigeria","Cross River",62046.7188453674,202.739999473095,20.5200002416968,0,0,0.896000027656555,0,20.272000014782,168.329995296896,135.971996307373,0,122.831995010376,55888.6228914261,234116.844792072,108.86799788475,0,242.65799331665,698.868003729731,138.600003302097,78.6339997053146,247053.060288906,12.8319993019104,2.90400002151728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28132.6419372559,1634.23601341248,0,0,0,0,0,0,3.75400007143617,656.299991607666,0,1161.14399957657,20217.2819976807,108876.995819092,664.61799621582,0,2090.66799545288,2467.16801548004,0,0,55741.3360290527,0,0,1774.41201782227,402.5,0,0,0,0,0,0,0.370000004768372,165.763999938965,0,108.399997711182,1521.95397949219,7572.5,155.82600402832,0,525.390014648438,558.744003295898,0,0,4307.73193359375,0,0,839799.9,91953.7728004456,2239.47601288557,20.5200002416968,0,0,0.896000027656555,0,20.272000014782,172.4539953731,958.035987854004,0,1392.37599229813,77627.8588685989,350566.340611164,929.311998128891,0,2858.71600341797,3724.78002250567,138.600003302097,78.6339997053146,307102.128251553,12.8319993019104,2.90400002151728,601060.172801405,0,221646.143794898,17093.5919505358,822706.4,98
"10","Nigeria","Delta",67912.3762290478,97.5159997344017,0,0,0,0,0,0,11.4740002248436,0,0,4780.65338003635,20634.6759935617,80553.2057427168,176.220004111528,0,0,166.920729145408,1432.75401711464,0.0900000035762787,1882.68399882317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34072.5820040703,144.028000026941,0,0,0,0,0,0,7.48200021870434,0,0,2349.68202161789,11443.900144577,42282.8684819452,224.734006404877,0,0,83.4480005130172,1846.38405704498,0,3040.68000167608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273144.2,101984.958233118,241.543999761343,0,0,0,0,0,0,18.956000443548,0,0,7130.33540165424,32078.5761381388,122836.074224662,400.954010516405,0,0,250.368729658425,3279.13807415962,0.0900000035762787,4923.36400049925,0,0,177648.57009452,0,95495.788718095,0,273144.2,100
