"","COUNTRY","NAME_1","NAME_2","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Nigeria","Abia","Aba North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863.25,0,0,0,0,0,0,0,0.158000007271767,0,0,0,389.186004638672,878.476013183594,36.4780006408691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167.5,863.25,0,0,0,0,0,0,0,0.158000007271767,0,0,0,389.186004638672,878.476013183594,36.4780006408691,0,0,0,0,0,0,0,0,0,0,2167.54801847041,0,2167.5,100
"2","Nigeria","Abia","Aba South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863.25,0,0,0,0,0,0,0,0.158000007271767,0,0,0,389.186004638672,878.476013183594,36.4780006408691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167.5,863.25,0,0,0,0,0,0,0,0.158000007271767,0,0,0,389.186004638672,878.476013183594,36.4780006408691,0,0,0,0,0,0,0,0,0,0,2167.54801847041,0,2167.5,100
"3","Nigeria","Abia","Arochukwu",3262.96002197266,0,0,0,0,0,0,0,0.622000016272068,0,0,0,1581.3219909668,4723.90197753906,106.009996414185,0,0,0,0,0,1249.03204345703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10923.8,3262.96002197266,0,0,0,0,0,0,0,0.622000016272068,0,0,0,1581.3219909668,4723.90197753906,106.009996414185,0,0,0,0,0,1249.03204345703,0,0,10923.848030366,0,0,0,10923.8,100
"4","Nigeria","Abia","Bende",5662.07196044922,0,0,0,0,0,0,0,1.28200002014637,0,0,0,2577.20401000977,5360.86804199219,227.318000793457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13828.7,5662.07196044922,0,0,0,0,0,0,0,1.28200002014637,0,0,0,2577.20401000977,5360.86804199219,227.318000793457,0,0,0,0,0,0,0,0,13828.7440132648,0,0,0,13828.7,100
"5","Nigeria","Abia","Ikwuano",3338.03796386719,0,0,0,0,0,0,0,0.868000015616417,0,0,0,1583.54598999023,5831.82214355469,97.0959987640381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10851.4,3338.03796386719,0,0,0,0,0,0,0,0.868000015616417,0,0,0,1583.54598999023,5831.82214355469,97.0959987640381,0,0,0,0,0,0,0,0,10851.3700961918,0,0,0,10851.4,100
"6","Nigeria","Abia","Isiala Ngwa North",2804.03399658203,0,0,0,0,0,0,0,0.600000008940697,0,0,19.3920001983643,1332.82000732422,5004.27203369141,78.0420017242432,0,0,1.39800003170967,0,0,0.63000001013279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9241.2,2804.03399658203,0,0,0,0,0,0,0,0.600000008940697,0,0,19.3920001983643,1332.82000732422,5004.27203369141,78.0420017242432,0,0,1.39800003170967,0,0,0.63000001013279,0,0,9241.18803957105,0,0,0,9241.2,100
"7","Nigeria","Abia","Isiala Ngwa South",931.389953613281,0,0,0,0,0,0,0,0.200000002980232,0,0,0,441.425994873047,914.47998046875,37.068000793457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2324.6,931.389953613281,0,0,0,0,0,0,0,0.200000002980232,0,0,0,441.425994873047,914.47998046875,37.068000793457,0,0,0,0,0,0,0,0,2324.56392975152,0,0,0,2324.6,100
"8","Nigeria","Abia","Isuikwuato",5496.45794677734,4.07399988174438,0,0,0,0,0,0,1.11600001901388,0,0,49.7880001068115,2364.43600463867,7499.32995605469,181.786005020142,0,0,28.7219988405704,0,0,0.55799999833107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15626.3,5496.45794677734,4.07399988174438,0,0,0,0,0,0,1.11600001901388,0,0,49.7880001068115,2364.43600463867,7499.32995605469,181.786005020142,0,0,28.7219988405704,0,0,0.55799999833107,0,0,15626.2679113373,0,0,0,15626.3,100
"9","Nigeria","Abia","Obi Ngwa",3409.45599365234,0,0,0,0,0,0,0,0.812000021338463,0,0,0,1527.71401977539,4651.67797851562,121.217998504639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.05792236328,0,0,0,0,0,0,0,0.400000005960464,0,0,0,569.226013183594,3805.87609863281,22.0980005264282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15519.5,4820.51391601562,0,0,0,0,0,0,0,1.21200002729893,0,0,0,2096.94003295898,8457.55407714844,143.315999031067,0,0,0,0,0,0,0,0,9710.87799046934,0,5808.65803471208,0,15519.5,100
"10","Nigeria","Abia","Ohafia",4515.62194824219,0,0,0,0,0,0,0,1.04200002551079,0,0,0,2102.52398681641,4422.3359375,184.507995605469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656.98797607422,4.07399988174438,0,0,0,0,0,0,0.232000008225441,0,0,20.3700008392334,711.989990234375,2230.75396728516,47.5100002288818,0,0,27.2999992370605,0,0,705.263977050781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16630.5,6172.60992431641,4.07399988174438,0,0,0,0,0,0,1.27400003373623,0,0,20.3700008392334,2814.51397705078,6653.08990478516,232.017995834351,0,0,27.2999992370605,0,0,705.263977050781,0,0,11226.0318681896,0,5404.48191083968,0,16630.5,100
