"","COUNTRY","NAME_1","NAME_2","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Rwanda","Amajyaruguru","Burera",9101.41015625,1151.13203430176,12816.4782714844,0,0,40.4840002655983,0,0,0,0,12.82000041008,389.844009399414,789.039978027344,665.088012695312,10.2480001449585,0,238.669990539551,120.63200378418,1.20200000703335,0,0,1688.09400939941,0.0580000001937151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10254.8537597656,1371.67806625366,14366.744140625,0,0,175.016005426645,0,3.19199991226196,0,0,10.2860000133514,723.316009521484,503.399993896484,737.892013549805,0,0,257.895999908447,121.776006698608,1.3060000538826,0,0,1179.26602172852,11.0180005282164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56742.8,19356.2639160156,2522.81010055542,27183.2224121094,0,0,215.500005692244,0,3.19199991226196,0,0,23.1060004234314,1113.1600189209,1292.43997192383,1402.98002624512,10.2480001449585,0,496.565990447998,242.408010482788,2.50800006091595,0,0,2867.36003112793,11.0760005284101,27025.2004667092,0,29717.640017882,0,56742.8,100
"2","Rwanda","Amajyaruguru","Gakenke",19644.1302490234,3308.86396789551,29843.9624023438,0,0,706.656007111073,0,16.7480000257492,0,0,17.3019999265671,2595.08195781708,815.850006103516,1382.61603546143,0,0,486.101997375488,229.104011535645,2.36400005221367,0,0,3843.03991699219,72.5920021645725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62964.4,19644.1302490234,3308.86396789551,29843.9624023438,0,0,706.656007111073,0,16.7480000257492,0,0,17.3019999265671,2595.08195781708,815.850006103516,1382.61603546143,0,0,486.101997375488,229.104011535645,2.36400005221367,0,0,3843.03991699219,72.5920021645725,62964.4125538282,0,0,0,62964.4,100
"3","Rwanda","Amajyaruguru","Gicumbi",14003.3558959961,7648.6181640625,33731.6158447266,0,0,1846.70597681403,0,1095.87401640415,0,0,9.68200001120567,7536.00799560547,579.13600063324,832.3440284729,2.19599986076355,0,280.081999778748,184.476009368896,1.26000003516674,0,0,1298.47598266602,126.746002733707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69176.6,14003.3558959961,7648.6181640625,33731.6158447266,0,0,1846.70597681403,0,1095.87401640415,0,0,9.68200001120567,7536.00799560547,579.13600063324,832.3440284729,2.19599986076355,0,280.081999778748,184.476009368896,1.26000003516674,0,0,1298.47598266602,126.746002733707,69176.5759171695,0,0,0,69176.6,100
"5","Rwanda","Amajyaruguru","Rulindo",8156.75201416016,7084.87393188477,23128.7800292969,0,0,1843.05397675931,0,31.9799993038177,0,0,6.22600001096725,7153.18807983398,316.049999237061,535.608005523682,0,0,186.066000938416,104.264004707336,0.792000018060207,0,0,1064.59197998047,147.803999312222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49760,8156.75201416016,7084.87393188477,23128.7800292969,0,0,1843.05397675931,0,31.9799993038177,0,0,6.22600001096725,7153.18807983398,316.049999237061,535.608005523682,0,0,186.066000938416,104.264004707336,0.792000018060207,0,0,1064.59197998047,147.803999312222,49760.0300209671,0,0,0,49760,100
"6","Rwanda","Amajyepfo","Gisagara",1193.3099861145,3844.6058921814,6221.37585449219,0,0,1008.46998596191,0,102.659998238087,0,0,0,3096.27600097656,1896.00804901123,7207.76196289062,0,13.1319999694824,384.980010986328,271.600006103516,0.448000013828278,10.2200002670288,0,16.1280002593994,98.9679985046387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25365.9,1193.3099861145,3844.6058921814,6221.37585449219,0,0,1008.46998596191,0,102.659998238087,0,0,0,3096.27600097656,1896.00804901123,7207.76196289062,0,13.1319999694824,384.980010986328,271.600006103516,0.448000013828278,10.2200002670288,0,16.1280002593994,98.9679985046387,25365.9437459707,0,0,0,25365.9,100
"7","Rwanda","Amajyepfo","Huye",2547.20391845703,13723.4464111328,17494.1520996094,0,0,3962.23001098633,0,66.1259984970093,0,0,0,13046.6439208984,47.068000793457,445.984008789062,0,0,22.6520004272461,0,0,0,0,0,415.333995819092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51770.8,2547.20391845703,13723.4464111328,17494.1520996094,0,0,3962.23001098633,0,66.1259984970093,0,0,0,13046.6439208984,47.068000793457,445.984008789062,0,0,22.6520004272461,0,0,0,0,0,415.333995819092,51770.8403654099,0,0,0,51770.8,100
"8","Rwanda","Amajyepfo","Kamonyi",1328.59996032715,7646.24588012695,10843.4639282227,0,0,2073.59195709229,0,34.9260001182556,0,0,0,7365.94595336914,52.2760009765625,498.8759765625,0,0,90.7479991912842,0,0,0,0,0,245.031999588013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.65405273438,1247.501953125,3634.36791992188,0,0,332.018005371094,0,5.53200006484985,0,0,0.881999969482422,1122.23400878906,51.4500007629395,87.1920013427734,0,0,29.0639991760254,14.448000907898,0.126000002026558,0,0,126.755996704102,39.1580009460449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37991.1,2449.25401306152,8893.74783325195,14477.8318481445,0,0,2405.60996246338,0,40.4580001831055,0,0,0.881999969482422,8488.1799621582,103.726001739502,586.067977905273,0,0,119.81199836731,14.448000907898,0.126000002026558,0,0,126.755996704102,284.190000534058,30179.7056555748,0,7811.38393981755,0,37991.1,100
"9","Rwanda","Amajyepfo","Muhanga",7427.39401245117,14116.6216430664,20451.1822509766,0,0,3886.94396972656,0,128.00199842453,0,0,2.47800004482269,14322.6516723633,102.900001525879,174.384002685547,0,0,61.6559982299805,28.8960018157959,0.335999995470047,0,0,723.462001800537,432.683994293213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61859.6,7427.39401245117,14116.6216430664,20451.1822509766,0,0,3886.94396972656,0,128.00199842453,0,0,2.47800004482269,14322.6516723633,102.900001525879,174.384002685547,0,0,61.6559982299805,28.8960018157959,0.335999995470047,0,0,723.462001800537,432.683994293213,61859.5915473998,0,0,0,61859.6,100
"10","Rwanda","Amajyepfo","Nyamagabe",4319.25202941895,14535.5718383789,18721.4883422852,0,0,4544.0361289978,0,102.678000450134,0,0,0,17861.5793113708,0,0,0,0,0,0,0,0,0,38.1479992866516,274.767999649048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60397.5,4319.25202941895,14535.5718383789,18721.4883422852,0,0,4544.0361289978,0,102.678000450134,0,0,0,17861.5793113708,0,0,0,0,0,0,0,0,0,38.1479992866516,274.767999649048,60397.5216498375,0,0,0,60397.5,100
"11","Rwanda","Amajyepfo","Nyanza",1394.14996337891,7352.74005126953,10440.0880126953,0,0,1876.48997497559,0,401.686000227928,0,0,0,6625.41787719727,1023.30001831055,6495.078125,0,31.4300003051758,312.96399307251,107.18399810791,8.82000041007996,23.4499998092651,0,29.6099987030029,222.560000419617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36345,1394.14996337891,7352.74005126953,10440.0880126953,0,0,1876.48997497559,0,401.686000227928,0,0,0,6625.41787719727,1023.30001831055,6495.078125,0,31.4300003051758,312.96399307251,107.18399810791,8.82000041007996,23.4499998092651,0,29.6099987030029,222.560000419617,36344.9680138826,0,0,0,36345,100
