"","COUNTRY","NAME_1","NAME_2","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"31","Tanzania","Kagera","Biharamulo",2407.7649269104,104.250695705414,1131.86358833313,28.1999988555908,0,0,0,0,3.36600005626678,6.44124241173267,47.5519088581204,0,1637.14366149902,1313.41001605988,7.75600016117096,0,0,626.066849827766,0,304.180637270212,0,0,7.30336383357644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5742.086581707,620.809929870069,3158.36610889435,0,0,0,0,11.3500000834465,1629.55502402782,28.4197900500149,124.942026240751,50.0399998426437,2168.01082038879,2526.65303397179,0,0,0.154000006616116,261.508311627433,0,100.246603248641,0,1.59866663813591,57.2898515611887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24106.3,8149.8515086174,725.060625575483,4290.22969722748,28.1999988555908,0,0,0,11.3500000834465,1632.92102408409,34.8610324617475,172.493935098872,50.0399998426437,3805.15448188782,3840.06305003166,7.75600016117096,0,0.154000006616116,887.575161455199,0,404.427240518853,0,1.59866663813591,64.5932153947651,7625.29888978228,0,16481.0307481587,0,24106.3,100
"32","Tanzania","Kagera","Bukoba Rural",5185.7380065918,6190.96194458008,6938.46389770508,0,0,0,0,0,8413.49803161621,4030.30587768555,0,0,5036.05795288086,5759.42395019531,1294.31199645996,0,0,1415.38195037842,0,0,0,155.313999176025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666.02597045898,4050.65997314453,3834.37603759766,0,0,0,0,0,3444.41207885742,2046.76991271973,1.18799996376038,5.58599996566772,2486.87399291992,3606.68197631836,781.602005004883,0,0,698.671966552734,0,0,0,90.7839975357056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68133.1,7851.76397705078,10241.6219177246,10772.8399353027,0,0,0,0,0,11857.9101104736,6077.07579040527,1.18799996376038,5.58599996566772,7522.93194580078,9366.10592651367,2075.91400146484,0,0,2114.05391693115,0,0,0,246.097996711731,0,44419.4576072693,0,23713.6319110394,0,68133.1,100
"33","Tanzania","Kagera","Bukoba Urban",2168.31936645508,2035.31362915039,2800.25033569336,0,0,0,0,0,2045.37201690674,1576.57528686523,0,0,2064.19232177734,1942.43734741211,431.662326812744,0,0,568.879650115967,0,0,0,45.4079992771149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15678.4,2168.31936645508,2035.31362915039,2800.25033569336,0,0,0,0,0,2045.37201690674,1576.57528686523,0,0,2064.19232177734,1942.43734741211,431.662326812744,0,0,568.879650115967,0,0,0,45.4079992771149,0,15678.4102804661,0,0,0,15678.4,100
"36","Tanzania","Kagera","Lake Victoria",1871.27214813232,1037.00177806616,1907.12860870361,0,0,0,0,0,4923.03665924072,903.409301757812,0,0,1938.89054870605,2461.2925491333,205.7243309021,0,0,373.369034945965,0,0,0,25.0397570133209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.157997131348,6.27200019359589,316.1399974823,0,0,0,0,0,1070.59803771973,0,0,0,320.357997894287,653.905982971191,0,0,0,27.9280009269714,0,0,0,3.28199988603592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18462.8,2289.43014526367,1043.27377825975,2223.26860618591,0,0,0,0,0,5993.63469696045,903.409301757812,0,0,2259.24854660034,3115.19853210449,205.7243309021,0,0,401.297035872936,0,0,0,28.3217568993568,0,15646.1647166014,0,2816.64201420546,0,18462.8,100
"38","Tanzania","Kagera","Muleba",7474.75393676758,978.103955984116,4866.52998661995,0,0,0,0,0,4699.89408874512,472.044002532959,0,0,2705.24808049202,5125.00601804256,188.383995056152,0,0,184.995990276337,0,0,0,121.897998094559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12783.5442199707,681.904091596603,10319.5890197754,0,0,0,0,0,17938.6574438214,158.117990739644,15.0000001043081,57.9479998350143,7158.70085144043,18299.6201934814,69.6360015869141,0,0,779.695642411709,0,0.883999988436699,0,132.935000836849,0.120000008493662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95213.2,20258.2981567383,1660.00804758072,15186.1190063953,0,0,0,0,0,22638.5515325665,630.161993272603,15.0000001043081,57.9479998350143,9863.94893193245,23424.626211524,258.019996643066,0,0,964.691632688046,0,0.883999988436699,0,254.832998931408,0.120000008493662,26816.8580526114,0,68396.3524555974,0,95213.2,100
"39","Tanzania","Kagera","Ngara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6769.56200027466,8481.90196228027,8669.01406478882,0,0,0,0,669.464010238647,1810.83397865295,0.84000001847744,3712.79401397705,1458.9019882679,4954.27398633957,12599.0218162537,0,93.283998966217,526.714022688568,4976.90200805664,4.25400009192526,95.8720012009144,0,90.5899991989136,39.6059997454286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54953.8,6769.56200027466,8481.90196228027,8669.01406478882,0,0,0,0,669.464010238647,1810.83397865295,0.84000001847744,3712.79401397705,1458.9019882679,4954.27398633957,12599.0218162537,0,93.283998966217,526.714022688568,4976.90200805664,4.25400009192526,95.8720012009144,0,90.5899991989136,39.6059997454286,0,0,54953.8298510406,0,54953.8,100
"40","Tanzania","Kaskazini Pemba","Micheweni",28.1599979400635,67.0800018310547,0.319999992847443,0,0,2.88000011444092,0,0,0,59.5200004577637,2.85999989509583,0.760000050067902,131.440002441406,714.400024414062,25.4799995422363,0,0,1.67999994754791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.983997344971,261.748001098633,1.25000002980232,0,0,1.74400007724762,0,0,0,233.533996582031,2.38800001144409,0.368000008165836,564.369995117188,3005.51599121094,102.72200012207,0,0,7.20600008964539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330.4,143.143995285034,328.828002929688,1.57000002264977,0,0,4.62400019168854,0,0,0,293.053997039795,5.24799990653992,1.12800005823374,695.809997558594,3719.916015625,128.201999664307,0,0,8.8860000371933,0,0,0,0,0,1034.58002662659,0,4295.82998169214,0,5330.4,100
"42","Tanzania","Kaskazini Unguja","Kaskazini 'A'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635.965984344482,167.164005279541,19.4839998483658,0,0,1.9679999127984,0,0,0,10.6839998960495,0,1.86799997091293,698.743980407715,2069.69207763672,114.135999679565,0,0,22.1439996957779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3741.9,635.965984344482,167.164005279541,19.4839998483658,0,0,1.9679999127984,0,0,0,10.6839998960495,0,1.86799997091293,698.743980407715,2069.69207763672,114.135999679565,0,0,22.1439996957779,0,0,0,0,0,0,0,3741.85004667193,0,3741.9,100
"43","Tanzania","Kaskazini Unguja","Kaskazini 'B'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.860015869141,186.014007568359,20.8300008773804,0,0,0.172000005841255,0,0,0,11.7540001869202,0,0.684000015258789,821.827972412109,2232.30206298828,124.192005157471,0,0,25.0279998779297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4094.7,671.860015869141,186.014007568359,20.8300008773804,0,0,0.172000005841255,0,0,0,11.7540001869202,0,0.684000015258789,821.827972412109,2232.30206298828,124.192005157471,0,0,25.0279998779297,0,0,0,0,0,0,0,4094.66406495869,0,4094.7,100
"49","Tanzania","Kigoma","Buhigwe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18468.3558349609,600.158002853394,14907.5219116211,0,0,9.30600011348724,0,797.174000740051,0,0,520.177995681763,782.330008506775,3357.89598083496,6285.73399353027,0,724.285999298096,36.4620003700256,1888.34601211548,1.42200005054474,40.9179994910955,0,37.985999584198,173.19000005722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48631.3,18468.3558349609,600.158002853394,14907.5219116211,0,0,9.30600011348724,0,797.174000740051,0,0,520.177995681763,782.330008506775,3357.89598083496,6285.73399353027,0,724.285999298096,36.4620003700256,1888.34601211548,1.42200005054474,40.9179994910955,0,37.985999584198,173.19000005722,0,0,48631.2637398094,0,48631.3,100
