"","COUNTRY","NAME_1","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Uganda","Adjumani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229.18199634552,703.409978989512,16325.7459881306,0,0,0,0,12.5100002288818,216.855997085571,0,92.7159976959229,0,1055.99200615659,711.482013471425,6.71399974822998,463.860015183687,35.574000030756,734.552006013691,7.90200002491474,22.9639997780323,36.4160003662109,7.79800010472536,9.90400023013353,4331.02791441977,1790.96002614498,36818.1541748047,0,0,0,0,78.2160015106201,0,0,0,0,3970.90202650428,2263.92599833012,377.981983184814,1332.56001543999,22.3680000305176,2167.22799825668,6.89400005340576,23.1419997215271,31.6499996185303,6.46200001239777,5.62200021743774,74900.7,5560.20991076529,2494.37000513449,53143.9001629353,0,0,0,0,90.726001739502,216.855997085571,0,92.7159976959229,0,5026.89403266087,2975.40801180154,384.695982933044,1796.42003062367,57.9420000612736,2901.78000427037,14.7960000783205,46.1059994995594,68.0659999847412,14.2600001171231,15.5260004475713,0,0,21673.5779995844,53227.0941382498,21673.6,28.9
"2","Uganda","Apac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37747.6349487305,4471.82809448242,35575.7891159058,0,0,0,0,0,23765.7865524292,0,6426.10667991638,144.340363919735,6481.68701934814,19096.7152633667,1263.97245281935,5052.55605792999,43532.3871383667,13765.2464981079,1793.10318183899,6004.2371635437,2316.69781374931,1135.97755527496,839.113451480865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209413.2,37747.6349487305,4471.82809448242,35575.7891159058,0,0,0,0,0,23765.7865524292,0,6426.10667991638,144.340363919735,6481.68701934814,19096.7152633667,1263.97245281935,5052.55605792999,43532.3871383667,13765.2464981079,1793.10318183899,6004.2371635437,2316.69781374931,1135.97755527496,839.113451480865,0,0,209413.179351211,0,209413.2,100
"3","Uganda","Arua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5635.97203063965,5093.17001342773,4788.79800796509,39.2400007247925,0,73.4260010067374,0.558000013232231,2839.28999710083,0,183.389999747276,2201.04397845268,89.4739985466003,4926.17395782471,14118.8060379028,1277.44800281525,866.488001585007,779.434000015259,4598.70801353455,379.011999130249,1299.10600471497,1399.953997612,284.811997413635,233.333999872208,2881.01404571533,4401.63401794434,3003.56003570557,0,0,0,0,1941.57600021362,98.0700035095215,0,41.5100002288818,0,2837.79800415039,6383.6759185791,921.158012390137,609.377990722656,569.188000679016,2918.73803329468,178.667998790741,673.998003005981,846.586006164551,165.483999729156,139.045999765396,79718.7,8516.98607635498,9494.80403137207,7792.35804367065,39.2400007247925,0,73.4260010067374,0.558000013232231,4780.86599731445,98.0700035095215,183.389999747276,2242.55397868156,89.4739985466003,7763.9719619751,20502.4819564819,2198.60601520538,1475.86599230766,1348.62200069427,7517.44604682922,557.67999792099,1973.10400772095,2246.54000377655,450.295997142792,372.379999637604,0,0,51107.6380400453,28611.0820705891,51107.6,64.1
"4","Uganda","Bugiri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26271.4901275635,1157.56609725952,6713.19640159607,0,0,0,0,0,5739.16718292236,0,833.808004379272,0,5990.07657432556,6964.2324142456,76.715999007225,26361.4866333008,1578.03727865219,1835.84188508987,2449.88781762123,1559.29945778847,335.534277439117,254.065180540085,254.815642595291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88375.2,26271.4901275635,1157.56609725952,6713.19640159607,0,0,0,0,0,5739.16718292236,0,833.808004379272,0,5990.07657432556,6964.2324142456,76.715999007225,26361.4866333008,1578.03727865219,1835.84188508987,2449.88781762123,1559.29945778847,335.534277439117,254.065180540085,254.815642595291,0,0,88375.2209743261,0,88375.2,100
"5","Uganda","Bundibugyo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5340919494629,0.429545432329178,75.3545455932617,0,0,33.8477249145508,0.0818181857466698,0.245454549789429,0,0,0,83.2909088134766,0,0,0,0,0,0,0,0,0,0.6954545378685,0,30861.9524078369,35.8625127412379,2508.78649546206,0,0,124.176002264023,0.0480000004172325,227.687279118225,51.5448209941387,74.6673333644867,4.92799985408783,184.27199845016,671.160492956638,2180.25968074799,16.0544224344194,0.224000006914139,894.10596517846,4345.81859636307,11.5274960324168,60.0783088840544,30.6987156420946,43.5986101236194,30.801268780604,42598.7,30908.4864997864,36.2920581735671,2584.14104105532,0,0,158.023727178574,0.129818186163902,227.932733668014,51.5448209941387,74.6673333644867,4.92799985408783,267.562907263637,671.160492956638,2180.25968074799,16.0544224344194,0.224000006914139,894.10596517846,4345.81859636307,11.5274960324168,60.0783088840544,30.6987156420946,44.2940646614879,30.801268780604,0,0,240.479543976486,42358.252407236,240.5,0.6
"6","Uganda","Bushenyi",99955.7467594147,2018.40513110161,20439.4450473785,400.030286699533,0,1280.03801643848,0,363.916004180908,151.69126701355,0,2018.47319412231,1380.24002552032,9541.62447810173,3717.16711761057,6.935999751091,0,181.047223091125,1282.98793528788,99.0077543258667,71.5858058929443,30.774293422699,1293.22336423397,727.545456171036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2576.78305625916,48.5080003738403,503.539985656738,65.681999206543,0,49.4560012817383,0,0,79.7579956054688,0,215.89200592041,166.606002807617,2257.08666682243,55.5251122117043,2.2960000038147,0,39.8159984350204,889.686468958855,26.9640007019043,27.4960017204285,16.5480003356934,31.9759993553162,18.5999999046326,614.57953441143,0.299999997019768,17.0700003989041,0,0,0,0,56.2739996910095,0,0,0,0,2373.69833087921,58.0254525244236,0,0,8.07600006461143,1114.74250602722,1.14000001549721,1.96799998916686,21.4980006217957,5.68199992179871,4.53000003099442,156309.6,103147.109350085,2067.21313147247,20960.0550334342,465.712285906076,0,1329.49401772022,0,420.190003871918,231.449262619019,0,2234.36520004272,1546.84602832794,14172.4094758034,3830.7176823467,9.2319997549057,0,228.939221590757,3287.41691027395,127.111755043268,101.04980760254,68.820294380188,1330.88136351109,750.675456106663,144959.885159759,0,7072.21929556131,4277.58382457308,152032,97.3
"7","Uganda","Busia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9031.37200927734,1509.01201629639,2740.97604370117,0,0,0,0,0,2724.36196899414,22.1759986877441,574.849987030029,0,3336.07797241211,3753.68399047852,12.96399974823,1978.46401977539,472.921993255615,319.560001373291,1009.95005989075,800.785995483398,0,125.02400302887,136.922001838684,1210.65197753906,191.046005249023,628.39599609375,0,0,0,0,0,218.585998535156,21.3920001983643,109.043998718262,0,318.820007324219,323.089996337891,13.3000001907349,0,32.5620002746582,31.5020008087158,100.02799987793,63.4620018005371,0,11.6219997406006,9.55200004577637,31832.2,10242.0239868164,1700.05802154541,3369.37203979492,0,0,0,0,0,2942.9479675293,43.5679988861084,683.893985748291,0,3654.89797973633,4076.77398681641,26.2639999389648,1978.46401977539,505.483993530273,351.062002182007,1109.97805976868,864.247997283936,0,136.64600276947,146.47400188446,0,0,28549.1020612717,3283.05398273468,28549.1,89.7
"8","Uganda","Gulu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8587.01141107827,8052.79028094187,23242.5367498472,0,0,0,0,0,19265.2946617603,0,5563.24574549124,4.11200002208352,6179.99085820466,6409.23879767209,84.1219982206821,3518.92041932419,7692.5842347499,17057.2459541596,1027.765399592,3869.26383403689,2025.82791853696,765.262637775391,710.560306586325,1185.604780972,2051.13330805302,3392.8335981369,0,0,0,0,260.930000305176,2302.73724651337,19.9200005531311,793.398492097855,4.21600003167987,657.749770224094,1283.21712076664,295.518000766635,240.665458112955,501.22868809104,1622.87602245808,141.780381150544,452.730837777257,663.312012076378,131.732264459133,109.64191287756,130167,9772.61619205028,10103.9235889949,26635.3703479841,0,0,0,0,260.930000305176,21568.0319082737,19.9200005531311,6356.64423758909,8.32800005376339,6837.74062842876,7692.45591843873,379.639998987317,3759.58587743714,8193.81292284094,18680.1219766177,1169.54578074254,4321.99467181414,2689.13993061334,896.994902234524,820.202219463885,0,0,114055.773208,16111.2258954234,114055.7,87.6
"9","Uganda","Hoima",227.473999023438,9.43399965763092,302.666000366211,0,0,0,0,42.4640007019043,414.682006835938,0,26.7119998931885,13.5099997520447,197.35799407959,174.624000549316,1.64000001549721,7.78200006484985,311.518010050058,99.4060001373291,23.9599990844727,88.3759994506836,109.680004119873,24.8859996795654,18.4360003471375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3461.33716583252,100.158195137978,4424.88616943359,0,0,0,0,31.5279998779297,5933.52258300781,0,464.676440238953,341.801461696625,3194.75016021729,2953.13076400757,144.847848474979,145.76024389267,252.08764603734,1516.46003913879,450.711017608643,1467.90664100647,1405.74404525757,293.971561908722,223.529708385468,1643.64999389648,49.7439997196198,1927.64199066162,0,0,0,0,136.043998718262,2132.49999237061,0,142.52999830246,142.052000045776,1163.11199951172,1025.29200744629,114.221997797489,49.1259998083115,1091.43999189138,621.126001358032,170.808000564575,585.610000610352,571.734008789062,115.998000621796,90.2519993782043,40674.3,5332.46115875244,159.336194515228,6655.19416046143,0,0,0,0,210.035999298096,8480.70458221436,0,633.918438434601,497.363461494446,4555.22015380859,4153.04677200317,260.709846287966,202.668243765831,1655.04564797878,2236.99204063416,645.47901725769,2141.8926410675,2087.1580581665,434.855562210083,332.217708110809,2094.60801380873,0,26806.8096911609,11772.881981492,28901.4,71.1
"10","Uganda","Iganga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33918.6798706055,704.664001941681,16866.3538818359,0,0,0,0,0,7769.92599487305,0,1734.12994766235,0,23796.2020568848,9124.31587219238,660.553993701935,1450.13407278061,3459.89200973511,8497.12799072266,13297.4637355804,2001.81797790527,711.552011966705,364.387998580933,400.673999786377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124757.8,33918.6798706055,704.664001941681,16866.3538818359,0,0,0,0,0,7769.92599487305,0,1734.12994766235,0,23796.2020568848,9124.31587219238,660.553993701935,1450.13407278061,3459.89200973511,8497.12799072266,13297.4637355804,2001.81797790527,711.552011966705,364.387998580933,400.673999786377,0,0,124757.875416756,0,124757.8,100
