"","COUNTRY","NAME_1","NAME_2","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"2","Uganda","Apac","Kole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6303.75802612305,846.512004852295,6114.79797363281,0,0,0,0,0,3848.43200683594,0,1075.71399688721,19.7620003223419,1054.55001831055,3113.31602478027,31.9759995937347,1313.3500328064,7224.63012695312,1949.94599914551,300.264003753662,1010.92200469971,0,177.342003822327,137.578001022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34522.9,6303.75802612305,846.512004852295,6114.79797363281,0,0,0,0,0,3848.43200683594,0,1075.71399688721,19.7620003223419,1054.55001831055,3113.31602478027,31.9759995937347,1313.3500328064,7224.63012695312,1949.94599914551,300.264003753662,1010.92200469971,0,177.342003822327,137.578001022339,0,0,34522.8502235413,0,34522.9,100
"3","Uganda","Apac","Kwania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8435.62002563477,1010.76399421692,7959.29592132568,0,0,0,0,0,5375.03805541992,0,1672.85596084595,28.1800001263618,1462.31002044678,4486.8560256958,40.9159992933273,1154.03601837158,9927.20993804932,4179.49602508545,396.17999792099,1374.96998405457,281.220002889633,267.372004032135,196.093997478485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48248.4,8435.62002563477,1010.76399421692,7959.29592132568,0,0,0,0,0,5375.03805541992,0,1672.85596084595,28.1800001263618,1462.31002044678,4486.8560256958,40.9159992933273,1154.03601837158,9927.20993804932,4179.49602508545,396.17999792099,1374.96998405457,281.220002889633,267.372004032135,196.093997478485,0,0,48248.4139708877,0,48248.4,100
"4","Uganda","Apac","Maruzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8320.40084838867,850.400087356567,7445.42129516602,0,0,0,0,0,5359.79247283936,0,1388.87072563171,42.5463634133339,1414.34700012207,4180.7212677002,519.378452479839,812.729998588562,9484.89302062988,2543.50045776367,404.953180789948,1307.88519477844,1187.09181404114,260.997543811798,189.817455291748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45713.7,8320.40084838867,850.400087356567,7445.42129516602,0,0,0,0,0,5359.79247283936,0,1388.87072563171,42.5463634133339,1414.34700012207,4180.7212677002,519.378452479839,812.729998588562,9484.89302062988,2543.50045776367,404.953180789948,1307.88519477844,1187.09181404114,260.997543811798,189.817455291748,0,0,45713.747178793,0,45713.7,100
"5","Uganda","Apac","Oyam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14687.856048584,1764.15200805664,14056.2739257812,0,0,0,0,0,9182.52401733398,0,2288.66599655151,53.8520000576973,2550.47998046875,7315.82194519043,671.702001452446,1772.44000816345,16895.6540527344,5092.30401611328,691.70599937439,2310.45998001099,848.385996818542,430.266003608704,315.623997688293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80928.2,14687.856048584,1764.15200805664,14056.2739257812,0,0,0,0,0,9182.52401733398,0,2288.66599655151,53.8520000576973,2550.47998046875,7315.82194519043,671.702001452446,1772.44000816345,16895.6540527344,5092.30401611328,691.70599937439,2310.45998001099,848.385996818542,430.266003608704,315.623997688293,0,0,80928.1679779887,0,80928.2,100
"6","Uganda","Arua","Arua Municipality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.089996337891,127.839996337891,136.26399230957,0,0,0,0,96.947998046875,0,0,144.832000732422,0,162.998001098633,367.973999023438,42.5060005187988,31.9659996032715,30.3899993896484,126.940002441406,11.4060001373291,29.8379993438721,42.1259994506836,8.48799991607666,6.04199981689453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496.6,130.089996337891,127.839996337891,136.26399230957,0,0,0,0,96.947998046875,0,0,144.832000732422,0,162.998001098633,367.973999023438,42.5060005187988,31.9659996032715,30.3899993896484,126.940002441406,11.4060001373291,29.8379993438721,42.1259994506836,8.48799991607666,6.04199981689453,0,0,1496.6479845047,0,1496.6,100
"7","Uganda","Arua","Ayivu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763.526008605957,626.386001586914,705.009994506836,0,0,0,0,457.875999450684,0,31.5059995651245,707.569999694824,0,770.473983764648,2226.17807006836,205.21000289917,151.18800163269,144.812000274658,683.73999786377,54.8979997634888,167.068000793457,200.815998077393,41.1319990158081,30.5099997520447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7967.9,763.526008605957,626.386001586914,705.009994506836,0,0,0,0,457.875999450684,0,31.5059995651245,707.569999694824,0,770.473983764648,2226.17807006836,205.21000289917,151.18800163269,144.812000274658,683.73999786377,54.8979997634888,167.068000793457,200.815998077393,41.1319990158081,30.5099997520447,0,0,7967.90005731583,0,7967.9,100
"8","Uganda","Arua","Koboko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986.628005981445,848.450016021729,659.023998260498,7.19999980926514,0,0.558000022545457,0,39.0319976806641,0,7.09200036525726,29.7600002288818,7.19999980926514,566.809997558594,1206.20601654053,93.5360021591187,51.0080010890961,13.3680000305176,607.443990707397,71.1679992675781,235.817999839783,253.67799949646,27.3539996147156,37.8419990539551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5749.2,986.628005981445,848.450016021729,659.023998260498,7.19999980926514,0,0.558000022545457,0,39.0319976806641,0,7.09200036525726,29.7600002288818,7.19999980926514,566.809997558594,1206.20601654053,93.5360021591187,51.0080010890961,13.3680000305176,607.443990707397,71.1679992675781,235.817999839783,253.67799949646,27.3539996147156,37.8419990539551,0,0,5749.17602353729,0,5749.2,100
"10","Uganda","Arua","Maracha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188.55603027344,773.438011169434,972.314010620117,0,0,0,0,487.319999694824,0,84.4559993743896,632.725986480713,0,929.659980773926,3338.2919921875,244.409994125366,178.686000823975,165.503998756409,985.718017578125,69.0359992980957,251.63800239563,245.377998352051,49.0759997367859,39.2680006027222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10635.5,1188.55603027344,773.438011169434,972.314010620117,0,0,0,0,487.319999694824,0,84.4559993743896,632.725986480713,0,929.659980773926,3338.2919921875,244.409994125366,178.686000823975,165.503998756409,985.718017578125,69.0359992980957,251.63800239563,245.377998352051,49.0759997367859,39.2680006027222,0,0,10635.4760222435,0,10635.5,100
"13","Uganda","Bugiri","Bukooli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26271.4901275635,1157.56609725952,6713.19640159607,0,0,0,0,0,5739.16718292236,0,833.808004379272,0,5990.07657432556,6964.2324142456,76.715999007225,26361.4866333008,1578.03727865219,1835.84188508987,2449.88781762123,1559.29945778847,335.534277439117,254.065180540085,254.815642595291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88375.2,26271.4901275635,1157.56609725952,6713.19640159607,0,0,0,0,0,5739.16718292236,0,833.808004379272,0,5990.07657432556,6964.2324142456,76.715999007225,26361.4866333008,1578.03727865219,1835.84188508987,2449.88781762123,1559.29945778847,335.534277439117,254.065180540085,254.815642595291,0,0,88375.2209743261,0,88375.2,100
"16","Uganda","Bushenyi","Buhweju",18075.4136962891,461.273994445801,5006.44390869141,22.4879994988441,0,295.032001495361,0,0,0,0,60.5919990539551,173.566002845764,630.253970861435,0.98999996483326,0,0,25.8999996185303,0.504000008106232,11.3959999084473,0,0,445.178005218506,179.715995788574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25388.7,18075.4136962891,461.273994445801,5006.44390869141,22.4879994988441,0,295.032001495361,0,0,0,0,60.5919990539551,173.566002845764,630.253970861435,0.98999996483326,0,0,25.8999996185303,0.504000008106232,11.3959999084473,0,0,445.178005218506,179.715995788574,25388.7475736886,0,0,0,25388.7,100
