"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t_profit","SORG_add_t_profit","BEAN_add_t_profit","CHIC_add_t_profit","LENT_add_t_profit","WHEA_add_t_profit","BARL_add_t_profit","ACOF_add_t_profit","RCOF_add_t_profit","PMIL_add_t_profit","SMIL_add_t_profit","POTA_add_t_profit","SWPO_add_t_profit","CASS_add_t_profit","COWP_add_t_profit","PIGE_add_t_profit","SOYB_add_t_profit","GROU_add_t_profit","SUGC_add_t_profit","COTT_add_t_profit","COCO_add_t_profit","TEAS_add_t_profit","TOBA_add_t_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"7","Ethiopia","Amhara","Agew Awi",133.224834925428,32.1880528675094,21.0046605110654,0,0,42.8175799450291,17.0103803717575,0,0,0,0,22.0536158914633,0.0357291990739319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.171829835591,30.7495559869196,104.457094565283,57.5231609270408,0.0475467106176646,30.7415323087173,13.8119532334862,0,0,0,31.8485169455172,12.8262581277629,0.073063219102893,0,0,0,1.20187570402686,89.0424943084254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784.8,277.396664761019,62.937608854429,125.461755076348,57.5231609270408,0.0475467106176646,73.5591122537464,30.8223336052437,0,0,0,31.8485169455172,34.8798740192262,0.108792418176825,0,0,0,1.20187570402686,89.0424943084254,0,0,0,0,0,268.334853711327,0,516.494881872491,0,784.8,100
"12","Ethiopia","Amhara","Mirab Gojjam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6114482463597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6,0,0,50.6114482463597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6114482463597,0,50.6,100
"13","Ethiopia","Amhara","Misraq Gojjam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3379286060153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,3.3379286060153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3379286060153,0,3.3,100
"20","Ethiopia","Benshangul-Gumaz","Kemashi",0,0,15.6137525943063,7.01430056385146,0.463897122389753,0,0,0,0,0,0,0,0,0,0,0,0,10.9676568774053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,0,0,15.6137525943063,7.01430056385146,0.463897122389753,0,0,0,0,0,0,0,0,0,0,0,0,10.9676568774053,0,0,0,0,0,34.0596071579528,0,0,0,34.1,100
"24","Ethiopia","Gambela Peoples","Majang",0,0,0.422859333360154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314816615877951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.422859333360154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314816615877951,0,0,0,0,0,0.737675949238104,0,0,0,0.7,100
"30","Ethiopia","Oromia","Debub Mirab Shewa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49663959740775,88.8102120355728,1.03599059241107,0,0,0,0,0,0,0,0,0,0,0,0,0.0352717362169679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.4,0,0,3.49663959740775,88.8102120355728,1.03599059241107,0,0,0,0,0,0,0,0,0,0,0,0,0.0352717362169679,0,0,0,0,0,0,0,93.3781139616086,0,93.4,100
"32","Ethiopia","Oromia","Horo Guduru",750.537865248974,334.622731461859,31.5407166945159,4.71780617109894,0.345705053366513,198.663321336751,43.9399752194622,0,0,0,22.9453944982952,20.5804464854737,0,0,0,0,0,0.0534960060248935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167.18775673286,3609.33703174801,331.15644192324,12.7607906402475,1.14474892839903,2742.04621856736,838.22570695629,8.50090054902039,0,0,63.4396507654621,257.0051139083,7.29194480912114,0,0,0,1.58396165941312,2.57022939271914,0,0,0,0,0.0582012954226868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18450.3,9917.72562198183,3943.95976320987,362.697158617755,17.4785968113464,1.49045398176554,2940.70953990411,882.165682175752,8.50090054902039,0,0,86.3850452637572,277.585560393774,7.29194480912114,0,0,0,1.58396165941312,2.62372539874403,0,0,0,0,0.0582012954226868,1407.94745817582,0,17042.3086978759,0,18450.3,100
"33","Ethiopia","Oromia","Ilubabor",42719.5932243416,24631.4932212886,4215.28383746431,961.704740810739,5669.96426863725,1755.12057175272,1324.79148601257,989.714876333012,0,0,1316.29720026244,170.528613917245,741.483498057526,0,0,0,465.532939994767,335.211453824677,0,0.00494166922834194,0,0,1.23506694141421,0,0,0.807062139825028,0.5361753115975,3.12825186563276,0,0,0,0,0,0,0,0,0,0,0,0,0.237085217610002,0,0,0,0,0,607.446676034041,219.523400748174,114.684348485804,49.0831783412409,248.327766418607,16.0796653689694,21.3859722761656,0,0,0,54.7776646113261,1.13415254374671,110.883198456204,0,0,0,44.4372226259416,131.015590932678,0,0,0,0,0,0,0,1.23017365352182,0.0133609034227358,0.014249379006511,0,0,0,0,0,0,0,0,0,0,0,0,2.14894349663861,0,0,0,0,0,86924.9,43327.0399003756,24851.0166220367,4332.00542174346,1011.337455367,5921.43453630049,1771.20023712169,1346.17745828873,989.714876333012,0,0,1371.07486487376,171.662766460992,852.36669651373,0,0,0,509.970162620708,468.613073471604,0,0.00494166922834194,0,0,1.23506694141421,85297.9599413081,4.70857453466529,1618.7788368429,3.40672743258969,86916.7,100
"34","Ethiopia","Oromia","Jimma",41640.8584942786,13076.8066304077,1263.82082097048,207.174500981034,149.448811305544,6133.23504119856,2729.4900559289,1119.49840569907,0,0,494.569170659128,985.504902730119,108.621267223476,0,0,0,22.500367118721,310.832106658536,0,0.0340386155490521,0,0,0.707559772469071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6926.51086360814,2070.75553703078,302.976389448844,167.71834838284,133.312105040049,887.046691531648,377.831677255047,38.6009448705029,0,0,126.621344436544,140.438360731461,50.7015777182418,0,0,0,14.8689806299643,154.532642577876,0,0,0,0,0.0217040263937722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79635,48567.3693578867,15147.5621674384,1566.79721041932,374.892849363874,282.760916345593,7020.28173273021,3107.32173318395,1158.09935056957,0,0,621.190515095671,1125.94326346158,159.322844941718,0,0,0,37.3693477486853,465.364749236412,0,0.0340386155490521,0,0,0.729263798862844,68243.1021735478,0,11391.9371672883,0,79635,100
"35","Ethiopia","Oromia","Kelem Wellega",1066.79538322156,950.042624926371,225.216673702865,70.0551871279998,2.14562870130135,72.8436047247284,32.2985151959167,0,0,0,151.382514817788,19.9926378532949,45.9101293328843,0,0,0,1.58880284160685,1.45055177761131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.575890525913,111.286193632906,159.827746806716,57.307763122875,1.75812638851478,20.5979626000356,8.36583705915227,0,0,0,68.1508418245946,5.05689048850869,69.1182325878655,0,0,0,1.40665593591251,5.51132569208065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3359.7,1278.37127374747,1061.32881855928,385.044420509581,127.362950250875,3.90375508981613,93.441567324764,40.6643522550689,0,0,0,219.533356642382,25.0495283418036,115.02836192075,0,0,0,2.99545877751936,6.96187746969196,0,0,0,0,0,2639.72225422393,0,719.963466665075,0,3359.7,100
