"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t_profit","SORG_add_t_profit","BEAN_add_t_profit","CHIC_add_t_profit","LENT_add_t_profit","WHEA_add_t_profit","BARL_add_t_profit","ACOF_add_t_profit","RCOF_add_t_profit","PMIL_add_t_profit","SMIL_add_t_profit","POTA_add_t_profit","SWPO_add_t_profit","CASS_add_t_profit","COWP_add_t_profit","PIGE_add_t_profit","SOYB_add_t_profit","GROU_add_t_profit","SUGC_add_t_profit","COTT_add_t_profit","COCO_add_t_profit","TEAS_add_t_profit","TOBA_add_t_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"32","Malawi","Chitipa","Nyika N.P. - Chitipa",3.60704004661386,0.151719908740713,5.79037800065458,1.5152512078229,0,0,0,0,0,0,0.0285882413734289,13.7131110775872,0.014147114941872,0,0,4.24928371349236,0.151921190543645,5.50890231094031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37538654064389,0.347559044354995,3.55650770112618,0.613490540124012,0,0,0,0,0,0,0.0237360591974702,20.8918627464398,0.0117250006132035,0,0,2.24462518569194,0.31919706850779,4.07164911287873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2,6.98242658725775,0.499278953095708,9.34688570178076,2.12874174794691,0,0,0,0,0,0,0.0523243005708991,34.604973824027,0.0258721155550755,0,0,6.49390889918431,0.471118259051435,9.58055142381904,0,0,0,0,0,34.7303428127109,0,35.455738999578,0,70.2,100
"35","Malawi","Chitipa","TA Mwenemisuku",0,0,11.6623088296228,3.72366943181844,0,0,0,0,0,0,0,0,0,0,0,12.9684925408771,0,11.500458724077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46356073641485,2.98298367062435,0,0,0,0,0,0,0,0,0,0,0,8.77458406035127,0,8.54046362062378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6,0,0,20.1258695660377,6.70665310244279,0,0,0,0,0,0,0,0,0,0,0,21.7430766012284,0,20.0409223447007,0,0,0,0,0,39.8549295263953,0,28.7615920880143,0,68.6,100
"36","Malawi","Chitipa","TA Mwenewenya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22016371191886,0.357698854775737,0,0,0,0,0,0,0,0,0,0,0,3.45059337257942,0,2.99387267176382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3.22016371191886,0.357698854775737,0,0,0,0,0,0,0,0,0,0,0,3.45059337257942,0,2.99387267176382,0,0,0,0,0,0,0,10.0223286110378,0,10,100
"37","Malawi","Chitipa","TA Nthalire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4068943920972,0.314612613010421,0,0,0,0,0,0,0,0,0,0,0,0.81674946183081,0,1.14180002624619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0.4068943920972,0.314612613010421,0,0,0,0,0,0,0,0,0,0,0,0.81674946183081,0,1.14180002624619,0,0,0,0,0,0,0,2.68005649318462,0,2.7,100
"46","Malawi","Dedza","TA Pemba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7768962247361,32.5137902459489,0.532455395703795,0,0,0,0,0,0,0,0,0,0,83.2027351440252,0,122.272836817421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.3,0,0,29.7768962247361,32.5137902459489,0.532455395703795,0,0,0,0,0,0,0,0,0,0,83.2027351440252,0,122.272836817421,0,0,0,0,0,0,0,268.298713827835,0,268.3,100
"58","Malawi","Karonga","Lake Malawi",0,0,3.65336272162622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0398995685191,0.143197959288955,0,0,0,0,0,0,0,0,0,0,0,1.41763252170004,0,5.48542659869725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7,0,0,55.6932622901453,0.143197959288955,0,0,0,0,0,0,0,0,0,0,0,1.41763252170004,0,5.48542659869725,0,0,0,0,0,3.65336272162622,0,59.0861566482053,0,62.7,100
"59","Malawi","Karonga","Nyipa N. P. - Karonga",0.110669078768247,0.00923156177956247,1.35601998283492,0.295349806325834,0,0,0,0,0,0,0,0.437389288351,0,0,0,0.713056647909623,0,0.413648460411986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3762406246742,1.79248404296803,0,0,0,0,0,0,0,0,0,0,0,2.20536152364446,0,3.64526673743486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0.110669078768247,0.00923156177956247,14.7322606075091,2.08783384929387,0,0,0,0,0,0,0,0.437389288351,0,0,0,2.91841817155408,0,4.05891519784685,0,0,0,0,0,3.33536482638117,0,21.0193529287215,0,24.4,100
"60","Malawi","Karonga","SC Mwakaboko",14.8481422301682,0.310625790388551,76.677888597239,1.16807435818291,0,0,0,0,0,0,0,16.9137947989159,0,0,0,1.41642803170498,0,9.4078168560718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.782538557159,0.940894746275898,0,0,0,0,0,0,0,0,0,0,0,5.95183835138772,0,17.1432078821938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.6,14.8481422301682,0.310625790388551,195.460427154398,2.1089691044588,0,0,0,0,0,0,0,16.9137947989159,0,0,0,7.3682663830927,0,26.5510247382656,0,0,0,0,0,120.742770662671,0,142.818479537017,0,263.6,100
"62","Malawi","Karonga","TA Kilupula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2031959937179,0.151198654453331,0,0,0,0,0,0,0,0,0,0,0,0.417959370238243,0,2.53420576523781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,0,0,15.2031959937179,0.151198654453331,0,0,0,0,0,0,0,0,0,0,0,0.417959370238243,0,2.53420576523781,0,0,0,0,0,0,0,18.3065597836473,0,18.3,100
"64","Malawi","Karonga","TA Wasambo",0,0,13.9922271579519,1.32705774117414,0,0,0,0,0,0,0,0,0,0,0,0.406513399932313,0,3.22239491662799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,13.9922271579519,1.32705774117414,0,0,0,0,0,0,0,0,0,0,0,0.406513399932313,0,3.22239491662799,0,0,0,0,0,18.9481932156864,0,0,0,18.9,100
