"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t_profit","SORG_add_t_profit","BEAN_add_t_profit","CHIC_add_t_profit","LENT_add_t_profit","WHEA_add_t_profit","BARL_add_t_profit","ACOF_add_t_profit","RCOF_add_t_profit","PMIL_add_t_profit","SMIL_add_t_profit","POTA_add_t_profit","SWPO_add_t_profit","CASS_add_t_profit","COWP_add_t_profit","PIGE_add_t_profit","SOYB_add_t_profit","GROU_add_t_profit","SUGC_add_t_profit","COTT_add_t_profit","COCO_add_t_profit","TEAS_add_t_profit","TOBA_add_t_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"3","Nigeria","Abia","Arochukwu",7130.33998119456,0,0,0,0,0,0,0,0.16002888917966,0,0,0,4634.44722113867,0,167.313473087509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11932.3,7130.33998119456,0,0,0,0,0,0,0,0.16002888917966,0,0,0,4634.44722113867,0,167.313473087509,0,0,0,0,0,0,0,0,11932.2607043099,0,0,0,11932.3,100
"4","Nigeria","Abia","Bende",13070.6957524171,0,0,0,0,0,0,0,0.517734218086105,0,0,0,8220.4468624907,3363.75752264052,377.9799152983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25033.4,13070.6957524171,0,0,0,0,0,0,0,0.517734218086105,0,0,0,8220.4468624907,3363.75752264052,377.9799152983,0,0,0,0,0,0,0,0,25033.3977870647,0,0,0,25033.4,100
"5","Nigeria","Abia","Ikwuano",3931.28983517761,0,0,0,0,0,0,0,0,0,0,0,2390.0519458749,2076.78562387668,116.601236860908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8514.7,3931.28983517761,0,0,0,0,0,0,0,0,0,0,0,2390.0519458749,2076.78562387668,116.601236860908,0,0,0,0,0,0,0,0,8514.7286417901,0,0,0,8514.7,100
"6","Nigeria","Abia","Isiala Ngwa North",991.584660782813,0,0,0,0,0,0,0,0,0,0,28.6096104052443,1903.11312586133,0,49.0433042283342,0,0,5.15502600652711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977.5,991.584660782813,0,0,0,0,0,0,0,0,0,0,28.6096104052443,1903.11312586133,0,49.0433042283342,0,0,5.15502600652711,0,0,0,0,0,2977.50572728425,0,0,0,2977.5,100
"7","Nigeria","Abia","Isiala Ngwa South",0,0,0,0,0,0,0,0,0,0,0,0,568.840203686723,0,21.5768050680604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.4,0,0,0,0,0,0,0,0,0,0,0,0,568.840203686723,0,21.5768050680604,0,0,0,0,0,0,0,0,590.417008754783,0,0,0,590.4,100
"8","Nigeria","Abia","Isuikwuato",6731.86758755617,0,0,0,0,0,0,0,0.308811096978353,0,0,103.990180072981,4996.25302781213,2524.10059531088,190.279416630529,0,0,45.8921977688909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14592.7,6731.86758755617,0,0,0,0,0,0,0,0.308811096978353,0,0,103.990180072981,4996.25302781213,2524.10059531088,190.279416630529,0,0,45.8921977688909,0,0,0,0,0,14592.6918162486,0,0,0,14592.7,100
"9","Nigeria","Abia","Obi Ngwa",0,0,0,0,0,0,0,0,0,0,0,0,1070.2631588298,0,25.4292908898308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095.7,0,0,0,0,0,0,0,0,0,0,0,0,1070.2631588298,0,25.4292908898308,0,0,0,0,0,0,0,0,1095.69244971963,0,0,0,1095.7,100
"10","Nigeria","Abia","Ohafia",5943.0180559159,0,0,0,0,0,0,0,0.155450041146154,0,0,0,5504.02077020663,986.99187584917,290.874637845204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873.564914085553,0,0,0,0,0,0,0,0,0,0,41.8268280667799,493.423048690714,0,41.9011788190334,0,0,65.3314075093522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14241.1,6816.58297000146,0,0,0,0,0,0,0,0.155450041146154,0,0,41.8268280667799,5997.44381889734,986.99187584917,332.775816664238,0,0,65.3314075093522,0,0,0,0,0,12725.0607898581,0,1516.04737717143,0,14241.1,100
"11","Nigeria","Abia","Osisioma Ngwa",0,0,0,0,0,0,0,0,0,0,0,0,487.210407522216,0,17.1398769036496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504.4,0,0,0,0,0,0,0,0,0,0,0,0,487.210407522216,0,17.1398769036496,0,0,0,0,0,0,0,0,504.350284425866,0,0,0,504.4,100
"13","Nigeria","Abia","Ukwa East",0,0,0,0,0,0,0,0,0,0,0,0,1724.74387852239,0,96.1713799011864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820.9,0,0,0,0,0,0,0,0,0,0,0,0,1724.74387852239,0,96.1713799011864,0,0,0,0,0,0,0,0,1820.91525842358,0,0,0,1820.9,100
