"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t_profit","SORG_add_t_profit","BEAN_add_t_profit","CHIC_add_t_profit","LENT_add_t_profit","WHEA_add_t_profit","BARL_add_t_profit","ACOF_add_t_profit","RCOF_add_t_profit","PMIL_add_t_profit","SMIL_add_t_profit","POTA_add_t_profit","SWPO_add_t_profit","CASS_add_t_profit","COWP_add_t_profit","PIGE_add_t_profit","SOYB_add_t_profit","GROU_add_t_profit","SUGC_add_t_profit","COTT_add_t_profit","COCO_add_t_profit","TEAS_add_t_profit","TOBA_add_t_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Rwanda","Amajyaruguru","Burera",0,0,2708.86706821929,0,0,0,0,0,0,0,0,0,352.86146402359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3061.7,0,0,2708.86706821929,0,0,0,0,0,0,0,0,0,352.86146402359,0,0,0,0,0,0,0,0,0,0,3061.72853224288,0,0,0,3061.7,100
"2","Rwanda","Amajyaruguru","Gakenke",0,0,8447.89163779384,0,0,215.021603553458,0,0,0,0,0,3733.44959969127,919.975185416113,0,0,0,0,15.398697571664,0,0,0,0,2.25845130456037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13334,0,0,8447.89163779384,0,0,215.021603553458,0,0,0,0,0,3733.44959969127,919.975185416113,0,0,0,0,15.398697571664,0,0,0,0,2.25845130456037,13333.9951753309,0,0,0,13334,100
"3","Rwanda","Amajyaruguru","Gicumbi",0,0,12864.045419848,0,0,228.544809684912,0,0,0,0,0,4061.49704773609,610.10265552051,0,0,0,0,18.9473890407135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17783.1,0,0,12864.045419848,0,0,228.544809684912,0,0,0,0,0,4061.49704773609,610.10265552051,0,0,0,0,18.9473890407135,0,0,0,0,0,17783.1373218302,0,0,0,17783.1,100
"5","Rwanda","Amajyaruguru","Rulindo",0,0,2160.00547610852,0,0,0,0,0,0,0,0,6594.27452859233,317.495216018165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9071.8,0,0,2160.00547610852,0,0,0,0,0,0,0,0,6594.27452859233,317.495216018165,0,0,0,0,0,0,0,0,0,0,9071.77522071902,0,0,0,9071.8,100
"6","Rwanda","Amajyepfo","Gisagara",0,0,4969.44199345051,0,0,0,0,0,0,0,0,4102.69021404103,1220.38192301952,0,0,13.3617776579285,38.8200010746393,0,0,0,0,0,0.372860066796115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10345.1,0,0,4969.44199345051,0,0,0,0,0,0,0,0,4102.69021404103,1220.38192301952,0,0,13.3617776579285,38.8200010746393,0,0,0,0,0,0.372860066796115,10345.0687693104,0,0,0,10345.1,100
"7","Rwanda","Amajyepfo","Huye",1006.50645232192,0,22963.1144841309,0,0,334.288256302549,0,0,0,0,0,29971.8057400022,0,0,0,0,0,0,0,0,0,0,22.4496434015072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54298.2,1006.50645232192,0,22963.1144841309,0,0,334.288256302549,0,0,0,0,0,29971.8057400022,0,0,0,0,0,0,0,0,0,0,22.4496434015072,54298.1645761591,0,0,0,54298.2,100
"8","Rwanda","Amajyepfo","Kamonyi",0,0,16832.092222516,0,0,0,0,0,0,0,0,20730.1783231675,83.6554311396321,0,0,0,0,0,0,0,0,0,13.317811307852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37659.2,0,0,16832.092222516,0,0,0,0,0,0,0,0,20730.1783231675,83.6554311396321,0,0,0,0,0,0,0,0,0,13.317811307852,37659.243788131,0,0,0,37659.2,100
"9","Rwanda","Amajyepfo","Muhanga",1074.50490813702,3468.91930956341,28626.7231834819,0,0,865.45184071015,0,0,0,0,0,48219.2693365939,73.1357696172654,0,0,0,0,0,0,0,0,0,45.5129980844316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82373.5,1074.50490813702,3468.91930956341,28626.7231834819,0,0,865.45184071015,0,0,0,0,0,48219.2693365939,73.1357696172654,0,0,0,0,0,0,0,0,0,45.5129980844316,82373.5173461881,0,0,0,82373.5,100
"10","Rwanda","Amajyepfo","Nyamagabe",395.776316527241,0,14266.5072512178,0,0,0,0,0,0,0,0,32229.8216972536,0,0,0,0,0,0,0,0,0,0,9.34476250065174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46901.5,395.776316527241,0,14266.5072512178,0,0,0,0,0,0,0,0,32229.8216972536,0,0,0,0,0,0,0,0,0,0,9.34476250065174,46901.4500274994,0,0,0,46901.5,100
"11","Rwanda","Amajyepfo","Nyanza",1507.40207901823,4051.32379729478,26286.0434538453,0,0,979.708222595644,0,0,0,0,0,34981.6604903055,1341.63269961055,0,0,0,153.062264967811,0,0,0,0,0,44.8661805888099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69345.7,1507.40207901823,4051.32379729478,26286.0434538453,0,0,979.708222595644,0,0,0,0,0,34981.6604903055,1341.63269961055,0,0,0,153.062264967811,0,0,0,0,0,44.8661805888099,69345.6991882266,0,0,0,69345.7,100
