"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t_profit","SORG_add_t_profit","BEAN_add_t_profit","CHIC_add_t_profit","LENT_add_t_profit","WHEA_add_t_profit","BARL_add_t_profit","ACOF_add_t_profit","RCOF_add_t_profit","PMIL_add_t_profit","SMIL_add_t_profit","POTA_add_t_profit","SWPO_add_t_profit","CASS_add_t_profit","COWP_add_t_profit","PIGE_add_t_profit","SOYB_add_t_profit","GROU_add_t_profit","SUGC_add_t_profit","COTT_add_t_profit","COCO_add_t_profit","TEAS_add_t_profit","TOBA_add_t_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Sierra Leone","Eastern","Kailahun",486.864921498555,411.882009974471,0,0,0,0,0,0,223.449613470181,3.38457847552435,0,0,1863.59534270788,0,0,0,11.1889884540006,2920.18045851608,0,0,0,0,0.0826840466904964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5920.6,486.864921498555,411.882009974471,0,0,0,0,0,0,223.449613470181,3.38457847552435,0,0,1863.59534270788,0,0,0,11.1889884540006,2920.18045851608,0,0,0,0,0.0826840466904964,5920.62859714338,0,0,0,5920.6,100
"2","Sierra Leone","Eastern","Kenema",424.174868921196,446.104020927024,0,0,0,0,0,0,80.3190682046748,0,0,0,1542.66503240259,0,0,0,1.26377603344092,2654.28169471141,0,0,0,0,0.0348280520566023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148.8,424.174868921196,446.104020927024,0,0,0,0,0,0,80.3190682046748,0,0,0,1542.66503240259,0,0,0,1.26377603344092,2654.28169471141,0,0,0,0,0.0348280520566023,5148.84328925239,0,0,0,5148.8,100
"3","Sierra Leone","Eastern","Kono",1037.08217316149,323.954948843578,0,0,0,0,0,0,86.7948265102055,56.404537888209,0,0,3327.77485946869,602.601268099923,0,0,0,3407.86811690533,0,1.9330220224423,1.17554510617029,0,0.0688335025950915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8845.7,1037.08217316149,323.954948843578,0,0,0,0,0,0,86.7948265102055,56.404537888209,0,0,3327.77485946869,602.601268099923,0,0,0,3407.86811690533,0,1.9330220224423,1.17554510617029,0,0.0688335025950915,8845.65813150863,0,0,0,8845.7,100
"4","Sierra Leone","Northern","Bombali",2240.53944635851,1104.94770800455,0,0,0,0,0,0,11.6799683700094,3045.90125761026,0,8.94779331342812,9601.72927378242,6865.13339536106,0,0,0,23296.5275720714,345.468176206526,2.6519657080302,3.13020470487181,0,0.270826150109287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46526.9,2240.53944635851,1104.94770800455,0,0,0,0,0,0,11.6799683700094,3045.90125761026,0,8.94779331342812,9601.72927378242,6865.13339536106,0,0,0,23296.5275720714,345.468176206526,2.6519657080302,3.13020470487181,0,0.270826150109287,46526.9275876412,0,0,0,46526.9,100
"5","Sierra Leone","Northern","Kambia",588.981052605576,455.982793154704,0,0,0,0,0,0,2.44868310851275,1474.47675848716,0,11.9325961562831,3323.17407989441,255.398941508802,0,0,0,6933.97608398348,6.50798250661455,0.352195915556923,0.0595827163243302,0,0.095853638378015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13053.4,588.981052605576,455.982793154704,0,0,0,0,0,0,2.44868310851275,1474.47675848716,0,11.9325961562831,3323.17407989441,255.398941508802,0,0,0,6933.97608398348,6.50798250661455,0.352195915556923,0.0595827163243302,0,0.095853638378015,13053.3866036758,0,0,0,13053.4,100
"6","Sierra Leone","Northern","Koinadugu",2292.74310858773,525.70310777096,0,0,0,0,0,0,63.1228119782294,1221.76911170929,0,64.6215072288573,7992.3502946867,1824.90633014865,0,0,0,16054.3760888947,81.3003554826085,4.73233535713273,9.15631727177076,0,0.243309725675657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30135,2292.74310858773,525.70310777096,0,0,0,0,0,0,63.1228119782294,1221.76911170929,0,64.6215072288573,7992.3502946867,1824.90633014865,0,0,0,16054.3760888947,81.3003554826085,4.73233535713273,9.15631727177076,0,0.243309725675657,30135.0246788423,0,0,0,30135,100
"7","Sierra Leone","Northern","Port Loko",583.755992001175,452.092459059586,0,0,0,0,0,0,0.787437366809013,1255.62207038948,0,0,3523.44557920426,0,0,0,0,7266.15039074873,0,0,0,0,0.0607777860934345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13081.9,583.755992001175,452.092459059586,0,0,0,0,0,0,0.787437366809013,1255.62207038948,0,0,3523.44557920426,0,0,0,0,7266.15039074873,0,0,0,0,0.0607777860934345,13081.9147065561,0,0,0,13081.9,100
"8","Sierra Leone","Northern","Tonkolili",987.068142377481,547.28565916369,0,0,0,0,0,0,9.69063494146532,989.709135695213,0,0,2764.78034905926,130.25103780857,0,0,0,8590.90162320952,0.927933643868293,0,0.0525943543227632,0,0.0871250074729501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14020.8,987.068142377481,547.28565916369,0,0,0,0,0,0,9.69063494146532,989.709135695213,0,0,2764.78034905926,130.25103780857,0,0,0,8590.90162320952,0.927933643868293,0,0.0525943543227632,0,0.0871250074729501,14020.7542352609,0,0,0,14020.8,100
"9","Sierra Leone","Southern","Bo",212.445088485348,127.442019542707,0,0,0,0,0,0,6.56591555976814,10.4869814512953,0,0,617.621484645303,0,0,0,0,2336.15830498097,0,0,0,0,0.0140335794365294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3310.7,212.445088485348,127.442019542707,0,0,0,0,0,0,6.56591555976814,10.4869814512953,0,0,617.621484645303,0,0,0,0,2336.15830498097,0,0,0,0,0.0140335794365294,3310.73382824483,0,0,0,3310.7,100
"10","Sierra Leone","Southern","Bonthe",239.158511013508,152.16901736103,0,0,0,0,0,0,7.84574794736545,8.65754212458206,0,0,2211.50041383246,624.230492132145,0,0,0,1319.37780905211,143.389651616144,0,0.201828380494975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6002425551262,2.56430805131257,0,0,0,0,0,0,0,0,0,0,103.097556687229,0,0,0,0,22.9316515971299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4841.7,245.758753568634,154.733325412342,0,0,0,0,0,0,7.84574794736545,8.65754212458206,0,0,2314.59797051969,624.230492132145,0,0,0,1342.30946064924,143.389651616144,0,0.201828380494975,0,0,4706.53101345984,0,135.193758890798,0,4841.7,100
"11","Sierra Leone","Southern","Moyamba",621.785205395482,259.978905368114,0,0,0,0,0,0,2.36800910858742,371.32040480093,0,0,980.497402186438,0,0,0,0,4627.63023567137,0,0,0,0,0.0151476452897908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6863.6,621.785205395482,259.978905368114,0,0,0,0,0,0,2.36800910858742,371.32040480093,0,0,980.497402186438,0,0,0,0,4627.63023567137,0,0,0,0,0.0151476452897908,6863.59531017621,0,0,0,6863.6,100
"12","Sierra Leone","Southern","Pujehun",431.587984704918,290.688628831498,0,0,0,0,0,0,72.2104097562686,0,0,0,1430.03506354843,101.543163777384,0,0,3.44607441193898,3353.52113808516,25.0713000612509,0,1.2751634368022,0,0.0740906145063314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33262479083578,1.16360387351952,0,0,0,0,0,0,0,0,0,0,14.8395709911649,0,0,0,0,7.66501034904603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5735.5,433.920609495754,291.852232705018,0,0,0,0,0,0,72.2104097562686,0,0,0,1444.87463453959,101.543163777384,0,0,3.44607441193898,3361.1861484342,25.0713000612509,0,1.2751634368022,0,0.0740906145063314,5709.45301722815,0,26.0008100045662,0,5735.5,100
