"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t_profit","SORG_add_t_profit","BEAN_add_t_profit","CHIC_add_t_profit","LENT_add_t_profit","WHEA_add_t_profit","BARL_add_t_profit","ACOF_add_t_profit","RCOF_add_t_profit","PMIL_add_t_profit","SMIL_add_t_profit","POTA_add_t_profit","SWPO_add_t_profit","CASS_add_t_profit","COWP_add_t_profit","PIGE_add_t_profit","SOYB_add_t_profit","GROU_add_t_profit","SUGC_add_t_profit","COTT_add_t_profit","COCO_add_t_profit","TEAS_add_t_profit","TOBA_add_t_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"3","Tanzania","Arusha","Karatu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1645261803392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,14.1645261803392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1645261803392,0,14.2,100
"20","Tanzania","Geita","Bukombe",0,0,2493.2801321834,836.53372289886,0,0,0,0,0,0,0,0,1591.36691908389,0,38.1826108847025,0,0,1289.98395892331,0,0,0,0,2.46756703181017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707.12230314432,596.142145725027,0,0,0,0,0,0.925326245841966,0,0,2329.08921274647,0,24.1277593494653,0,0,1564.69797916472,0,0,0,0,0.585860275856067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13474.5,0,0,5200.40243532771,1432.67586862389,0,0,0,0,0,0.925326245841966,0,0,3920.45613183036,0,62.3103702341678,0,0,2854.68193808803,0,0,0,0,3.05342730766623,6251.81491100597,0,7222.69058665169,0,13474.5,100
"21","Tanzania","Geita","Chato",0,0,87.5565988043668,0,0,0,0,0,0,0.295597587890274,0,0,72.4098736618876,0,0,0,0,0.683935439482315,0,0,0,0,0.0270767428309417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.458226853351,6.48619323718185,0,0,0,0,0,2.11267480870276,0,0,96.099364101753,0,0,0,0,51.2419292513974,0,0,0,0,0.271953543453265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.6,0,0,601.014825657718,6.48619323718185,0,0,0,0,0,2.40827239659304,0,0,168.509237763641,0,0,0,0,51.9258646908797,0,0,0,0,0.299030286284206,160.973082236458,0,669.67034179584,0,830.6,100
"22","Tanzania","Geita","Geita",0,0,855.107614003397,191.214628370618,0,0,0,0,0,0,0,0,512.030828478102,0,1.72440954253955,0,0,216.482923176165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518.8581632824,323.74518025054,0,0,0,0,0,0,0,0,413.316192688551,0,8.40334365397322,0,0,265.015096817111,0,0,0,0,0.0178399027177061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4305.9,0,0,2373.9657772858,514.959808621158,0,0,0,0,0,0,0,0,925.347021166654,0,10.1277531965128,0,0,481.498019993275,0,0,0,0,0.0178399027177061,1776.56040357082,0,2529.3558165953,0,4305.9,100
"23","Tanzania","Geita","Lake Victoria",0,0,0,5.14086934373842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10969918477417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,7.25056852851259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14086934373842,0,2.10969918477417,0,7.3,100
"24","Tanzania","Geita","Mbogwe",0,0,2053.7447284762,289.235504036481,0,0,0,0,0,0,0,0,0,0,8.09543294952374,0,0,588.862603741343,0,0,0,0,0.305054523071764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.471619643245,25.0424128731261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3112.8,0,0,2201.21634811945,314.277916909607,0,0,0,0,0,0,0,0,0,0,8.09543294952374,0,0,588.862603741343,0,0,0,0,0.305054523071764,2940.24332372662,0,172.514032516371,0,3112.8,100
"25","Tanzania","Geita","Nyang'hwale",0,0,0,5.95567116571874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5.95567116571874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95567116571874,0,0,0,6,100
"28","Tanzania","Iringa","Kilolo",0,0,187.156898953932,0,0,0,0,0,0,0,0,520.674310126292,9.20586356115848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3808552576279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.4,0,0,219.53775421156,0,0,0,0,0,0,0,0,520.674310126292,9.20586356115848,0,0,0,0,0,0,0,0,0,0,717.037072641382,0,32.3808552576279,0,749.4,100
"30","Tanzania","Iringa","Mufindi",0,0,0,0,0,0,0,0,0,0,0,198.283717790485,30.4795605784434,0,0,0,0,1474.0138254104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944.727464459207,0,0,0,0,0,0,0,0,565.872290252272,293.890828321142,0,11.0132090007851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3518.3,0,0,944.727464459207,0,0,0,0,0,0,0,0,764.156008042758,324.370388899585,0,11.0132090007851,0,0,1474.0138254104,0,0,0,0,0,1702.77710377933,0,1815.50379203341,0,3518.3,100
"31","Tanzania","Kagera","Biharamulo",0,0,1114.70100757613,74.9504488569441,0,0,0,0,0,4.53898292310638,0,0,2715.21651766255,0,5.05062934994525,0,0,573.465581010058,0,0,0,0,0.736767312717555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936501682323843,593.711138617398,0,0,0,0,0,0,0,0,25.3220583939205,854.297385011013,0,0,0,0,18.4644520232878,0,0,0,0,0.42053410485879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5981.8,0,0.936501682323843,1708.41214619353,74.9504488569441,0,0,0,0,0,4.53898292310638,0,25.3220583939205,3569.51390267357,0,5.05062934994525,0,0,591.930033033346,0,0,0,0,1.15730141757635,4488.65993469145,0,1493.1520698328,0,5981.8,100
