"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t_profit","SORG_add_t_profit","BEAN_add_t_profit","CHIC_add_t_profit","LENT_add_t_profit","WHEA_add_t_profit","BARL_add_t_profit","ACOF_add_t_profit","RCOF_add_t_profit","PMIL_add_t_profit","SMIL_add_t_profit","POTA_add_t_profit","SWPO_add_t_profit","CASS_add_t_profit","COWP_add_t_profit","PIGE_add_t_profit","SOYB_add_t_profit","GROU_add_t_profit","SUGC_add_t_profit","COTT_add_t_profit","COCO_add_t_profit","TEAS_add_t_profit","TOBA_add_t_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"2","Uganda","Apac","Kole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.564340378347,0,0,0,0,0,0,0,0,36.475095184132,221.95522299177,0,1.28018026623107,56.6495219379158,0,272.678601434955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318.6,0,0,729.564340378347,0,0,0,0,0,0,0,0,36.475095184132,221.95522299177,0,1.28018026623107,56.6495219379158,0,272.678601434955,0,0,0,0,0,0,0,1318.60296219335,0,1318.6,100
"3","Uganda","Apac","Kwania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41767053308,52.5553068979834,4638.15448068928,0,0,0,0,0,0,0,135.204555629178,87.3360009002669,1017.36840725721,0,15.4463076261062,484.539610145212,3456.11469456322,1593.43406729941,0,0,0,0,8.88058441735291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12506.5,1017.41767053308,52.5553068979834,4638.15448068928,0,0,0,0,0,0,0,135.204555629178,87.3360009002669,1017.36840725721,0,15.4463076261062,484.539610145212,3456.11469456322,1593.43406729941,0,0,0,0,8.88058441735291,0,0,12506.4516859583,0,12506.5,100
"4","Uganda","Apac","Maruzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746.81610057807,43.8854427848623,6631.64277655978,0,0,0,0,0,0,0,491.434958549107,163.590101244415,1868.68864612805,0,28.8924016722718,910.692820767973,8294.87970909927,2392.18488549721,0,0,0,0,21.2543546565998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22594,1746.81610057807,43.8854427848623,6631.64277655978,0,0,0,0,0,0,0,491.434958549107,163.590101244415,1868.68864612805,0,28.8924016722718,910.692820767973,8294.87970909927,2392.18488549721,0,0,0,0,21.2543546565998,0,0,22593.9621975376,0,22594,100
"5","Uganda","Apac","Oyam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3586.01324462236,0,0,0,0,0,0,0,0,111.920088081981,529.087590526085,0,4.27453810806276,448.396355754755,627.101272910368,1421.40335543445,0,0,0,0,1.37390687280421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6729.6,0,0,3586.01324462236,0,0,0,0,0,0,0,0,111.920088081981,529.087590526085,0,4.27453810806276,448.396355754755,627.101272910368,1421.40335543445,0,0,0,0,1.37390687280421,0,0,6729.57035231087,0,6729.6,100
"7","Uganda","Arua","Ayivu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.26920092603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.9499560677959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.2,0,0,68.26920092603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.9499560677959,0,0,0,0,0,0,0,165.219156993826,0,165.2,100
"8","Uganda","Arua","Koboko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90992206706147,0,0,0,0,0,0,0,8.1195674652638,137.6769501328,0,0,0,0,68.7767087249049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.5,0,0,0,3.90992206706147,0,0,0,0,0,0,0,8.1195674652638,137.6769501328,0,0,0,0,68.7767087249049,0,0,0,0,0,0,0,218.48314839003,0,218.5,100
"10","Uganda","Arua","Maracha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.913909396916,0,0,0,0,0,0,0,147.871810896631,0,140.386197466356,0,0,24.286301291011,0,331.689722382062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821.1,0,0,176.913909396916,0,0,0,0,0,0,0,147.871810896631,0,140.386197466356,0,0,24.286301291011,0,331.689722382062,0,0,0,0,0,0,0,821.147941432977,0,821.1,100
"13","Uganda","Bugiri","Bukooli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.66887403702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.66887403702,0,0,0,0,0,0,0,0,0,1047.66887403702,0,1047.7,100
"16","Uganda","Bushenyi","Buhweju",0,0,0,0.110679413901941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.110679413901941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110679413901941,0,0,0,0.1,100
"17","Uganda","Bushenyi","Bunyaruguru",0,0,0,0.104391749966884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.104391749966884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104391749966884,0,0,0,0.1,100
