"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t_profit","SORG_add_t_profit","BEAN_add_t_profit","CHIC_add_t_profit","LENT_add_t_profit","WHEA_add_t_profit","BARL_add_t_profit","ACOF_add_t_profit","RCOF_add_t_profit","PMIL_add_t_profit","SMIL_add_t_profit","POTA_add_t_profit","SWPO_add_t_profit","CASS_add_t_profit","COWP_add_t_profit","PIGE_add_t_profit","SOYB_add_t_profit","GROU_add_t_profit","SUGC_add_t_profit","COTT_add_t_profit","COCO_add_t_profit","TEAS_add_t_profit","TOBA_add_t_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Zambia","Central","Chibombo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8870294818599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8870294818599,0,0,0,0,0,0,0,37.8870294818599,0,37.9,100
"3","Zambia","Central","Chitambo",4266.69073387122,48.8917179396193,0.0635887123580261,0,0,0.123901219619647,0,0,0,75.7319963585162,30.7469761939373,0,337.429668898275,12.5035468977149,0,0,48.1200506553066,523.243495576263,0,0,0,0,47.7786661329459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2185.00194074524,25.2428668174612,0.0541874723138909,0,0,0.029272979613612,0,0,0,18.3196446639962,25.0263148004392,0,372.918322484729,0,0,0,56.3773426306798,283.785938848862,0,0,0,0,3.55788876036833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246194120439799,0,0,0,0,0,8361.6,6451.69267461646,74.1345847570805,0.117776184671917,0,0,0.153174199233259,0,0,0,94.0516410225124,55.7732909943765,0,710.347991383004,12.5035468977149,0,0,104.497393285986,807.031896366329,0,0,0,0,51.3365548933143,5391.32434245577,0,2970.31372020371,0.00246194120439799,8361.6,100
"5","Zambia","Central","Kabwe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8532458766129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8532458766129,0,0,0,0,0,0,0,40.8532458766129,0,40.9,100
"6","Zambia","Central","Kapiri Mposhi",1139.29212277195,4.63919242265526,0,0,0,15.1344722369466,0,0,0,1.73184002839308,1.93061514574517,4.74754856490549,109.469240048324,0,0,0,168.444200684927,396.093249955261,0,0.0415340451442006,0,0,4.27113593052184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4024.71557528678,9.94542762525845,0,0,0,47.7500741502445,0,0,0,7.03287333182426,6.62166454365521,9.80953944055661,682.927997019556,0,0,0,286.17465147122,1594.91943995052,0,3.57235334675309,0,0,6.4100136202232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8525.7,5164.00769805873,14.5846200479137,0,0,0,62.8845463871911,0,0,0,8.76471336021734,8.55227968940038,14.5570880054621,792.39723706788,0,0,0,454.618852156148,1991.01268990578,0,3.61388739189729,0,0,10.681149550745,1845.79515183478,0,6679.87960978659,0,8525.7,100
"7","Zambia","Central","Luano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1320162770187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1320162770187,0,0,0,0,0,0,0,14.1320162770187,0,14.1,100
"8","Zambia","Central","Mkushi",2378.47234648247,17.9695105984724,0.155899138157992,0,0,1259.30166295977,20.5396291774223,0,0,3.70566710490878,7.02710546795804,34.0235551900274,113.161107525681,2.49468979400378,0,0,1045.9486151918,443.929041184689,0,0.310830822863952,0,0,36.5690266559854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.982256352293,2.97924245545511,0,0,0,258.590314422628,4.0877964240114,0,0,0.697029192048924,1.89112520338605,8.85502125847865,27.6890594089754,0,0,0,216.679363552997,159.037607447431,0,0.0335225406775894,0,0,3.90097882318173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6405,2735.45460283476,20.9487530539275,0.155899138157992,0,0,1517.89197738239,24.6274256014337,0,0,4.40269629695771,8.9182306713441,42.8785764485061,140.850166934656,2.49468979400378,0,0,1262.6279787448,602.96664863212,0,0.344353363541542,0,0,40.4700054791672,5363.60868729421,0,1041.42331708156,0,6405,100
"9","Zambia","Central","Mumbwa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3679954622127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5163047830802,0.0997922104107803,0,0,0,0,0,0,0,0,0,0,2.09102775884521,0,0,0,7.94612036802163,98.2076835503442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.2,86.5163047830802,0.0997922104107803,0,0,0,0,0,0,0,0,0,0,2.09102775884521,0,0,0,7.94612036802163,103.575679012557,0,0,0,0,0,5.3679954622127,0,194.860928670702,0,200.2,100
"10","Zambia","Central","Ngabwe",186.777042551449,0.945260916055911,0,0,0,1217.35950776759,0.217456992076528,0,0,0.0729390291226774,0.250741558202322,0.231947644530947,18.9986529938163,0,0,0,9.69882427520671,160.060276275424,0,0.45288814348396,0,0,2.01122291262899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.188020451614,0.936459940806112,0,0,0,379.574969082834,0,0,0,0.135093452660197,0.270113246494229,0.331477540951238,31.3118240034425,0,0,0,10.8147769587621,335.569588449631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38341987519663,0,0,0,0,0,2605.6,435.965063003063,1.88172085686202,0,0,0,1596.93447685042,0.217456992076528,0,0,0.208032481782874,0.520854804696551,0.563425185482185,50.3104769972587,0,0,0,20.5136012339688,496.013284600252,0,0.45288814348396,0,0,2.01122291262899,1597.07676105959,0,1008.1323231272,0.38341987519663,2605.2,100
"11","Zambia","Central","Serenje",3150.23853370424,44.4921106555413,0.0810923269987369,0,0,0.114672424555021,0,0,0,40.3101687050298,32.8211977997756,0.061749353417826,374.763181594458,0,0,0,54.4180679910967,647.44607286441,0,0,0,0,24.0787148924683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.934428202386,13.42321413034,0,0,0,0,0,0,0,1.98975067238853,15.8651964529915,0.123985417461422,262.979137309252,0,0,0,39.5108547422604,242.339265485395,0,0,0,0,10.6132084083612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5746.6,3941.17296190663,57.9153247858813,0.0810923269987369,0,0,0.114672424555021,0,0,0,42.2999193774183,48.6863942527671,0.185734770879248,637.742318903711,0,0,0,93.9289227333571,889.785338349805,0,0,0,0,34.6919233008296,4368.825562312,0,1377.77904082084,0,5746.6,100
"12","Zambia","Copperbelt","Chililabombwe",2346.00058102128,3.69798532362285,0.200819827233342,0,0,0.5255321145731,0,0,0,18.6763297141574,2.01189182270405,29.2513822266073,1533.46819016358,11.6578339668871,0.0912078940492655,0,8.80799133766774,766.289967978034,44.535696150343,0,0,0,1.64216215661754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.099810447009,0.428880735462258,0,0,0,0,0,0,0,1.17847550854869,0.157710201801422,3.91288443775397,225.42227081577,0,0,0,0.871612744084452,59.277901517743,0,0,0,0,0.117823270975071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5281.3,2569.10039146829,4.1268660590851,0.200819827233342,0,0,0.5255321145731,0,0,0,19.8548052227061,2.16960202450547,33.1642666643612,1758.89046097935,11.6578339668871,0.0912078940492655,0,9.67960408175219,825.567869495777,44.535696150343,0,0,0,1.75998542759261,4766.85757169736,0,514.467369679148,0,5281.3,100
