"","COUNTRY","NAME_1","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Ethiopia","Addis Abeba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395112584821174,2.83120553502747e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395112584821174,2.83120553502747e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000423424640171448,0,NA
"2","Ethiopia","Afar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"3","Ethiopia","Amhara",212.196493232505,51.306369952546,21.0046605110654,0,0,67.2116567158712,25.7037301787254,0,0,0,0,34.0948279998111,0.0522793519431193,0,0,0,0,0,0,0,0,0,0,0,0,1.03252716875261,2.56767329953387,0.00852897973952521,0,0,0,0,0,0,0,0,0,0,0,0,0.289818599127434,0,0,0,0,0,681.65819894615,133.665135657073,158.406471417658,57.5231609270408,0.0475467106176646,138.999340160737,58.3510010044142,0.000885508024065267,0,0,179.338659413997,70.5849779017501,0.450828124298856,0,0,0,19.0739168272328,89.0424943084254,0,0.000234947306504622,0,0,0.000499680686365784,15.9514698490713,3.01934995886417,57.4166652790385,59.7940154666502,0.710801183965852,3.25651073056772,1.66905700220215,0,0,0,4.02899887762691,1.92994574651254,0.0159291005310406,0,0,0,0.668662274477406,47.1039186871918,0,0,0,0,0,2198.1,909.806162027727,187.990855568484,237.860324376515,119.884849693225,0.766876874323041,209.467507607175,85.7237881853418,0.000885508024065267,0,0,183.367658291624,106.609751648074,0.519036576773016,0,0,0,19.7425791017102,136.436231594745,0,0.000234947306504622,0,0,0.000499680686365784,411.570017942468,3.89854804715344,1587.14335153541,195.5653241567,1998.7,90.9
"4","Ethiopia","Benshangul-Gumaz",108.045221087321,120.800548811968,125.833302892415,10.9937174069929,1.65668815229067,48.0068690082377,3.29185307284589,0.299914801653955,0,0,83.5259030865732,36.9606581166063,13.2756650704441,0,0,0,4.55072197532085,132.082268110442,0,0.000912020284022579,0,0,0.00131203232320369,10.9559766589772,11.4026860823569,30.1226813318735,0.434147609128259,0.997511976806062,3.69463060096427,0.357897628660381,0.000716085652529105,0,0,33.540755545877,3.11760038103101,0.188738434604965,0,0,0,1.8782708057799,81.1030136996547,0,0.000140250125379077,0,0,0.000141201895024344,1.37356553039506,1.34626037368072,3.65652887765194,0.0100766762121089,0.0480073183099088,0.146095007240824,0.0232873743955333,0,0,0,2.7752961906987,0.12529984677276,0.0190343055349124,0,0,0,0.152898097471548,7.92190813952055,0,0,0,0,0,18.0733511600971,19.0990675455157,23.4561540262015,1.54912414405613,0.177302191593745,0.776088415805655,0.164875274296286,0.00257761726216166,0,0,6.15756562122987,0.476225196423508,3.95890946017908,0,0,0,0.771869571568447,41.682838898256,0,1.93710936716787e-05,0,0,1.57117944691863e-05,1001.1,138.44811443679,152.648562813522,183.068667128142,12.9870658363894,2.87950963900039,52.6236830322485,3.83791335019809,0.303208504568645,0,0,125.999520444379,40.6797835408336,17.4423472707631,0,0,0,7.35376045014075,262.790028847873,0,0.00107164150307333,0,0,0.00146894601269722,689.325555645719,177.794908293387,17.5982577378846,116.345984205373,706.9,70.6
"5","Ethiopia","Dire Dawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"6","Ethiopia","Gambela Peoples",4.95133452186458,9.3055485121045,1.19806250054413,0.213135297501868,0.518768751361453,0.221654457173472,0.468471852151807,0.00311274010014562,0,0,0.539214633649121,0.289974689667672,3.54389126453584,0,0,0,0.114719834936298,0.618378728199171,0,0,0,0,6.49868553374689e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154777375363957,0.178462699026866,0.357897045368929,0,0.0188896009747151,0.0315318863267353,0.099426203951051,0,0,0,0.00854619273735419,0.00567024890821555,0.00610079000662278,0,0,0,0.00408000028046107,0,0,0,0,0,0,0.0524506945746186,0.0712233014570587,0.209666761527436,0,0,0.00522911323103376,0.0221760732614459,0,0,0,0.00075338562429475,0,0.00321006275323649,0,0,0,0.000543654289109109,0.0449217121781442,0,0,0,0,0,23.3,5.15856259180316,9.55523451258842,1.7656263074405,0.213135297501868,0.537658352336168,0.258415456731241,0.590074129364304,0.00311274010014562,0,0,0.54851421201077,0.295644938575888,3.5532021172957,0,0,0,0.119343489505868,0.663300440377315,0,0,0,0,6.49868553374689e-06,21.9862742824756,0,0.865382042944908,0.410174758896378,22.8,97.9
"7","Ethiopia","Harari People",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"8","Ethiopia","Oromia",137650.095834549,62049.1482139434,9555.28377457336,3463.66440046169,5986.41337545762,14650.7111872461,6390.18639844852,3705.23025646819,0,0,6624.18209568797,2241.2631506908,4728.05721419384,0,0,0,717.894164128616,909.394134637662,155.187646207704,1.15555385131019,0,6.70685251836722,5.21308683773737,33.4566364589796,13.9785161469105,26.1566312373238,4.08014993717885,16.2777075883674,5.5954754928716,2.05793784305488,0.0142934841970792,0,0,2.63701234541354,0.579621298687009,1.44660389940302,0,0,0,0.359844344073367,8.50253092930502,0,2.52305107537468e-05,0,0,0.000402995882165469,27817.2197027368,10262.4703451133,1948.63165375784,1500.75598546876,510.092592468387,5686.05783531158,2376.37797627952,237.370389118049,0,0,1170.26053687275,724.995549197374,547.80873165636,0,0,0,118.194894126669,443.996895549221,10.9120629090026,0.126479337415672,0,0.16209154885353,0.581485943032268,218.008571654674,82.4107854384454,160.535267514361,234.401117314107,29.9306620578318,33.3513264758145,16.5777728463228,1.36386369542438,0,0,29.2901662370852,4.09951523032141,18.0286809480072,0,0,0,1.49343360974675,119.152114248062,0.000133819033221105,0.000808390237826966,0,0,0.00242136200985531,313259.5,165718.780745399,72408.0078606421,11690.6073270829,5202.90165318173,6542.7143375722,20375.7158245263,8785.20008541741,3943.97880276586,0,0,7826.36981114322,2970.93783641718,5295.34123069761,0,0,0,837.942336209105,1481.04567536425,166.09984293574,1.28286680947444,0,6.86894406722075,5.79739713866166,258839.787339902,115.143389232159,53356.0152073949,948.646640841485,312195.7,99.7
"9","Ethiopia","Somali",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"10","Ethiopia","Southern Nations, Nationalities",1126.30792404752,1682.16100317614,1420.57097555822,9.04466904464434,9.7241087425015,301.473890915583,177.280101877576,31.8959746837689,0,0,12.2233036107127,106.37290157498,10.8725472049249,0,0,0,0.870062741434173,1.78133495245757,0.0317093179362939,0,0,0,0.0149110424268362,0,0,0.0365169993436498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746.062777387846,449.676685028976,2315.44188350368,36.048594913522,16.4356431442007,569.014380897109,454.485184463332,1.0487926198875,0,0,10.8255830621893,443.989215328949,54.43696231201,0,0,0,1.08756180955399,9.65550948554697,0,0.244644176731137,0,0,0.00510620860066442,11.9568858291877,3.51546217075277,294.396896401637,13.0686201486805,2.87009985414378,2.65984215457843,3.1959341251094,0,0,0,0.0651808496427565,2.26905961127347,2.91004934042397,0,0,0,0.0302167829924438,1.84920965142726,0,0,0,0,0,10337.9,1884.32758726456,2135.35315037586,4030.44627246288,58.1618841068469,29.029851740846,873.148113967271,634.961220466018,32.9447673036564,0,0,23.1140675225448,552.631176515202,68.2195588573589,0,0,0,1.98784133398061,13.2860540894318,0.0317093179362939,0.244644176731137,0,0,0.0200172510275006,4890.62541849082,0.0365169993436498,5108.45852434214,338.78745691985,9998.9,96.7
