"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"56","Ethiopia","Southern Nations, Nationalities","Basketo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22307736952342,2.40872325328606,13.4232183935338,0.448399948484703,0.0210348858443052,0.947964738018655,1.4171204166864,0,0,0,0.0227114078546173,0.11358976462037,0.166692047173642,0,0,0,0,0.0265055142621569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,4.22307736952342,2.40872325328606,13.4232183935338,0.448399948484703,0.0210348858443052,0.947964738018655,1.4171204166864,0,0,0,0.0227114078546173,0.11358976462037,0.166692047173642,0,0,0,0,0.0265055142621569,0,0,0,0,0,0,0,23.2190377392881,0,23.2,100
"66","Ethiopia","Southern Nations, Nationalities","Keffa",999.002294647627,451.937037078199,1352.50180735597,7.82183039676417,4.92875073640155,282.970120506768,162.11207703924,2.02561170652333,0,0,10.7076550957101,66.2922551755587,7.07879341586916,0,0,0,0.784094950185248,1.48495690552982,0,0,0,0,0.00410608008836219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.001698774599,112.787908114334,604.88803829392,10.310835825812,1.64373415361488,66.1951554344149,48.8723056811268,0.0991180432958105,0,0,9.08065616556627,16.3575218544624,15.705750919303,0,0,0,0.403132310218588,5.93771718662845,0,0,0,0,0.000337422285516505,0,0,1.03045698424789,0.0424888007236857,0.0114057994821233,0,0,0,0,0,0,0,0,0,0,0,0,0.11709160077838,0,0,0,0,0,4507.1,1263.00399342223,564.724945192533,1958.42030263414,18.1751550232999,6.58389068949856,349.165275941183,210.984382720367,2.12472974981914,0,0,19.7883112612764,82.649777030021,22.7845443351721,0,0,0,1.18722726040384,7.53976569293665,0,0,0,0,0.0044435023738787,3349.65139109043,0,1156.28391017958,1.20144318523207,4505.9,100
"70","Ethiopia","Southern Nations, Nationalities","Sheka",127.305629399896,1230.22396609794,68.0691682022493,1.22283864788017,4.79535800609995,18.5037704088153,15.1680248383358,29.8703629772456,0,0,1.51564851500261,40.0806463994213,3.79375378905574,0,0,0,0.0859677912489254,0.296378046927744,0.0317093179362939,0,0,0,0.010804962338474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281125123787663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153525217759815,0,0,0,0,0,1541,127.305629399896,1230.22396609794,68.097280714628,1.22283864788017,4.79535800609995,18.5037704088153,15.1680248383358,29.8703629772456,0,0,1.51564851500261,40.0806463994213,3.79375378905574,0,0,0,0.0859677912489254,0.297913299105342,0.0317093179362939,0,0,0,0.010804962338474,1540.97402740039,0,0,0.0296477645563645,1541,100
"33","Ethiopia","Oromia","Ilubabor",43253.1216659871,24870.6869169621,4215.28383746431,961.704740810739,5669.96426863725,1776.24346783659,1348.88286771931,1167.57065461817,0,0,1353.52333343457,173.183805021079,805.488909957875,0,0,0,489.363348171961,335.211453824677,47.6517593794309,0.0137813511209808,0,6.49887162053175,1.51374450280105,3.91388061219426,1.54179495967362,4.15465993961076,2.99148081597467,16.1850406701379,0.159794389801213,0.213578189367976,0,0,0,0.36882880119696,0.0180982232576579,0.808475882139438,0,0,0,0.274028699741359,3.1440001519069,0,0,0,0,0,667.526650275744,237.73110352557,114.684348485804,49.0831783412409,248.327766418607,18.19150766749,24.0573639506952,14.7711527096313,0,0,62.0250993785082,1.33071575917856,126.933463563662,0,0,0,49.0396040461595,131.015590932678,3.06941152391916,0,0,0.0871270464486138,0.0216290937016772,4.83406586547944,3.34868876681118,9.12070023282087,0.932827877292977,5.62561637160922,0.0943206618050127,0.0958858541112807,0,0,0,0.81824479467244,0.00902226225577447,1.07077912675774,0,0,0,0.329572562959564,18.0403038979022,0,0,0,0,0,88301.9,43929.3962627405,25113.3085042142,4343.24354612255,1014.71222784525,5940.1026920976,1794.68909055568,1373.24969571348,1182.3418073278,0,0,1416.73550640895,174.54164126577,934.301628530435,0,0,0,539.006553480821,487.411348807164,50.72117090335,0.0137813511209808,0,6.58599866698036,1.53537359650273,86475.9074272996,33.7736613350027,1747.89571271904,44.3200282744777,88223.8,99.9
"39","Ethiopia","Oromia","Mirab Welega",17412.0944182448,10399.8793359095,2814.04859366952,1756.18037468637,121.856447975595,1109.54776601951,395.956156453862,614.788247910894,0,0,2745.05185434315,336.4154126933,3389.53557070865,0,0,0,70.6747796054936,116.977216885394,22.6904467556961,0.911940110727252,0,0.0464785066143851,1.46301768242758,0.288179164419617,0.180714937426169,16.7499193997658,0.0597760879418865,0,0.0275877201515309,0.00940675859559648,0,0,0,0.132395717265342,0.00622004501094064,0.201927072185236,0,0,0,0.00251809034734138,1.4282794436081,0,0,0,0,0,368.64396732146,231.807165227075,181.52208855528,59.1072402193322,3.1864007357758,29.1608966921123,10.4038236207066,2.16011141360531,0,0,88.5740453829859,7.92625040859065,94.0737674125084,0,0,0,1.95523019377678,8.83179539857055,0,0.00966841689949638,0,0,0.0057178583858024,13.2810847947427,9.52898554553688,10.4755205005818,0.404951671333635,0.0103344078696077,0.515681567653625,0.172276450050574,0.0613647520649714,0,0,4.14394681200158,0.14303183250628,4.91281783520921,0,0,0,0.214570340128157,2.11398884698625,0,0.000313848482055495,0,0,0.000407390301192738,42460.6,17794.3076495254,10641.3962016195,3022.79612212515,1815.75234266498,125.05318311924,1139.25193199943,406.541663283215,617.009724076564,0,0,2837.9022422554,344.490914979408,3488.72408302855,0,0,0,72.8470982297459,129.351280574559,22.6904467556961,0.921922376108803,0,0.0464785066143851,1.46914293111457,41308.1180581615,19.0869244367176,1087.36816885707,45.9792765954485,42395.5,99.8
"42","Ethiopia","Oromia","Misraq Wellega",32806.5462140708,12169.8593687376,1004.545627664,441.919453964489,40.1298580782264,5225.84420794061,1761.74811792633,274.541157942988,0,0,1812.64961951699,685.496519732289,369.251008607603,0,0,0,132.955350760736,144.869309485419,8.68018910378218,0.113463909357365,0,0.0567260221614645,1.07494254844759,2.5434112423772,0.957368654639828,0.977268124994195,0.445822262015992,0.0483438681777193,0.353095363114236,0.219034431019712,0,0,0,0.484473435792242,0.0450467496171316,0.199769190500756,0,0,0,0.0364882709849053,3.41385793303237,0,0,0,0,0,6945.51431271802,2797.74678025637,221.171393965098,277.411052282276,27.7697142006611,1073.84520438988,380.945989908212,58.2981115537942,0,0,643.516540947441,149.350032494291,116.689607835479,0,0,0,46.6159406408078,129.600589363352,3.65096196758456,0.0452539704213588,0,0.00699245366656317,0.277842859412626,37.7207046341127,12.4078523822138,3.65358367700684,16.6587844890492,1.84143741137721,5.31841870014451,2.5856311044821,0.117236403814921,0,0,5.45289485330923,0.678296791477806,2.97617185976016,0,0,0,0.566774214262972,11.172031801236,0.000133819033221105,0.000471769781007207,0,0,0.000633574705329395,69863.6,39792.3246426653,14980.9713700309,1230.3478734311,736.435112997831,69.7893535584425,6305.36092639375,2145.49877337004,332.956505900598,0,0,2462.10352875353,835.569895767675,489.116557493342,0,0,0,180.174553886792,289.05578858304,12.3312848904,0.159189649559731,0,0.0637184758280277,1.35341898256554,56880.2811360118,9.72397952626628,12872.4563218068,101.151057485767,69752.7,99.8
"32","Ethiopia","Oromia","Horo Guduru",1049.4163534487,455.76448584646,31.5407166945159,4.71780617109894,0.345705053366513,260.104763050779,63.4542741138058,0.881276829066633,0,0,58.761146165516,27.6597881914413,2.36545056761965,0,0,0,0.60129205788462,0.0534960060248935,0,0.000297944309891125,0,0,0.0132497292183687,26.7111654399886,11.2986375951709,1.37619530137929,0.583070771246301,0.0443230500518284,5.05499801980462,1.61591846407159,0.0142934841970792,0,0,1.65131439115899,0.510256280801279,0.236431754577585,0,0,0,0.0468092829997618,0.515799034613828,0,2.52305107537468e-05,0,0,0.000402995882165469,9523.94120661178,3745.24491191669,331.15644192324,12.7607906402475,1.14474892839903,2840.11305641053,873.667102109859,13.1210037495051,0,0,66.89085283181,265.30034342187,8.7141635369258,0,0,0,1.74635685197201,2.57022939271914,0.0075088394159236,0.00237109750447085,0,0,0.115598735507944,5.09066042404995,1.68685865579863,2.86440202369665,0.502610889515069,0.0481003831531852,0.705000606835924,0.332232897353264,0,0,0,0.80405450123389,0.0608005536223132,0.656498442341047,0,0,0,0.0697896740475684,2.75865047935394,0,0,0,0,0,19707.4,10605.1593859245,4213.99489401412,366.937755942831,18.5642784721078,1.58287741497055,3105.97781808795,939.06952758509,14.0165740627688,0,0,128.107367889719,293.531188447735,11.9725443014641,0,0,0,2.46424786690396,5.8981749127118,0.0075088394159236,0.00269427232511572,0,0,0.129251460608479,1955.68010186981,49.6596410964546,17686.496686998,15.5796595310014,19642.2,99.7
"34","Ethiopia","Oromia","Jimma",41986.5486043557,13171.3424983851,1263.82082097048,207.174500981034,149.448811305544,6190.34077362957,2767.43320657637,1633.51958442164,0,0,498.504166554944,993.390541205432,109.461920701975,0,0,0,22.6127348265807,310.832106658536,76.159587264551,0.0774332447242185,0,0.10477636905962,1.08249281015115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8309.99192153292,2484.19878648698,302.976389448844,167.71834838284,133.312105040049,1085.25904513456,467.766717382596,124.602376007539,0,0,152.54567949975,174.975968812971,54.2397075584008,0,0,0,15.4593911424452,154.532642577876,3.82701886083823,0.0147190803706953,0,0.0679720487383529,0.0957200439583394,121.735696733845,37.2364090631678,7.71861967554226,22.461478242601,4.33295697681897,13.5677730190596,5.30943421026989,1.18526253954449,0,0,10.5584814382562,2.37987230759494,0.638742063339431,0,0,0,0.153768818235132,80.7035854974963,0,2.27719747642637e-05,0,0,0.00138039700333318,83321.4,50418.2762226225,15692.7776939353,1574.51583009487,397.354327606475,287.093873322412,7289.16759178319,3240.50935816923,1759.30722296872,0,0,661.60832749295,1170.746382326,164.340370323715,0,0,0,38.225894787261,546.068334733908,79.9866061253893,0.092175097069678,0,0.172748417797973,1.17959325111282,69381.8545602615,0,13631.5845090417,307.983483754749,83013.4,99.6
"24","Ethiopia","Gambela Peoples","Majang",3.76020673410956,8.86053604721809,0.422859333360154,0,0,0.142461088481082,0.33709669401918,0.00311274010014562,0,0,0.272523707871118,0.289974689667672,0.804430324691754,0,0,0,0.00298464948699542,0.314816615877951,0,0,0,0,6.49868553374689e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107403139774813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376248547153366,0,0,0,0,0,15.3,3.76020673410956,8.86053604721809,0.433599647337635,0,0,0.142461088481082,0.33709669401918,0.00311274010014562,0,0,0.272523707871118,0.289974689667672,0.804430324691754,0,0,0,0.00298464948699542,0.352441470593287,0,0,0,0,6.49868553374689e-06,15.2110091235692,0,0,0.0483651686928179,15.2,99.3
"31","Ethiopia","Oromia","Guji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.837661183596,1.2085039851069,593.390678951701,0.370343272176108,0,206.505840775907,274.307369126618,12.0475574090414,0,0,0.0213526997565459,29.1195469990627,11.8215249391883,0,0,0,0,0.697207399015936,0.357161717244752,0,0,0,0.0210561875354075,3.79962161891658,0.00814936501212761,27.1147121537087,0.818415977891257,0.00116334332447426,0.634527394959899,1.5797930869387,0,0,0,0.0309060645152999,0.0897460699514814,0.60197917251488,0,0,0,0,0.0325961221080139,0,0,0,0,0,1624.4,463.637282802513,1.21665335011903,620.50539110541,1.18875925006736,0.00116334332447426,207.140368170867,275.887162213557,12.0475574090414,0,0,0.0522587642718458,29.2092930690141,12.4235041117032,0,0,0,0,0.72980352112395,0.357161717244752,0,0,0,0.0210561875354075,0,0,1589.70580464595,34.7116103698414,1589.7,97.9
