"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"10","Kenya","Bomet","Chepalungu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.163745454182,2.3375659171686,174.803372939074,0,0,0.28015119120796,0.00262310961923637,0.00687464307371886,0,3.04165932943838,0,126.789758651936,49.6441375238649,0,0,0,0.860571731358922,0.429856852387215,0,0,0,0,0.148574806459403,0,0,0.161607711079953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000448587910957504,0,0,0,0,0,863.7,505.163745454182,2.3375659171686,174.964980650154,0,0,0.28015119120796,0.00262310961923637,0.00687464307371886,0,3.04165932943838,0,126.789758651936,49.6441375238649,0,0,0,0.860571731358922,0.430305440298173,0,0,0,0,0.148574806459403,0,0,863.50889214977,0.162056298990911,863.5,100
"13","Kenya","Bungoma","Bumula",85.9351154611322,3.88253963613829,139.813763174094,0,0,0,0,0,0,0.752403619045396,0,0,41.4479455442295,0,0.492791153230954,0,0.117494938976298,4.87104086968833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.573120769115,22.7943619990453,774.664777698637,0,0,0,0,0,0,3.62172022917111,0,0,247.002183713827,0,3.38373548267633,0,0.958885870874722,36.2253813425543,0,0,0,0,0.133502912687367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828.7,548.508236230247,26.6769016351836,914.478540872731,0,0,0,0,0,0,4.37412384821651,0,0,288.450129258056,0,3.87652663590728,0,1.07638080985102,41.0964222122427,0,0,0,0,0.133502912687367,277.313094396535,0,1551.35767001859,0,1828.7,100
"14","Kenya","Bungoma","Kabuchai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832.177761530198,46.2914889724152,1153.74883556707,0,0.153704635470393,0,0,0,0,7.40273462554558,0,277.000863836141,469.296194269924,0,8.49261413042981,0,3.19446251642637,25.6504916992638,0,0,0,0,0.909700566519067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2824.3,832.177761530198,46.2914889724152,1153.74883556707,0,0.153704635470393,0,0,0,0,7.40273462554558,0,277.000863836141,469.296194269924,0,8.49261413042981,0,3.19446251642637,25.6504916992638,0,0,0,0,0.909700566519067,0,0,2824.3188523494,0,2824.3,100
"15","Kenya","Bungoma","Kanduyi",149.040518939864,6.88647997050481,207.264676283066,0,0,0,0,0,0,1.54494178687438,0,0,73.5584966213119,0,0.996401004874784,0,0.269903012711623,8.57197400182486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939.186898066915,45.0179713874755,1063.60692537266,0,0,0,0,0,0,9.96390074038082,0,79.2500094893587,499.729381465324,0,7.72572334738662,0,2.51760059691205,42.180268130931,0,0,0,0,1.45113855236427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138.8,1088.22741700678,51.9044513579803,1270.87160165573,0,0,0,0,0,0,11.5088425272552,0,79.2500094893587,573.287878086636,0,8.7221243522614,0,2.78750360962367,50.7522421327559,0,0,0,0,1.45113855236427,448.133391621033,0,2690.62981714971,0,3138.8,100
"19","Kenya","Bungoma","Mt. Elgon",23.5548868342405,1.58898406945309,106.777698586737,0,0,0,0,0,0,0,0,18.6591108269151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.950272539705,25.4594642542262,796.641381048668,2.47849430991164,0.140564530495585,0.533164660090719,0,0.0161796206623444,0,0.834994343957085,1.18275080430763,880.159910763106,101.576045110268,0,2.30863557906325,0,1.04189756162013,9.45110934117654,0,0.0168383259350314,0,0,0.622306914138168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2421,471.505159373946,27.0484483236793,903.419079635405,2.47849430991164,0.140564530495585,0.533164660090719,0,0.0161796206623444,0,0.834994343957085,1.18275080430763,898.819021590021,101.576045110268,0,2.30863557906325,0,1.04189756162013,9.45110934117654,0,0.0168383259350314,0,0,0.622306914138168,150.580680317345,0,2270.41400970733,0,2421,100
"20","Kenya","Bungoma","Sirisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.698206283494,21.5032981800446,821.841866524814,0,0.10519281641059,0,0,0,0,2.66817058356101,0.394090943145272,134.68800624639,172.011244897949,0,3.48564058677493,0,1.3205505526485,27.7909349070221,0,0,0,0,0.322147546527507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599.8,413.698206283494,21.5032981800446,821.841866524814,0,0.10519281641059,0,0,0,0,2.66817058356101,0.394090943145272,134.68800624639,172.011244897949,0,3.48564058677493,0,1.3205505526485,27.7909349070221,0,0,0,0,0.322147546527507,0,0,1599.82935006878,0,1599.8,100
"22","Kenya","Bungoma","Webute West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890.13476253777,93.590642382256,1763.79918302733,0,0,0,0,0,0,20.8611626555814,0,136.325344432208,1068.61776677823,0,17.0197865383064,0,5.53004946211171,75.7161825768965,0,0,0,0,2.20241081261016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5073.8,1890.13476253777,93.590642382256,1763.79918302733,0,0,0,0,0,0,20.8611626555814,0,136.325344432208,1068.61776677823,0,17.0197865383064,0,5.53004946211171,75.7161825768965,0,0,0,0,2.20241081261016,0,0,5073.79729120331,0,5073.8,100
"23","Kenya","Bungoma","Webuye East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.751876821683,43.1667863419916,1240.56493390986,0,0.106966405483763,0,0,0,0,9.79770519209973,0,186.895444265231,491.495335631198,0,8.34988096353298,0,3.44508459180406,32.934166938993,0,0,0,0,0.85458918924865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2808.4,790.751876821683,43.1667863419916,1240.56493390986,0,0.106966405483763,0,0,0,0,9.79770519209973,0,186.895444265231,491.495335631198,0,8.34988096353298,0,3.44508459180406,32.934166938993,0,0,0,0,0.85458918924865,0,0,2808.36277025113,0,2808.4,100
"25","Kenya","Busia","Butula",494.775612515576,30.64014967607,371.780165867043,0,0,0,0,0,0,5.70982759406843,0,0.285251290543044,222.531143025786,0.205736435572803,3.45306217670441,0,0,14.4433796232279,4.97472340075615,0.00814891527673156,0,0,0.0107827699981826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.294216219354,31.5694739405367,268.235446541485,0,0,0,0,0,0,5.42847932876734,0,0.406837835755098,153.045175119543,0.213318507528612,2.51318397679415,0,0,9.31175977827024,5.04214629283206,0.00842712828848274,0,0,0.000864570715311368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2094.9,965.06982873493,62.2096236166067,640.015612408528,0,0,0,0,0,0,11.1383069228358,0,0.692089126298143,375.576318145329,0.419054943101415,5.96624615349856,0,0,23.7551394014981,10.0168696935882,0.0165760435652143,0,0,0.011647340713494,1148.81798329062,0,946.06932923987,0,2094.9,100
"27","Kenya","Busia","Matayos",629.13556492062,33.8085979798004,698.56783881002,0,0,0,0,0,0,7.3366406645149,0,0,411.509193023121,0.0632374969240193,6.78090399335838,0,0,31.7655877847671,1.72489915404387,0,0,0,0.0873219149473243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640.95882530682,90.1939366248416,1196.17402788207,0,0,0,0,0,1.72911083509501,17.9864481433729,10.8013156950474,0,1075.29127488216,0.236650335523354,15.0981654940333,0,5.28945202361263,58.4550967467295,2.8026725109512,0.699845979150531,0,0.00238586217686938,0.826500710957959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5937.3,2270.09439022744,124.002534604642,1894.74186669209,0,0,0,0,0,1.72911083509501,25.3230888078878,10.8013156950474,0,1486.80046790528,0.299887832447373,21.8790694873917,0,5.28945202361263,90.2206845314967,4.52757166499507,0.699845979150531,0,0.00238586217686938,0.913822625905283,1820.77978574212,0,4116.54570903255,0,5937.3,100
