"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"60","Malawi","Karonga","SC Mwakaboko",14.8481422301682,0.310625790388551,76.677888597239,1.16807435818291,0,0,0,0,0,0,0,16.9137947989159,0,0,0,1.41642803170498,0,9.4078168560718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.803013490241,0.146491807348398,118.782538557159,0.940894746275898,0,0,0,0,0,0,0,5.1510589045678,0.397478931843406,0,0,5.95183835138772,0.0306919784635442,17.1432078821938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.1,42.6511557204092,0.457117597736949,195.460427154398,2.1089691044588,0,0,0,0,0,0,0,22.0648537034837,0.397478931843406,0,0,7.3682663830927,0.0306919784635442,26.5510247382656,0,0,0,0,0,120.742770662671,0,176.347214649481,0,297.1,100
"130","Malawi","Mchinji","TA Mlonyeni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.760744364597,5.60785562484625,10.5485006590732,5.38444032477531,1.34649570137695,0.310581545816362,0,0,0,0,1.7377088897149,119.78652932783,0.157882111859922,0,10.4988921850875,11.9391002517812,3.52419964868034,158.127862191906,0,0.688186885236973,0,0,1.62399631436455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,202.760744364597,5.60785562484625,10.5485006590732,5.38444032477531,1.34649570137695,0.310581545816362,0,0,0,0,1.7377088897149,119.78652932783,0.157882111859922,0,10.4988921850875,11.9391002517812,3.52419964868034,158.127862191906,0,0.688186885236973,0,0,1.62399631436455,0,0,534.042976026946,0,534,100
"135","Malawi","Mulanje","SC Laston Njema",5.73926088588735,0.695082126759246,6.16903341489615,0,0,0.240482694727021,0,0.000130859433542354,0,0.0441653811931206,0,0.125160982089653,6.47638921734028,0,0.152818556280847,0,0,0.837284320993007,0,0.000590543043875735,0,0,0.00192649887189061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,5.73926088588735,0.695082126759246,6.16903341489615,0,0,0.240482694727021,0,0.000130859433542354,0,0.0441653811931206,0,0.125160982089653,6.47638921734028,0,0.152818556280847,0,0,0.837284320993007,0,0.000590543043875735,0,0,0.00192649887189061,20.482325481516,0,0,0,20.5,100
"158","Malawi","Neno","TA Dambe",0.294970408891938,0.0376205491793857,0.0605167882718494,0,0,0.160978782485263,0,0,0,0,0,0.738793458621473,0.361129230910848,0,0.00408466171973151,0,0,0.179647832646168,0,0,0,0,0,0,0,0.007739946630763,0,0,0.00246923806060897,0,0,0,0,0,0,0,0,0,0,0,0.00124571109851798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.294970408891938,0.0376205491793857,0.0682567349026124,0,0,0.163448020545872,0,0,0,0,0,0.738793458621473,0.361129230910848,0,0.00408466171973151,0,0,0.180893543744686,0,0,0,0,0,1.83774171272666,0.01145489578989,0,0,1.8,100
"163","Malawi","Nkhata Bay","SC Fukamalaza",2165.3650382022,0,0.308992701693699,0,0,0,0,0,0,0,0,0,0,50.9565569833667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701.72627896546,0,0.788814255446385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4919.1,4867.09131716766,0,1.09780695714008,0,0,0,0,0,0,0,0,0,0,50.9565569833667,0,0,0,0,0,0,0,0,0,2216.63058788726,0,2702.51509322091,0,4919.1,100
"164","Malawi","Nkhata Bay","SC Malanda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.836786690255,0,0.318933616413367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.2,546.836786690255,0,0.318933616413367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.155720306669,0,547.2,100
"165","Malawi","Nkhata Bay","SC Nyaluwanga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60167070132127,0.00804679304733591,0.823292447138684,0.0938733509676601,0.00183788735036804,0.000345702564067336,0,0,0,0,0.00166715073871404,0.12244964914328,0,0,0.00136722670089623,0.295080606979488,0.0030285863745172,0.699262341274263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,4.60167070132127,0.00804679304733591,0.823292447138684,0.0938733509676601,0.00183788735036804,0.000345702564067336,0,0,0,0,0.00166715073871404,0.12244964914328,0,0,0.00136722670089623,0.295080606979488,0.0030285863745172,0.699262341274263,0,0,0,0,0,0,0,6.65192244360054,0,6.7,100
"166","Malawi","Nkhata Bay","SC Zilakoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.466406601938,0,4.45041758698127,0.0434753860656412,0,0,0,0,0,0,0,0,0,0,0,0.0675247752756514,0,0.470782582791252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5,195.466406601938,0,4.45041758698127,0.0434753860656412,0,0,0,0,0,0,0,0,0,0,0,0.0675247752756514,0,0.470782582791252,0,0,0,0,0,0,0,200.498606933052,0,200.5,100
"167","Malawi","Nkhata Bay","TA Fukamapiri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.838310696018,0,0.312726101668723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.2,232.838310696018,0,0.312726101668723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.151036797687,0,233.2,100
"169","Malawi","Nkhata Bay","TA Malenga Mzoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.823502789905,0,0.104728851424481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.9,142.823502789905,0,0.104728851424481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.928231641329,0,142.9,100
