"","COUNTRY","NAME_1","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Nigeria","Abia",59290.4115387525,6.8874957954451,0,0,0,0,0,0,3.35150953612394,0,0,199.469530966039,39873.5387349322,26445.793781594,1647.9414440487,0,0,57.1549115862338,0,0,21.0012057434389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4959.48294335706,5.03735061917462,0,0,0,0,0,0,0.195302247237242,0,0,233.120244721498,5152.68969992903,924.535478702464,108.816916816254,0,0,133.397200880034,0,0,2.05645280405927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139064.8,64249.8944821096,11.9248464146197,0,0,0,0,0,0,3.54681178336118,0,0,432.589775687537,45026.2284348613,27370.3292602964,1756.75836086495,0,0,190.552112466268,0,0,23.0576585474982,0,0,127545.550152955,0,11519.3315900768,0,139064.8,100
"2","Nigeria","Adamawa",27.468158742201,29.2484658844769,0,0,0,0,0,0,0,0.787527922320521,0,1.20096846519674,0.165298850917312,0.00794160880159162,24.4724608042175,0,0,74.4384405160181,0,0.615643980283629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.07812227078,46.3883983672532,12.2403525063417,0,0,0,0,0.0399245709196009,0.601071516014104,7.5081567142266,0,1.99271028394151,2.33653819650277,0.0925464250063081,27.6796685065072,0,0.000266375651129525,293.1458017964,3.25841881116187,2.00721903332581,0,0,0.069913888527783,17.0177262698645,16.5565157025354,0.408460735099999,0,0,0,0,0,0,0.495771199779195,0,3.26136921732945,0.128781846790314,0,13.8137321033921,0,0,288.115521007649,0,0.0319860216706058,0,0,0,1004.6,153.564007282845,92.1933799542655,12.6488132414417,0,0,0,0,0.0399245709196009,0.601071516014104,8.79145583632632,0,6.45504796646769,2.6306188942104,0.1004880338079,65.9658614141168,0,0.000266375651129525,655.699763320067,3.25841881116187,2.65484903528005,0,0,0.069913888527783,158.404906774433,0,506.439109262559,339.829864104111,664.9,66.2
"3","Nigeria","Akwa Ibom",74624.0037521024,0,0,0,0,0,0,0,5.40525684356505,0,0,0,15418.660241138,151206.316220412,127.353966093023,0,0,0,0,0,11.5923892675098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.527780916261,0,0,0,0,0,0,0,0.00824723209759679,0,0,0,72.701144224583,58.5892815209655,7.6662456435231,0,0,0,0,0,0.000832231433551392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241874,74965.5315330187,0,0,0,0,0,0,0,5.41350407566265,0,0,0,15491.3613853626,151264.905501933,135.020211736547,0,0,0,0,0,11.5932214989433,0,0,241393.331825857,0,480.493531768864,0,241874,100
"4","Nigeria","Anambra",8615.33330145502,367.175292327395,0,0,0,0,0,0,0.251064868276264,0,0,2099.43025971701,8883.83852730783,9025.05287067164,7.06848439920951,0,0,18.5842705923434,1.73506892516457,0,0.0141832081025002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7829.48342574045,416.422476047765,0,0,0,0,0,0,0.159329963349116,0.960986259042311,0,1226.41079056334,8727.35930748283,5795.06440442449,6.38382221799309,0,0,9.74753680178561,0,0.00319299580038549,0.00012347052323964,0,0,11.5236171817716,1.18892609672801,0,0,0,0,0,0,0,0.0173472253303251,0,3.2148697581578,10.5538260155409,0,0.0621879479600542,0,0,0.623905620372042,0,0,0,0,0,53057.8,16456.3403443773,784.786694471888,0,0,0,0,0,0,0.41039483162538,0.978333484372636,0,3329.05592003851,17621.7516608062,14820.1172750961,13.5144945651626,0,0,28.9557130145011,1.73506892516457,0.00319299580038549,0.0143066786257398,0,0,29018.483323472,0,24011.9953959674,27.1846798458608,53030.7,99.9
"5","Nigeria","Bauchi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380585677152584,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380585677152584,0,0,0,0,0,0,0,0,0.380585677152584,0,0
"6","Nigeria","Bayelsa",11591.9152391184,48.2615143668586,0,0,0,0,0,0,0.0487230294678912,0,0,204.683829263702,2548.84745033029,336.259672893932,283.584826362379,0,0,47.0755554900063,496.79854684159,0,0.0183987631101775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0006902175735,1.04052754278821,0,0,0,0,0,0,0,0,0,1.45021810706489,0,0,0,0,0,0.58508088257145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15624.6,11655.915929336,49.3020419096468,0,0,0,0,0,0,0.0487230294678912,0,0,206.134047370767,2548.84745033029,336.259672893932,283.584826362379,0,0,47.6606363725778,496.79854684159,0,0.0183987631101775,0,0,15557.4937564597,0,67.076516749998,0,15624.6,100
"7","Nigeria","Benue",247.435912026157,94.8538039279265,0,0,0,0,0,0,0.0341391042493931,56.6023684464726,0,239.227734677737,488.082613990735,206.926894192811,69.1864366012474,0,160.727527627759,600.985392602612,0,0,2.51896804867329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234.78316746172,758.925827706886,0,0,0,0,0,0,0.0876329967730519,272.699488587891,0,488.135290652869,2432.02871137542,349.83924168278,426.911059340862,0,2342.51383236394,9169.25366118338,0,0,0.2529874364891,0,0,6.58195554143937,5.82936619412417,0,0,0,0,0,0,0,1.78068626490011,0,3.16848526778911,12.113932720769,0,2.71494255683637,0,8.515949738863,544.291450942757,0,0,0,0,0,20226.8,1488.80103502931,859.608997828936,0,0,0,0,0,0,0.121772101022445,331.082543299264,0,730.531510598396,2932.22525808692,556.766135875591,498.812438498946,0,2511.75730973056,10314.5305047287,0,0,2.77195548516239,0,0,2166.58179124638,0,17475.430900789,584.996769227478,19641.9,97.1
"8","Nigeria","Borno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2209246862587,0,0,0,0,0,36.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2209246862587,0,0,0,0,0,0,0,0,36.2209246862587,0,0
"9","Nigeria","Cross River",77866.2764880021,108.282847191228,54.8322203036222,0,0,3.0204268205255,0,0.9082024716213,32.1074139065239,193.686802717807,0,179.864636763489,66262.8197794983,57225.1109906187,121.025175450169,0,130.280293269881,2104.9324225625,131.91521832432,17.8848935667831,3296.31375422595,8.05588409471608,0.780491363276392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423.39196915456,37.1009004893869,0,0,0,0,0,0,0.0909246575993494,9.68983364006634,0,94.7713042222706,3627.1459562466,822.813400283578,26.0953309407733,0,68.1829719268682,586.625528769664,0,0,15.2521815106697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8782874726626,0,0,0,0,0,217469.1,82289.6684571567,145.383747680615,54.8322203036222,0,0,3.0204268205255,0,0.9082024716213,32.1983385641233,203.376636357873,0,274.63594098576,69889.9657357449,58047.9243909023,147.120506390943,0,198.463265196749,2711.43623880483,131.91521832432,17.8848935667831,3311.56593573662,8.05588409471608,0.780491363276392,207738.097941152,0,9711.16030184203,19.8782874726626,217449.3,100
"10","Nigeria","Delta",71249.0308910331,27.2683154026054,0,0,0,0,0,0,1.89301738204135,0,0,6216.77084851253,19334.7809298374,28020.7211436719,10.2889085763594,0,0,376.583664953266,4.85616955719661,0.0291684850719962,0.574917519878326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4778.79048229172,7.91940630779933,0,0,0,0,0,0,0.052688234226378,0,0,671.493129363745,1365.01242541915,166.254922563828,4.44593453807434,0,0,43.5023728671114,0,0,0.144307790273333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132280.3,76027.8213733248,35.1877217104047,0,0,0,0,0,0,1.94570561626773,0,0,6888.26397787628,20699.7933552565,28186.9760662357,14.7348431144337,0,0,420.086037820377,4.85616955719661,0.0291684850719962,0.719225310151659,0,0,125242.797974931,0,7037.61566937593,0,132280.3,100
