"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Nigeria","Abia","Aba North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.787007533014,0,0,0,0,0,0,0,0.00473428778905208,0,0,0,178.042545270948,0,5.56218478929821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.4,216.787007533014,0,0,0,0,0,0,0,0.00473428778905208,0,0,0,178.042545270948,0,5.56218478929821,0,0,0,0,0,0,0,0,0,0,400.396471881049,0,400.4,100
"2","Nigeria","Abia","Aba South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.787007533014,0,0,0,0,0,0,0,0.00473428778905208,0,0,0,178.042545270948,0,5.56218478929821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.4,216.787007533014,0,0,0,0,0,0,0,0.00473428778905208,0,0,0,178.042545270948,0,5.56218478929821,0,0,0,0,0,0,0,0,0,0,400.396471881049,0,400.4,100
"3","Nigeria","Abia","Arochukwu",7130.33998119456,0,0,0,0,0,0,0,0.336697702783683,0,0,0,4634.44722113867,3026.58083611641,167.313473087509,0,0,0,0,0,20.9135166851643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14979.9,7130.33998119456,0,0,0,0,0,0,0,0.336697702783683,0,0,0,4634.44722113867,3026.58083611641,167.313473087509,0,0,0,0,0,20.9135166851643,0,0,14979.9317259251,0,0,0,14979.9,100
"4","Nigeria","Abia","Bende",13070.6957524171,0,0,0,0,0,0,0,0.836735645687161,0,0,0,8220.4468624907,5857.3801633668,377.9799152983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27527.3,13070.6957524171,0,0,0,0,0,0,0,0.836735645687161,0,0,0,8220.4468624907,5857.3801633668,377.9799152983,0,0,0,0,0,0,0,0,27527.3394292186,0,0,0,27527.3,100
"5","Nigeria","Abia","Ikwuano",4699.1538304561,0,0,0,0,0,0,0,0.311101054712873,0,0,0,2759.35021964449,3481.08954470308,116.601236860908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11056.5,4699.1538304561,0,0,0,0,0,0,0,0.311101054712873,0,0,0,2759.35021964449,3481.08954470308,116.601236860908,0,0,0,0,0,0,0,0,11056.5059327193,0,0,0,11056.5,100
"6","Nigeria","Abia","Isiala Ngwa North",2388.06748565493,0,0,0,0,0,0,0,0.109521284841318,0,0,28.6096104052443,1903.11312586133,753.768442431983,49.0433042283342,0,0,5.15502600652711,0,0,0.0100182275914244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5127.9,2388.06748565493,0,0,0,0,0,0,0,0.109521284841318,0,0,28.6096104052443,1903.11312586133,753.768442431983,49.0433042283342,0,0,5.15502600652711,0,0,0.0100182275914244,0,0,5127.87653410079,0,0,0,5127.9,100
"7","Nigeria","Abia","Isiala Ngwa South",709.464796806791,0,0,0,0,0,0,0,0.0294315968369185,0,0,0,568.840203686723,25.4984561299261,21.5768050680604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325.4,709.464796806791,0,0,0,0,0,0,0,0.0294315968369185,0,0,0,568.840203686723,25.4984561299261,21.5768050680604,0,0,0,0,0,0,0,0,1325.40969328834,0,0,0,1325.4,100
"8","Nigeria","Abia","Isuikwuato",8942.41767856674,1.05275845171907,0,0,0,0,0,0,0.502113137970168,0,0,103.990180072981,5311.72142475939,4993.431452858,215.606258087503,0,0,45.8921977688909,0,0,0.0438244167961297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19614.7,8942.41767856674,1.05275845171907,0,0,0,0,0,0,0.502113137970168,0,0,103.990180072981,5311.72142475939,4993.431452858,215.606258087503,0,0,45.8921977688909,0,0,0.0438244167961297,0,0,19614.65788812,0,0,0,19614.7,100
"9","Nigeria","Abia","Obi Ngwa",2461.15245019621,0,0,0,0,0,0,0,0.113541297018315,0,0,0,1689.14541407772,288.501769970273,64.1053075963144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704.394516666383,0,0,0,0,0,0,0,0.0262747306566645,0,0,0,254.157485492795,8.88437805078439,7.10902919555735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5477.6,3165.5469668626,0,0,0,0,0,0,0,0.139816027674979,0,0,0,1943.30289957052,297.386148021057,71.2143367918718,0,0,0,0,0,0,0,0,4503.01848313754,0,974.571684136177,0,5477.6,100
"10","Nigeria","Abia","Ohafia",8167.26800939241,0,0,0,0,0,0,0,0.543159009631851,0,0,0,5504.02077020663,3658.14905996192,290.874637845204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491.32401479654,1.64090817397195,0,0,0,0,0,0,0.0589880722813446,0,0,41.8268280667799,978.777644758036,560.095916134591,41.9011788190334,0,0,65.3314075093522,0,0,2.05617591750467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20803.9,9658.59202418895,1.64090817397195,0,0,0,0,0,0,0.602147081913196,0,0,41.8268280667799,6482.79841496466,4218.24497609651,332.775816664238,0,0,65.3314075093522,0,0,2.05617591750467,0,0,17620.8556364158,0,3183.01306224809,0,20803.9,100
