"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Rwanda","Amajyaruguru","Burera",1983.79726799447,152.076309348156,5841.59850664732,0,0,5.9193881749478,0,0,0,0,1.51665133749959,122.556762677629,548.259590656071,0,1.13954548245256,0,33.8201821748649,33.2545083620259,0,0,0,0,0.000921760917775631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.319691208493,48.1575221309523,2196.53562893136,0,0,18.1102059436624,0,0,0,0,0.128544767065643,177.960369378692,40.0668250292256,0,0,0,2.96267299579351,10.8027204496948,0,0,0,0,4.63840136611065e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11421,2186.11695920297,200.233831479108,8038.13413557869,0,0,24.0295941186101,0,0,0,0,1.64519610456523,300.517132056321,588.326415685297,0,1.13954548245256,0,36.7828551706584,44.0572288117208,0,0,0,0,0.000968144931436737,8723.93963461636,0,2697.04422721896,0,11421,100
"2","Rwanda","Amajyaruguru","Gakenke",5339.96810548699,936.041673000268,14705.3226264445,0,0,389.72759601978,0,0.315659706697301,0,0,2.73970782545805,3796.05007150133,960.748047043764,0.201397728463775,0,0,83.3321758488561,76.9626315123615,0.0031953335086099,0,0,0.180324167245381,3.04772683605038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26294.6,5339.96810548699,936.041673000268,14705.3226264445,0,0,389.72759601978,0,0.315659706697301,0,0,2.73970782545805,3796.05007150133,960.748047043764,0.201397728463775,0,0,83.3321758488561,76.9626315123615,0.0031953335086099,0,0,0.180324167245381,3.04772683605038,26294.6409384553,0,0,0,26294.6,100
"3","Rwanda","Amajyaruguru","Gicumbi",4420.38325233044,1552.26219116589,18951.9323517922,0,0,615.232229432227,0,14.1670553901935,0,0,1.85998858480466,6445.92638176426,750.239033571373,0.95105464027418,0.530273571069255,0,61.278858844867,63.2106961414404,0.0136780697435041,0,0,0.452032877605931,1.86558536080726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32880.3,4420.38325233044,1552.26219116589,18951.9323517922,0,0,615.232229432227,0,14.1670553901935,0,0,1.85998858480466,6445.92638176426,750.239033571373,0.95105464027418,0.530273571069255,0,61.278858844867,63.2106961414404,0.0136780697435041,0,0,0.452032877605931,1.86558536080726,32880.3046635371,0,0,0,32880.3,100
"5","Rwanda","Amajyaruguru","Rulindo",1924.74515604154,1108.52571511969,11714.5283394709,0,0,431.230590196866,0,0.274396292300062,0,0,0.850333714578158,6686.84152355675,317.495216018165,0.0809542601713806,0,0,25.0528252533863,33.3503358609648,0.0015520435764551,0,0,0.0659652217961844,1.05318347572093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22244.1,1924.74515604154,1108.52571511969,11714.5283394709,0,0,431.230590196866,0,0.274396292300062,0,0,0.850333714578158,6686.84152355675,317.495216018165,0.0809542601713806,0,0,25.0528252533863,33.3503358609648,0.0015520435764551,0,0,0.0659652217961844,1.05318347572093,22244.0960865264,0,0,0,22244.1,100
"6","Rwanda","Amajyepfo","Gisagara",374.823614277744,896.957141183,5383.21615094081,0,0,179.383449705428,0,1.18055844680771,0,0,0,4102.69021404103,2114.36923858952,0.418136151551174,0,13.3617776579285,184.945463477632,121.341766771608,0,0.119825163950837,0,0,1.33102049823477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13374.1,374.823614277744,896.957141183,5383.21615094081,0,0,179.383449705428,0,1.18055844680771,0,0,0,4102.69021404103,2114.36923858952,0.418136151551174,0,13.3617776579285,184.945463477632,121.341766771608,0,0.119825163950837,0,0,1.33102049823477,13374.1383569052,0,0,0,13374.1,100
"7","Rwanda","Amajyepfo","Huye",1808.40927487955,5095.76984606279,22963.1144841309,0,0,1274.5506466113,0,3.6457562279474,0,0,0,29971.8057400022,32.9864613850946,0,0,0,6.59400194517411,0,0,0,0,0,26.8667835781207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61183.7,1808.40927487955,5095.76984606279,22963.1144841309,0,0,1274.5506466113,0,3.6457562279474,0,0,0,29971.8057400022,32.9864613850946,0,0,0,6.59400194517411,0,0,0,0,0,26.8667835781207,61183.7429948231,0,0,0,61183.7,100
"8","Rwanda","Amajyepfo","Kamonyi",1039.13389119693,3447.87086886988,16832.092222516,0,0,773.224372138482,0,1.88589374580687,0,0,0,20730.1783231675,83.6554311396321,0,0,0,40.9969925237978,0,0,0,0,0,16.5556365589162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.83675781015,180.30928123233,1987.83090148296,0,0,40.9460405971581,0,0.000341088558471134,0,0,0.0738098745735556,568.161696380594,34.0707105026418,0,0,0,2.46758915855384,3.72145079966722,0,0,0,0,0.00578382323517201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45951,1206.97064900708,3628.18015010221,18819.923123999,0,0,814.17041273564,0,1.88623483436534,0,0,0.0738098745735556,21298.3400195481,117.726141642274,0,0,0,43.4645816823516,3.72145079966722,0,0,0,0,16.5614203821514,42965.593631857,0,2985.42436275042,0,45951,100
"9","Rwanda","Amajyepfo","Muhanga",3550.7048994288,6502.87253927008,30685.1558703799,0,0,1692.18325955648,0,8.90915234306808,0,0,0.218520087887397,48263.4565373786,77.9349165660325,0,0,0,6.41376808241825,6.39787524646797,0,0,0,0.142723729024231,50.2662303772702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90844.7,3550.7048994288,6502.87253927008,30685.1558703799,0,0,1692.18325955648,0,8.90915234306808,0,0,0.218520087887397,48263.4565373786,77.9349165660325,0,0,0,6.41376808241825,6.39787524646797,0,0,0,0.142723729024231,50.2662303772702,90844.656292446,0,0,0,90844.7,100
"10","Rwanda","Amajyepfo","Nyamagabe",2364.40465143647,3719.18620507378,15324.9450194144,0,0,1415.45258930767,0,4.86116004526477,0,0,0,33158.6032431591,0,0,0,0,0,0,0,0,0,0.0160395193715299,13.3519377342807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000.8,2364.40465143647,3719.18620507378,15324.9450194144,0,0,1415.45258930767,0,4.86116004526477,0,0,0,33158.6032431591,0,0,0,0,0,0,0,0,0,0.0160395193715299,13.3519377342807,56000.8208456903,0,0,0,56000.8,100
"11","Rwanda","Amajyepfo","Nyanza",1874.77518239888,5573.46453803721,26837.875594357,0,0,1322.91436373576,0,10.2423144289341,0,0,0,34981.6604903055,1540.88366640167,64.0743846115436,0,17.3063714627722,219.197349063075,24.2670148866769,0,0.140274539268773,0,0,44.9148699930087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72511.7,1874.77518239888,5573.46453803721,26837.875594357,0,0,1322.91436373576,0,10.2423144289341,0,0,0,34981.6604903055,1540.88366640167,64.0743846115436,0,17.3063714627722,219.197349063075,24.2670148866769,0,0.140274539268773,0,0,44.9148699930087,72511.7164142213,0,0,0,72511.7,100
"12","Rwanda","Amajyepfo","Nyaruguru",1606.31648789719,4207.8240017738,18506.6098901774,0,0,1336.82414360008,0,27.8147082935521,0,0,0,27319.4888811647,518.205184936523,0,0,0,30.9139779403995,0,0,0,0,5.84568507020606,10.464782419406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53570.3,1606.31648789719,4207.8240017738,18506.6098901774,0,0,1336.82414360008,0,27.8147082935521,0,0,0,27319.4888811647,518.205184936523,0,0,0,30.9139779403995,0,0,0,0,5.84568507020606,10.464782419406,53570.3077432733,0,0,0,53570.3,100
"13","Rwanda","Amajyepfo","Ruhango",2980.95760772778,7381.56947180572,39772.3496522009,0,0,1719.91801759618,0,8.1273750362616,0,0,0,51569.582383157,0,0,0,0,0,0,0,0,0,0.212583772040642,53.7658469904504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.854570086309,6.08596119886613,0,0,21.641640255024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103649.1,2980.95760772778,7381.56947180572,39772.3496522009,0,0,1719.91801759618,0,8.1273750362616,0,0,0,51569.582383157,134.854570086309,6.08596119886613,0,0,21.641640255024,0,0,0,0,0.212583772040642,53.7658469904504,103486.482938286,0,162.582171540199,0,103649.1,100
"14","Rwanda","Iburasirazuba","Bugesera",8.59248890000572,27.8753783085401,319.787201277051,0,0,0,0,0.0197612292687488,0,0,0.00293471991729921,0,304.33642270555,5.68071981369314,0,9.38020674479538,25.9280811052735,41.0279477516662,0,0.00225013816992892,0,0,0.00055430411985509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28620733995123,3.91844008523283,290.178332946028,0,0,0,0,0.00340288820142626,0,0,0,0,1916.1400593133,41.5369236181976,0,8.44886863085327,143.126726991023,58.1205400777681,0.00126718329047413,0.000694462116120106,0,0,0.000155785777006465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3205.4,9.87869623995695,31.7938183937729,609.965534223079,0,0,0,0,0.023164117470175,0,0,0.00293471991729921,0,2220.47648201885,47.2176434318907,0,17.8290753756486,169.054808096297,99.1484878294343,0.00126718329047413,0.00294460028604902,0,0,0.000710089896861554,742.63394699805,0,2462.76161932174,0,3205.4,100
"15","Rwanda","Iburasirazuba","Gatsibo",2308.59468715829,202.689814816735,5577.71898949799,0,0,59.1780954138405,0,22.6787759223104,0,0,1.74709419705183,920.808257718588,284.260808664601,0.345552676407408,0,0,41.2446650651791,23.9370369972448,0.00496988875050897,0,0,0.126654314223948,1.9101751296535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1624836045372,7.18547202621876,380.467033633819,0,0,1.04682011434826,0,0,0,0,1.73699458346937,33.3623534248655,74.6140385667231,0,0,0,11.3070309082711,0.11220613479515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9969.2,2322.75717076283,209.875286842954,5958.18602313181,0,0,60.2249155281888,0,22.6787759223104,0,0,3.48408878052119,954.170611143453,358.874847231324,0.345552676407408,0,0,52.5516959734502,24.0492431320399,0.00496988875050897,0,0,0.126654314223948,1.9101751296535,9445.24557746087,0,523.994432997047,0,9969.2,100
"17","Rwanda","Iburasirazuba","Kirehe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8424625336188,9.40482313165748,160.792201538067,0,0,2.76922533660839,0,0.400748450068988,0,0,20.5282019435656,22.4767863100466,1841.22116506576,0,0,0,689.117191398037,511.062004083496,0,0,0,0,0.0503629778348686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3271.7,13.8424625336188,9.40482313165748,160.792201538067,0,0,2.76922533660839,0,0.400748450068988,0,0,20.5282019435656,22.4767863100466,1841.22116506576,0,0,0,689.117191398037,511.062004083496,0,0,0,0,0.0503629778348686,0,0,3271.66517276876,0,3271.7,100
