"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Sierra Leone","Eastern","Kailahun",486.864921498555,411.882009974471,0,0,0,0,0,0,238.958850335845,3.38457847552435,0,0,1863.59534270788,219.25963191642,0,0,11.1889884540006,2920.18045851608,0.156741834268327,0.0880131323896511,11.965038984713,0,0.0904262611127008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6167.6,486.864921498555,411.882009974471,0,0,0,0,0,0,238.958850335845,3.38457847552435,0,0,1863.59534270788,219.25963191642,0,0,11.1889884540006,2920.18045851608,0.156741834268327,0.0880131323896511,11.965038984713,0,0.0904262611127008,6167.61500209126,0,0,0,6167.6,100
"2","Sierra Leone","Eastern","Kenema",425.84878702067,447.969046518671,0,0,0,0,0,0,95.4071369579139,0,0,0,1549.72708261315,14.4287437514642,0,0,1.26377603344092,2654.28169471141,0.0259733857748878,0,0.440990295961374,0,0.0485022578055246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5189.4,425.84878702067,447.969046518671,0,0,0,0,0,0,95.4071369579139,0,0,0,1549.72708261315,14.4287437514642,0,0,1.26377603344092,2654.28169471141,0.0259733857748878,0,0.440990295961374,0,0.0485022578055246,5189.44173354626,0,0,0,5189.4,100
"3","Sierra Leone","Eastern","Kono",1037.08217316149,323.954948843578,0,0,0,0,0,0,116.048957335678,56.404537888209,0,0,3327.77485946869,1259.90738690658,0,0,0,3407.86811690533,4.43152802367215,1.9330220224423,8.63605569381093,0,0.0806130604836475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9544.1,1037.08217316149,323.954948843578,0,0,0,0,0,0,116.048957335678,56.404537888209,0,0,3327.77485946869,1259.90738690658,0,0,0,3407.86811690533,4.43152802367215,1.9330220224423,8.63605569381093,0,0.0806130604836475,9544.12219930996,0,0,0,9544.1,100
"4","Sierra Leone","Northern","Bombali",2240.53944635851,1104.94770800455,0,0,0,0,0,0,11.7531120335547,3045.90125761026,0,8.94779331342812,9601.72927378242,8380.92929556489,0,0,0,23296.5275720714,416.2267266101,2.6519657080302,3.73909363475375,0,0.272741373376852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48114.2,2240.53944635851,1104.94770800455,0,0,0,0,0,0,11.7531120335547,3045.90125761026,0,8.94779331342812,9601.72927378242,8380.92929556489,0,0,0,23296.5275720714,416.2267266101,2.6519657080302,3.73909363475375,0,0.272741373376852,48114.1659860653,0,0,0,48114.2,100
"5","Sierra Leone","Northern","Kambia",589.675082689342,456.486356008241,0,0,0,0,0,0,7.30927845049523,1475.84720966779,0,11.9325961562831,3326.94646337351,324.071454663225,0,0,0,6933.97608398348,12.9272740531534,1.77923421828891,0.109006131565946,0,0.137660077285969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13141.2,589.675082689342,456.486356008241,0,0,0,0,0,0,7.30927845049523,1475.84720966779,0,11.9325961562831,3326.94646337351,324.071454663225,0,0,0,6933.97608398348,12.9272740531534,1.77923421828891,0.109006131565946,0,0.137660077285969,13141.1976994727,0,0,0,13141.2,100
"6","Sierra Leone","Northern","Koinadugu",2292.96948042298,525.837982751358,0,0,0,0,0,0,72.0936588033739,1221.76911170929,0,64.6215072288573,7993.05540068821,3314.03080871019,0,0,0,16054.3760888947,89.1379694450913,4.73233535713273,11.8803676957061,0,0.259878052858751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31644.8,2292.96948042298,525.837982751358,0,0,0,0,0,0,72.0936588033739,1221.76911170929,0,64.6215072288573,7993.05540068821,3314.03080871019,0,0,0,16054.3760888947,89.1379694450913,4.73233535713273,11.8803676957061,0,0.259878052858751,31644.7645897597,0,0,0,31644.8,100
"7","Sierra Leone","Northern","Port Loko",588.41454131898,455.172567226347,0,0,0,0,0,0,1.26809069234605,1263.82358710058,0,0,3551.76241779039,227.547195429947,0,0,0,7266.15039074873,10.8818075276363,0,0.0195412625809404,0,0.0905095960784797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13365.1,588.41454131898,455.172567226347,0,0,0,0,0,0,1.26809069234605,1263.82358710058,0,0,3551.76241779039,227.547195429947,0,0,0,7266.15039074873,10.8818075276363,0,0.0195412625809404,0,0.0905095960784797,13365.1306486936,0,0,0,13365.1,100
"8","Sierra Leone","Northern","Tonkolili",987.140097919243,547.344006786272,0,0,0,0,0,0,16.121680290125,989.716516496107,0,0,2764.92732903616,687.243724954678,0,0,0,8590.90162320952,102.809043288159,0,0.511585853829175,0,0.110453750721673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14686.8,987.140097919243,547.344006786272,0,0,0,0,0,0,16.121680290125,989.716516496107,0,0,2764.92732903616,687.243724954678,0,0,0,8590.90162320952,102.809043288159,0,0.511585853829175,0,0.110453750721673,14686.8260615848,0,0,0,14686.8,100
"9","Sierra Leone","Southern","Bo",219.533284375242,131.81436232243,0,0,0,0,0,0,13.2436884547871,10.4869814512953,0,0,638.302848439519,127.04506796196,0,0,0,2336.15830498097,0.430441054855469,0,0.613331608494686,0,0.0269770189293083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3477.7,219.533284375242,131.81436232243,0,0,0,0,0,0,13.2436884547871,10.4869814512953,0,0,638.302848439519,127.04506796196,0,0,0,2336.15830498097,0.430441054855469,0,0.613331608494686,0,0.0269770189293083,3477.65528766849,0,0,0,3477.7,100
"10","Sierra Leone","Southern","Bonthe",239.825601189147,152.501955219561,0,0,0,0,0,0,10.9023327522163,8.75789048130955,0,0,2220.77012418924,1384.36119605004,0,0,0,1319.37780905211,194.98574540672,0,0.578648505857347,0,0.00406096968862415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6002425551262,2.56430805131257,0,0,0,0,0,0,0.0848225475473146,0,0,0,103.097556687229,14.6171564442334,0,0,0,22.9316515971299,0.307787654113278,0,0.00112228253786968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5682.3,246.425843744273,155.066263270874,0,0,0,0,0,0,10.9871552997636,8.75789048130955,0,0,2323.86768087647,1398.97835249427,0,0,0,1342.30946064924,195.293533060833,0,0.579770788395217,0,0.00406096968862415,5532.06536381589,0,150.204647819229,0,5682.3,100
"11","Sierra Leone","Southern","Moyamba",635.523054817302,265.359636751005,0,0,0,0,0,0,8.19161972447197,384.782716035441,0,0,1001.12816346524,121.148376134548,0,0,0,4627.63023567137,13.4540527029591,0,0.269233024808116,0,0.0367549392513832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7057.5,635.523054817302,265.359636751005,0,0,0,0,0,0,8.19161972447197,384.782716035441,0,0,1001.12816346524,121.148376134548,0,0,0,4627.63023567137,13.4540527029591,0,0.269233024808116,0,0.0367549392513832,7057.5238432664,0,0,0,7057.5,100
