"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"31","Tanzania","Kagera","Biharamulo",911.52294520151,43.3830087295168,1114.70100757613,74.9504488569441,0,0,0,0,0.177436301609692,5.0129654002001,13.5931288043549,0,2715.21651766255,99.2895683561937,5.05062934994525,0,0,573.717579819591,0,7.85773733764024,0,0,1.03602094796917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.499631135621,27.790067955109,975.80554800968,0,0,0,0,0.0616284113711477,3.89277287201417,2.10259956989393,3.07567060883201,32.9220255361943,1200.37437927815,12.1646816381385,0,0,0.00566098314692636,65.5226244819539,0,0.166743742106982,0,0.00195588743371916,1.36366031629596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8457.3,1478.02257633713,71.1730766846258,2090.50655558581,74.9504488569441,0,0,0,0.0616284113711477,4.07020917362387,7.11556497009403,16.668799413187,32.9220255361943,3915.59089694071,111.454249994332,5.05062934994525,0,0.00566098314692636,639.240204301545,0,8.02448107974722,0,0.00195588743371916,2.39968126426513,5565.50899434416,0,2891.74965042594,0,8457.3,100
"32","Tanzania","Kagera","Bukoba Rural",2823.3720406236,1391.23192311629,8877.52055970402,0,0,0,0,0,218.328382145088,1231.45176379768,0,0,4549.55268562541,171.027182007328,148.678297024741,0,0,1106.30907526339,0,0,0,1.93721124511537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.176327168618,156.194111644347,1233.40642682246,0,0,0,0,0,2.73911227434018,103.294951818513,0.00613257055276306,0.152370123615913,270.471735536088,0,9.44008380932133,0,0,144.059560658798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22590.3,2974.54836779222,1547.42603476064,10110.9269865265,0,0,0,0,0,221.067494419428,1334.74671561619,0.00613257055276306,0.152370123615913,4820.0244211615,171.027182007328,158.118380834062,0,0,1250.36863592219,0,0,0,1.93721124511537,0,20519.4091205527,0,2070.94081242665,0,22590.3,100
"33","Tanzania","Kagera","Bukoba Urban",1784.43802397101,530.120704077075,4753.89599272288,0,0,0,0,0,98.0653971709156,727.635526453561,0,0,2620.54710880191,151.181646206838,80.9705864993779,0,0,616.095738500107,0,0,0,1.52091932838604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11364.5,1784.43802397101,530.120704077075,4753.89599272288,0,0,0,0,0,98.0653971709156,727.635526453561,0,0,2620.54710880191,151.181646206838,80.9705864993779,0,0,616.095738500107,0,0,0,1.52091932838604,0,11364.4716437321,0,0,0,11364.5,100
"36","Tanzania","Kagera","Lake Victoria",372.644649150216,129.427036281644,908.801864010911,0,0,0,0,0,26.2396929566141,229.248597741101,0,0,850.90840249695,11.7530324219065,9.5309195987295,0,0,164.769988702369,0,0,0,0.0729606093771064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4770765554246,0.764793477959767,79.9006419530569,0,0,0,0,0,0,0,0,0,53.7101631070872,0,0,0,0,5.03146110958299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2871.3,401.12172570564,130.191829759604,988.702505963968,0,0,0,0,0,26.2396929566141,229.248597741101,0,0,904.618565604037,11.7530324219065,9.5309195987295,0,0,169.801449811952,0,0,0,0.0729606093771064,0,2703.39714396982,0,167.884136203111,0,2871.3,100
"38","Tanzania","Kagera","Muleba",5748.49132557048,798.78470007717,6763.84175179571,0,0,0,0,0,53.9266394893105,161.088769116925,0,0,4330.68032321699,97.1324801305271,27.0987362155496,0,0,157.943872623715,0,0,0,1.40381066531352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231.77499588676,125.088263109043,6347.92633932165,0,0,0,0,0,53.4878829465486,0.900234807778019,0.192513518771475,5.96254824220858,4221.41378399116,64.4153267668625,0.0847436950617553,0,0,331.720486214362,0,0.00531774711333116,0,0.2569726285053,0.00534706954643083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32523.6,8980.26632145724,923.872963186212,13111.7680911174,0,0,0,0,0,107.414522435859,161.989003924703,0.192513518771475,5.96254824220858,8552.09410720815,161.54780689739,27.1834799106114,0,0,489.664358838077,0,0.00531774711333116,0,1.66078329381881,0.00534706954643083,18140.3924089017,0,14383.2347559454,0,32523.6,100
"39","Tanzania","Kagera","Ngara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720.372105411838,271.641514764263,3772.32540559131,0,0,0,0,2.7194924547079,0.356520012658509,0.0148381497122772,141.058365149612,871.475435953073,519.075742925005,0.454390271308952,0,55.4026028026274,11.4912592834439,916.73089793651,0.000957496502377683,0.615762649242676,0,0.0275593349540726,0.123181937198318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7283.9,720.372105411838,271.641514764263,3772.32540559131,0,0,0,0,2.7194924547079,0.356520012658509,0.0148381497122772,141.058365149612,871.475435953073,519.075742925005,0.454390271308952,0,55.4026028026274,11.4912592834439,916.73089793651,0.000957496502377683,0.615762649242676,0,0.0275593349540726,0.123181937198318,0,0,7283.88603212397,0,7283.9,100
"40","Tanzania","Kaskazini Pemba","Micheweni",1.96059929810821,1.7536252266521,0.0557582890445376,0,0,0.0598958647209749,0,0,0,1.59210303935007,0.0592788268489075,0.136017725487672,8.11956694544915,0,0.889291336653002,0,0,0.22148404264358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.547632919528,22.6801933655981,0.410440158714038,0,0,0.0554927280607345,0,0,0,19.9608917150822,0.0777355341674522,0.0639221916187136,120.387137354752,0,13.177961776285,0,0,1.92080886150206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.1,13.5082322176362,24.4338185922502,0.466198447758575,0,0,0.115388592781709,0,0,0,21.5529947544323,0.13701436101636,0.199939917106385,128.506704300201,0,14.067253112938,0,0,2.14229290414564,0,0,0,0,0,14.8476205949582,0,190.282216605308,0,205.1,100
"41","Tanzania","Kaskazini Pemba","Wete",3.3046309218972,6.3597930594272,0.147362580111065,0,0,0.0176599118425413,0,0,0,6.11235685108693,0.0256553107726132,0.0204400140112641,34.2497384397761,0,3.55782225896657,0,0,0.584974866946382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15212722426207,15.5973416590231,0.342942302590478,0,0,0.0336106401340359,0,0,0,12.3416401016968,0.0502257950621208,0.041382673999409,83.5062277755699,0,9.16639319684589,0,0,4.97609232657101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.6,11.4567581461593,21.9571347184503,0.490304882701543,0,0,0.0512705519765773,0,0,0,18.4539969527838,0.075881105834734,0.061822688010673,117.755966215346,0,12.7242154558125,0,0,5.56106719351739,0,0,0,0,0,54.3804342148379,0,134.207983695755,0,188.6,100
"42","Tanzania","Kaskazini Unguja","Kaskazini 'A'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2686741991067,1.82098298222525,1.97567236513752,0,0,0.00164279847059844,0,0,0,0.118963880268708,0,0.0248143548693003,21.8247969380758,0,1.78470984008163,0,0,1.81560057642992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6,11.2686741991067,1.82098298222525,1.97567236513752,0,0,0.00164279847059844,0,0,0,0.118963880268708,0,0.0248143548693003,21.8247969380758,0,1.78470984008163,0,0,1.81560057642992,0,0,0,0,0,0,0,40.6358579346654,0,40.6,100
"43","Tanzania","Kaskazini Unguja","Kaskazini 'B'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7985611340646,6.03102984024672,4.63611431454349,0,0,0.00450546260767267,0,0,0,0.38408908146098,0,0.070664363747999,67.4934511614473,0,5.58990472508721,0,0,4.3848910758001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.4,24.7985611340646,6.03102984024672,4.63611431454349,0,0,0.00450546260767267,0,0,0,0.38408908146098,0,0.070664363747999,67.4934511614473,0,5.58990472508721,0,0,4.3848910758001,0,0,0,0,0,0,0,113.393211159006,0,113.4,100
