"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"2","Uganda","Apac","Kole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496.15694382322,146.987267755098,2809.51707386695,0,0,0,0,0,14.5287156152356,0,304.822220955664,36.475095184132,692.796094187622,0,10.0726142508526,881.12268241016,2136.93337327151,1006.16634133463,0,5.82272395349953,0,0,1.07000908272178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9542.5,1496.15694382322,146.987267755098,2809.51707386695,0,0,0,0,0,14.5287156152356,0,304.822220955664,36.475095184132,692.796094187622,0,10.0726142508526,881.12268241016,2136.93337327151,1006.16634133463,0,5.82272395349953,0,0,1.07000908272178,0,0,9542.4711556913,0,9542.5,100
"3","Uganda","Apac","Kwania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3499.03096762697,246.546494013071,5928.02455213576,0,0,0,0,0,157.260341287853,0,667.488125165041,89.2586449654447,1663.4626058681,275.930646155521,24.9853318985779,915.402462338186,6813.71930206743,2425.61824628287,176.863798772204,62.1224501429386,5.47970597238361,6.55887176338034,11.6613443424942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22969.4,3499.03096762697,246.546494013071,5928.02455213576,0,0,0,0,0,157.260341287853,0,667.488125165041,89.2586449654447,1663.4626058681,275.930646155521,24.9853318985779,915.402462338186,6813.71930206743,2425.61824628287,176.863798772204,62.1224501429386,5.47970597238361,6.55887176338034,11.6613443424942,0,0,22969.4138907982,0,22969.4,100
"4","Uganda","Apac","Maruzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5012.39409986403,300.054920138803,7713.85050768252,0,0,0,0,0,345.626557895748,0,941.5312479156,164.605371359827,2289.89701308005,556.502523058035,232.197993924169,1106.11320482494,10150.8517709977,2917.87246111003,376.567201314672,122.438134840944,13.8235469468884,14.3594423994148,24.6076736509009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32283.3,5012.39409986403,300.054920138803,7713.85050768252,0,0,0,0,0,345.626557895748,0,941.5312479156,164.605371359827,2289.89701308005,556.502523058035,232.197993924169,1106.11320482494,10150.8517709977,2917.87246111003,376.567201314672,122.438134840944,13.8235469468884,14.3594423994148,24.6076736509009,0,0,32283.2936710043,0,32283.3,100
"5","Uganda","Apac","Oyam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3647.69310062403,312.232037458618,6847.82016256544,0,0,0,0,0,103.182832270932,0,731.89240820819,112.285711853105,1760.060846336,25.4832988063169,251.60024668036,1171.51518942364,5334.36917703815,2795.28580948086,18.1890805200535,34.6092530692828,0.343037806567603,0.64029455260987,6.84162031651338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23154,3647.69310062403,312.232037458618,6847.82016256544,0,0,0,0,0,103.182832270932,0,731.89240820819,112.285711853105,1760.060846336,25.4832988063169,251.60024668036,1171.51518942364,5334.36917703815,2795.28580948086,18.1890805200535,34.6092530692828,0.343037806567603,0.64029455260987,6.84162031651338,0,0,23154.0441070107,0,23154,100
"6","Uganda","Arua","Arua Municipality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34033545416503,2.25684465261452,13.3585897598374,0,0,0,0,0.0699783483645859,0,0,8.79813671675095,0,12.7922965094934,0,0.8587331285011,4.31394492526323,0.766467064927468,17.2691981495791,0,0.041224070015502,0,0,0.0118208497691406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,4.34033545416503,2.25684465261452,13.3585897598374,0,0,0,0,0.0699783483645859,0,0,8.79813671675095,0,12.7922965094934,0,0.8587331285011,4.31394492526323,0.766467064927468,17.2691981495791,0,0.041224070015502,0,0,0.0118208497691406,0,0,64.8775696292815,0,64.9,100
"7","Uganda","Arua","Ayivu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3792836964313,27.2116251300433,151.432149793278,0,0,0,0,0.163840303821969,0,1.19249125907109,108.893823703281,0,157.357440904573,0,10.9297441302645,42.884690093413,9.00661234297276,205.118621223397,0,0.10312654105758,0,0,0.0288470010483023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776.7,62.3792836964313,27.2116251300433,151.432149793278,0,0,0,0,0.163840303821969,0,1.19249125907109,108.893823703281,0,157.357440904573,0,10.9297441302645,42.884690093413,9.00661234297276,205.118621223397,0,0.10312654105758,0,0,0.0288470010483023,0,0,776.702296122653,0,776.7,100
"8","Uganda","Arua","Koboko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.362816526826,92.1818399439887,80.0133255605933,3.90992206706147,0,0.0868262554934125,0,0,0,0.093391207499522,0.398228935094183,8.1195674652638,214.675767705934,0.156213517666755,9.28860537981389,3.0177373981284,0.00122849694623037,124.644843916595,0.207072667452471,2.01017546734487,0.00813061564717083,0.00388587711613209,0.487140698971363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.7,150.362816526826,92.1818399439887,80.0133255605933,3.90992206706147,0,0.0868262554934125,0,0,0,0.093391207499522,0.398228935094183,8.1195674652638,214.675767705934,0.156213517666755,9.28860537981389,3.0177373981284,0.00122849694623037,124.644843916595,0.207072667452471,2.01017546734487,0.00813061564717083,0.00388587711613209,0.487140698971363,0,0,689.666719703437,0,689.7,100
"10","Uganda","Arua","Maracha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.219566967936,65.9315860602236,360.670981002784,0,0,0,0,0.784574256544659,0,6.53604057330887,266.945472062222,0,417.161979146993,2.73113109419712,29.193812882769,89.0305430363925,22.9076217033223,510.846155601917,0.2040084031361,0.944142337587796,0.00964982651214608,0.00926017037971905,0.189481698192482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978.3,204.219566967936,65.9315860602236,360.670981002784,0,0,0,0,0.784574256544659,0,6.53604057330887,266.945472062222,0,417.161979146993,2.73113109419712,29.193812882769,89.0305430363925,22.9076217033223,510.846155601917,0.2040084031361,0.944142337587796,0.00964982651214608,0.00926017037971905,0.189481698192482,0,0,1978.31600682442,0,1978.3,100
"12","Uganda","Arua","Vurra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9378290289676,6.61072972095199,89.2919643812661,4.91633371275032,0,2.3622855646435,0.00869828731524511,0.0229461980247821,0,0.553216453204884,30.7351778380728,9.55030326685803,47.6147549852033,0,2.97083387635581,19.3732857288027,2.19368724586855,113.275875564761,0,0.0287671619124574,0,0,0.00579135394816493,0,0,0.0414148392760527,0,0,0,0,0,0,0,0,0,0,0,0,0.0100362898772366,0,0.0557703151447608,0,0,0,0,0,362.6,32.9378290289676,6.61072972095199,89.3333792205421,4.91633371275032,0,2.3622855646435,0.00869828731524511,0.0229461980247821,0,0.553216453204884,30.7351778380728,9.55030326685803,47.6147549852033,0,2.97083387635581,19.38332201868,2.19368724586855,113.331645879906,0,0.0287671619124574,0,0,0.00579135394816493,0,0,362.452480368908,0.10722144429805,362.5,100
"13","Uganda","Bugiri","Bukooli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377.29334497427,25.5466932222489,416.520746103354,0,0,0,0,0,0.629297979544728,0,52.9441306681483,0,393.155323244087,0,2.68841961854811,6945.5758528727,61.7234532646789,386.400621709339,0,0.229755766014523,0,0,0.0613677011390799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9662.8,1377.29334497427,25.5466932222489,416.520746103354,0,0,0,0,0,0.629297979544728,0,52.9441306681483,0,393.155323244087,0,2.68841961854811,6945.5758528727,61.7234532646789,386.400621709339,0,0.229755766014523,0,0,0.0613677011390799,0,0,9662.76900712407,0,9662.8,100
