"","COUNTRY","NAME_1","NAME_2","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd_profit","SORG_add_usd_profit","BEAN_add_usd_profit","CHIC_add_usd_profit","LENT_add_usd_profit","WHEA_add_usd_profit","BARL_add_usd_profit","ACOF_add_usd_profit","RCOF_add_usd_profit","PMIL_add_usd_profit","SMIL_add_usd_profit","POTA_add_usd_profit","SWPO_add_usd_profit","CASS_add_usd_profit","COWP_add_usd_profit","PIGE_add_usd_profit","SOYB_add_usd_profit","GROU_add_usd_profit","SUGC_add_usd_profit","COTT_add_usd_profit","COCO_add_usd_profit","TEAS_add_usd_profit","TOBA_add_usd_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"3","Nigeria","Abia","Arochukwu",1980808.44677585,0,0,0,0,0,0,0,95.0731630616361,0,0,0,1347233.80718501,0,92005.678850821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3420143,1980808.44677585,0,0,0,0,0,0,0,95.0731630616361,0,0,0,1347233.80718501,0,92005.678850821,0,0,0,0,0,0,0,0,3420143.00597474,0,0,0,3420143,100
"4","Nigeria","Abia","Bende",3631039.28002147,0,0,0,0,0,0,0,307.585898964955,0,0,0,2389683.90292604,897955.070668888,207851.155422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7126837,3631039.28002147,0,0,0,0,0,0,0,307.585898964955,0,0,0,2389683.90292604,897955.070668888,207851.155422535,0,0,0,0,0,0,0,0,7126836.9949379,0,0,0,7126837,100
"5","Nigeria","Abia","Ikwuano",1092112.31621234,0,0,0,0,0,0,0,0,0,0,0,694788.100665834,554397.922293881,64119.0201498131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405417.4,1092112.31621234,0,0,0,0,0,0,0,0,0,0,0,694788.100665834,554397.922293881,64119.0201498131,0,0,0,0,0,0,0,0,2405417.35932187,0,0,0,2405417.4,100
"6","Nigeria","Abia","Isiala Ngwa North",275462.218765466,0,0,0,0,0,0,0,0,0,0,12297.8410326943,553234.985687889,0,26968.912995161,0,0,3193.28085974322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871157.2,275462.218765466,0,0,0,0,0,0,0,0,0,0,12297.8410326943,553234.985687889,0,26968.912995161,0,0,3193.28085974322,0,0,0,0,0,871157.239340953,0,0,0,871157.2,100
"7","Nigeria","Abia","Isiala Ngwa South",0,0,0,0,0,0,0,0,0,0,0,0,165361.84721173,0,11865.0851069264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177226.9,0,0,0,0,0,0,0,0,0,0,0,0,165361.84721173,0,11865.0851069264,0,0,0,0,0,0,0,0,177226.932318657,0,0,0,177226.9,100
"8","Nigeria","Abia","Isuikwuato",1870112.81582311,0,0,0,0,0,0,0,183.464672714839,0,0,44700.1789043708,1452410.75518499,673808.65391824,104634.651205128,0,0,28427.9219079395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4174278.4,1870112.81582311,0,0,0,0,0,0,0,183.464672714839,0,0,44700.1789043708,1452410.75518499,673808.65391824,104634.651205128,0,0,28427.9219079395,0,0,0,0,0,4174278.44161649,0,0,0,4174278.4,100
"9","Nigeria","Abia","Obi Ngwa",0,0,0,0,0,0,0,0,0,0,0,0,311125.500271823,0,13983.5670603179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325109.1,0,0,0,0,0,0,0,0,0,0,0,0,311125.500271823,0,13983.5670603179,0,0,0,0,0,0,0,0,325109.06733214,0,0,0,325109.1,100
"10","Nigeria","Abia","Ohafia",1650970.41593344,0,0,0,0,0,0,0,92.3528694449302,0,0,0,1600018.83789907,263477.481257936,159951.963351078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242676.333132967,0,0,0,0,0,0,0,0,0,0,17979.2620445053,143438.080254391,0,23041.4582325864,0,0,40469.5403816682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142115.7,1893646.7490664,0,0,0,0,0,0,0,92.3528694449302,0,0,17979.2620445053,1743456.91815346,263477.481257936,182993.421583664,0,0,40469.5403816682,0,0,0,0,0,3674511.05131096,0,467604.674046117,0,4142115.7,100
"11","Nigeria","Abia","Osisioma Ngwa",0,0,0,0,0,0,0,0,0,0,0,0,141632.065466708,0,9425.2183093169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151057.3,0,0,0,0,0,0,0,0,0,0,0,0,141632.065466708,0,9425.2183093169,0,0,0,0,0,0,0,0,151057.283776025,0,0,0,151057.3,100
"13","Nigeria","Abia","Ukwa East",0,0,0,0,0,0,0,0,0,0,0,0,501383.04548646,0,52884.6418076624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554267.7,0,0,0,0,0,0,0,0,0,0,0,0,501383.04548646,0,52884.6418076624,0,0,0,0,0,0,0,0,554267.687294122,0,0,0,554267.7,100
