"","COUNTRY","NAME_1","NAME_2","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd_profit","SORG_add_usd_profit","BEAN_add_usd_profit","CHIC_add_usd_profit","LENT_add_usd_profit","WHEA_add_usd_profit","BARL_add_usd_profit","ACOF_add_usd_profit","RCOF_add_usd_profit","PMIL_add_usd_profit","SMIL_add_usd_profit","POTA_add_usd_profit","SWPO_add_usd_profit","CASS_add_usd_profit","COWP_add_usd_profit","PIGE_add_usd_profit","SOYB_add_usd_profit","GROU_add_usd_profit","SUGC_add_usd_profit","COTT_add_usd_profit","COCO_add_usd_profit","TEAS_add_usd_profit","TOBA_add_usd_profit","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Rwanda","Amajyaruguru","Burera",522693.6796701,43516.5127059906,4219970.76120203,0,0,1855.75330938445,0,0,0,0,522.289757687323,37486.3937246218,142250.848354373,0,449.373405619995,0,15078.4494830967,20599.505204857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777.33834002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6691.74518256345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6597892.7,522693.6796701,43516.5127059906,5806748.09954204,0,0,1855.75330938445,0,0,0,0,522.289757687323,37486.3937246218,142250.848354373,0,449.373405619995,0,15078.4494830967,27291.2503874204,0,0,0,0,0,5004423.56681776,0,1593469.08352258,0,6597892.7,100
"2","Rwanda","Amajyaruguru","Gakenke",1483443.13970428,301545.824957036,10623125.0653435,0,0,172162.165541738,0,145.7313840018,0,0,1049.85603871552,1631732.12323485,279289.457275622,0,0,0,38557.7977652657,47674.5020903323,0,0,0,0,6685.01586149869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14585410.7,1483443.13970428,301545.824957036,10623125.0653435,0,0,172162.165541738,0,145.7313840018,0,0,1049.85603871552,1631732.12323485,279289.457275622,0,0,0,38557.7977652657,47674.5020903323,0,0,0,0,6685.01586149869,14585410.6791969,0,0,0,14585410.7,100
"3","Rwanda","Amajyaruguru","Gicumbi",1206973.888675,498375.751338778,13690875.9309347,0,0,271776.444164432,0,7584.18010158466,0,0,705.253776482899,2763261.23459644,215384.616253595,0,291.597436730983,0,28062.0997064106,39155.8657248153,0,0,0,0,3356.92259900443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18725803.8,1206973.888675,498375.751338778,13690875.9309347,0,0,271776.444164432,0,7584.18010158466,0,0,705.253776482899,2763261.23459644,215384.616253595,0,291.597436730983,0,28062.0997064106,39155.8657248153,0,0,0,0,3356.92259900443,18725803.7853079,0,0,0,18725803.8,100
"4","Rwanda","Amajyaruguru","Musanze",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774453.989734351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140.30482135141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776594.3,0,0,774453.989734351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140.30482135141,0,0,0,0,0,0,0,776594.294555703,0,776594.3,100
"5","Rwanda","Amajyaruguru","Rulindo",534694.204348339,357111.559125807,8462575.27243375,0,0,190496.113219465,0,0,0,0,325.84787942635,2874338.82890087,92295.8592964806,0,0,0,11591.9422447419,20658.8655490747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12544088.5,534694.204348339,357111.559125807,8462575.27243375,0,0,190496.113219465,0,0,0,0,325.84787942635,2874338.82890087,92295.8592964806,0,0,0,11591.9422447419,20658.8655490747,0,0,0,0,0,12544088.492998,0,0,0,12544088.5,100
"6","Rwanda","Amajyepfo","Gisagara",104126.000046357,288954.743032103,3888835.34743964,0,0,79242.6389073728,0,27.1292830160052,0,0,0,1763541.38850554,614647.137657972,0,0,6042.19585691529,85574.2659511002,75165.1574266723,0,0,0,0,1103.6657977165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6907259.7,104126.000046357,288954.743032103,3888835.34743964,0,0,79242.6389073728,0,27.1292830160052,0,0,0,1763541.38850554,614647.137657972,0,0,6042.19585691529,85574.2659511002,75165.1574266723,0,0,0,0,1103.6657977165,6907259.66990441,0,0,0,6907259.7,100
"7","Rwanda","Amajyepfo","Huye",502376.096561539,1641602.25590913,16588553.9033361,0,0,563032.748140541,0,2127.06542896202,0,0,0,12883380.69734,9589.16432464699,0,0,0,3051.04470003206,0,0,0,0,0,78249.5168448671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32271962.5,502376.096561539,1641602.25590913,16588553.9033361,0,0,563032.748140541,0,2127.06542896202,0,0,0,12883380.69734,9589.16432464699,0,0,0,3051.04470003206,0,0,0,0,0,78249.5168448671,32271962.4925858,0,0,0,32271962.5,100
"8","Rwanda","Amajyepfo","Kamonyi",288671.394974508,1110731.60040643,12159503.4215456,0,0,341571.866392174,0,899.46458128115,0,0,0,8910867.15221356,24318.6338322911,0,0,0,18969.3084407612,0,0,0,0,0,39420.721471242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46625.0513196596,58086.6349489952,1436009.04323129,0,0,18087.9134337946,0,0,0,0,28.2839439365865,244224.305189198,9904.35554311796,0,0,0,1141.75350366286,2305.25269785386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24711366.2,335296.446294167,1168818.23535543,13595512.4647768,0,0,359659.779825969,0,899.46458128115,0,0,28.2839439365865,9155091.45740276,34222.989375409,0,0,0,20111.0619444241,2305.25269785386,0,0,0,0,39420.721471242,22894953.5638578,0,1816412.59381151,0,24711366.2,100
"9","Rwanda","Amajyepfo","Muhanga",980754.288868204,2092903.59945842,22166956.6007624,0,0,746638.990055015,0,4540.7739883288,0,0,76.6554279806136,20727052.9243349,21260.568227739,0,0,0,2805.73834068175,3963.16382142458,0,0,0,0,134718.474329917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46881671.8,980754.288868204,2092903.59945842,22166956.6007624,0,0,746638.990055015,0,4540.7739883288,0,0,76.6554279806136,20727052.9243349,21260.568227739,0,0,0,2805.73834068175,3963.16382142458,0,0,0,0,134718.474329917,46881671.777615,0,0,0,46881671.8,100
"10","Rwanda","Amajyepfo","Nyamagabe",652964.121474947,1190279.9891277,11070740.2820249,0,0,615282.449966883,0,2815.59430303074,0,0,0,13916788.7931418,0,0,0,0,0,0,0,0,0,0,39407.9916708107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27488279.2,652964.121474947,1190279.9891277,11070740.2820249,0,0,615282.449966883,0,2815.59430303074,0,0,0,13916788.7931418,0,0,0,0,0,0,0,0,0,0,39407.9916708107,27488279.2217101,0,0,0,27488279.2,100
