"","COUNTRY","NAME_1","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd","SORG_add_usd","BEAN_add_usd","CHIC_add_usd","LENT_add_usd","WHEA_add_usd","BARL_add_usd","ACOF_add_usd","RCOF_add_usd","PMIL_add_usd","SMIL_add_usd","POTA_add_usd","SWPO_add_usd","CASS_add_usd","COWP_add_usd","PIGE_add_usd","SOYB_add_usd","GROU_add_usd","SUGC_add_usd","COTT_add_usd","COCO_add_usd","TEAS_add_usd","TOBA_add_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Ethiopia","Addis Abeba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285429331274816,0.019280509693537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.285429331274816,0.019280509693537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304709840968353,0,0
"2","Ethiopia","Afar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"3","Ethiopia","Amhara",58948.18581999,16528.3470802127,15173.7667531937,0,0,29690.7493542361,7198.32963655206,0,0,0,0,14655.6618157188,15.1976076098648,0,0,0,0,0,0,0,0,0,0,0,0,745.897626706884,1748.58551698257,9.67015722867368,0,0,0,0,0,0,0,0,0,0,0,0,179.528131229489,0,0,0,0,0,189364.647667241,43060.2234519262,114432.834952116,39173.2725913148,53.9084604983081,61402.9585160054,16341.1978312862,0.526080317097175,0,0,68722.5742874437,30340.9527510673,131.055735733677,0,0,0,8825.5013159606,55157.3730993541,0,0.121902409979923,0,0,1.47905483164272,4431.318324072,972.683589248092,41477.7989975774,40719.7245327888,805.906382380482,1438.56361522829,467.419413466711,0,0,0,1543.91236990663,829.587179138417,4.63058952437349,0,0,0,309.390034400696,29178.522430781,0,0,0,0,0,894081.9,252744.151811303,60561.254121387,171830.298329594,81641.5826410861,869.485000107464,92532.2714854697,24006.946881305,0.526080317097175,0,0,70266.4866573503,45826.2017459245,150.883932867916,0,0,0,9134.8913503613,84515.4236613646,0,0.121902409979923,0,0,1.47905483164272,142210.238067513,2683.68143214761,627008.627697505,122179.457458513,769218.9,86
"4","Ethiopia","Benshangul-Gumaz",30014.9624180578,38915.8967997756,90901.9780094808,7486.72155416215,1878.35302706716,21207.034384389,921.883453050491,178.179383662614,0,0,32007.1260627748,15887.5388914232,3859.2358359781,0,0,0,2105.61905798096,81818.3609810133,0,0.473201724365115,0,0,3.88361567668293,3043.57031586386,3673.37532143126,21760.6249941454,295.654521816344,1130.97907930271,1632.10306797597,100.22923090634,0.425426486167542,0,0,12852.81752518,1340.10052378618,54.8662629396633,0,0,0,869.075901834361,50239.2618362511,0,0.0727687775529339,0,0,0.417957609272059,381.576504343748,433.697779381244,2641.47646121576,6.86221650044619,54.4306974997746,64.5374694486339,6.5216291994691,0,0,0,1063.49350027574,53.8601391352711,5.53327261899902,0,0,0,70.7459497000851,4907.22599702601,0,0,0,0,0,5020.77695227499,6152.76460978789,16944.7256685279,1054.95354210222,201.025224828988,342.837057682148,46.1733205666748,1.53136241545024,0,0,2359.57914605529,204.705400682645,1150.85498007406,0,0,0,357.144050764721,25820.4345555247,0,0.0100506919515505,0,0,0.0465069116287913,493528.4,38460.8861905404,49175.734510376,132248.80513337,8844.19183458116,3264.78802869864,23246.5119794958,1074.80763372297,180.136172564232,0,0,48283.0162342859,17486.2049550273,5070.49035161083,0,0,0,3402.58496028012,162785.283369815,0,0.5560211938696,0,0,4.34808019758378,327187.246676217,96993.5747343062,9689.96161634518,59657.5624288913,336877.2,68.3
"5","Ethiopia","Dire Dawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"6","Ethiopia","Gambela Peoples",1375.48073017398,2997.78245317446,865.480350393079,145.145137598772,588.180010293615,97.9158564563813,131.195542195113,1.84927889349651,0,0,206.627047614343,124.645620353649,1030.20919060057,0,0,0,53.0808676250252,383.054703182977,0,0,0,0,0.0192361091798908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9971548761072,57.491758491505,258.544825574515,0,21.417029585132,13.9292107848353,27.8443084164918,0,0,0,3.27490105695412,2.43735649319645,1.77349965492524,0,0,0,1.88781612976934,0,0,0,0,0,0,14.570802952829,22.9445865643915,151.46326852742,0,0,2.30996076980916,6.21040931686792,0,0,0,0.288697371229748,0,0.933165242365847,0,0,0,0.251548839570785,27.8267546087514,0,0,0,0,0,8659.1,1433.04868800292,3078.21879823036,1275.48844449501,145.145137598772,609.597039878747,114.155028011026,165.250259928473,1.84927889349651,0,0,210.190646042527,127.082976846845,1032.91585549786,0,0,0,55.2202325943653,410.881457791728,0,0,0,0,0.0192361091798908,8000.66602466465,0,431.597861063431,226.799194193235,8432.3,97.4
"7","Ethiopia","Harari People",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"8","Ethiopia","Oromia",38239196.6228377,19989133.0971219,6902736.99875179,2358755.45671441,6787395.48509385,6471951.66696596,1789571.70088551,2201277.29536775,0,0,2538386.57906763,963406.96532444,1374446.23216615,0,0,0,332169.629742311,563324.196701299,6098.87449596277,599.559115752292,0,1090.53421948651,15430.7370397026,9294.25360830454,4503.17897672723,18895.5504058427,2778.58210721879,18455.664863691,2471.80129897603,576.325492947518,8.49175896148476,0,0,1010.50313076247,249.150215240611,420.527753556457,0,0,0,166.499978002747,5266.892784158,0,0.0130908505045815,0,0,1.19286781120979,7727623.63342029,3306054.82167825,1407691.50667466,1022014.82610422,578342.981340657,2511816.04874889,665504.652257078,141021.748175033,0,0,448443.837729638,311639.336822491,159247.998292504,0,0,0,54688.7775124096,275033.876947965,428.844072323803,65.6238042181216,0,26.356085843584,1721.19839137551,60562.7812056686,26548.6345289952,115970.677252375,159627.160890907,33935.3846411697,14732.9484706911,4642.60528561269,810.271421451623,0,0,11223.991702051,1762.17662175366,5240.93755158571,0,0,0,691.01173122982,73808.7771709619,0.00525908800558943,0.419433274896521,0,0,7.16723154917172,109720001.4,46036677.291072,23326239.7323059,8445294.73308467,3543176.02581676,7418129.51593937,9000972.46548452,2460295.28392115,2343117.8067232,0,0,2999064.91163008,1277057.62898393,1539355.6957638,0,0,0,387715.918963953,917433.743604384,6527.72382737458,665.615444095815,0,1116.89030533009,17160.2955304385,90534971.6316116,64098.6283330513,18611366.0680579,509564.950398364,109146337.6,99.5
"9","Ethiopia","Somali",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"10","Ethiopia","Southern Nations, Nationalities",312888.341300402,541908.167173192,1026220.47274326,6159.4196194028,11025.1944922482,133176.091311959,49647.2925308152,18949.3985596271,0,0,4683.96994362512,45724.3917420051,3160.64947247167,0,0,0,402.578030461592,1103.44793629984,1.24617619489635,0,0,0,44.1366855834352,0,0,26.3798803258526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207256.239558344,144863.344082084,1672675.21664306,24549.0931361085,18634.7321968947,251362.102761298,127278.575908956,623.087695475165,0,0,4148.36342943096,190848.764209149,15824.8249441013,0,0,0,503.214849280633,5981.10535082207,0,126.933631096951,0,0,15.1143774579667,3321.62288334833,1132.50613830801,212672.317960543,8899.73032125142,3254.11921462822,1174.98527178502,895.021351736888,0,0,0,24.9773015831043,975.3552739059,845.951343261247,0,0,0,13.9813054906038,1145.49291857662,0,0,0,0,0,5054168,523466.203742094,687904.017393585,2911594.38722718,39608.2430767627,32914.0459037712,385713.179345042,177820.889791508,19572.4862551023,0,0,8857.31067463918,237548.51122506,19831.4257598342,0,0,0,919.774185232829,8230.04620569852,1.24617619489635,126.933631096951,0,0,59.2510630414019,2155094.79771754,26.3798803258526,2664690.71277356,234356.061284418,4819785.5,95.4
"11","Ethiopia","Tigray",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
