"","COUNTRY","NAME_1","NAME_2","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd","SORG_add_usd","BEAN_add_usd","CHIC_add_usd","LENT_add_usd","WHEA_add_usd","BARL_add_usd","ACOF_add_usd","RCOF_add_usd","PMIL_add_usd","SMIL_add_usd","POTA_add_usd","SWPO_add_usd","CASS_add_usd","COWP_add_usd","PIGE_add_usd","SOYB_add_usd","GROU_add_usd","SUGC_add_usd","COTT_add_usd","COCO_add_usd","TEAS_add_usd","TOBA_add_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"60","Malawi","Karonga","SC Mwakaboko",4124.81391154071,100.068098373672,55392.1067226454,795.458637922559,0,0,0,0,0,0,0,7270.394694314,0,0,0,640.508755936993,0,5827.67215149368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7723.67714758896,47.1923357372864,85808.505853692,640.749322213887,0,0,0,0,0,0,0,2214.18267012847,115.547125486878,0,0,2691.42130249753,14.2011784350819,10619.360122625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184025.9,11848.4910591297,147.260434110958,141200.612576337,1436.20796013645,0,0,0,0,0,0,0,9484.57736444247,115.547125486878,0,0,3331.93005843452,14.2011784350819,16447.0322741186,0,0,0,0,0,74151.022972227,0,109874.837058405,0,184025.9,100
"130","Malawi","Mchinji","TA Mlonyeni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56326.9347844849,1806.57068954422,7620.23687611446,3666.80386117199,1526.65682622119,137.199397864378,0,0,0,0,665.890046538748,51490.2396315678,45.8963299176793,0,5773.3408125796,5398.86113385544,1630.64717744439,97952.3042347764,0,357.065765405204,0,0,4807.02909051906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239205.7,56326.9347844849,1806.57068954422,7620.23687611446,3666.80386117199,1526.65682622119,137.199397864378,0,0,0,0,665.890046538748,51490.2396315678,45.8963299176793,0,5773.3408125796,5398.86113385544,1630.64717744439,97952.3042347764,0,357.065765405204,0,0,4807.02909051906,0,0,239205.676658005,0,239205.7,100
"135","Malawi","Mulanje","SC Laston Njema",1594.36667409951,223.920707135491,4456.50973892098,0,0,106.233230395661,0,0.0777435894675123,0,16.9241740732038,0,53.8004481512375,1882.68634548082,0,84.0349240988378,0,0,518.655772639118,0,0.306403258314925,0,0,5.70243666079622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8943.2,1594.36667409951,223.920707135491,4456.50973892098,0,0,106.233230395661,0,0.0777435894675123,0,16.9241740732038,0,53.8004481512375,1882.68634548082,0,84.0349240988378,0,0,518.655772639118,0,0.306403258314925,0,0,5.70243666079622,8943.21859850343,0,0,0,8943.2,100
"163","Malawi","Nkhata Bay","SC Fukamalaza",601538.407612572,0,223.216327703528,0,0,0,0,0,0,0,0,0,0,13602.8528867097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750539.560296605,0,569.839418134469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366473.9,1352077.96790918,0,793.055745837997,0,0,0,0,0,0,0,0,0,0,13602.8528867097,0,0,0,0,0,0,0,0,0,615364.476826985,0,751109.399714739,0,1366473.9,100
"164","Malawi","Nkhata Bay","SC Malanda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151911.259342553,0,230.397644497016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152141.7,151911.259342553,0,230.397644497016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152141.65698705,0,152141.7,100
"165","Malawi","Nkhata Bay","SC Nyaluwanga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278.34412082705,2.59227438019926,594.746463812985,63.9277520089766,2.08379667784728,0.152714107676746,0,0,0,0,0.63885216307522,52.6349816842389,0,0,0.751837962822836,133.435450476124,1.40132691548911,433.158057302342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563.9,1278.34412082705,2.59227438019926,594.746463812985,63.9277520089766,2.08379667784728,0.152714107676746,0,0,0,0,0.63885216307522,52.6349816842389,0,0,0.751837962822836,133.435450476124,1.40132691548911,433.158057302342,0,0,0,0,0,0,0,2563.86762831883,0,2563.9,100
"166","Malawi","Nkhata Bay","SC Zilakoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54300.5677540185,0,3214.98166483527,29.6067379107016,0,0,0,0,0,0,0,0,0,0,0,30.5347033796495,0,291.626270910041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57867.3,54300.5677540185,0,3214.98166483527,29.6067379107016,0,0,0,0,0,0,0,0,0,0,0,30.5347033796495,0,291.626270910041,0,0,0,0,0,0,0,57867.3171310541,0,57867.3,100
"167","Malawi","Nkhata Bay","TA Fukamapiri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64682.4827113539,0,225.913335845485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64908.4,64682.4827113539,0,225.913335845485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64908.3960471993,0,64908.4,100
"169","Malawi","Nkhata Bay","TA Malenga Mzoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39676.3690750356,0,75.6561222690451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39752,39676.3690750356,0,75.6561222690451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39752.0251973047,0,39752,100
"171","Malawi","Nkhata Bay","TA Timbiri",56847.065573312,79.1566133116757,3238.06518731777,612.064011741533,39.3359979701307,12.8593740694106,0,0,0,0,29.1584015988808,1543.98741770215,0,0,47.1693465459981,1138.86966361172,104.164478665378,1870.3934091295,0,0.000456581115119196,0,0,0.00819354593891007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104146.043933375,0,127.601143435391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169835.9,160993.109506687,79.1566133116757,3365.66633075316,612.064011741533,39.3359979701307,12.8593740694106,0,0,0,0,29.1584015988808,1543.98741770215,0,0,47.1693465459981,1138.86966361172,104.164478665378,1870.3934091295,0,0.000456581115119196,0,0,0.00819354593891007,65562.2981251031,0,104273.64507681,0,169835.9,100
