"","COUNTRY","NAME_1","NAME_2","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd","SORG_add_usd","BEAN_add_usd","CHIC_add_usd","LENT_add_usd","WHEA_add_usd","BARL_add_usd","ACOF_add_usd","RCOF_add_usd","PMIL_add_usd","SMIL_add_usd","POTA_add_usd","SWPO_add_usd","CASS_add_usd","COWP_add_usd","PIGE_add_usd","SOYB_add_usd","GROU_add_usd","SUGC_add_usd","COTT_add_usd","COCO_add_usd","TEAS_add_usd","TOBA_add_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Nigeria","Abia","Aba North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60223.4306926712,0,0,0,0,0,0,0,2.81264037547584,0,0,0,51756.9679102645,0,3058.64541563509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115041.9,60223.4306926712,0,0,0,0,0,0,0,2.81264037547584,0,0,0,51756.9679102645,0,3058.64541563509,0,0,0,0,0,0,0,0,0,0,115041.856658946,0,115041.9,100
"2","Nigeria","Abia","Aba South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60223.4306926712,0,0,0,0,0,0,0,2.81264037547584,0,0,0,51756.9679102645,0,3058.64541563509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115041.9,60223.4306926712,0,0,0,0,0,0,0,2.81264037547584,0,0,0,51756.9679102645,0,3058.64541563509,0,0,0,0,0,0,0,0,0,0,115041.856658946,0,115041.9,100
"3","Nigeria","Abia","Arochukwu",1980808.44677585,0,0,0,0,0,0,0,200.032105223786,0,0,0,1347233.80718501,807945.754201276,92005.678850821,0,0,0,0,0,18995.7472051347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4247189.5,1980808.44677585,0,0,0,0,0,0,0,200.032105223786,0,0,0,1347233.80718501,807945.754201276,92005.678850821,0,0,0,0,0,18995.7472051347,0,0,4247189.46632332,0,0,0,4247189.5,100
"4","Nigeria","Abia","Bende",3631039.28002147,0,0,0,0,0,0,0,497.104647102742,0,0,0,2389683.90292604,1563627.63461077,207851.155422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7792699.1,3631039.28002147,0,0,0,0,0,0,0,497.104647102742,0,0,0,2389683.90292604,1563627.63461077,207851.155422535,0,0,0,0,0,0,0,0,7792699.07762792,0,0,0,7792699.1,100
"5","Nigeria","Abia","Ikwuano",1305424.9341007,0,0,0,0,0,0,0,184.825136604918,0,0,0,802143.108850652,929276.853958488,64119.0201498131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3101148.7,1305424.9341007,0,0,0,0,0,0,0,184.825136604918,0,0,0,802143.108850652,929276.853958488,64119.0201498131,0,0,0,0,0,0,0,0,3101148.74219626,0,0,0,3101148.7,100
"6","Nigeria","Abia","Isiala Ngwa North",663405.147514941,0,0,0,0,0,0,0,65.0665953242271,0,0,12297.8410326943,553234.985687889,201218.485707218,26968.912995161,0,0,3193.28085974322,0,0,9.09955612129081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460392.8,663405.147514941,0,0,0,0,0,0,0,65.0665953242271,0,0,12297.8410326943,553234.985687889,201218.485707218,26968.912995161,0,0,3193.28085974322,0,0,9.09955612129081,0,0,1460392.81994909,0,0,0,1460392.8,100
"7","Nigeria","Abia","Isiala Ngwa South",197089.320552927,0,0,0,0,0,0,0,17.4853116808133,0,0,0,165361.84721173,6806.81286388378,11865.0851069264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381140.6,197089.320552927,0,0,0,0,0,0,0,17.4853116808133,0,0,0,165361.84721173,6806.81286388378,11865.0851069264,0,0,0,0,0,0,0,0,381140.551047148,0,0,0,381140.6,100
"8","Nigeria","Abia","Isuikwuato",2484203.63110584,339.146135221299,0,0,0,0,0,0,298.305415268077,0,0,44700.1789043708,1544117.41817755,1332996.52634044,118561.881322318,0,0,28427.9219079395,0,0,39.8057177759246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5553684.8,2484203.63110584,339.146135221299,0,0,0,0,0,0,298.305415268077,0,0,44700.1789043708,1544117.41817755,1332996.52634044,118561.881322318,0,0,28427.9219079395,0,0,39.8057177759246,0,0,5553684.81502673,0,0,0,5553684.8,100
"9","Nigeria","Abia","Obi Ngwa",683708.150664508,0,0,0,0,0,0,0,67.4548845585807,0,0,0,491034.571872394,77015.5474935644,35251.5086472133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195680.796729921,0,0,0,0,0,0,0,15.6098174831244,0,0,0,73883.5810327555,2371.68472065689,3909.25515463699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562938.2,879388.947394429,0,0,0,0,0,0,0,83.0647020417051,0,0,0,564918.15290515,79387.2322142213,39160.7638018503,0,0,0,0,0,0,0,0,1287077.23356224,0,275860.927455454,0,1562938.2,100
"10","Nigeria","Abia","Ohafia",2268867.05300921,0,0,0,0,0,0,0,322.690767622283,0,0,0,1600018.83789907,976542.891556834,159951.963351078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414289.811310479,528.618568245064,0,0,0,0,0,0,35.0448137423468,0,0,17979.2620445053,284530.661331161,149517.604812129,23041.4582325864,0,0,40469.5403816682,0,0,1867.6245858695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5937963.1,2683156.86431969,528.618568245064,0,0,0,0,0,0,357.73558136463,0,0,17979.2620445053,1884549.49923023,1126060.49636896,182993.421583664,0,0,40469.5403816682,0,0,1867.6245858695,0,0,5005703.43658381,0,932259.626080386,0,5937963.1,100
"11","Nigeria","Abia","Osisioma Ngwa",247067.647453246,0,0,0,0,0,0,0,17.8843063861638,0,0,0,215422.273645479,3059.16251068498,13988.3630244249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479555.3,247067.647453246,0,0,0,0,0,0,0,17.8843063861638,0,0,0,215422.273645479,3059.16251068498,13988.3630244249,0,0,0,0,0,0,0,0,479555.330940222,0,0,0,479555.3,100
"12","Nigeria","Abia","Ugwunagbo",174353.004742863,0,0,0,0,0,0,0,16.3704864074362,0,0,0,140298.048521616,19102.7796234033,10392.828981476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344163,174353.004742863,0,0,0,0,0,0,0,16.3704864074362,0,0,0,140298.048521616,19102.7796234033,10392.828981476,0,0,0,0,0,0,0,0,344163.032355766,0,0,0,344163,100
"13","Nigeria","Abia","Ukwa East",662997.32003033,0,0,0,0,0,0,0,66.3283765763556,0,0,0,501383.04548646,227204.063634808,52884.6418076624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444535.4,662997.32003033,0,0,0,0,0,0,0,66.3283765763556,0,0,0,501383.04548646,227204.063634808,52884.6418076624,0,0,0,0,0,0,0,0,1444535.39933584,0,0,0,1444535.4,100
"14","Nigeria","Abia","Ukwa West",960941.949810998,0,0,0,0,0,0,0,101.673834594801,0,0,0,810460.002605506,362268.327438617,57715.8511428828,0,0,0,0,0,12.5776531178534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191500.4,960941.949810998,0,0,0,0,0,0,0,101.673834594801,0,0,0,810460.002605506,362268.327438617,57715.8511428828,0,0,0,0,0,12.5776531178534,0,0,2191500.38248572,0,0,0,2191500.4,100
"15","Nigeria","Abia","Umu Nneochi",186958.692798834,1879.66063528134,0,0,0,0,0,0,17.757490166178,0,0,15497.3764585289,154778.604130425,65982.5115356445,4739.89598222885,0,0,1074.46776590794,0,0,2.94962260296195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647326.892238849,1094.16393372204,0,0,0,0,0,0,59.7491531072225,0,0,82227.4751490307,1035958.71758492,94915.4565068368,26770.4183387644,0,0,42163.355703469,0,0,0.251496057536674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361448.4,834285.585037683,2973.82456900338,0,0,0,0,0,0,77.5066432734005,0,0,97724.8516075597,1190737.32171535,160897.968042481,31510.3143209933,0,0,43237.823469377,0,0,3.20111866049862,0,0,430931.916419619,0,1930516.48010476,0,2361448.4,100
"16","Nigeria","Abia","Umuahia North",458583.813624145,0,0,0,0,0,0,0,54.5394987842366,0,0,5803.90588606884,382340.520648612,269363.000761584,20496.968179037,0,0,993.206618628193,0,0,8.38929020973671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137644.3,458583.813624145,0,0,0,0,0,0,0,54.5394987842366,0,0,5803.90588606884,382340.520648612,269363.000761584,20496.968179037,0,0,993.206618628193,0,0,8.38929020973671,0,0,1137644.34450707,0,0,0,1137644.3,100
