"","COUNTRY","NAME_1","NAME_2","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd","SORG_add_usd","BEAN_add_usd","CHIC_add_usd","LENT_add_usd","WHEA_add_usd","BARL_add_usd","ACOF_add_usd","RCOF_add_usd","PMIL_add_usd","SMIL_add_usd","POTA_add_usd","SWPO_add_usd","CASS_add_usd","COWP_add_usd","PIGE_add_usd","SOYB_add_usd","GROU_add_usd","SUGC_add_usd","COTT_add_usd","COCO_add_usd","TEAS_add_usd","TOBA_add_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Rwanda","Amajyaruguru","Burera",551098.881048865,48991.3830565084,4219970.76120203,0,0,2614.88972628319,0,0,0,0,581.180792529841,52681.0244369787,159379.06300372,0,626.636060800662,0,15648.59829231,20599.505204857,0,0,0,0,2.72841231661587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56204.4102177193,15513.9457544863,1586777.33834002,0,0,8000.18347561284,0,0,0,0,49.2583547395542,76496.2647774308,11647.4260359959,0,0,0,1370.82879515366,6691.74518256345,0,0,0,0,0.137296680436875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6834946.2,607303.291266584,64505.3288109947,5806748.09954204,0,0,10615.073201896,0,0,0,0,630.439147269395,129177.28921441,171026.489039716,0,626.636060800662,0,17019.4270874636,27291.2503874204,0,0,0,0,2.86570899705274,5072194.65123719,0,1762751.5382304,0,6834946.2,100
"2","Rwanda","Amajyaruguru","Gakenke",1483443.13970428,301545.824957036,10623125.0653435,0,0,172162.165541738,0,187.533431748866,0,0,1049.85603871552,1631732.12323485,279289.457275622,53.7631236134047,0,0,38557.7977652657,47674.5020903323,0.125576606888369,0,0,29.3207095940989,9021.27143470911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14587871.9,1483443.13970428,301545.824957036,10623125.0653435,0,0,172162.165541738,0,187.533431748866,0,0,1049.85603871552,1631732.12323485,279289.457275622,53.7631236134047,0,0,38557.7977652657,47674.5020903323,0.125576606888369,0,0,29.3207095940989,9021.27143470911,14587871.9462277,0,0,0,14587871.9,100
"3","Rwanda","Amajyaruguru","Gicumbi",1227982.4674974,500061.264884092,13690875.9309347,0,0,271778.837351686,0,8416.64760731397,0,0,712.747625697144,2770781.45520137,218094.487059198,253.884036221192,291.597436730983,0,28353.72798752,39155.8657248153,0.537548140919711,0,0,73.5005458987243,5522.1326679895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18762355.1,1227982.4674974,500061.264884092,13690875.9309347,0,0,271778.837351686,0,8416.64760731397,0,0,712.747625697144,2770781.45520137,218094.487059198,253.884036221192,291.597436730983,0,28353.72798752,39155.8657248153,0.537548140919711,0,0,73.5005458987243,5522.1326679895,18762355.0841087,0,0,0,18762355.1,100
"5","Rwanda","Amajyaruguru","Rulindo",534694.204348339,357111.559125807,8462575.27243375,0,0,190496.113219465,0,163.018837255467,0,0,325.84787942635,2874338.82890087,92295.8592964806,21.6107397527501,0,0,11591.9422447419,20658.8655490747,0.0609953125546852,0,0,10.7259450640596,3117.42308813394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12547401.3,534694.204348339,357111.559125807,8462575.27243375,0,0,190496.113219465,0,163.018837255467,0,0,325.84787942635,2874338.82890087,92295.8592964806,21.6107397527501,0,0,11591.9422447419,20658.8655490747,0.0609953125546852,0,0,10.7259450640596,3117.42308813394,12547401.3326035,0,0,0,12547401.3,100
"6","Rwanda","Amajyepfo","Gisagara",104126.000046357,288954.743032103,3888835.34743964,0,0,79242.6389073728,0,701.369773248461,0,0,0,1763541.38850554,614647.137657972,111.621445656586,0,6042.19585691529,85574.2659511002,75165.1574266723,0,62.1712863158915,0,0,3939.82067477493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6910943.9,104126.000046357,288954.743032103,3888835.34743964,0,0,79242.6389073728,0,701.369773248461,0,0,0,1763541.38850554,614647.137657972,111.621445656586,0,6042.19585691529,85574.2659511002,75165.1574266723,0,62.1712863158915,0,0,3939.82067477493,6910943.85800367,0,0,0,6910943.9,100
"7","Rwanda","Amajyepfo","Huye",502376.096561539,1641602.25590913,16588553.9033361,0,0,563032.748140541,0,2165.94377502355,0,0,0,12883380.69734,9589.16432464699,0,0,0,3051.04470003206,0,0,0,0,0,79525.6793912372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32273277.5,502376.096561539,1641602.25590913,16588553.9033361,0,0,563032.748140541,0,2165.94377502355,0,0,0,12883380.69734,9589.16432464699,0,0,0,3051.04470003206,0,0,0,0,0,79525.6793912372,32273277.5334783,0,0,0,32273277.5,100
"8","Rwanda","Amajyepfo","Kamonyi",288671.394974508,1110731.60040643,12159503.4215456,0,0,341571.866392174,0,1120.40947438386,0,0,0,8910867.15221356,24318.6338322911,0,0,0,18969.3084407612,0,0,0,0,0,49004.6842143919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46625.0513196596,58086.6349489952,1436009.04323129,0,0,18087.9134337946,0,0.202640712587701,0,0,28.2839439365865,244224.305189198,9904.35554311796,0,0,0,1141.75350366286,2305.25269785386,0,0,0,0,17.1201167761092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24721188.4,335296.446294167,1168818.23535543,13595512.4647768,0,0,359659.779825969,0,1120.61211509645,0,0,28.2839439365865,9155091.45740276,34222.989375409,0,0,0,20111.0619444241,2305.25269785386,0,0,0,0,49021.804331168,22904758.4714941,0,1816429.916569,0,24721188.4,100
"9","Rwanda","Amajyepfo","Muhanga",986385.821061322,2094900.38852586,22166956.6007624,0,0,747521.954909075,0,5292.92740701675,0,0,83.7368976784506,20746046.7925922,22655.6802457457,0,0,0,2967.65049173492,3963.16382142458,0,0,0,23.20687833934,148788.04191672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46925586,986385.821061322,2094900.38852586,22166956.6007624,0,0,747521.954909075,0,5292.92740701675,0,0,83.7368976784506,20746046.7925922,22655.6802457457,0,0,0,2967.65049173492,3963.16382142458,0,0,0,23.20687833934,148788.04191672,46925585.9655095,0,0,0,46925586,100
"10","Rwanda","Amajyepfo","Nyamagabe",656831.61216905,1198135.83596452,11070740.2820249,0,0,625276.181326662,0,2888.0151828918,0,0,0,14253225.6040719,0,0,0,0,0,0,0,0,0,2.60802584981076,39521.7356934709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27846621.9,656831.61216905,1198135.83596452,11070740.2820249,0,0,625276.181326662,0,2888.0151828918,0,0,0,14253225.6040719,0,0,0,0,0,0,0,0,0,2.60802584981076,39521.7356934709,27846621.8744593,0,0,0,27846621.9,100
"11","Rwanda","Amajyepfo","Nyanza",520812.54567041,1795491.60092869,19387681.3293635,0,0,584397.420180272,0,6084.95900222974,0,0,0,15036866.7617578,447934.881822966,17104.6569720516,0,7825.94117546558,101422.613411485,15032.202371552,0,72.7814446996026,0,0,132948.015179306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38053675.7,520812.54567041,1795491.60092869,19387681.3293635,0,0,584397.420180272,0,6084.95900222974,0,0,0,15036866.7617578,447934.881822966,17104.6569720516,0,7825.94117546558,101422.613411485,15032.202371552,0,72.7814446996026,0,0,132948.015179306,38053675.7092805,0,0,0,38053675.7,100
