"","COUNTRY","NAME_1","NAME_2","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd","SORG_add_usd","BEAN_add_usd","CHIC_add_usd","LENT_add_usd","WHEA_add_usd","BARL_add_usd","ACOF_add_usd","RCOF_add_usd","PMIL_add_usd","SMIL_add_usd","POTA_add_usd","SWPO_add_usd","CASS_add_usd","COWP_add_usd","PIGE_add_usd","SOYB_add_usd","GROU_add_usd","SUGC_add_usd","COTT_add_usd","COCO_add_usd","TEAS_add_usd","TOBA_add_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Sierra Leone","Eastern","Kailahun",135251.075192299,132687.789513276,0,0,0,0,0,0,141965.452984526,1296.97047182093,0,0,541747.16612518,58531.3587400882,0,0,5177.14495766606,1808905.78502779,6.15995408674526,45.6656137403705,10867.8449098149,0,267.661732893594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2836750.1,135251.075192299,132687.789513276,0,0,0,0,0,0,141965.452984526,1296.97047182093,0,0,541747.16612518,58531.3587400882,0,0,5177.14495766606,1808905.78502779,6.15995408674526,45.6656137403705,10867.8449098149,0,267.661732893594,2836750.07522318,0,0,0,2836750.1,100
"2","Sierra Leone","Eastern","Kenema",118300.793034342,144313.22833599,0,0,0,0,0,0,56681.3800666966,0,0,0,450505.662915644,3851.75314445337,0,0,584.749170673112,1644194.79578898,1.02075406095309,0,400.551485821716,0,143.566683104353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2418977.5,118300.793034342,144313.22833599,0,0,0,0,0,0,56681.3800666966,0,0,0,450505.662915644,3851.75314445337,0,0,584.749170673112,1644194.79578898,1.02075406095309,0,400.551485821716,0,143.566683104353,2418977.50137977,0,0,0,2418977.5,100
"3","Sierra Leone","Eastern","Kono",288101.427704261,104362.086769959,0,0,0,0,0,0,68944.6855531266,21614.2189187617,0,0,967384.151647548,336332.276934711,0,0,0,2111003.90501701,174.159051330316,1002.94847634419,7844.12938668847,0,238.614659031597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3907002.6,288101.427704261,104362.086769959,0,0,0,0,0,0,68944.6855531266,21614.2189187617,0,0,967384.151647548,336332.276934711,0,0,0,2111003.90501701,174.159051330316,1002.94847634419,7844.12938668847,0,238.614659031597,3907002.60411877,0,0,0,3907002.6,100
"4","Sierra Leone","Northern","Bombali",622421.858198394,355958.904133665,0,0,0,0,0,0,6982.52385913487,1167189.36191625,0,3846.20895577708,2791222.69988855,2237289.07545105,0,0,0,14431034.0045196,16357.710355777,1375.97240761147,3396.21874844683,0,807.314465195481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21637881.9,622421.858198394,355958.904133665,0,0,0,0,0,0,6982.52385913487,1167189.36191625,0,3846.20895577708,2791222.69988855,2237289.07545105,0,0,0,14431034.0045196,16357.710355777,1375.97240761147,3396.21874844683,0,807.314465195481,21637881.8528995,0,0,0,21637881.9,100
"5","Sierra Leone","Northern","Kambia",163811.737971099,147057.079588055,0,0,0,0,0,0,4342.44232743922,565544.650744695,0,5129.22645777831,967143.336902678,86510.8748223478,0,0,0,4295251.48522357,508.04187028893,923.1556741592,99.0102693013484,0,407.473828766467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6236728.5,163811.737971099,147057.079588055,0,0,0,0,0,0,4342.44232743922,565544.650744695,0,5129.22645777831,967143.336902678,86510.8748223478,0,0,0,4295251.48522357,508.04187028893,923.1556741592,99.0102693013484,0,407.473828766467,6236728.51568018,0,0,0,6236728.5,100
"6","Sierra Leone","Northern","Koinadugu",636986.921661504,169398.70614335,0,0,0,0,0,0,42830.8426950844,468181.923607001,0,27777.5548823243,2323581.20498006,884680.524385186,0,0,0,9944883.2682658,3503.12219919209,2455.37220004832,10790.9379780099,0,769.239036461902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14515839.6,636986.921661504,169398.70614335,0,0,0,0,0,0,42830.8426950844,468181.923607001,0,27777.5548823243,2323581.20498006,884680.524385186,0,0,0,9944883.2682658,3503.12219919209,2455.37220004832,10790.9379780099,0,769.239036461902,14515839.618034,0,0,0,14515839.6,100
"7","Sierra Leone","Northern","Port Loko",163461.559578412,146633.842531968,0,0,0,0,0,0,753.372680322787,484297.198576943,0,0,1032497.33485167,60743.7238200244,0,0,0,4501016.8595493,427.655035836107,0,17.7493288022682,0,267.9084043923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6390117.2,163461.559578412,146633.842531968,0,0,0,0,0,0,753.372680322787,484297.198576943,0,0,1032497.33485167,60743.7238200244,0,0,0,4501016.8595493,427.655035836107,0,17.7493288022682,0,267.9084043923,6390117.20435767,0,0,0,6390117.2,100
"8","Sierra Leone","Northern","Tonkolili",274227.519201966,176326.871786197,0,0,0,0,0,0,9577.89026036329,379259.369121308,0,0,803764.374550813,183459.712376651,0,0,0,5321634.01049714,4040.39540122466,0,464.673431033039,0,326.943102136152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7153081.8,274227.519201966,176326.871786197,0,0,0,0,0,0,9577.89026036329,379259.369121308,0,0,803764.374550813,183459.712376651,0,0,0,5321634.01049714,4040.39540122466,0,464.673431033039,0,326.943102136152,7153081.75972883,0,0,0,7153081.8,100
"9","Sierra Leone","Southern","Bo",60986.3463994422,42463.9968221709,0,0,0,0,0,0,7868.07531098903,4018.61129213636,0,0,185554.638041368,33914.6808924452,0,0,0,1447133.26202046,16.9163334558199,0,557.089099995723,0,79.8519760307527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782593.5,60986.3463994422,42463.9968221709,0,0,0,0,0,0,7868.07531098903,4018.61129213636,0,0,185554.638041368,33914.6808924452,0,0,0,1447133.26202046,16.9163334558199,0,557.089099995723,0,79.8519760307527,1782593.4681885,0,0,0,1782593.5,100
"10","Sierra Leone","Southern","Bonthe",66623.5520103451,49128.5048739816,0,0,0,0,0,0,6477.07588809171,3356.02363243782,0,0,645577.875101813,369555.221285557,0,0,0,817288.58381733,7662.93979448408,0,525.586437870228,0,12.0204702783275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833.54738181406,826.091838730343,0,0,0,0,0,0,50.3930754978596,0,0,0,29970.4597289774,3902.0499127881,0,0,0,14205.0115818421,12.0960548066518,0,1.01936922914703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017008.1,68457.0993921591,49954.596712712,0,0,0,0,0,0,6527.46896358957,3356.02363243782,0,0,675548.33483079,373457.271198345,0,0,0,831493.595399172,7675.03584929073,0,526.605807099375,0,12.0204702783275,1966207.38331219,0,50800.6689436857,0,2017008.1,100
