"","COUNTRY","NAME_1","NAME_2","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd","SORG_add_usd","BEAN_add_usd","CHIC_add_usd","LENT_add_usd","WHEA_add_usd","BARL_add_usd","ACOF_add_usd","RCOF_add_usd","PMIL_add_usd","SMIL_add_usd","POTA_add_usd","SWPO_add_usd","CASS_add_usd","COWP_add_usd","PIGE_add_usd","SOYB_add_usd","GROU_add_usd","SUGC_add_usd","COTT_add_usd","COCO_add_usd","TEAS_add_usd","TOBA_add_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"31","Tanzania","Kagera","Biharamulo",253221.07417698,13975.8362622138,805260.007872994,51041.255671579,0,0,0,0,105.414906786318,1920.96834135668,5208.88695782881,0,789313.441684505,26505.3502726859,2777.34107953489,0,0,355389.354819245,0,4076.98701763464,0,0,3066.62200598876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157373.597529475,8952.57039173837,704921.927882193,0,0,0,0,36.6134391955988,2312.69636326362,805.716155183353,1178.59697730443,14151.5326767331,348948.832056159,3247.36176330107,0,0,2.61933690208283,40587.9897353464,0,86.5149905922077,0,0.318027296722736,4036.43453623603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598505.9,410594.671706455,22928.4066539522,1510181.93575519,51041.255671579,0,0,0,36.6134391955988,2418.11127004994,2726.68449654003,6387.48393513324,14151.5326767331,1138262.27374066,29752.712035987,2777.34107953489,0,2.61933690208283,395977.344554592,0,4163.50200822684,0,0.318027296722736,7103.05654222479,2311862.54106933,0,1286643.32186092,0,3598505.9,100
"32","Tanzania","Kagera","Bukoba Rural",784332.752885237,448185.364031913,6413120.85233018,0,0,0,0,0,129708.891832397,471892.315887272,0,0,1322554.96571131,45655.7062368561,81758.1955339048,0,0,685303.156671908,0,0,0,314.99054845576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41996.7836874421,50317.9330662265,891012.802736546,0,0,0,0,0,1627.3066021855,39582.6255368541,2.3500010358188,65.4962976363,78626.1335203407,0,5191.1020867458,0,0,89237.6948500922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11580487.4,826329.53657268,498503.29709814,7304133.65506673,0,0,0,0,0,131336.198434582,511474.941424126,2.3500010358188,65.4962976363,1401181.09923165,45655.7062368561,86949.2976206506,0,0,774540.851522,0,0,0,314.99054845576,0,10382827.1916694,0,1197660.22838511,0,11580487.4,100
"33","Tanzania","Kagera","Bukoba Urban",495716.883059145,170778.38481843,3434214.46514301,0,0,0,0,0,58260.652459241,278829.933737005,0,0,761793.044528715,40357.9404549154,44525.7255160079,0,0,381640.505213891,0,0,0,247.301482795571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5666364.8,495716.883059145,170778.38481843,3434214.46514301,0,0,0,0,0,58260.652459241,278829.933737005,0,0,761793.044528715,40357.9404549154,44525.7255160079,0,0,381640.505213891,0,0,0,247.301482795571,0,5666364.83641316,0,0,0,5666364.8,100
"36","Tanzania","Kagera","Lake Victoria",103520.68353393,41694.9197381316,656518.466561482,0,0,0,0,0,15589.0015855245,87848.0626543898,0,0,247359.072605863,3137.47200502794,5241.05268734135,0,0,102066.769501682,0,0,0,11.8633950847175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7910.93186709696,246.378218924739,57720.2237468883,0,0,0,0,0,0,0,0,0,15613.5444152303,0,0,0,0,3116.73858433118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347595.2,111431.615401027,41941.2979570563,714238.69030837,0,0,0,0,0,15589.0015855245,87848.0626543898,0,0,262972.617021093,3137.47200502794,5241.05268734135,0,0,105183.508086013,0,0,0,11.8633950847175,0,1262987.36426846,0,84607.8168324714,0,1347595.2,100
"38","Tanzania","Kagera","Muleba",1596930.89024348,257328.49112986,4886199.28149722,0,0,0,0,0,32037.8165205994,61729.2163256055,0,0,1258928.76995918,25929.5155708442,14901.5950449307,0,0,97838.33189676,0,0,0,228.259614179978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897787.093857343,40297.1839605781,4585741.98752596,0,0,0,0,0,31777.1512585445,344.969978340537,73.7711803932293,2563.00136191336,1227164.98700623,17195.6714804139,46.6005579144592,0,0,205484.255185487,0,2.75911308975187,0,41.7837493949617,15.8273258574352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15240589.2,2494717.98410082,297625.675090438,9471941.26902318,0,0,0,0,0,63814.9677791439,62074.186303946,73.7711803932293,2563.00136191336,2486093.75696541,43125.1870512581,14948.1956028452,0,0,303322.587082247,0,2.75911308975187,0,270.043363574939,15.8273258574352,8232052.16780266,0,7008537.04354146,0,15240589.2,100
"39","Tanzania","Kagera","Ngara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200119.370883408,87509.3139813072,2725127.87299916,0,0,0,0,1615.65046734197,211.80853952042,5.68597896974462,54053.5655253314,374603.716144428,150895.318468299,121.299482925925,0,25053.0569873481,5317.0056704495,567868.954726771,0.037629612543443,319.488450559562,0,4.4811478635322,364.618534107022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4193191.2,200119.370883408,87509.3139813072,2725127.87299916,0,0,0,0,1615.65046734197,211.80853952042,5.68597896974462,54053.5655253314,374603.716144428,150895.318468299,121.299482925925,0,25053.0569873481,5317.0056704495,567868.954726771,0.037629612543443,319.488450559562,0,4.4811478635322,364.618534107022,0,0,4193191.2456174,0,4193191.2,100
"40","Tanzania","Kaskazini Pemba","Micheweni",544.65448501446,564.930366765975,40.279788005774,0,0,26.4589982404906,0,0,0,610.093884678947,22.7156464485014,58.4672193008756,2360.35811104207,0,489.021306025486,0,0,137.198290215565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207.93242504489,7306.42429272744,296.501970655021,0,0,24.5139126208295,0,0,0,7649.0137052195,29.7882566929677,27.476954067304,34996.5408290263,0,7246.56118077911,0,0,1189.84504925745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66828.8,3752.58691005935,7871.35465949342,336.781758660795,0,0,50.9729108613201,0,0,0,8259.10758989845,52.503903141469,85.9441733681797,37356.8989400684,0,7735.58248680459,0,0,1327.04333947302,0,0,0,0,0,4854.17809573814,0,61974.5985760908,0,66828.8,100
"41","Tanzania","Kaskazini Pemba","Wete",918.026470103042,2048.80733409447,106.454727872233,0,0,7.80126605644264,0,0,0,2342.25514533651,9.83111508806537,8.78614002274185,9956.39896444292,0,1956.44646020572,0,0,362.362681329936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264.6609429,5024.68361545429,247.741519391361,0,0,14.8475002792104,0,0,0,4729.31648697023,19.2465246678047,17.788342418646,24275.2604143582,0,5040.59961894555,0,0,3082.44039169441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62433.8,3182.68741300305,7073.49094954876,354.196247263595,0,0,22.648766335653,0,0,0,7071.57163230674,29.07763975587,26.5744824413878,34231.6593788011,0,6997.04607915127,0,0,3444.80307302435,0,0,0,0,0,17717.1703045521,0,44716.5853570797,0,62433.8,100
"42","Tanzania","Kaskazini Unguja","Kaskazini 'A'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3130.43769251183,586.629667723863,1427.22571657535,0,0,0.725706224386859,0,0,0,45.5869589189688,0,10.6664504405687,6344.46846989863,0,981.41194106089,0,0,1124.67377706951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13651.8,3130.43769251183,586.629667723863,1427.22571657535,0,0,0.725706224386859,0,0,0,45.5869589189688,0,10.6664504405687,6344.46846989863,0,981.41194106089,0,0,1124.67377706951,0,0,0,0,0,0,0,13651.826380424,0,13651.8,100
"43","Tanzania","Kaskazini Unguja","Kaskazini 'B'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6889.04028304315,1942.89626303548,3349.12898082622,0,0,1.9902881069394,0,0,0,147.182936015847,0,30.3750767570773,19620.3462526327,0,3073.88860832545,0,0,2716.22077690437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37771.1,6889.04028304315,1942.89626303548,3349.12898082622,0,0,1.9902881069394,0,0,0,147.182936015847,0,30.3750767570773,19620.3462526327,0,3073.88860832545,0,0,2716.22077690437,0,0,0,0,0,0,0,37771.0694656473,0,37771.1,100
