"","COUNTRY","NAME_1","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd","SORG_add_usd","BEAN_add_usd","CHIC_add_usd","LENT_add_usd","WHEA_add_usd","BARL_add_usd","ACOF_add_usd","RCOF_add_usd","PMIL_add_usd","SMIL_add_usd","POTA_add_usd","SWPO_add_usd","CASS_add_usd","COWP_add_usd","PIGE_add_usd","SOYB_add_usd","GROU_add_usd","SUGC_add_usd","COTT_add_usd","COCO_add_usd","TEAS_add_usd","TOBA_add_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Uganda","Adjumani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41373.8967177978,14472.0187483334,183221.495130568,0,0,0,0,0,0.171775668148508,0,1563.29783300398,0,49002.7150308327,0,27.2698118135889,36955.1860438056,70.7227870624463,79935.1289781179,0,0.0120755910601462,0,0,0.355351656376064,95.8449860415425,79.7928816999324,17027.3822863406,0,0,0,0,0,0,0,0,0,218.498756667518,0,241.142014672697,4116.87821660342,0.0942958349976517,7026.1457619008,0,0,0,0,0,435428,41469.7417038393,14551.8116300333,200248.877416908,0,0,0,0,0,0.171775668148508,0,1563.29783300398,0,49221.2137875002,0,268.411826486286,41072.064260409,70.817082897444,86961.2747400187,0,0.0120755910601462,0,0,0.355351656376064,0,0,406622.270284251,28805.7791997615,406622.3,93.4
"2","Uganda","Apac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3793435.42609645,324025.144743625,16831350.9628115,0,0,0,0,0,368697.53740415,0,1013845.26966009,173068.280322374,1862287.15383844,229020.801137905,285319.017096002,1842332.23033441,11306478.7255355,5664834.85351719,22464.6691678523,116737.390797158,17844.7258662801,3505.42977712485,130774.716282186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43986022.3,3793435.42609645,324025.144743625,16831350.9628115,0,0,0,0,0,368697.53740415,0,1013845.26966009,173068.280322374,1862287.15383844,229020.801137905,285319.017096002,1842332.23033441,11306478.7255355,5664834.85351719,22464.6691678523,116737.390797158,17844.7258662801,3505.42977712485,130774.716282186,0,0,43986022.3343882,0,43986022.3,100
"3","Uganda","Arua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136779.945963965,75558.2471926768,603439.218612979,6010.68018605183,0,1093.20962546357,2.43595536263439,939.604087485545,0,3209.35345374993,159504.511728641,7606.99779078515,280227.70834782,1260.06133032325,34840.5820303036,90646.04611818,19256.4450632624,725947.103041108,45.0981016961403,1759.19208169382,35.8691328193298,5.59373629105348,2390.36797089983,1851.57333251483,2187.31600401588,17728.2314555623,0,0,0,0,29.0328592957704,0,0,0,0,4752.35789711928,0,799.12129349708,3158.37083452306,494.253094085154,21386.6307175351,0,15.1842289245757,0,0,27.9977336967675,2202988.4,138631.51929648,77745.5631966926,621167.450068541,6010.68018605183,0,1093.20962546357,2.43595536263439,968.636946781315,0,3209.35345374993,159504.511728641,7606.99779078515,284980.06624494,1260.06133032325,35639.7033238006,93804.416952703,19750.6981573475,747333.733758644,45.0981016961403,1774.3763106184,35.8691328193298,5.59373629105348,2418.36570459659,0,0,2150558.27155156,52430.0694507698,2150558.3,97.6
"4","Uganda","Bugiri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382612.091233851,8229.86722154747,300894.586985063,0,0,0,0,0,373.865929647523,0,20288.1908720344,0,114290.252467056,0,1478.3619482396,3140789.40066904,28559.4418255669,239355.86511785,0,119.208779196635,0,0,181.648395371676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4237172.8,382612.091233851,8229.86722154747,300894.586985063,0,0,0,0,0,373.865929647523,0,20288.1908720344,0,114290.252467056,0,1478.3619482396,3140789.40066904,28559.4418255669,239355.86511785,0,119.208779196635,0,0,181.648395371676,0,0,4237172.78144446,0,4237172.8,100
"5","Uganda","Bundibugyo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670.418554303088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13612.7659104225,0,0,0,0,0,0,0,0,0,0,0,0,0.0331597339700985,0,6267.596352658,0,0,0,0,0,20550.8,0,0,14283.1844647256,0,0,0,0,0,0,0,0,0,0,0,0,0.0331597339700985,0,6267.596352658,0,0,0,0,0,0,0,670.418554303088,19880.3954228145,670.4,3.3
"6","Uganda","Bushenyi",7908296.02275414,82125.296397611,3873937.718058,161059.030039337,0,139284.372851371,0,1492.18208507249,1.44876656709286,0,315272.949108463,389579.82478086,465547.91552248,0,757.256602035128,0,25490.1086487273,87905.7129310615,0,181.348507003196,0,4.05454678657642,19363.4662343553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49065.5343003878,817.815511441816,32967.9484055892,10824.0482123415,0,2140.49426779687,0,0,0,0,11557.4085359659,18327.7098284847,20649.3289838695,0,286.859515396993,0,2884.17646294838,18588.6716518555,0,0,0,0,0,0,0,4.26622893721644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415.24513303093,0,0,0,0,0,13639828.2,7957361.55705453,82943.1119090529,3906909.93269253,171883.078251679,0,141424.867119168,0,1492.18208507249,1.44876656709286,0,326830.357644429,407907.534609345,486197.24450635,0,1044.11611743212,0,28374.2851116757,107909.629715948,0,181.348507003196,0,4.05454678657642,19363.4662343553,13470298.7078339,0,168109.995676078,1419.51136196815,13638408.7,100
"7","Uganda","Busia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175649.249087085,20577.3268406776,150091.562438444,0,0,0,0,0,1685.29333587959,955.734458672113,10693.7534588725,0,146205.711638025,0,1102.6304733524,360540.230675788,21716.1777211289,40460.9772500176,0,529.381206775966,0,0,1322.70683898847,0,0,3235.85891389108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.0888882799,0,0,0,0,0,935073.7,175649.249087085,20577.3268406776,153327.421352335,0,0,0,0,0,1685.29333587959,955.734458672113,10693.7534588725,0,146205.711638025,0,1102.6304733524,360540.230675788,21716.1777211289,40768.0661382975,0,529.381206775966,0,0,1322.70683898847,0,0,931530.735423708,3542.94780217098,931530.7,99.6
"8","Uganda","Gulu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522911.916390323,231926.528126427,5534230.65847651,0,0,0,0,0,42091.4444670126,0,389201.800030827,2292.24141086906,833843.42699345,1347.53838502943,2806.15519252541,459694.382993264,483332.888829583,3659611.37536743,295.341713959852,11083.6213982309,0.314804002942331,41.7401771218275,14171.9158704691,547.61013198776,232.756268967413,30833.1899705735,0,0,0,0,0,106.780224358783,0,378.067071756792,0,890.112029429504,0,0,1175.24892358737,343.674299303457,14381.1563696667,0,4.82907772942026,0,0,37.0938415889372,12237813.7,523459.526522311,232159.284395394,5565063.84844709,0,0,0,0,0,42198.2246913714,0,389579.867102584,2292.24141086906,834733.539022879,1347.53838502943,2806.15519252541,460869.631916852,483676.563128886,3673992.53173709,295.341713959852,11088.4504759603,0.314804002942331,41.7401771218275,14209.009712058,0,0,12188883.290627,48930.5182089497,12188883.2,99.6
"9","Uganda","Hoima",304.51085908403,3.06959268492179,7219.71829344945,0,0,0,0,0,0,0,21.2475386955104,24.7787793891652,240.204976078193,0,2.1109865911561,463.268546795124,394.617277654392,8369.60426433281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101762.326408705,746.372692709356,86070.3287352597,0,0,0,0,0,1974.14814105502,0,8742.67196820132,16966.4561819317,102859.446147893,77.8683705327012,9587.64274396555,11729.0374331368,803.381033847123,177054.403557465,20.3799836407368,642.066693727444,14.3401620849073,2.50442977642419,730.321983588959,897.083319556607,5.58493116520865,5791.69224385483,0,0,0,0,0,0,0,65.2893920798618,228.952195702728,714.976639741127,0,11.1627012210321,446.542345344871,42.1520295745247,7407.3741505162,0,0,0,0,0,552437.6,102963.920587346,755.027216559487,99081.739272564,0,0,0,0,0,1974.14814105502,0,8829.2088989767,17220.1871570236,103814.627763713,77.8683705327012,9600.91643177774,12638.8483252768,1240.15034107604,192831.381972314,20.3799836407368,642.066693727444,14.3401620849073,2.50442977642419,730.321983588959,17043.1311147548,0,519783.696667521,15610.809948757,536826.8,97.2
"10","Uganda","Iganga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498681.53661253,12912.8866259037,2134013.20341991,0,0,0,0,0,10534.1158466308,0,128936.131749236,0,3128054.45150158,0,18504.2013914054,385459.067107333,242744.578588279,1611045.91408492,0,3456.39999896845,0,0,4104.89478131442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11178447.4,3498681.53661253,12912.8866259037,2134013.20341991,0,0,0,0,0,10534.1158466308,0,128936.131749236,0,3128054.45150158,0,18504.2013914054,385459.067107333,242744.578588279,1611045.91408492,0,3456.39999896845,0,0,4104.89478131442,0,0,11178447.381708,0,11178447.4,100
