"","COUNTRY","NAME_1","NAME_2","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd","SORG_add_usd","BEAN_add_usd","CHIC_add_usd","LENT_add_usd","WHEA_add_usd","BARL_add_usd","ACOF_add_usd","RCOF_add_usd","PMIL_add_usd","SMIL_add_usd","POTA_add_usd","SWPO_add_usd","CASS_add_usd","COWP_add_usd","PIGE_add_usd","SOYB_add_usd","GROU_add_usd","SUGC_add_usd","COTT_add_usd","COCO_add_usd","TEAS_add_usd","TOBA_add_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"2","Uganda","Apac","Kole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415632.398994092,47351.948307305,2029595.13416148,0,0,0,0,0,8631.50994701145,0,116807.87507021,15678.8196648991,201395.824580342,0,5538.93057654387,398443.676985874,988759.07181273,623269.740139735,0,3021.12032327323,0,0,3167.22688485648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4857293.3,415632.398994092,47351.948307305,2029595.13416148,0,0,0,0,0,8631.50994701145,0,116807.87507021,15678.8196648991,201395.824580342,0,5538.93057654387,398443.676985874,988759.07181273,623269.740139735,0,3021.12032327323,0,0,3167.22688485648,0,0,4857293.27744835,0,4857293.3,100
"3","Uganda","Apac","Kwania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972030.802806772,79424.9530463108,4282404.93646287,0,0,0,0,0,93428.3687591136,0,255781.449563244,38367.8285383964,483568.579525856,73659.6859912164,13739.434011028,413944.993469328,3152707.9210666,1502549.22265993,6950.74729174761,32232.2332566637,4977.21693471603,1066.47254872564,34517.5792537827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11441352.4,972030.802806772,79424.9530463108,4282404.93646287,0,0,0,0,0,93428.3687591136,0,255781.449563244,38367.8285383964,483568.579525856,73659.6859912164,13739.434011028,413944.993469328,3152707.9210666,1502549.22265993,6950.74729174761,32232.2332566637,4977.21693471603,1066.47254872564,34517.5792537827,0,0,11441352.4251863,0,11441352.4,100
"4","Uganda","Apac","Maruzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392443.08094223,96662.6925227154,5572485.60674985,0,0,0,0,0,205336.738045864,0,360794.774201258,70755.6188790216,665673.06170237,148558.348530342,127685.676858901,500184.39122184,4696799.11444063,1807476.09603461,14799.0910116666,63527.0262622237,12555.9276918587,2334.84533414485,72838.7140066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15810910.8,1392443.08094223,96662.6925227154,5572485.60674985,0,0,0,0,0,205336.738045864,0,360794.774201258,70755.6188790216,665673.06170237,148558.348530342,127685.676858901,500184.39122184,4696799.11444063,1807476.09603461,14799.0910116666,63527.0262622237,12555.9276918587,2334.84533414485,72838.7140066667,0,0,15810910.8044362,0,15810910.8,100
"5","Uganda","Apac","Oyam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013329.14335335,100585.550867294,4946865.28543727,0,0,0,0,0,61300.920652161,0,280461.170825379,48266.0132400574,511649.688029876,6802.76661634629,138354.97564953,529759.168657371,2468212.61821555,1731539.79468292,714.830864438102,17957.0109549974,311.581239705354,104.111894254365,20251.1961368796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11876465.8,1013329.14335335,100585.550867294,4946865.28543727,0,0,0,0,0,61300.920652161,0,280461.170825379,48266.0132400574,511649.688029876,6802.76661634629,138354.97564953,529759.168657371,2468212.61821555,1731539.79468292,714.830864438102,17957.0109549974,311.581239705354,104.111894254365,20251.1961368796,0,0,11876465.8273174,0,11876465.8,100
"6","Uganda","Arua","Arua Municipality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205.74518916705,727.042504839767,9650.24524250654,0,0,0,0,41.5741367634005,0,0,3371.44598985896,0,3718.72059530974,0,472.217347362755,1950.76589520403,354.64431094194,10697.4047937568,0,21.3891087275432,0,0,34.989715316656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32246.2,1205.74518916705,727.042504839767,9650.24524250654,0,0,0,0,41.5741367634005,0,0,3371.44598985896,0,3718.72059530974,0,472.217347362755,1950.76589520403,354.64431094194,10697.4047937568,0,21.3891087275432,0,0,34.989715316656,0,0,32246.1848297552,0,32246.2,100
"7","Uganda","Arua","Ayivu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17328.9650108686,8766.22503564344,109394.585010664,0,0,0,0,97.3375245006316,0,456.962650476041,41728.1132430973,0,45743.8080709594,0,6010.26629723246,19392.4568602413,4167.3595310935,127060.729916833,0,53.5072058277253,0,0,85.3871231029748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380285.7,17328.9650108686,8766.22503564344,109394.585010664,0,0,0,0,97.3375245006316,0,456.962650476041,41728.1132430973,0,45743.8080709594,0,6010.26629723246,19392.4568602413,4167.3595310935,127060.729916833,0,53.5072058277253,0,0,85.3871231029748,0,0,380285.703480541,0,380285.7,100
"8","Uganda","Arua","Koboko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41770.7904311524,29696.379737956,57801.6263849726,2662.65692766886,0,38.355498364215,0,0,0,35.7875107138168,152.601327928091,3490.19607494364,62406.245672115,41.7011985411401,5107.80409835966,1364.62085143366,0.568425537020791,77211.2485641347,8.13795583088212,1042.97954123189,7.38503819232527,0.631843619083077,1441.93646895523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284281.7,41770.7904311524,29696.379737956,57801.6263849726,2662.65692766886,0,38.355498364215,0,0,0,35.7875107138168,152.601327928091,3490.19607494364,62406.245672115,41.7011985411401,5107.80409835966,1364.62085143366,0.568425537020791,77211.2485641347,8.13795583088212,1042.97954123189,7.38503819232527,0.631843619083077,1441.93646895523,0,0,284281.65355165,0,284281.7,100
"10","Uganda","Arua","Maracha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56732.1957036925,21239.860449301,260548.716676411,0,0,0,0,466.115565813182,0,2504.61074769196,102293.504894243,0,121268.987338031,729.075445595922,16053.6777042347,40259.6115610567,10599.3565621272,316443.651087607,8.01753024324875,489.868251857428,8.76493742098228,1.50570370374232,560.865826649748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950208.4,56732.1957036925,21239.860449301,260548.716676411,0,0,0,0,466.115565813182,0,2504.61074769196,102293.504894243,0,121268.987338031,729.075445595922,16053.6777042347,40259.6115610567,10599.3565621272,316443.651087607,8.01753024324875,489.868251857428,8.76493742098228,1.50570370374232,560.865826649748,0,0,950208.385985681,0,950208.4,100
"12","Uganda","Arua","Vurra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9150.1289042472,2129.64657960468,64504.5150690266,3348.02325838296,0,1043.53964818127,2.43595536263439,13.6323362465231,0,211.992544868112,11777.7201475495,4105.19785925892,13841.6092741986,0,1633.66154860806,8760.59980656459,1015.01908866338,70168.7411185914,0,14.9258419582785,0,0,17.1424076865682,0,0,29.9180798930205,0,0,0,0,0,0,0,0,0,0,0,0,4.53841028248639,0,34.5469217164221,0,0,0,0,0,191807.5,9150.1289042472,2129.64657960468,64534.4331489196,3348.02325838296,0,1043.53964818127,2.43595536263439,13.6323362465231,0,211.992544868112,11777.7201475495,4105.19785925892,13841.6092741986,0,1633.66154860806,8765.13821684708,1015.01908866338,70203.2880403078,0,14.9258419582785,0,0,17.1424076865682,0,0,191738.531388999,69.003411891929,191738.5,100
"13","Uganda","Bugiri","Bukooli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382612.091233851,8229.86722154747,300894.586985063,0,0,0,0,0,373.865929647523,0,20288.1908720344,0,114290.252467056,0,1478.3619482396,3140789.40066904,28559.4418255669,239355.86511785,0,119.208779196635,0,0,181.648395371676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4237172.8,382612.091233851,8229.86722154747,300894.586985063,0,0,0,0,0,373.865929647523,0,20288.1908720344,0,114290.252467056,0,1478.3619482396,3140789.40066904,28559.4418255669,239355.86511785,0,119.208779196635,0,0,181.648395371676,0,0,4237172.78144446,0,4237172.8,100
