"","COUNTRY","NAME_1","NAME_2","MAIZ_add_usd_l_ph_h_hp","SORG_add_usd_l_ph_h_hp","BEAN_add_usd_l_ph_h_hp","CHIC_add_usd_l_ph_h_hp","LENT_add_usd_l_ph_h_hp","WHEA_add_usd_l_ph_h_hp","BARL_add_usd_l_ph_h_hp","ACOF_add_usd_l_ph_h_hp","RCOF_add_usd_l_ph_h_hp","PMIL_add_usd_l_ph_h_hp","SMIL_add_usd_l_ph_h_hp","POTA_add_usd_l_ph_h_hp","SWPO_add_usd_l_ph_h_hp","CASS_add_usd_l_ph_h_hp","COWP_add_usd_l_ph_h_hp","PIGE_add_usd_l_ph_h_hp","SOYB_add_usd_l_ph_h_hp","GROU_add_usd_l_ph_h_hp","SUGC_add_usd_l_ph_h_hp","COTT_add_usd_l_ph_h_hp","COCO_add_usd_l_ph_h_hp","TEAS_add_usd_l_ph_h_hp","TOBA_add_usd_l_ph_h_hp","MAIZ_add_usd_l_ph_l_hp","SORG_add_usd_l_ph_l_hp","BEAN_add_usd_l_ph_l_hp","CHIC_add_usd_l_ph_l_hp","LENT_add_usd_l_ph_l_hp","WHEA_add_usd_l_ph_l_hp","BARL_add_usd_l_ph_l_hp","ACOF_add_usd_l_ph_l_hp","RCOF_add_usd_l_ph_l_hp","PMIL_add_usd_l_ph_l_hp","SMIL_add_usd_l_ph_l_hp","POTA_add_usd_l_ph_l_hp","SWPO_add_usd_l_ph_l_hp","CASS_add_usd_l_ph_l_hp","COWP_add_usd_l_ph_l_hp","PIGE_add_usd_l_ph_l_hp","SOYB_add_usd_l_ph_l_hp","GROU_add_usd_l_ph_l_hp","SUGC_add_usd_l_ph_l_hp","COTT_add_usd_l_ph_l_hp","COCO_add_usd_l_ph_l_hp","TEAS_add_usd_l_ph_l_hp","TOBA_add_usd_l_ph_l_hp","MAIZ_add_usd_h_ph_h_hp","SORG_add_usd_h_ph_h_hp","BEAN_add_usd_h_ph_h_hp","CHIC_add_usd_h_ph_h_hp","LENT_add_usd_h_ph_h_hp","WHEA_add_usd_h_ph_h_hp","BARL_add_usd_h_ph_h_hp","ACOF_add_usd_h_ph_h_hp","RCOF_add_usd_h_ph_h_hp","PMIL_add_usd_h_ph_h_hp","SMIL_add_usd_h_ph_h_hp","POTA_add_usd_h_ph_h_hp","SWPO_add_usd_h_ph_h_hp","CASS_add_usd_h_ph_h_hp","COWP_add_usd_h_ph_h_hp","PIGE_add_usd_h_ph_h_hp","SOYB_add_usd_h_ph_h_hp","GROU_add_usd_h_ph_h_hp","SUGC_add_usd_h_ph_h_hp","COTT_add_usd_h_ph_h_hp","COCO_add_usd_h_ph_h_hp","TEAS_add_usd_h_ph_h_hp","TOBA_add_usd_h_ph_h_hp","MAIZ_add_usd_h_ph_l_hp","SORG_add_usd_h_ph_l_hp","BEAN_add_usd_h_ph_l_hp","CHIC_add_usd_h_ph_l_hp","LENT_add_usd_h_ph_l_hp","WHEA_add_usd_h_ph_l_hp","BARL_add_usd_h_ph_l_hp","ACOF_add_usd_h_ph_l_hp","RCOF_add_usd_h_ph_l_hp","PMIL_add_usd_h_ph_l_hp","SMIL_add_usd_h_ph_l_hp","POTA_add_usd_h_ph_l_hp","SWPO_add_usd_h_ph_l_hp","CASS_add_usd_h_ph_l_hp","COWP_add_usd_h_ph_l_hp","PIGE_add_usd_h_ph_l_hp","SOYB_add_usd_h_ph_l_hp","GROU_add_usd_h_ph_l_hp","SUGC_add_usd_h_ph_l_hp","COTT_add_usd_h_ph_l_hp","COCO_add_usd_h_ph_l_hp","TEAS_add_usd_h_ph_l_hp","TOBA_add_usd_h_ph_l_hp","total","MAIZ_add_usd","SORG_add_usd","BEAN_add_usd","CHIC_add_usd","LENT_add_usd","WHEA_add_usd","BARL_add_usd","ACOF_add_usd","RCOF_add_usd","PMIL_add_usd","SMIL_add_usd","POTA_add_usd","SWPO_add_usd","CASS_add_usd","COWP_add_usd","PIGE_add_usd","SOYB_add_usd","GROU_add_usd","SUGC_add_usd","COTT_add_usd","COCO_add_usd","TEAS_add_usd","TOBA_add_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"3","Zambia","Central","Chitambo",1185286.68586942,15750.4669342484,45.9364858074381,0,0,54.733363766979,0,0,0,29020.5010045834,11782.2412775168,0,98090.8047487286,7619.61505017663,0,0,22265.1474382103,324123.183334716,773.077864754147,0,0,0,145051.076181478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631849.242202305,8472.81694843161,39.1450299995548,0,0,12.9313387443131,0,0,0,7324.40128125991,9896.39946888096,0,111214.957531185,1266.41208090064,0,0,26717.5253317752,175791.199819927,0,0,0,0,46538.0225937709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.035716915677,0,0,0,0,0,2858997.6,1817135.92807173,24223.28388268,85.0815158069928,0,0,67.6647025112921,0,0,0,36344.9022858433,21678.6407463977,0,209305.762279914,8886.02713107727,0,0,48982.6727699856,499925.418871559,773.077864754147,0,0,0,191589.098775249,1839863.46955341,0,1019123.05362718,11.035716915677,2858986.5,100
"11","Zambia","Central","Serenje",882318.887710872,14473.0770200816,58.5810970238875,0,0,50.6565435471807,0,0,0,15446.8566477674,12812.3782328678,26.5429595666525,112504.419367625,3445.18949884064,0,0,25911.1812255415,401060.469835859,0,0,0,0,87127.3034059869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232483.669819208,4544.62892638207,0,0,0,0,0,0,0,853.562464230362,6412.93569667604,53.3094504589314,81649.0787826117,364.706481650124,0,0,19259.4869514755,150117.058004928,0,0.0489218196412582,0,0,45880.0705740669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.481660642151,0,0,0,0,0,2097262.6,1114802.55753008,19017.7059464637,58.5810970238875,0,0,50.6565435471807,0,0,0,16300.4191119978,19225.3139295438,79.8524100255839,194153.498150237,3809.89598049077,0,0,45170.668177017,551586.009501429,0,0.0489218196412582,0,0,133007.373980054,1555235.54354558,0,541618.556073508,408.481660642151,2096854.1,100
"12","Zambia","Copperbelt","Chililabombwe",651718.961407713,1191.3059720051,145.072243193367,0,0,232.153811612667,0,0,0,7156.7695464651,770.95694646019,12573.7066501071,445779.202880553,5515.33052362401,50.1552209376911,0,4075.45759193886,474678.320663993,19538.3057212261,0,0,0,4860.79998358792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61977.1273421791,138.163928929166,0,0,0,0,0,0,0,451.591814875859,60.4345493303048,1681.95337556855,65530.2541261444,90.3138151196538,0,0,403.295216687876,36719.6960951659,0,0,0,0,348.756882086211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1795688.1,713696.088749892,1329.46990093427,145.072243193367,0,0,232.153811612667,0,0,0,7608.36136134096,831.391495790495,14255.6600256757,511309.457006698,5605.64433874366,50.1552209376911,0,4478.75280862674,511398.016759159,19538.3057212261,0,0,0,5209.55686567413,1628286.49916342,0,167401.587146087,0,1795688.1,100
"13","Zambia","Copperbelt","Chingola",1690050.25689444,1396.00072619348,0,0,0,0,0,0,0,11476.1095825406,2107.73199924319,11746.1191482249,315087.351637129,13997.223596339,0,0,14458.9421032199,626290.331989339,33535.0426689869,0,0,0,2908.01240333018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142485.177065332,64.9242484200067,0,0,0,0,0,0,0,2169.3447162127,201.983779925415,652.166111277114,28073.440277569,1550.03405108988,0,0,644.785398602695,94942.4046135397,612.086565697274,0,0,0,290.961654127221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2994740.4,1832535.43395977,1460.92497461349,0,0,0,0,0,0,0,13645.4542987533,2309.7157791686,12398.285259502,343160.791914698,15547.2576474289,0,0,15103.7275018226,721232.736602879,34147.1292346842,0,0,0,3198.9740574574,2723053.12274898,0,271687.308481793,0,2994740.4,100
"14","Zambia","Copperbelt","Kalulushi",346040.646625973,892.102064547766,0,0,0,0,0,0,0,1418.94919327885,311.139680286466,1521.26522058428,52400.0371748952,652.583065233476,0,0,9205.49219852853,270224.041506309,2979.44998595929,0,0,0,209.393059978798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35008.6014692813,167.552807860324,0,0,0,0,0,0,0,32.2913715937967,3.13657161199185,9.35544432960481,2360.26467396815,0.873306947572019,0,0,1474.52428248474,17067.919210221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741979.6,381049.248095254,1059.65487240809,0,0,0,0,0,0,0,1451.24056487265,314.276251898458,1530.62066491388,54760.3018488634,653.456372181048,0,0,10680.0164810133,287291.96071653,2979.44998595929,0,0,0,209.393059978798,685855.099775575,0,56124.5191382984,0,741979.6,100
"15","Zambia","Copperbelt","Kitwe",548785.126404377,1297.63308795059,855.800143884117,0,0,817.513255799937,0,0,0,3486.0917266465,56.3040227393996,268.227511635225,79279.9699471443,1851.11117420681,42.0257435437637,0,8058.87573821763,221576.087636097,109240.427619429,8.70531362602166,0,0,7674.8055793686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73150.8910548224,430.063428751744,0,0,0,0,0,0,0,304.037639611546,1.61878584355467,13.3364933733072,7053.12860216875,0,0,0,1340.88622336259,29882.0442980108,0,0,0,0,228.056706637426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095702.8,621936.017459199,1727.69651670233,855.800143884117,0,0,817.513255799937,0,0,0,3790.12936625805,57.9228085829543,281.564005008533,86333.0985493131,1851.11117420681,42.0257435437637,0,9399.76196158022,251458.131934108,109240.427619429,8.70531362602166,0,0,7902.86228600602,983298.704904666,0,112404.063232582,0,1095702.8,100
"16","Zambia","Copperbelt","Luanshya",400413.217482568,606.47969260446,0,0,0,0,0,0,0,1053.28018718198,76.0661096052742,188.668666893129,48415.1532230695,1199.81960708615,0,0,2958.52763970859,218154.47442692,0,0.417226425201143,0,0,1803.73064908695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75942.003128191,137.431571937101,0,0,0,0,0,0,0,189.046685758272,7.94574323099896,98.1249283408613,9363.77821394382,51.0522174578379,0,0,492.512356935856,59763.033170542,0,0,0,0,106.326242864567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821021.1,476355.220610759,743.91126454156,0,0,0,0,0,0,0,1242.32687294025,84.0118528362732,286.79359523399,57778.9314370133,1250.87182454398,0,0,3451.03999664445,277917.507597462,0,0.417226425201143,0,0,1910.05689195152,674869.834911149,0,146151.254259202,0,821021.1,100
"17","Zambia","Copperbelt","Lufwanyama",3001520.40467315,11859.657862012,0,0,0,47617.9918804778,2451.78705807167,0,0,1503.76224706093,1580.27505856513,24157.9819291194,501599.39070899,10946.9434692072,0,0,156686.520609411,617298.231630292,1396.32374057108,0,0,0,57.5956839657752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58058.5201196628,269.825013447145,0,0,0,5003.70862379867,243.734253107925,0,0,196.300936934945,65.3571632920623,207.067332206302,7995.91863224647,240.789883540245,0,0,4024.09647743715,19810.190829562,1069.11466854,0,0,0,48.970840311763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4475910.5,3059578.92479281,12129.4828754591,0,0,0,52621.7005042765,2695.52131117959,0,0,1700.06318399587,1645.63222185719,24365.0492613257,509595.309341236,11187.7333527475,0,0,160710.617086848,637108.422459854,2465.43840911109,0,0,0,106.566524277538,4378676.86655089,0,97233.5947740875,0,4475910.5,100
"18","Zambia","Copperbelt","Masaiti",5431710.50568173,28776.1966439651,2028.34738525314,0,0,10569.2458552557,573.755989359254,0,0,8777.72388524537,5194.28931671706,59373.8077484523,903624.697041392,11621.5207608037,283.658730832537,0,493202.358608118,2717636.87176026,0,344.994406351856,0,0,7361.35708822589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444232.584170437,2029.33644586536,0,0,0,0,0,0,0,1034.58498493338,430.802033994086,4169.89184542347,114783.879644599,652.964704480767,0,0,17695.3072523912,78837.8399332655,0,1102.1739539244,0,0,10053.6201273435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10356102.3,5875943.08985217,30805.5330898304,2028.34738525314,0,0,10569.2458552557,573.755989359254,0,0,9812.30887017876,5625.09135071115,63543.6995938758,1018408.57668599,12274.4854652845,283.658730832537,0,510897.665860509,2796474.71169352,0,1447.16836027626,0,0,17414.9772155694,9681079.33090196,0,675022.985096658,0,10356102.3,100
"19","Zambia","Copperbelt","Mpongwe",5945214.66203566,75267.8128180336,0,0,0,819097.96143899,35095.96350538,0,0,1926.00373091228,198.108041124942,1323.88873407582,252916.520630022,211.489234721743,0,0,4092159.76561548,1549286.8334811,0,651.115180166366,0,0,6611.91002173396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912104.4745401,21816.1379047758,0,0,0,1474068.81381076,47974.8936205244,0,0,628.641269938226,138.520804984975,162.194841362006,77487.5137462913,68.21048634493,0,0,963245.995405007,434605.641082415,0,943.825288445807,0,0,11612.3280676494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17724819.2,7857319.13657576,97083.9507228094,0,0,0,2293166.77524975,83070.8571259044,0,0,2554.64500085051,336.628846109916,1486.08357543783,330404.034376314,279.699721066673,0,0,5055405.76102048,1983892.47456351,0,1594.94046861217,0,0,18224.2380893833,12779962.0344674,0,4944857.19086859,0,17724819.2,100
