"","COUNTRY","NAME_1","NAME_2","MAIZ_curr_t_l_ph_h_hp","SORG_curr_t_l_ph_h_hp","BEAN_curr_t_l_ph_h_hp","CHIC_curr_t_l_ph_h_hp","LENT_curr_t_l_ph_h_hp","WHEA_curr_t_l_ph_h_hp","BARL_curr_t_l_ph_h_hp","ACOF_curr_t_l_ph_h_hp","RCOF_curr_t_l_ph_h_hp","PMIL_curr_t_l_ph_h_hp","SMIL_curr_t_l_ph_h_hp","POTA_curr_t_l_ph_h_hp","SWPO_curr_t_l_ph_h_hp","CASS_curr_t_l_ph_h_hp","COWP_curr_t_l_ph_h_hp","PIGE_curr_t_l_ph_h_hp","SOYB_curr_t_l_ph_h_hp","GROU_curr_t_l_ph_h_hp","SUGC_curr_t_l_ph_h_hp","COTT_curr_t_l_ph_h_hp","COCO_curr_t_l_ph_h_hp","TEAS_curr_t_l_ph_h_hp","TOBA_curr_t_l_ph_h_hp","MAIZ_curr_t_l_ph_l_hp","SORG_curr_t_l_ph_l_hp","BEAN_curr_t_l_ph_l_hp","CHIC_curr_t_l_ph_l_hp","LENT_curr_t_l_ph_l_hp","WHEA_curr_t_l_ph_l_hp","BARL_curr_t_l_ph_l_hp","ACOF_curr_t_l_ph_l_hp","RCOF_curr_t_l_ph_l_hp","PMIL_curr_t_l_ph_l_hp","SMIL_curr_t_l_ph_l_hp","POTA_curr_t_l_ph_l_hp","SWPO_curr_t_l_ph_l_hp","CASS_curr_t_l_ph_l_hp","COWP_curr_t_l_ph_l_hp","PIGE_curr_t_l_ph_l_hp","SOYB_curr_t_l_ph_l_hp","GROU_curr_t_l_ph_l_hp","SUGC_curr_t_l_ph_l_hp","COTT_curr_t_l_ph_l_hp","COCO_curr_t_l_ph_l_hp","TEAS_curr_t_l_ph_l_hp","TOBA_curr_t_l_ph_l_hp","MAIZ_curr_t_h_ph_h_hp","SORG_curr_t_h_ph_h_hp","BEAN_curr_t_h_ph_h_hp","CHIC_curr_t_h_ph_h_hp","LENT_curr_t_h_ph_h_hp","WHEA_curr_t_h_ph_h_hp","BARL_curr_t_h_ph_h_hp","ACOF_curr_t_h_ph_h_hp","RCOF_curr_t_h_ph_h_hp","PMIL_curr_t_h_ph_h_hp","SMIL_curr_t_h_ph_h_hp","POTA_curr_t_h_ph_h_hp","SWPO_curr_t_h_ph_h_hp","CASS_curr_t_h_ph_h_hp","COWP_curr_t_h_ph_h_hp","PIGE_curr_t_h_ph_h_hp","SOYB_curr_t_h_ph_h_hp","GROU_curr_t_h_ph_h_hp","SUGC_curr_t_h_ph_h_hp","COTT_curr_t_h_ph_h_hp","COCO_curr_t_h_ph_h_hp","TEAS_curr_t_h_ph_h_hp","TOBA_curr_t_h_ph_h_hp","MAIZ_curr_t_h_ph_l_hp","SORG_curr_t_h_ph_l_hp","BEAN_curr_t_h_ph_l_hp","CHIC_curr_t_h_ph_l_hp","LENT_curr_t_h_ph_l_hp","WHEA_curr_t_h_ph_l_hp","BARL_curr_t_h_ph_l_hp","ACOF_curr_t_h_ph_l_hp","RCOF_curr_t_h_ph_l_hp","PMIL_curr_t_h_ph_l_hp","SMIL_curr_t_h_ph_l_hp","POTA_curr_t_h_ph_l_hp","SWPO_curr_t_h_ph_l_hp","CASS_curr_t_h_ph_l_hp","COWP_curr_t_h_ph_l_hp","PIGE_curr_t_h_ph_l_hp","SOYB_curr_t_h_ph_l_hp","GROU_curr_t_h_ph_l_hp","SUGC_curr_t_h_ph_l_hp","COTT_curr_t_h_ph_l_hp","COCO_curr_t_h_ph_l_hp","TEAS_curr_t_h_ph_l_hp","TOBA_curr_t_h_ph_l_hp","total","MAIZ_curr_t","SORG_curr_t","BEAN_curr_t","CHIC_curr_t","LENT_curr_t","WHEA_curr_t","BARL_curr_t","ACOF_curr_t","RCOF_curr_t","PMIL_curr_t","SMIL_curr_t","POTA_curr_t","SWPO_curr_t","CASS_curr_t","COWP_curr_t","PIGE_curr_t","SOYB_curr_t","GROU_curr_t","SUGC_curr_t","COTT_curr_t","COCO_curr_t","TEAS_curr_t","TOBA_curr_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"13","Kenya","Bungoma","Bumula",4180.94446042622,188.894633933676,532.636849549603,0,0,0,0,0,0,36.6061955655186,0,0,2428.136953361,835.521624247041,14.1881489582088,0,3.38284392312229,18.5567980870503,26489.8184713603,0,0,0,121.999679389124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13927.7669150071,681.160879921536,2147.70300268779,0,0,0,0,0,0,108.872896684208,0,0,8814.91098502451,3593.02426491077,56.9700605181478,0,15.1388178708983,98.9186517918642,83046.099312481,0,0,0,502.54208264037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147843.8,18108.7113754333,870.055513855212,2680.3398522374,0,0,0,0,0,0,145.479092249727,0,0,11243.0479383855,4428.54588915782,71.1582094763565,0,18.5216617940206,117.475449878915,109535.917783841,0,0,0,624.541762029494,34850.6866588008,0,112993.107869538,0,147843.8,100
"14","Kenya","Bungoma","Kabuchai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7608.08252090868,433.755303836169,1982.58305794516,0,0.290539192426968,0,0,0,0,63.4000758851562,0,2721.22390671556,5152.80332090365,2408.91360806879,43.3348332807967,0,16.7332480125384,41.7589757352196,45455.853541516,0,0,0,491.005844988995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66419.7,7608.08252090868,433.755303836169,1982.58305794516,0,0.290539192426968,0,0,0,0,63.4000758851562,0,2721.22390671556,5152.80332090365,2408.91360806879,43.3348332807967,0,16.7332480125384,41.7589757352196,45455.853541516,0,0,0,491.005844988995,0,0,66419.7387769891,0,66419.7,100
"15","Kenya","Bungoma","Kanduyi",4312.16980026118,199.245608866006,631.851575581459,0,0,0,0,0,0,44.6995986747111,0,0,2568.62147089606,1102.33791526882,16.898682360336,0,4.57747978607216,26.1318773031235,26012.4336628104,0,0,0,181.584852407439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12901.0301037912,616.632561507782,2292.23871695672,0,0,0,0,0,0,136.796499204995,0,940.85854681105,8297.27264079561,4086.02701168417,59.3791245808429,0,19.0873415775587,91.0565717343854,75454.845690653,0,0,0,664.935007046795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140660.7,17213.1999040523,815.878170373788,2924.09029253818,0,0,0,0,0,0,181.496097879706,0,940.85854681105,10865.8941116917,5188.36492695299,76.2778069411789,0,23.6648213636309,117.188449037509,101467.279353463,0,0,0,846.519859454234,35100.5525242156,0,105560.159816344,0,140660.7,100
"19","Kenya","Bungoma","Mt. Elgon",1010.088225445,68.1393202863292,359.212646840431,0,0,0,0,0,0,0,0,800.145959590365,0,0,0,0,0,0,0,0,0,0,0.36828878004923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15113.8672467394,683.576026748107,3442.12237810574,8.06110299037573,0.540940414670026,122.255535892486,0,32.636795988722,0,24.2088381175719,28.1599161980103,21950.9582080748,3074.71981463965,822.620897941699,29.4012612108212,0,15.5845147102354,29.6952664353847,22211.4797739991,20.0407734509413,0,8.2009260629406,209.394860604609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70065.5,16123.9554721844,751.715347034436,3801.33502494617,8.06110299037573,0.540940414670026,122.255535892486,0,32.636795988722,0,24.2088381175719,28.1599161980103,22751.1041676652,3074.71981463965,822.620897941699,29.4012612108212,0,15.5845147102354,29.6952664353847,22211.4797739991,20.0407734509413,0,8.2009260629406,209.763149384659,2237.95444094217,0,67827.5250783253,0,70065.5,100
"20","Kenya","Bungoma","Sirisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9385.49584658013,442.46092636327,1957.1756384358,0,0.207534603785062,0,0,14.0857590279059,0,57.4057807222089,20.1016974834938,2084.13987290559,4477.36104753314,2234.16861607497,39.5634122085316,0,15.6231966661885,77.7100306308362,32591.3313776122,13.6286165917328,0,4.24224013973236,371.610676262583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53786.3,9385.49584658013,442.46092636327,1957.1756384358,0,0.207534603785062,0,0,14.0857590279059,0,57.4057807222089,20.1016974834938,2084.13987290559,4477.36104753314,2234.16861607497,39.5634122085316,0,15.6231966661885,77.7100306308362,32591.3313776122,13.6286165917328,0,4.24224013973236,371.610676262583,0,0,53786.3122698421,0,53786.3,100
"22","Kenya","Bungoma","Webute West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13773.1913163975,683.118111339736,2684.24875433397,0,0,0,0,0,0,152.398198306524,0,1104.83098057481,9599.59384849394,4808.675779814,68.0015799904512,0,22.1411275122066,114.602683459817,83672.2951189009,0,0,0,674.608261946538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117357.7,13773.1913163975,683.118111339736,2684.24875433397,0,0,0,0,0,0,152.398198306524,0,1104.83098057481,9599.59384849394,4808.675779814,68.0015799904512,0,22.1411275122066,114.602683459817,83672.2951189009,0,0,0,674.608261946538,0,0,117357.70576107,0,117357.7,100
"23","Kenya","Bungoma","Webuye East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8076.36577274706,451.904714252356,2247.43360530288,0,0.234847197342205,0,0,0,0,104.31479637407,0,2380.41055572276,6271.92424747656,3755.15957194826,50.0189274059326,0,21.2109670206444,56.2830278339658,49903.5311949174,0,0,206.186957462718,505.536634801358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74030.5,8076.36577274706,451.904714252356,2247.43360530288,0,0.234847197342205,0,0,0,0,104.31479637407,0,2380.41055572276,6271.92424747656,3755.15957194826,50.0189274059326,0,21.2109670206444,56.2830278339658,49903.5311949174,0,0,206.186957462718,505.536634801358,0,0,74030.5158204633,0,74030.5,100
"25","Kenya","Busia","Butula",3917.25536175407,242.585306692577,624.324848253949,0,0,0,0,0,0,45.2060527107697,0,2.25840177259025,2158.70404815674,1505.23281483764,15.0220000743866,0,0,24.2545490765315,22746.0169722117,0.59153360523834,0,0,0.782726369362926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3729.50718651322,250.350910860594,422.839662867364,0,0,0,0,0,0,43.0486956730686,0,3.2262880748595,1487.0158582695,1323.15986225817,10.9526931726825,0,0,14.6788252366777,19545.0792160481,0.630775190622614,0,0,0.0647135955788136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58112.8,7646.76254826729,492.936217553171,1047.16451112131,0,0,0,0,0,0,88.2547483838382,0,5.48468984744974,3645.71990642624,2828.39267709581,25.9746932470691,0,0,38.9333743132091,42291.0961882598,1.22230879586095,0,0,0.84743996494174,31282.2346155155,0,26830.5546877605,0,58112.8,100
"27","Kenya","Busia","Matayos",4439.98690995816,238.5967962092,1097.85378174794,0,0,0,0,0,0,51.776738575787,0,0,3567.2654112411,1800.87227682699,26.0004882760422,0,0,49.9220968035715,30700.1850110586,0,0,0,4.47037411531983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7757.20064729545,445.632875669362,1356.4240232189,0,0,0,0,0,102.520759627079,84.0351152913718,97.8892962634563,0,6819.09709430311,4199.13154133121,35.6021899910498,0,26.6463116148834,71.2821638989544,50911.0638020951,41.4945861246438,0,16.1347990140872,45.4720271133923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113986.6,12197.1875572536,684.229671878562,2454.27780496684,0,0,0,0,0,102.520759627079,135.811853867159,97.8892962634563,0,10386.3625055442,6000.00381815821,61.602678267092,0,26.6463116148834,121.204260702526,81611.2488131537,41.4945861246438,0,16.1347990140872,49.9424012287121,41976.9298848127,0,72009.6272328521,0,113986.6,100
"28","Kenya","Busia","Nambale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18783.8679477779,951.311602584494,3088.40350744352,0,0,0,0,0,0,127.439673554007,0,0,11742.8296501489,5470.04020251163,74.1012580625995,0,8.3641708844029,107.246639318819,116548.74859461,0,0,0,269.345202261181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157171.7,18783.8679477779,951.311602584494,3088.40350744352,0,0,0,0,0,0,127.439673554007,0,0,11742.8296501489,5470.04020251163,74.1012580625995,0,8.3641708844029,107.246639318819,116548.74859461,0,0,0,269.345202261181,0,0,157171.698449157,0,157171.7,100
