"","COUNTRY","NAME_1","NAME_2","MAIZ_curr_usd_l_ph_h_hp","SORG_curr_usd_l_ph_h_hp","BEAN_curr_usd_l_ph_h_hp","CHIC_curr_usd_l_ph_h_hp","LENT_curr_usd_l_ph_h_hp","WHEA_curr_usd_l_ph_h_hp","BARL_curr_usd_l_ph_h_hp","ACOF_curr_usd_l_ph_h_hp","RCOF_curr_usd_l_ph_h_hp","PMIL_curr_usd_l_ph_h_hp","SMIL_curr_usd_l_ph_h_hp","POTA_curr_usd_l_ph_h_hp","SWPO_curr_usd_l_ph_h_hp","CASS_curr_usd_l_ph_h_hp","COWP_curr_usd_l_ph_h_hp","PIGE_curr_usd_l_ph_h_hp","SOYB_curr_usd_l_ph_h_hp","GROU_curr_usd_l_ph_h_hp","SUGC_curr_usd_l_ph_h_hp","COTT_curr_usd_l_ph_h_hp","COCO_curr_usd_l_ph_h_hp","TEAS_curr_usd_l_ph_h_hp","TOBA_curr_usd_l_ph_h_hp","MAIZ_curr_usd_l_ph_l_hp","SORG_curr_usd_l_ph_l_hp","BEAN_curr_usd_l_ph_l_hp","CHIC_curr_usd_l_ph_l_hp","LENT_curr_usd_l_ph_l_hp","WHEA_curr_usd_l_ph_l_hp","BARL_curr_usd_l_ph_l_hp","ACOF_curr_usd_l_ph_l_hp","RCOF_curr_usd_l_ph_l_hp","PMIL_curr_usd_l_ph_l_hp","SMIL_curr_usd_l_ph_l_hp","POTA_curr_usd_l_ph_l_hp","SWPO_curr_usd_l_ph_l_hp","CASS_curr_usd_l_ph_l_hp","COWP_curr_usd_l_ph_l_hp","PIGE_curr_usd_l_ph_l_hp","SOYB_curr_usd_l_ph_l_hp","GROU_curr_usd_l_ph_l_hp","SUGC_curr_usd_l_ph_l_hp","COTT_curr_usd_l_ph_l_hp","COCO_curr_usd_l_ph_l_hp","TEAS_curr_usd_l_ph_l_hp","TOBA_curr_usd_l_ph_l_hp","MAIZ_curr_usd_h_ph_h_hp","SORG_curr_usd_h_ph_h_hp","BEAN_curr_usd_h_ph_h_hp","CHIC_curr_usd_h_ph_h_hp","LENT_curr_usd_h_ph_h_hp","WHEA_curr_usd_h_ph_h_hp","BARL_curr_usd_h_ph_h_hp","ACOF_curr_usd_h_ph_h_hp","RCOF_curr_usd_h_ph_h_hp","PMIL_curr_usd_h_ph_h_hp","SMIL_curr_usd_h_ph_h_hp","POTA_curr_usd_h_ph_h_hp","SWPO_curr_usd_h_ph_h_hp","CASS_curr_usd_h_ph_h_hp","COWP_curr_usd_h_ph_h_hp","PIGE_curr_usd_h_ph_h_hp","SOYB_curr_usd_h_ph_h_hp","GROU_curr_usd_h_ph_h_hp","SUGC_curr_usd_h_ph_h_hp","COTT_curr_usd_h_ph_h_hp","COCO_curr_usd_h_ph_h_hp","TEAS_curr_usd_h_ph_h_hp","TOBA_curr_usd_h_ph_h_hp","MAIZ_curr_usd_h_ph_l_hp","SORG_curr_usd_h_ph_l_hp","BEAN_curr_usd_h_ph_l_hp","CHIC_curr_usd_h_ph_l_hp","LENT_curr_usd_h_ph_l_hp","WHEA_curr_usd_h_ph_l_hp","BARL_curr_usd_h_ph_l_hp","ACOF_curr_usd_h_ph_l_hp","RCOF_curr_usd_h_ph_l_hp","PMIL_curr_usd_h_ph_l_hp","SMIL_curr_usd_h_ph_l_hp","POTA_curr_usd_h_ph_l_hp","SWPO_curr_usd_h_ph_l_hp","CASS_curr_usd_h_ph_l_hp","COWP_curr_usd_h_ph_l_hp","PIGE_curr_usd_h_ph_l_hp","SOYB_curr_usd_h_ph_l_hp","GROU_curr_usd_h_ph_l_hp","SUGC_curr_usd_h_ph_l_hp","COTT_curr_usd_h_ph_l_hp","COCO_curr_usd_h_ph_l_hp","TEAS_curr_usd_h_ph_l_hp","TOBA_curr_usd_h_ph_l_hp","total","MAIZ_curr_usd","SORG_curr_usd","BEAN_curr_usd","CHIC_curr_usd","LENT_curr_usd","WHEA_curr_usd","BARL_curr_usd","ACOF_curr_usd","RCOF_curr_usd","PMIL_curr_usd","SMIL_curr_usd","POTA_curr_usd","SWPO_curr_usd","CASS_curr_usd","COWP_curr_usd","PIGE_curr_usd","SOYB_curr_usd","GROU_curr_usd","SUGC_curr_usd","COTT_curr_usd","COCO_curr_usd","TEAS_curr_usd","TOBA_curr_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"13","Kenya","Bungoma","Bumula",1161466.37110641,60852.4063217338,384776.860114633,0,0,0,0,0,0,14027.4941407067,0,0,705859.412342042,223042.497592748,7802.06311211901,0,1565.24188322869,11495.0085750233,1041049.86592446,0,0,0,361119.050991807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3869133.64898897,219435.977466723,1551500.64914166,0,0,0,0,0,0,41720.0940093886,0,0,2562494.62334663,959157.827517931,31327.8362789295,0,7004.73102886464,61275.1588524703,3263711.7029805,0,0,0,1487524.56461549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18027343.1,5030600.02009537,280288.383788456,1936277.5092563,0,0,0,0,0,0,55747.5881500953,0,0,3268354.03568867,1182200.32511068,39129.8993910485,0,8569.97291209332,72770.1674274936,4304761.56890496,0,0,0,1848643.6156073,3973056.2721049,0,14054286.8142276,0,18027343.1,100
"14","Kenya","Bungoma","Kabuchai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113525.32430843,139734.271130822,1432218.00105958,0,329.413336373696,0,0,0,0,24294.9090791918,0,1169718.09630168,1497919.92538669,643059.487673963,23829.8248211101,0,7742.47385540152,25867.5975191818,1786415.04418158,0,0,0,1453377.30116742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10318031.7,2113525.32430843,139734.271130822,1432218.00105958,0,329.413336373696,0,0,0,0,24294.9090791918,0,1169718.09630168,1497919.92538669,643059.487673963,23829.8248211101,0,7742.47385540152,25867.5975191818,1786415.04418158,0,0,0,1453377.30116742,0,0,10318031.6698214,0,10318031.7,100
"15","Kenya","Bungoma","Kanduyi",1197920.77051256,64186.9728961837,456449.578200046,0,0,0,0,0,0,17128.8862121493,0,0,746698.261589485,294269.106481012,9292.58542994877,0,2117.99989701559,16187.3913954198,1022288.64294845,0,0,0,537491.16312602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3583906.16283318,198648.179689732,1655913.24912953,0,0,0,0,0,0,52420.418495354,0,404428.04634673,2412017.15667928,1090764.91076909,32652.5806070055,0,8831.71294793642,56404.9933608651,2965375.43564266,0,0,0,1968207.62085851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18793601.8,4781826.93334574,262835.152585916,2112362.82732958,0,0,0,0,0,0,69549.3047075033,0,404428.04634673,3158715.41826877,1385034.0172501,41945.1660369543,0,10949.712844952,72592.3847562849,3987664.07859111,0,0,0,2505698.78398453,4364031.35868828,0,14429570.4673599,0,18793601.8,100
"19","Kenya","Bungoma","Mt. Elgon",280602.50902862,21951.0820302409,259495.216077528,0,0,0,0,0,0,0,0,343942.740729919,0,0,0,0,0,0,0,0,0,0,1090.13478894572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4198632.3211442,220214.017016903,2486589.20594359,5489.61113644587,613.318242152876,54006.3829805056,0,19389.5204968998,0,9276.82676665354,10790.8798870775,9435619.38574097,893821.050115747,219598.648705536,16167.7535398306,0,7210.95495642591,18394.7327933991,872911.155118164,10398.1553050209,0,1333.47057783414,619808.787389644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20007347.9,4479234.83017282,242165.099047144,2746084.42202112,5489.61113644587,613.318242152876,54006.3829805056,0,19389.5204968998,0,9276.82676665354,10790.8798870775,9779562.12647088,893821.050115747,219598.648705536,16167.7535398306,0,7210.95495642591,18394.7327933991,872911.155118164,10398.1553050209,0,1333.47057783414,620898.92217859,907081.682655253,0,19100266.177857,0,20007347.9,100
"20","Kenya","Bungoma","Sirisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2607290.74617996,142538.787427927,1413863.68120602,0,235.302733771503,0,0,8368.34943847887,0,21997.8951727504,7702.97047567483,895867.524368467,1301568.85651788,596411.312061212,21755.9203734716,0,7228.85309744542,48137.4784742715,1280839.32314016,7071.20771862056,0,689.788246720482,1099967.60173725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9461535.6,2607290.74617996,142538.787427927,1413863.68120602,0,235.302733771503,0,0,8368.34943847887,0,21997.8951727504,7702.97047567483,895867.524368467,1301568.85651788,596411.312061212,21755.9203734716,0,7228.85309744542,48137.4784742715,1280839.32314016,7071.20771862056,0,689.788246720482,1099967.60173725,0,0,9461535.59837008,0,9461535.6,100
"22","Kenya","Bungoma","Webute West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3826192.54769521,220066.499568096,1939101.30013086,0,0,0,0,0,0,58398.9895910599,0,474911.597000083,2790601.93175719,1283675.99942135,37394.0688367491,0,10244.699699898,70990.6322691836,3288321.19817281,0,0,0,1996840.45536175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15996739.9,3826192.54769521,220066.499568096,1939101.30013086,0,0,0,0,0,0,58398.9895910599,0,474911.597000083,2790601.93175719,1283675.99942135,37394.0688367491,0,10244.699699898,70990.6322691836,3288321.19817281,0,0,0,1996840.45536175,0,0,15996739.9195042,0,15996739.9,100
"23","Kenya","Bungoma","Webuye East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243614.41166913,145581.103696396,1623546.0364708,0,266.269752346592,0,0,0,0,39973.4299705437,0,1023219.47737743,1823248.37874144,1002439.84773159,27505.4081805223,0,9814.31444045215,34864.5215917501,1961208.77596025,0,0,33525.999283438,1496388.43901202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11465196.4,2243614.41166913,145581.103696396,1623546.0364708,0,266.269752346592,0,0,0,0,39973.4299705437,0,1023219.47737743,1823248.37874144,1002439.84773159,27505.4081805223,0,9814.31444045215,34864.5215917501,1961208.77596025,0,0,33525.999283438,1496388.43901202,0,0,11465196.4138781,0,11465196.4,100
"25","Kenya","Busia","Butula",1088213.53949528,78148.8565510138,451012.270378653,0,0,0,0,0,0,17322.9593987669,0,970.774001947918,627535.266799164,401821.899920908,8260.59784090519,0,0,15024.4804254574,893918.467007918,306.917211077912,0,0,2316.87005331426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036057.09641337,80650.5459337404,305459.372455383,0,0,0,0,0,0,16496.2601819199,0,1386.81992897835,432275.509998944,353217.525229817,6022.88597565812,0,0,9092.79829285997,768121.613190691,327.277707654543,0,0,191.552242913288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6594152.2,2124270.63590865,158799.402484754,756471.642834036,0,0,0,0,0,0,33819.2195806868,0,2357.59393092627,1059810.77679811,755039.425150725,14283.4838165633,0,0,24117.2787183174,1662040.08019861,634.194918732456,0,0,2508.42229622755,3584852.89908441,0,3009299.25755193,0,6594152.2,100
"27","Kenya","Busia","Matayos",1233428.36358638,76863.9578987938,793089.57193471,0,0,0,0,0,0,19840.8462222416,0,0,1037004.05504779,480742.854298966,14297.6685029956,0,0,30924.2428649724,1206517.2709346,0,0,0,13232.3073813467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154950.33981868,143560.630896885,979880.714373336,0,0,0,0,0,60907.5832944478,32202.2561796537,37511.1783281565,0,1982311.52531391,1120958.16495837,19577.6442760783,0,12329.2483842066,44155.7364272073,2000804.80742234,21529.4660107714,0,2623.51831969058,134597.200255641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13653841.2,3388378.70340505,220424.588795679,1772970.28630805,0,0,0,0,0,60907.5832944478,52043.1024018952,37511.1783281565,0,3019315.5803617,1601701.01925733,33875.3127790739,0,12329.2483842066,75079.9792921797,3207322.07835694,21529.4660107714,0,2623.51831969058,147829.507636988,4905941.13867279,0,8747900.01425937,0,13653841.2,100
"28","Kenya","Busia","Nambale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5218158.51589269,306465.032772595,2231062.6937772,0,0,0,0,0,0,48834.8829058954,0,0,3413640.57929828,1460227.23206048,40748.2818086235,0,3870.10186821322,66433.9307260423,4580365.81976815,0,0,0,797261.798693095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18167068.9,5218158.51589269,306465.032772595,2231062.6937772,0,0,0,0,0,0,48834.8829058954,0,0,3413640.57929828,1460227.23206048,40748.2818086235,0,3870.10186821322,66433.9307260423,4580365.81976815,0,0,0,797261.798693095,0,0,18167068.8695713,0,18167068.9,100
