"","COUNTRY","NAME_1","MAIZ_lr_tha_l_ph_h_hp","SORG_lr_tha_l_ph_h_hp","BEAN_lr_tha_l_ph_h_hp","CHIC_lr_tha_l_ph_h_hp","LENT_lr_tha_l_ph_h_hp","WHEA_lr_tha_l_ph_h_hp","BARL_lr_tha_l_ph_h_hp","ACOF_lr_tha_l_ph_h_hp","RCOF_lr_tha_l_ph_h_hp","PMIL_lr_tha_l_ph_h_hp","SMIL_lr_tha_l_ph_h_hp","POTA_lr_tha_l_ph_h_hp","SWPO_lr_tha_l_ph_h_hp","CASS_lr_tha_l_ph_h_hp","COWP_lr_tha_l_ph_h_hp","PIGE_lr_tha_l_ph_h_hp","SOYB_lr_tha_l_ph_h_hp","GROU_lr_tha_l_ph_h_hp","SUGC_lr_tha_l_ph_h_hp","COTT_lr_tha_l_ph_h_hp","COCO_lr_tha_l_ph_h_hp","TEAS_lr_tha_l_ph_h_hp","TOBA_lr_tha_l_ph_h_hp","MAIZ_lr_tha_l_ph_l_hp","SORG_lr_tha_l_ph_l_hp","BEAN_lr_tha_l_ph_l_hp","CHIC_lr_tha_l_ph_l_hp","LENT_lr_tha_l_ph_l_hp","WHEA_lr_tha_l_ph_l_hp","BARL_lr_tha_l_ph_l_hp","ACOF_lr_tha_l_ph_l_hp","RCOF_lr_tha_l_ph_l_hp","PMIL_lr_tha_l_ph_l_hp","SMIL_lr_tha_l_ph_l_hp","POTA_lr_tha_l_ph_l_hp","SWPO_lr_tha_l_ph_l_hp","CASS_lr_tha_l_ph_l_hp","COWP_lr_tha_l_ph_l_hp","PIGE_lr_tha_l_ph_l_hp","SOYB_lr_tha_l_ph_l_hp","GROU_lr_tha_l_ph_l_hp","SUGC_lr_tha_l_ph_l_hp","COTT_lr_tha_l_ph_l_hp","COCO_lr_tha_l_ph_l_hp","TEAS_lr_tha_l_ph_l_hp","TOBA_lr_tha_l_ph_l_hp","MAIZ_lr_tha_h_ph_h_hp","SORG_lr_tha_h_ph_h_hp","BEAN_lr_tha_h_ph_h_hp","CHIC_lr_tha_h_ph_h_hp","LENT_lr_tha_h_ph_h_hp","WHEA_lr_tha_h_ph_h_hp","BARL_lr_tha_h_ph_h_hp","ACOF_lr_tha_h_ph_h_hp","RCOF_lr_tha_h_ph_h_hp","PMIL_lr_tha_h_ph_h_hp","SMIL_lr_tha_h_ph_h_hp","POTA_lr_tha_h_ph_h_hp","SWPO_lr_tha_h_ph_h_hp","CASS_lr_tha_h_ph_h_hp","COWP_lr_tha_h_ph_h_hp","PIGE_lr_tha_h_ph_h_hp","SOYB_lr_tha_h_ph_h_hp","GROU_lr_tha_h_ph_h_hp","SUGC_lr_tha_h_ph_h_hp","COTT_lr_tha_h_ph_h_hp","COCO_lr_tha_h_ph_h_hp","TEAS_lr_tha_h_ph_h_hp","TOBA_lr_tha_h_ph_h_hp","MAIZ_lr_tha_h_ph_l_hp","SORG_lr_tha_h_ph_l_hp","BEAN_lr_tha_h_ph_l_hp","CHIC_lr_tha_h_ph_l_hp","LENT_lr_tha_h_ph_l_hp","WHEA_lr_tha_h_ph_l_hp","BARL_lr_tha_h_ph_l_hp","ACOF_lr_tha_h_ph_l_hp","RCOF_lr_tha_h_ph_l_hp","PMIL_lr_tha_h_ph_l_hp","SMIL_lr_tha_h_ph_l_hp","POTA_lr_tha_h_ph_l_hp","SWPO_lr_tha_h_ph_l_hp","CASS_lr_tha_h_ph_l_hp","COWP_lr_tha_h_ph_l_hp","PIGE_lr_tha_h_ph_l_hp","SOYB_lr_tha_h_ph_l_hp","GROU_lr_tha_h_ph_l_hp","SUGC_lr_tha_h_ph_l_hp","COTT_lr_tha_h_ph_l_hp","COCO_lr_tha_h_ph_l_hp","TEAS_lr_tha_h_ph_l_hp","TOBA_lr_tha_h_ph_l_hp","total","MAIZ_lr_tha","SORG_lr_tha","BEAN_lr_tha","CHIC_lr_tha","LENT_lr_tha","WHEA_lr_tha","BARL_lr_tha","ACOF_lr_tha","RCOF_lr_tha","PMIL_lr_tha","SMIL_lr_tha","POTA_lr_tha","SWPO_lr_tha","CASS_lr_tha","COWP_lr_tha","PIGE_lr_tha","SOYB_lr_tha","GROU_lr_tha","SUGC_lr_tha","COTT_lr_tha","COCO_lr_tha","TEAS_lr_tha","TOBA_lr_tha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Ethiopia","Addis Abeba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2","Ethiopia","Afar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"3","Ethiopia","Amhara",3332.99865086519,1145.40541263614,121.464000701904,0,0,1397.74488090916,832.084958910855,0,0,0,0,287.064486821919,3.05618933687768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8276.03636782547,2780.97015861431,1888.31398357258,904.264254115726,1.40913713694772,2995.61507665386,1961.23336983548,0,0,0,3709.11775217143,584.065396305799,9.49734990540367,0,0,0,47.8887593851728,1455.25580261267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31733.4,11609.0350186907,3926.37557125044,2009.77798427448,904.264254115726,1.40913713694772,4393.35995756302,2793.31832874633,0,0,0,3709.11775217143,871.129883127718,12.5535392422813,0,0,0,47.8887593851728,1455.25580261267,0,0,0,0,0,7119.81858018204,0,24613.6674081348,0,31733.4,100
"4","Ethiopia","Benshangul-Gumaz",1700.66867478284,3117.40784061619,2260.3333350407,158.76610091972,52.8831862022927,881.166522657239,56.1379887884467,0,0,0,2077.23465401064,116.784533119074,2.91364154165292,0,0,0,18.1467211786287,1762.45027288537,0,0,0,0,0,0,0,63.4608600829742,0.427798593354169,1.93935346940339,0,0,0,0,0,0,0,0,0,0,0,0,52.7577516059173,0,0,0,0,0,0,0,97.6878598444387,0.313511492936733,1.3895138865529,0,0,0,0,0,0,0,0,0,0,0,0,169.478114920271,0,0,0,0,0,0,0,21.9716933776699,0.108208291496151,0.449064402654649,0,0,0,0,0,0,0,0,0,0,0,0,12.7631680918178,0,0,0,0,0,12627.6,1700.66867478284,3117.40784061619,2443.45374834578,159.615619297507,56.6611179609036,881.166522657239,56.1379887884467,0,0,0,2077.23465401064,116.784533119074,2.91364154165292,0,0,0,18.1467211786287,1997.44930750338,0,0,0,0,0,12204.8934717428,118.585763751649,268.869000144199,35.2921341636385,12473.7,98.8
"5","Ethiopia","Dire Dawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"6","Ethiopia","Gambela Peoples",0,0,26.1658127624184,2.96146551159962,3.71211860844498,0,0,0,0,0,0,0,0,0,0,0,0,7.94740285293908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3323575150705,0,0.1372430900679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27863113278454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5,0,0,40.7768014102734,2.96146551159962,3.84936169851288,0,0,0,0,0,0,0,0,0,0,0,0,7.94740285293908,0,0,0,0,0,40.7867997354021,0,11.4696006051384,3.27863113278454,52.2,94.1
"7","Ethiopia","Harari People",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"8","Ethiopia","Oromia",789298.237709705,438409.579485209,42329.9580067411,14503.2340093916,14604.3181748595,141835.231765357,81644.1835203975,159838.687217088,0,0,95614.3778195312,2422.86439687917,7900.63372238623,0,0,0,3938.24227809431,4089.03373240768,0,96.1048294344215,0,0,253.428434352691,0,0,16.2695063277649,6.95405003762147,24.8479419237235,0,0,0,0,0,0,0,0,0,0,0,0,2.52091190218925,0,0,0,0,0,217159.996009249,108808.909559564,22508.2462987278,15107.2877845653,3548.38401114533,66529.3522115578,32012.4315546485,5027.76704307544,0,0,13313.91513516,1089.45328962985,949.969154640439,0,0,0,574.594762413542,3482.20438429879,0,0,0,0,9.88800024986267,0,0,157.842218371064,12.0751354213256,6.76919976013325,0,0,0,0,0,0,0,0,0,0,0,0,21.3071084318646,0,0,0,0,0,2287149.1,1006458.23371895,547218.489044773,65012.3160301677,29629.5509794158,18184.3193276887,208364.583976914,113656.615075046,164866.454260164,0,0,108928.292954691,3512.31768650901,8850.60287702667,0,0,0,4512.83704050785,7595.06613704052,0,96.1048294344215,0,0,263.316434602554,1796778.11510183,50.5924101912992,490122.399198926,197.993661984388,2286900.6,100
"9","Ethiopia","Somali",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"10","Ethiopia","Southern Nations, Nationalities",12677.0965643501,18760.5945610676,11279.7315866241,53.9608518147578,89.6464634164344,5328.62537934755,4543.3057292276,0,0,0,262.118100428627,336.525337325933,17.2064269185312,0,0,0,9.02142902611259,16.9944629083698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6656.34654496072,6726.07605010034,45966.0434225606,1062.19439671196,812.394860703731,5397.66868817238,5306.9455477942,0,0,0,92.0141949540571,1033.50891469211,2.72750603329531,0,0,0,7.67316286717765,277.376252046831,0,0,0,0,0,0,0,113.554724913668,0.780334641619241,1.4688651268242,0,0,0,0,0,0,0,0,0,0,0,0,0.856741238261087,0,0,0,0,0,126832.5,19333.4431093108,25486.6706111679,57359.3297340984,1116.93558316834,903.51018924699,10726.2940675199,9850.2512770218,0,0,0,354.132295382684,1370.03425201804,19.9339329518265,0,0,0,16.6945918932902,295.227456193462,0,0,0,0,0,53374.8268924556,0,73340.9695415974,116.660665920373,126715.9,99.9
