"","COUNTRY","NAME_1","MAIZ_lr_tha_l_ph_h_hp","SORG_lr_tha_l_ph_h_hp","BEAN_lr_tha_l_ph_h_hp","CHIC_lr_tha_l_ph_h_hp","LENT_lr_tha_l_ph_h_hp","WHEA_lr_tha_l_ph_h_hp","BARL_lr_tha_l_ph_h_hp","ACOF_lr_tha_l_ph_h_hp","RCOF_lr_tha_l_ph_h_hp","PMIL_lr_tha_l_ph_h_hp","SMIL_lr_tha_l_ph_h_hp","POTA_lr_tha_l_ph_h_hp","SWPO_lr_tha_l_ph_h_hp","CASS_lr_tha_l_ph_h_hp","COWP_lr_tha_l_ph_h_hp","PIGE_lr_tha_l_ph_h_hp","SOYB_lr_tha_l_ph_h_hp","GROU_lr_tha_l_ph_h_hp","SUGC_lr_tha_l_ph_h_hp","COTT_lr_tha_l_ph_h_hp","COCO_lr_tha_l_ph_h_hp","TEAS_lr_tha_l_ph_h_hp","TOBA_lr_tha_l_ph_h_hp","MAIZ_lr_tha_l_ph_l_hp","SORG_lr_tha_l_ph_l_hp","BEAN_lr_tha_l_ph_l_hp","CHIC_lr_tha_l_ph_l_hp","LENT_lr_tha_l_ph_l_hp","WHEA_lr_tha_l_ph_l_hp","BARL_lr_tha_l_ph_l_hp","ACOF_lr_tha_l_ph_l_hp","RCOF_lr_tha_l_ph_l_hp","PMIL_lr_tha_l_ph_l_hp","SMIL_lr_tha_l_ph_l_hp","POTA_lr_tha_l_ph_l_hp","SWPO_lr_tha_l_ph_l_hp","CASS_lr_tha_l_ph_l_hp","COWP_lr_tha_l_ph_l_hp","PIGE_lr_tha_l_ph_l_hp","SOYB_lr_tha_l_ph_l_hp","GROU_lr_tha_l_ph_l_hp","SUGC_lr_tha_l_ph_l_hp","COTT_lr_tha_l_ph_l_hp","COCO_lr_tha_l_ph_l_hp","TEAS_lr_tha_l_ph_l_hp","TOBA_lr_tha_l_ph_l_hp","MAIZ_lr_tha_h_ph_h_hp","SORG_lr_tha_h_ph_h_hp","BEAN_lr_tha_h_ph_h_hp","CHIC_lr_tha_h_ph_h_hp","LENT_lr_tha_h_ph_h_hp","WHEA_lr_tha_h_ph_h_hp","BARL_lr_tha_h_ph_h_hp","ACOF_lr_tha_h_ph_h_hp","RCOF_lr_tha_h_ph_h_hp","PMIL_lr_tha_h_ph_h_hp","SMIL_lr_tha_h_ph_h_hp","POTA_lr_tha_h_ph_h_hp","SWPO_lr_tha_h_ph_h_hp","CASS_lr_tha_h_ph_h_hp","COWP_lr_tha_h_ph_h_hp","PIGE_lr_tha_h_ph_h_hp","SOYB_lr_tha_h_ph_h_hp","GROU_lr_tha_h_ph_h_hp","SUGC_lr_tha_h_ph_h_hp","COTT_lr_tha_h_ph_h_hp","COCO_lr_tha_h_ph_h_hp","TEAS_lr_tha_h_ph_h_hp","TOBA_lr_tha_h_ph_h_hp","MAIZ_lr_tha_h_ph_l_hp","SORG_lr_tha_h_ph_l_hp","BEAN_lr_tha_h_ph_l_hp","CHIC_lr_tha_h_ph_l_hp","LENT_lr_tha_h_ph_l_hp","WHEA_lr_tha_h_ph_l_hp","BARL_lr_tha_h_ph_l_hp","ACOF_lr_tha_h_ph_l_hp","RCOF_lr_tha_h_ph_l_hp","PMIL_lr_tha_h_ph_l_hp","SMIL_lr_tha_h_ph_l_hp","POTA_lr_tha_h_ph_l_hp","SWPO_lr_tha_h_ph_l_hp","CASS_lr_tha_h_ph_l_hp","COWP_lr_tha_h_ph_l_hp","PIGE_lr_tha_h_ph_l_hp","SOYB_lr_tha_h_ph_l_hp","GROU_lr_tha_h_ph_l_hp","SUGC_lr_tha_h_ph_l_hp","COTT_lr_tha_h_ph_l_hp","COCO_lr_tha_h_ph_l_hp","TEAS_lr_tha_h_ph_l_hp","TOBA_lr_tha_h_ph_l_hp","total","MAIZ_lr_tha","SORG_lr_tha","BEAN_lr_tha","CHIC_lr_tha","LENT_lr_tha","WHEA_lr_tha","BARL_lr_tha","ACOF_lr_tha","RCOF_lr_tha","PMIL_lr_tha","SMIL_lr_tha","POTA_lr_tha","SWPO_lr_tha","CASS_lr_tha","COWP_lr_tha","PIGE_lr_tha","SOYB_lr_tha","GROU_lr_tha","SUGC_lr_tha","COTT_lr_tha","COCO_lr_tha","TEAS_lr_tha","TOBA_lr_tha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Kenya","Baringo",0,0,0.447880062741916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14285781766689e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568231459374289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416571476312622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0161115221162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421714334130288,0,0,0,0,0,0.447931491320093,0,0.572397174137415,0,1,100
"2","Kenya","Bomet",3.57402691513747,0.0703315368720481,1.90833060556648,0,0,0.000161538462376652,0,0,0,0.0437930797104444,0,0.0892799994493219,0.0264599991091155,0,0,0,0.000969230739872616,0.0150571439109743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23067486962438,0.111729227316815,7.50764060707823,0,0,0.00130384621833308,0,0.00992166702135466,0,0.0974307721385159,0,0.182450765632943,0.0975969249460531,0,0,0,0.00788076956272483,0.0305200024051113,0,0,0,0,0.0444683340032057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,12.8047017847618,0.182060764188863,9.41597121264471,0,0,0.00146538468070973,0,0.00992166702135466,0,0.14122385184896,0,0.271730765082264,0.124056924055169,0,0,0,0.00885000030259745,0.0455771463160856,0,0,0,0,0.0444683340032057,5.7284100489581,0,17.3216177859477,0,23.1,100
"3","Kenya","Bungoma",0,0,5.8752323494457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104377149067904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7056789385107,5.54509851825397,59.4810867993874,0.0205971432687022,0.00698000039816966,0,0,0,0,1.12026691394381,0,0.663288463696748,3.61010764971744,0,0.739926922093436,0,0.133562308857669,0.891094327034448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.9,42.7056789385107,5.54509851825397,65.3563191488331,0.0205971432687022,0.00698000039816966,0,0,0,0,1.12026691394381,0,0.663288463696748,3.61010764971744,0,0.739926922093436,0,0.133562308857669,0.995471476102353,0,0,0,0,0,5.9796094985136,0,114.917687985163,0,120.9,100
"4","Kenya","Busia",6.07307993354061,0.833460001621322,4.11836594440183,0,0,0,0,0,0,0.170146152948237,0,0.000129230773340051,0.495992326464783,0,0.102599997982798,0,0,0.113302865554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2013979172806,3.51221987537888,29.1799133028134,0,0,0,0,0,0,0.47620616957192,1.0212784996741,0.00379846164020925,2.57463231840029,0,0.427467690645866,0,0.0918715372849492,1.04883435724833,0,0,0,0,0.0306700014547321,0,0,0.303257162577978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137142872299467,0,0,0,0,0,76.7,32.2744778508212,4.3456798770002,33.6015364097932,0,0,0,0,0,0,0.646352322520157,1.0212784996741,0.0039276924135493,3.07062464486508,0,0.530067688628664,0,0.0918715372849492,1.17585151003314,0,0,0,0,0.0306700014547321,11.9070764532878,0,64.5682901313932,0.316971449807925,76.4,99.6
"5","Kenya","Elgeyo-Marakwet",6.98998549892279,0.859009764077509,7.53570134776416,0,0,0.43093228490322,0.0231853839283243,0,0,0.869718749049359,0,1.86947350896201,0.00589424030114718,0,0,0,0.000131538466028153,0.000722926884969041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93961238254542,0.259329229743097,12.0645087361866,0,0,0.0254038453338704,0,0,0,0.230193082583675,0,0.513952692950673,0.0112638462611711,0,0,0,0,0.0413775385614017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7,9.92959788146821,1.11833899382061,19.6002100839507,0,0,0.45633613023709,0.0231853839283243,0,0,1.09991183163303,0,2.38342620191268,0.0171580865623182,0,0,0,0.000131538466028153,0.0421004654463708,0,0,0,0,0,18.5847552432595,0,16.0856413541659,0,34.7,100
"6","Kenya","Embu",5.34402466318014,0.000152307691624245,8.72402383700816,0,0,0,0,0,0,0,0,0.344441546247394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0426070915091,0.315822885251706,1.7142858505249e-05,0,0,0,0,0,0,0,0,0,0,0.419305721227429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1,5.34402466318014,0.000152307691624245,23.7666309285173,0.315822885251706,1.7142858505249e-05,0,0,0,0,0,0,0.344441546247394,0,0,0,0.419305721227429,0,0,0,0,0,0,0,14.4126423541273,0,15.7777528408468,0,30.1,100
"7","Kenya","Garissa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"8","Kenya","Homa Bay",3.0576830144162,0.899275396157527,0,0,0.00304000024514539,0,0,0,0,0.272030763145851,0,0.0209215384458106,0,0,0.0324553849449181,0,0.0355246155409443,0.309720023142845,0,0.177105005102291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6511418273375,7.78648389220985,0.651540050301605,0,0.0134285726004413,0.00150230760897653,0,0,0,2.90295923209953,0,0.0943407719257381,0.0776838508742568,0,0.600138466366911,0,0.379513835813397,7.80773469909421,0,0.0199516666793047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9,28.7088248417537,8.68575928836738,0.651540050301605,0,0.0164685728455867,0.00150230760897653,0,0,0,3.17498999524538,0,0.115262310371549,0.0776838508742568,0,0.632593851311829,0,0.415038451354342,8.11745472223706,0,0.197056671781596,0,0,0,4.80775574114153,0,45.9864191729117,0,50.9,100
"9","Kenya","Isiolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"10","Kenya","Kajiado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75462600022831,0,0,0,0,0,0,0,0,0,0,0,0,0.143160007255567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,5.75462600022831,0,0,0,0,0,0,0,0,0,0,0,0,0.143160007255567,0,0,0,0,0,0,0,0,0,5.89778600748388,0,5.9,100
