"","COUNTRY","NAME_1","NAME_2","MAIZ_lr_tha_l_ph_h_hp","SORG_lr_tha_l_ph_h_hp","BEAN_lr_tha_l_ph_h_hp","CHIC_lr_tha_l_ph_h_hp","LENT_lr_tha_l_ph_h_hp","WHEA_lr_tha_l_ph_h_hp","BARL_lr_tha_l_ph_h_hp","ACOF_lr_tha_l_ph_h_hp","RCOF_lr_tha_l_ph_h_hp","PMIL_lr_tha_l_ph_h_hp","SMIL_lr_tha_l_ph_h_hp","POTA_lr_tha_l_ph_h_hp","SWPO_lr_tha_l_ph_h_hp","CASS_lr_tha_l_ph_h_hp","COWP_lr_tha_l_ph_h_hp","PIGE_lr_tha_l_ph_h_hp","SOYB_lr_tha_l_ph_h_hp","GROU_lr_tha_l_ph_h_hp","SUGC_lr_tha_l_ph_h_hp","COTT_lr_tha_l_ph_h_hp","COCO_lr_tha_l_ph_h_hp","TEAS_lr_tha_l_ph_h_hp","TOBA_lr_tha_l_ph_h_hp","MAIZ_lr_tha_l_ph_l_hp","SORG_lr_tha_l_ph_l_hp","BEAN_lr_tha_l_ph_l_hp","CHIC_lr_tha_l_ph_l_hp","LENT_lr_tha_l_ph_l_hp","WHEA_lr_tha_l_ph_l_hp","BARL_lr_tha_l_ph_l_hp","ACOF_lr_tha_l_ph_l_hp","RCOF_lr_tha_l_ph_l_hp","PMIL_lr_tha_l_ph_l_hp","SMIL_lr_tha_l_ph_l_hp","POTA_lr_tha_l_ph_l_hp","SWPO_lr_tha_l_ph_l_hp","CASS_lr_tha_l_ph_l_hp","COWP_lr_tha_l_ph_l_hp","PIGE_lr_tha_l_ph_l_hp","SOYB_lr_tha_l_ph_l_hp","GROU_lr_tha_l_ph_l_hp","SUGC_lr_tha_l_ph_l_hp","COTT_lr_tha_l_ph_l_hp","COCO_lr_tha_l_ph_l_hp","TEAS_lr_tha_l_ph_l_hp","TOBA_lr_tha_l_ph_l_hp","MAIZ_lr_tha_h_ph_h_hp","SORG_lr_tha_h_ph_h_hp","BEAN_lr_tha_h_ph_h_hp","CHIC_lr_tha_h_ph_h_hp","LENT_lr_tha_h_ph_h_hp","WHEA_lr_tha_h_ph_h_hp","BARL_lr_tha_h_ph_h_hp","ACOF_lr_tha_h_ph_h_hp","RCOF_lr_tha_h_ph_h_hp","PMIL_lr_tha_h_ph_h_hp","SMIL_lr_tha_h_ph_h_hp","POTA_lr_tha_h_ph_h_hp","SWPO_lr_tha_h_ph_h_hp","CASS_lr_tha_h_ph_h_hp","COWP_lr_tha_h_ph_h_hp","PIGE_lr_tha_h_ph_h_hp","SOYB_lr_tha_h_ph_h_hp","GROU_lr_tha_h_ph_h_hp","SUGC_lr_tha_h_ph_h_hp","COTT_lr_tha_h_ph_h_hp","COCO_lr_tha_h_ph_h_hp","TEAS_lr_tha_h_ph_h_hp","TOBA_lr_tha_h_ph_h_hp","MAIZ_lr_tha_h_ph_l_hp","SORG_lr_tha_h_ph_l_hp","BEAN_lr_tha_h_ph_l_hp","CHIC_lr_tha_h_ph_l_hp","LENT_lr_tha_h_ph_l_hp","WHEA_lr_tha_h_ph_l_hp","BARL_lr_tha_h_ph_l_hp","ACOF_lr_tha_h_ph_l_hp","RCOF_lr_tha_h_ph_l_hp","PMIL_lr_tha_h_ph_l_hp","SMIL_lr_tha_h_ph_l_hp","POTA_lr_tha_h_ph_l_hp","SWPO_lr_tha_h_ph_l_hp","CASS_lr_tha_h_ph_l_hp","COWP_lr_tha_h_ph_l_hp","PIGE_lr_tha_h_ph_l_hp","SOYB_lr_tha_h_ph_l_hp","GROU_lr_tha_h_ph_l_hp","SUGC_lr_tha_h_ph_l_hp","COTT_lr_tha_h_ph_l_hp","COCO_lr_tha_h_ph_l_hp","TEAS_lr_tha_h_ph_l_hp","TOBA_lr_tha_h_ph_l_hp","total","MAIZ_lr_tha","SORG_lr_tha","BEAN_lr_tha","CHIC_lr_tha","LENT_lr_tha","WHEA_lr_tha","BARL_lr_tha","ACOF_lr_tha","RCOF_lr_tha","PMIL_lr_tha","SMIL_lr_tha","POTA_lr_tha","SWPO_lr_tha","CASS_lr_tha","COWP_lr_tha","PIGE_lr_tha","SOYB_lr_tha","GROU_lr_tha","SUGC_lr_tha","COTT_lr_tha","COCO_lr_tha","TEAS_lr_tha","TOBA_lr_tha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"3","Kenya","Baringo","Baringo North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852.97509138647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25317530761185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.2,0,0,852.97509138647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25317530761185,0,0,0,0,0,0,0,859.228266694082,0,859.2,100
"5","Kenya","Baringo","Eldama Ravine",0,0,357.844041384629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629458746802878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.9,0,0,357.844041384629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629458746802878,0,0,0,0,0,357.90698725931,0,0,0,357.9,100
"8","Kenya","Bomet","Bomet Central",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2592.91360120453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4098290648344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2595.3,0,0,2592.91360120453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4098290648344,0,0,0,0,0,0,0,2595.32343026936,0,2595.3,100
"9","Kenya","Bomet","Bomet East",0,0,855.712586925998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639856026834487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201.70670297961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961062135738615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059,0,0,2057.41928990561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6009181625731,0,0,0,0,0,856.352442952833,0,1202.66776511535,0,2059,100
"10","Kenya","Bomet","Chepalungu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6325.15155571128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35032817040392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6332.5,0,0,6325.15155571128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35032817040392,0,0,0,0,0,0,0,6332.50188388168,0,6332.5,100
"11","Kenya","Bomet","Konoin",0,0,456.318918527133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.3,0,0,456.318918527133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.318918527133,0,0,0,456.3,100
"12","Kenya","Bomet","Sotik",6672.07185575989,131.296456036421,2094.93117286525,0,0,0.301563545557276,0,0,0,81.753881979892,0,166.669861686021,49.3961068428525,0,0,0,1.8093812091487,38.3984799981117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31609.4150570488,384.496043626239,5656.98775682226,0,0,4.4667615154092,0,47.6240005493164,0,333.701445914586,0,624.917280721512,334.384629582757,0,0,0,27.0250587065886,70.1357230644116,0,0,0,0,213.447998046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48543.2,38281.4869128087,515.79249966266,7751.91892968751,0,0,4.76832506096648,0,47.6240005493164,0,415.455327894478,0,791.587142407533,383.78073642561,0,0,0,28.8344399157373,108.534203062523,0,0,0,0,213.447998046875,9236.62875992315,0,39306.6017555987,0,48543.2,100
"13","Kenya","Bungoma","Bumula",0,0,4891.97898434533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.083346261887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10297.1907306715,1284.27331562553,17697.6116185461,0,0,0,0,0,0,234.271392464964,0,0,874.706372130859,0,173.239739506158,0,27.5653693337415,423.161756547512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36013.1,10297.1907306715,1284.27331562553,22589.5906028914,0,0,0,0,0,0,234.271392464964,0,0,874.706372130859,0,173.239739506158,0,27.5653693337415,532.245102809398,0,0,0,0,0,5001.06233060722,0,31012.0202948263,0,36013.1,100
"14","Kenya","Bungoma","Kabuchai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16556.5451982307,2243.40183058134,13859.0556640625,0,1.67999994754791,0,0,0,0,366.073130230994,0,524.831905895157,1443.66014837133,0,306.07025016388,0,58.4979548521897,208.991992950439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35568.8,16556.5451982307,2243.40183058134,13859.0556640625,0,1.67999994754791,0,0,0,0,366.073130230994,0,524.831905895157,1443.66014837133,0,306.07025016388,0,58.4979548521897,208.991992950439,0,0,0,0,0,0,0,35568.808075286,0,35568.8,100
"15","Kenya","Bungoma","Kanduyi",0,0,6507.68379413115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.260962963104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19218.7119001486,2394.95255580069,19662.3410096021,0,0,0,0,0,0,571.122903255838,0,183.338439688971,1628.58737890733,0,329.567928894861,0,57.8811349080951,443.979542947709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51146.4,19218.7119001486,2394.95255580069,26170.0248037332,0,0,0,0,0,0,571.122903255838,0,183.338439688971,1628.58737890733,0,329.567928894861,0,57.8811349080951,592.240505910813,0,0,0,0,0,6655.94475709426,0,44490.4827941541,0,51146.4,100
