"","COUNTRY","NAME_1","MAIZ_lr_tha_l_ph_h_hp","SORG_lr_tha_l_ph_h_hp","BEAN_lr_tha_l_ph_h_hp","CHIC_lr_tha_l_ph_h_hp","LENT_lr_tha_l_ph_h_hp","WHEA_lr_tha_l_ph_h_hp","BARL_lr_tha_l_ph_h_hp","ACOF_lr_tha_l_ph_h_hp","RCOF_lr_tha_l_ph_h_hp","PMIL_lr_tha_l_ph_h_hp","SMIL_lr_tha_l_ph_h_hp","POTA_lr_tha_l_ph_h_hp","SWPO_lr_tha_l_ph_h_hp","CASS_lr_tha_l_ph_h_hp","COWP_lr_tha_l_ph_h_hp","PIGE_lr_tha_l_ph_h_hp","SOYB_lr_tha_l_ph_h_hp","GROU_lr_tha_l_ph_h_hp","SUGC_lr_tha_l_ph_h_hp","COTT_lr_tha_l_ph_h_hp","COCO_lr_tha_l_ph_h_hp","TEAS_lr_tha_l_ph_h_hp","TOBA_lr_tha_l_ph_h_hp","MAIZ_lr_tha_l_ph_l_hp","SORG_lr_tha_l_ph_l_hp","BEAN_lr_tha_l_ph_l_hp","CHIC_lr_tha_l_ph_l_hp","LENT_lr_tha_l_ph_l_hp","WHEA_lr_tha_l_ph_l_hp","BARL_lr_tha_l_ph_l_hp","ACOF_lr_tha_l_ph_l_hp","RCOF_lr_tha_l_ph_l_hp","PMIL_lr_tha_l_ph_l_hp","SMIL_lr_tha_l_ph_l_hp","POTA_lr_tha_l_ph_l_hp","SWPO_lr_tha_l_ph_l_hp","CASS_lr_tha_l_ph_l_hp","COWP_lr_tha_l_ph_l_hp","PIGE_lr_tha_l_ph_l_hp","SOYB_lr_tha_l_ph_l_hp","GROU_lr_tha_l_ph_l_hp","SUGC_lr_tha_l_ph_l_hp","COTT_lr_tha_l_ph_l_hp","COCO_lr_tha_l_ph_l_hp","TEAS_lr_tha_l_ph_l_hp","TOBA_lr_tha_l_ph_l_hp","MAIZ_lr_tha_h_ph_h_hp","SORG_lr_tha_h_ph_h_hp","BEAN_lr_tha_h_ph_h_hp","CHIC_lr_tha_h_ph_h_hp","LENT_lr_tha_h_ph_h_hp","WHEA_lr_tha_h_ph_h_hp","BARL_lr_tha_h_ph_h_hp","ACOF_lr_tha_h_ph_h_hp","RCOF_lr_tha_h_ph_h_hp","PMIL_lr_tha_h_ph_h_hp","SMIL_lr_tha_h_ph_h_hp","POTA_lr_tha_h_ph_h_hp","SWPO_lr_tha_h_ph_h_hp","CASS_lr_tha_h_ph_h_hp","COWP_lr_tha_h_ph_h_hp","PIGE_lr_tha_h_ph_h_hp","SOYB_lr_tha_h_ph_h_hp","GROU_lr_tha_h_ph_h_hp","SUGC_lr_tha_h_ph_h_hp","COTT_lr_tha_h_ph_h_hp","COCO_lr_tha_h_ph_h_hp","TEAS_lr_tha_h_ph_h_hp","TOBA_lr_tha_h_ph_h_hp","MAIZ_lr_tha_h_ph_l_hp","SORG_lr_tha_h_ph_l_hp","BEAN_lr_tha_h_ph_l_hp","CHIC_lr_tha_h_ph_l_hp","LENT_lr_tha_h_ph_l_hp","WHEA_lr_tha_h_ph_l_hp","BARL_lr_tha_h_ph_l_hp","ACOF_lr_tha_h_ph_l_hp","RCOF_lr_tha_h_ph_l_hp","PMIL_lr_tha_h_ph_l_hp","SMIL_lr_tha_h_ph_l_hp","POTA_lr_tha_h_ph_l_hp","SWPO_lr_tha_h_ph_l_hp","CASS_lr_tha_h_ph_l_hp","COWP_lr_tha_h_ph_l_hp","PIGE_lr_tha_h_ph_l_hp","SOYB_lr_tha_h_ph_l_hp","GROU_lr_tha_h_ph_l_hp","SUGC_lr_tha_h_ph_l_hp","COTT_lr_tha_h_ph_l_hp","COCO_lr_tha_h_ph_l_hp","TEAS_lr_tha_h_ph_l_hp","TOBA_lr_tha_h_ph_l_hp","total","MAIZ_lr_tha","SORG_lr_tha","BEAN_lr_tha","CHIC_lr_tha","LENT_lr_tha","WHEA_lr_tha","BARL_lr_tha","ACOF_lr_tha","RCOF_lr_tha","PMIL_lr_tha","SMIL_lr_tha","POTA_lr_tha","SWPO_lr_tha","CASS_lr_tha","COWP_lr_tha","PIGE_lr_tha","SOYB_lr_tha","GROU_lr_tha","SUGC_lr_tha","COTT_lr_tha","COCO_lr_tha","TEAS_lr_tha","TOBA_lr_tha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Nigeria","Abia",47.660540534171,0.00598846133496397,0,0,0,0,0,0,0.00738166695950243,0,0,0.130933847182512,22.5983238900179,12.8498109237207,1.69831384523543,0,0,0.0455400015929021,0,0,0.568254605431856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40008064465462,0.0150969228747559,0,0,0,0,0,0,0.00126333340336258,0,0,0.234791537650237,5.59002238867592,0.573281845442239,0.214885387253984,0,0,0.165662867614818,0,0,0.320574557713513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,56.0606211788256,0.0210853842097198,0,0,0,0,0,0,0.00864500036286501,0,0,0.365725384832749,28.1883462786938,13.423092769163,1.91319923248941,0,0,0.21120286920772,0,0,0.888829163145369,0,0,85.5650877756468,0,15.5156594852834,0,101,100
"2","Nigeria","Adamawa",0.344030773776684,0.227019230980659,0,0,0,0,0,0,0,0.0077100001920466,0,0.00682846180011232,0.00152999997281469,0,0.180216927329424,0,0,0.247645738964039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263113636848766,0.122955173827021,0.0381145471915786,0,0,0,0,0.00180090903629577,0.0184503043191891,0.0248653490270595,0,0.00498171337699391,0.00454632864685459,0,0.0799112936910849,0,0,1.3056708238243,0,0.0134113640853782,0,0,0.000392424250210664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3943428768258,0,0,0,0,0,3.3,0.60714441062545,0.34997440480768,0.0381145471915786,0,0,0,0,0.00180090903629577,0.0184503043191891,0.0325753492191061,0,0.0118101751771062,0.00607632861966928,0,0.260128221020508,0,0,1.94765943961414,0,0.0134113640853782,0,0,0.000392424250210664,1.01498113301578,0,1.87821386812474,0.3943428768258,3,90.9
"3","Nigeria","Akwa Ibom",51.2954289958082,0,0,0,0,0,0,0,0.0112550005418838,0,0,0,19.4469832205322,50.3009785137203,0.13132384635703,0,0,0,0,0,0.271671852035757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41123466036254,0,0,0,0,0,0,0,0,0,0,0,0.606403234019535,0,0.0584370628314295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.8,52.7066636561707,0,0,0,0,0,0,0,0.0112550005418838,0,0,0,20.0533864545517,50.3009785137203,0.189760909188459,0,0,0,0,0,0.271671852035757,0,0,121.457641428995,0,2.07607495721351,0,123.8,100
"4","Nigeria","Anambra",13.6029345829812,0.0871015359699382,0,0,0,0,0,0,0.00113833337674228,0,0,1.46003997938711,9.61630836795528,2.60207471365061,0.0175430769350136,0,0,0.0267000032914005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.581183186603,0.191813075904489,0,0,0,0,0,0,0.000690000030466666,0.015680769421436,0,1.92244154155482,14.9593889463802,1.24925468270555,0.041593844379135,0,0,0.284045736160704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7,35.1841177695842,0.278914611874427,0,0,0,0,0,0,0.00182833340720895,0.015680769421436,0,3.38248152094193,24.5756973143355,3.85132939635616,0.0591369213141487,0,0,0.310745739452105,0,0,0,0,0,27.4138405935473,0,40.2460917831397,0,67.7,100
"5","Nigeria","Bauchi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"6","Nigeria","Bayelsa",25.0324007245426,0.220664696325809,0,0,0,0,0,0,0.000175000004982576,0,0,0.437473092612678,5.58448254371766,0,2.61854254916031,0,0,0.0689792337131487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392072305310871,0.00723000004414684,0,0,0,0,0,0,0,0,0,0.0067569231591431,0,0,0,0,0,0.00198285734212825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,25.4244730298535,0.227894696369956,0,0,0,0,0,0,0.000175000004982576,0,0,0.444230015771821,5.58448254371766,0,2.61854254916031,0,0,0.0709620910552769,0,0,0,0,0,33.9627178400772,0,0.40804208585629,0,34.5,100
"7","Nigeria","Benue",1.10377614050739,0.629270765450462,0,0,0,0,0,0,0.000116666669988384,0.223414610557286,0,0.247502311056733,1.91809389146297,0.334648211497296,0.260083844353738,0,0.399076151119115,1.14096578771964,0,0,0.0834327340659229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77982922525201,5.71575920637302,0,0,0,0,0,0,0.000213333348631859,2.33475690032082,0,1.26138001339352,8.93877459258157,0,2.2214884250496,0,7.81296925318704,38.8000461030463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1,7.8836053657594,6.34502997182348,0,0,0,0,0,0,0.000330000018620243,2.55817151087811,0,1.50888232445025,10.8568684840445,0.334648211497296,2.48157226940334,0,8.21204540430615,39.9410118907659,0,0,0.0834327340659229,0,0,6.34038111446054,0,73.8652170525525,0,80.1,100
"8","Nigeria","Borno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"9","Nigeria","Cross River",71.161639498448,0.233930768840667,0.0293142881344472,0,0,0.00103384618672041,0,0.0168933337547133,0.138384999396599,0.156890765116162,0,0.141729225143968,64.0157526432698,25.3656210525383,0.12561692075324,0,0.279989992549204,0.998382933137098,0.0615554604696585,0.0655283346744906,33.6821094845237,0.00583272736825724,0.00242000007652988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5960253770183,0.218284613739248,0,0,0,0,0,0,0.00029333334505558,0.0831876931598439,0,0.0960369235713092,8.30785617721784,0.613540970273334,0.0945623068131299,0,0.249348449939255,3.52452598586781,0,0,0.389290937754851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.5,81.7576648754662,0.452215382579915,0.0293142881344472,0,0,0.00103384618672041,0,0.0168933337547133,0.138678332741655,0.240078458276006,0,0.237766148715277,72.3236088204876,25.9791620228116,0.22017922756637,0,0.529338442488459,4.52290891900491,0.0615554604696585,0.0655283346744906,34.0714004222785,0.00583272736825724,0.00242000007652988,196.482626274381,0,24.1729527686999,0,220.5,100
"10","Nigeria","Delta",77.7468857162381,0.112518461336793,0,0,0,0,0,0,0.00599166690910546,0,0,5.51613852056387,23.6687907849721,10.9849626721635,0.196160773897837,0,0,0.238458201371633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9463908375759,0.0689930770558312,0,0,0,0,0,0,0.000208333344586815,0,0,1.12754769301888,7.05285935471889,0,0.218457698268956,0,0,0.119211437742157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.1,97.693276553814,0.181511538392624,0,0,0,0,0,0,0.00620000025369227,0,0,6.64368621358275,30.721650139691,10.9849626721635,0.414618472166792,0,0,0.35766963911379,0,0,0,0,0,118.469906797453,0,28.5336684317252,0,147.1,100
