"","COUNTRY","NAME_1","NAME_2","MAIZ_lr_tha_l_ph_h_hp","SORG_lr_tha_l_ph_h_hp","BEAN_lr_tha_l_ph_h_hp","CHIC_lr_tha_l_ph_h_hp","LENT_lr_tha_l_ph_h_hp","WHEA_lr_tha_l_ph_h_hp","BARL_lr_tha_l_ph_h_hp","ACOF_lr_tha_l_ph_h_hp","RCOF_lr_tha_l_ph_h_hp","PMIL_lr_tha_l_ph_h_hp","SMIL_lr_tha_l_ph_h_hp","POTA_lr_tha_l_ph_h_hp","SWPO_lr_tha_l_ph_h_hp","CASS_lr_tha_l_ph_h_hp","COWP_lr_tha_l_ph_h_hp","PIGE_lr_tha_l_ph_h_hp","SOYB_lr_tha_l_ph_h_hp","GROU_lr_tha_l_ph_h_hp","SUGC_lr_tha_l_ph_h_hp","COTT_lr_tha_l_ph_h_hp","COCO_lr_tha_l_ph_h_hp","TEAS_lr_tha_l_ph_h_hp","TOBA_lr_tha_l_ph_h_hp","MAIZ_lr_tha_l_ph_l_hp","SORG_lr_tha_l_ph_l_hp","BEAN_lr_tha_l_ph_l_hp","CHIC_lr_tha_l_ph_l_hp","LENT_lr_tha_l_ph_l_hp","WHEA_lr_tha_l_ph_l_hp","BARL_lr_tha_l_ph_l_hp","ACOF_lr_tha_l_ph_l_hp","RCOF_lr_tha_l_ph_l_hp","PMIL_lr_tha_l_ph_l_hp","SMIL_lr_tha_l_ph_l_hp","POTA_lr_tha_l_ph_l_hp","SWPO_lr_tha_l_ph_l_hp","CASS_lr_tha_l_ph_l_hp","COWP_lr_tha_l_ph_l_hp","PIGE_lr_tha_l_ph_l_hp","SOYB_lr_tha_l_ph_l_hp","GROU_lr_tha_l_ph_l_hp","SUGC_lr_tha_l_ph_l_hp","COTT_lr_tha_l_ph_l_hp","COCO_lr_tha_l_ph_l_hp","TEAS_lr_tha_l_ph_l_hp","TOBA_lr_tha_l_ph_l_hp","MAIZ_lr_tha_h_ph_h_hp","SORG_lr_tha_h_ph_h_hp","BEAN_lr_tha_h_ph_h_hp","CHIC_lr_tha_h_ph_h_hp","LENT_lr_tha_h_ph_h_hp","WHEA_lr_tha_h_ph_h_hp","BARL_lr_tha_h_ph_h_hp","ACOF_lr_tha_h_ph_h_hp","RCOF_lr_tha_h_ph_h_hp","PMIL_lr_tha_h_ph_h_hp","SMIL_lr_tha_h_ph_h_hp","POTA_lr_tha_h_ph_h_hp","SWPO_lr_tha_h_ph_h_hp","CASS_lr_tha_h_ph_h_hp","COWP_lr_tha_h_ph_h_hp","PIGE_lr_tha_h_ph_h_hp","SOYB_lr_tha_h_ph_h_hp","GROU_lr_tha_h_ph_h_hp","SUGC_lr_tha_h_ph_h_hp","COTT_lr_tha_h_ph_h_hp","COCO_lr_tha_h_ph_h_hp","TEAS_lr_tha_h_ph_h_hp","TOBA_lr_tha_h_ph_h_hp","MAIZ_lr_tha_h_ph_l_hp","SORG_lr_tha_h_ph_l_hp","BEAN_lr_tha_h_ph_l_hp","CHIC_lr_tha_h_ph_l_hp","LENT_lr_tha_h_ph_l_hp","WHEA_lr_tha_h_ph_l_hp","BARL_lr_tha_h_ph_l_hp","ACOF_lr_tha_h_ph_l_hp","RCOF_lr_tha_h_ph_l_hp","PMIL_lr_tha_h_ph_l_hp","SMIL_lr_tha_h_ph_l_hp","POTA_lr_tha_h_ph_l_hp","SWPO_lr_tha_h_ph_l_hp","CASS_lr_tha_h_ph_l_hp","COWP_lr_tha_h_ph_l_hp","PIGE_lr_tha_h_ph_l_hp","SOYB_lr_tha_h_ph_l_hp","GROU_lr_tha_h_ph_l_hp","SUGC_lr_tha_h_ph_l_hp","COTT_lr_tha_h_ph_l_hp","COCO_lr_tha_h_ph_l_hp","TEAS_lr_tha_h_ph_l_hp","TOBA_lr_tha_h_ph_l_hp","total","MAIZ_lr_tha","SORG_lr_tha","BEAN_lr_tha","CHIC_lr_tha","LENT_lr_tha","WHEA_lr_tha","BARL_lr_tha","ACOF_lr_tha","RCOF_lr_tha","PMIL_lr_tha","SMIL_lr_tha","POTA_lr_tha","SWPO_lr_tha","CASS_lr_tha","COWP_lr_tha","PIGE_lr_tha","SOYB_lr_tha","GROU_lr_tha","SUGC_lr_tha","COTT_lr_tha","COCO_lr_tha","TEAS_lr_tha","TOBA_lr_tha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Sierra Leone","Eastern","Kailahun",1.84396846924633,2.20974923633087,0,0,0,0,0,0,1.07259335571971,0.033583847223895,0,0,2.39413615743155,0,0,0,0.0908238445724368,6.0021975406005,0,0,0,0,0.00158500007155972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,1.84396846924633,2.20974923633087,0,0,0,0,0,0,1.07259335571971,0.033583847223895,0,0,2.39413615743155,0,0,0,0.0908238445724368,6.0021975406005,0,0,0,0,0.00158500007155972,13.6486374511969,0,0,0,13.6,100
"2","Sierra Leone","Eastern","Kenema",2.46868155746025,3.69638539676863,0,0,0,0,0,0,0.875391700801921,0,0,0,3.29418462729973,0,0,0,0.0123369230559511,7.80340344621272,0,0,0,0,0.00187166675024666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,2.46868155746025,3.69638539676863,0,0,0,0,0,0,0.875391700801921,0,0,0,3.29418462729973,0,0,0,0.0123369230559511,7.80340344621272,0,0,0,0,0.00187166675024666,18.1522553183494,0,0,0,18.2,100
"3","Sierra Leone","Eastern","Kono",3.73646308439956,2.17625307395849,0,0,0,0,0,0,0.534173355147715,0.164506150178796,0,0,4.31630999967112,0.384352745904746,0,0,0,8.58408914017027,0,0.0177800011035179,0.0146327277808839,0,0.00132666671290994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,3.73646308439956,2.17625307395849,0,0,0,0,0,0,0.534173355147715,0.164506150178796,0,0,4.31630999967112,0.384352745904746,0,0,0,8.58408914017027,0,0.0177800011035179,0.0146327277808839,0,0.00132666671290994,19.929886945028,0,0,0,19.9,100
"4","Sierra Leone","Northern","Bombali",3.46526137693057,2.44199523437954,0,0,0,0,0,0,0.046457461081036,5.78621229270479,0,0.00151923083483528,4.36935288377691,6.28089643133881,0,0,0,21.4198167144589,0.0315492662969625,0.00811805603814881,0.0443479163178374,0,0.00269994589673845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,3.46526137693057,2.44199523437954,0,0,0,0,0,0,0.046457461081036,5.78621229270479,0,0.00151923083483528,4.36935288377691,6.28089643133881,0,0,0,21.4198167144589,0.0315492662969625,0.00811805603814881,0.0443479163178374,0,0.00269994589673845,43.8982268100551,0,0,0,43.9,100
"5","Sierra Leone","Northern","Kambia",2.15883261771621,1.97924705708043,0,0,0,0,0,0,0.0242833329858569,5.33002009007867,0,0.00706846139264006,3.39726517370146,0.328302753450949,0,0,0,12.0160925351191,0.000477272793565964,0.0056700000546438,0.00118181824921207,0,0.00237666679092373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3,2.15883261771621,1.97924705708043,0,0,0,0,0,0,0.0242833329858569,5.33002009007867,0,0.00706846139264006,3.39726517370146,0.328302753450949,0,0,0,12.0160925351191,0.000477272793565964,0.0056700000546438,0.00118181824921207,0,0.00237666679092373,25.2508177794136,0,0,0,25.3,100
"6","Sierra Leone","Northern","Koinadugu",4.56323515876856,1.88683911691842,0,0,0,0,0,0,0.226235005708514,3.50536382176338,0,0.00701482195773898,4.72460265893058,1.94690666242874,0,0,0,22.2238645875102,0.00390454572491686,0.0117816670856656,0.0414772760525177,0,0.00106666670590639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1,4.56323515876856,1.88683911691842,0,0,0,0,0,0,0.226235005708514,3.50536382176338,0,0.00701482195773898,4.72460265893058,1.94690666242874,0,0,0,22.2238645875102,0.00390454572491686,0.0117816670856656,0.0414772760525177,0,0.00106666670590639,39.1422919895551,0,0,0,39.1,100
"7","Sierra Leone","Northern","Port Loko",2.55431075517418,2.45768306997747,0,0,0,0,0,0,0.0066216669313889,5.84899390031777,0,0,4.17228231671909,0,0,0,0,15.5087039139002,0,0,0,0,0.00170833339705132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,2.55431075517418,2.45768306997747,0,0,0,0,0,0,0.0066216669313889,5.84899390031777,0,0,4.17228231671909,0,0,0,0,15.5087039139002,0,0,0,0,0.00170833339705132,30.5503039564171,0,0,0,30.6,100
"8","Sierra Leone","Northern","Tonkolili",4.24385771633127,3.13035692689902,0,0,0,0,0,0,0.0617816687185845,5.10089999123775,0,0,3.31544308971189,0.152392741499327,0,0,0,16.4060954561886,8.90909130668097e-05,0,0.00142090915853665,0,0.00205666676797594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,4.24385771633127,3.13035692689902,0,0,0,0,0,0,0.0617816687185845,5.10089999123775,0,0,3.31544308971189,0.152392741499327,0,0,0,16.4060954561886,8.90909130668097e-05,0,0.00142090915853665,0,0.00205666676797594,32.414394257426,0,0,0,32.4,100
"9","Sierra Leone","Southern","Bo",2.43669921955216,2.71289538342704,0,0,0,0,0,0,0.0543183339874043,0.185711537314024,0,0,2.88575999235268,0,0,0,0,10.5574207694067,0,0,0,0,0.000280000009213885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,2.43669921955216,2.71289538342704,0,0,0,0,0,0,0.0543183339874043,0.185711537314024,0,0,2.88575999235268,0,0,0,0,10.5574207694067,0,0,0,0,0.000280000009213885,18.8330852360492,0,0,0,18.8,100
"10","Sierra Leone","Southern","Bonthe",0.684497619679518,0.814969313720284,0,0,0,0,0,0,0.0203650008230377,0.119819160524874,0,0,2.30984222773949,1.13585462807038,0,0,0,2.99020657757427,0.0106354556242207,0,0.00411000053279442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182931821333253,0.020188111910915,0,0,0,0,0,0,0,0,0,0,0.117620456511661,0,0,0,0,0.0555727316817922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0.702790801812843,0.835157425631199,0,0,0,0,0,0,0.0203650008230377,0.119819160524874,0,0,2.42746268425115,1.13585462807038,0,0,0,3.04577930925607,0.0106354556242207,0,0.00411000053279442,0,0,8.09029998428887,0,0.211674482237693,0,8.3,100
