"","COUNTRY","NAME_1","NAME_2","MAIZ_lr_tha_l_ph_h_hp","SORG_lr_tha_l_ph_h_hp","BEAN_lr_tha_l_ph_h_hp","CHIC_lr_tha_l_ph_h_hp","LENT_lr_tha_l_ph_h_hp","WHEA_lr_tha_l_ph_h_hp","BARL_lr_tha_l_ph_h_hp","ACOF_lr_tha_l_ph_h_hp","RCOF_lr_tha_l_ph_h_hp","PMIL_lr_tha_l_ph_h_hp","SMIL_lr_tha_l_ph_h_hp","POTA_lr_tha_l_ph_h_hp","SWPO_lr_tha_l_ph_h_hp","CASS_lr_tha_l_ph_h_hp","COWP_lr_tha_l_ph_h_hp","PIGE_lr_tha_l_ph_h_hp","SOYB_lr_tha_l_ph_h_hp","GROU_lr_tha_l_ph_h_hp","SUGC_lr_tha_l_ph_h_hp","COTT_lr_tha_l_ph_h_hp","COCO_lr_tha_l_ph_h_hp","TEAS_lr_tha_l_ph_h_hp","TOBA_lr_tha_l_ph_h_hp","MAIZ_lr_tha_l_ph_l_hp","SORG_lr_tha_l_ph_l_hp","BEAN_lr_tha_l_ph_l_hp","CHIC_lr_tha_l_ph_l_hp","LENT_lr_tha_l_ph_l_hp","WHEA_lr_tha_l_ph_l_hp","BARL_lr_tha_l_ph_l_hp","ACOF_lr_tha_l_ph_l_hp","RCOF_lr_tha_l_ph_l_hp","PMIL_lr_tha_l_ph_l_hp","SMIL_lr_tha_l_ph_l_hp","POTA_lr_tha_l_ph_l_hp","SWPO_lr_tha_l_ph_l_hp","CASS_lr_tha_l_ph_l_hp","COWP_lr_tha_l_ph_l_hp","PIGE_lr_tha_l_ph_l_hp","SOYB_lr_tha_l_ph_l_hp","GROU_lr_tha_l_ph_l_hp","SUGC_lr_tha_l_ph_l_hp","COTT_lr_tha_l_ph_l_hp","COCO_lr_tha_l_ph_l_hp","TEAS_lr_tha_l_ph_l_hp","TOBA_lr_tha_l_ph_l_hp","MAIZ_lr_tha_h_ph_h_hp","SORG_lr_tha_h_ph_h_hp","BEAN_lr_tha_h_ph_h_hp","CHIC_lr_tha_h_ph_h_hp","LENT_lr_tha_h_ph_h_hp","WHEA_lr_tha_h_ph_h_hp","BARL_lr_tha_h_ph_h_hp","ACOF_lr_tha_h_ph_h_hp","RCOF_lr_tha_h_ph_h_hp","PMIL_lr_tha_h_ph_h_hp","SMIL_lr_tha_h_ph_h_hp","POTA_lr_tha_h_ph_h_hp","SWPO_lr_tha_h_ph_h_hp","CASS_lr_tha_h_ph_h_hp","COWP_lr_tha_h_ph_h_hp","PIGE_lr_tha_h_ph_h_hp","SOYB_lr_tha_h_ph_h_hp","GROU_lr_tha_h_ph_h_hp","SUGC_lr_tha_h_ph_h_hp","COTT_lr_tha_h_ph_h_hp","COCO_lr_tha_h_ph_h_hp","TEAS_lr_tha_h_ph_h_hp","TOBA_lr_tha_h_ph_h_hp","MAIZ_lr_tha_h_ph_l_hp","SORG_lr_tha_h_ph_l_hp","BEAN_lr_tha_h_ph_l_hp","CHIC_lr_tha_h_ph_l_hp","LENT_lr_tha_h_ph_l_hp","WHEA_lr_tha_h_ph_l_hp","BARL_lr_tha_h_ph_l_hp","ACOF_lr_tha_h_ph_l_hp","RCOF_lr_tha_h_ph_l_hp","PMIL_lr_tha_h_ph_l_hp","SMIL_lr_tha_h_ph_l_hp","POTA_lr_tha_h_ph_l_hp","SWPO_lr_tha_h_ph_l_hp","CASS_lr_tha_h_ph_l_hp","COWP_lr_tha_h_ph_l_hp","PIGE_lr_tha_h_ph_l_hp","SOYB_lr_tha_h_ph_l_hp","GROU_lr_tha_h_ph_l_hp","SUGC_lr_tha_h_ph_l_hp","COTT_lr_tha_h_ph_l_hp","COCO_lr_tha_h_ph_l_hp","TEAS_lr_tha_h_ph_l_hp","TOBA_lr_tha_h_ph_l_hp","total","MAIZ_lr_tha","SORG_lr_tha","BEAN_lr_tha","CHIC_lr_tha","LENT_lr_tha","WHEA_lr_tha","BARL_lr_tha","ACOF_lr_tha","RCOF_lr_tha","PMIL_lr_tha","SMIL_lr_tha","POTA_lr_tha","SWPO_lr_tha","CASS_lr_tha","COWP_lr_tha","PIGE_lr_tha","SOYB_lr_tha","GROU_lr_tha","SUGC_lr_tha","COTT_lr_tha","COCO_lr_tha","TEAS_lr_tha","TOBA_lr_tha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Tanzania","Arusha","Arusha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.373682658294,0.121984785030525,0,0,0,0,0,0,0,0,0,0,0,35.0270584542618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.5,0,0,154.373682658294,0.121984785030525,0,0,0,0,0,0,0,0,0,0,0,35.0270584542618,0,0,0,0,0,0,0,0,0,189.522725897586,0,189.5,100
"3","Tanzania","Arusha","Karatu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118.38215981879,88.1138087868655,0,0,0,0,0,0,0,0,0,0,0,1371.45497403559,0,8.72004684764846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2586.7,0,0,1118.38215981879,88.1138087868655,0,0,0,0,0,0,0,0,0,0,0,1371.45497403559,0,8.72004684764846,0,0,0,0,0,0,0,2586.67098948889,0,2586.7,100
"7","Tanzania","Arusha","Meru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.664263214675,0.048630175059551,0,0,0,0,0,0,0,0,0,0,0,333.63585206639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905.3,0,0,571.664263214675,0.048630175059551,0,0,0,0,0,0,0,0,0,0,0,333.63585206639,0,0,0,0,0,0,0,0,0,905.348745456124,0,905.3,100
"9","Tanzania","Arusha","Ngorongoro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817.068109507529,46.8069188763584,0,0,0,0,0,0,0,0,0,0,0,444.176169157096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308.1,0,0,817.068109507529,46.8069188763584,0,0,0,0,0,0,0,0,0,0,0,444.176169157096,0,0,0,0,0,0,0,0,0,1308.05119754098,0,1308.1,100
"13","Tanzania","Dodoma","Bahi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64173684067799,0,122.532518056134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64173684067799,0,122.532518056134,0,0,0,0,0,0,0,124.174254896812,0,124.2,100
"14","Tanzania","Dodoma","Chamwino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.74775545941,0,0,0,0,0,0,0,0,0,0,0,0,0.132360633710912,0,242.833224593254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.7,0,0,163.74775545941,0,0,0,0,0,0,0,0,0,0,0,0,0.132360633710912,0,242.833224593254,0,0,0,0,0,0,0,406.713340686375,0,406.7,100
"17","Tanzania","Dodoma","Kondoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590.64539877529,103.412478970447,0,0,0,0,0,0,0,0,0,0,0,7076.81073338722,0,899.125571398966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10670,0,0,2590.64539877529,103.412478970447,0,0,0,0,0,0,0,0,0,0,0,7076.81073338722,0,899.125571398966,0,0,0,0,0,0,0,10669.9941825319,0,10670,100
"20","Tanzania","Geita","Bukombe",9153.56592992104,319.954223120979,6146.72703911426,663.965730589074,0,0,0,1.6621252022907,0,1.6465659685405,272.958856667424,0,4538.32793802266,254.230189547656,90.5530085538356,0,0,3721.02318231067,0,1921.16863948033,0,0,32.674687635512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9674.90040485041,369.203867000677,12903.6644263874,915.128683877273,0,0,0,0,5.2793053978545,3.4088394931249,179.65849714967,0,5350.30400440357,0,88.2935707536851,0,0,8573.08216735828,0,577.317428966637,0,0,9.25681236290238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65768,18828.4663347714,689.158090121656,19050.3914655017,1579.09441446635,0,0,0,1.6621252022907,5.2793053978545,5.0554054616654,452.617353817094,0,9888.63194242624,254.230189547656,178.846579307521,0,0,12294.1053496689,0,2498.48606844696,0,0,41.9314999984144,27118.4581161343,0,38649.4980080015,0,65768,100
"21","Tanzania","Geita","Chato",671.700929053577,42.3524498133181,446.232298690422,0,0,0,0,0,0,3.49448370765052,3.04621474289181,0,232.19672059059,0,0,0,0,11.9781613306097,0,2.30968332658503,0,0,0.221139902319109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934.42560094222,330.513705465246,6970.8819615008,14.4248854300149,0,0,0,0,0,29.3254475086791,24.5997450268408,0,874.712787566653,0,0,0,0,624.893967158637,0,16.0043584420029,0,0,2.33777382077255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13235.7,3606.12652999579,372.866155278564,7417.11426019123,14.4248854300149,0,0,0,0,0,32.8199312163296,27.6459597697326,0,1106.90950815724,0,0,0,0,636.872128489247,0,18.3140417685879,0,0,2.55891372309166,1413.53208115796,0,11822.1202328619,0,13235.7,100
"22","Tanzania","Geita","Geita",3948.13759978629,65.089608934161,6936.71078941873,366.653375888387,0,0,0,0,0,825.11556313541,157.062144284118,0,2938.76868477059,0,8.26167875391361,0,0,2008.02205623437,0,105.814507260739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14952.6021638143,426.399644271601,21270.8908815599,944.234075253995,0,0,0,0,0,2986.87891007775,487.666900205671,0,7707.97110050335,0,78.9480219508002,0,0,4718.54588177562,0,551.232861167155,0,0,0.30444975675065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71485.3,18900.7397636006,491.489253205762,28207.6016709786,1310.88745114238,0,0,0,0,0,3811.99447321316,644.729044489789,0,10646.7397852739,0,87.2097007047138,0,0,6726.56793801,0,657.047368427893,0,0,0.30444975675065,17359.6360084667,0,54125.6748903369,0,71485.3,100
