"","COUNTRY","NAME_1","NAME_2","MAIZ_lr_tha_l_ph_h_hp","SORG_lr_tha_l_ph_h_hp","BEAN_lr_tha_l_ph_h_hp","CHIC_lr_tha_l_ph_h_hp","LENT_lr_tha_l_ph_h_hp","WHEA_lr_tha_l_ph_h_hp","BARL_lr_tha_l_ph_h_hp","ACOF_lr_tha_l_ph_h_hp","RCOF_lr_tha_l_ph_h_hp","PMIL_lr_tha_l_ph_h_hp","SMIL_lr_tha_l_ph_h_hp","POTA_lr_tha_l_ph_h_hp","SWPO_lr_tha_l_ph_h_hp","CASS_lr_tha_l_ph_h_hp","COWP_lr_tha_l_ph_h_hp","PIGE_lr_tha_l_ph_h_hp","SOYB_lr_tha_l_ph_h_hp","GROU_lr_tha_l_ph_h_hp","SUGC_lr_tha_l_ph_h_hp","COTT_lr_tha_l_ph_h_hp","COCO_lr_tha_l_ph_h_hp","TEAS_lr_tha_l_ph_h_hp","TOBA_lr_tha_l_ph_h_hp","MAIZ_lr_tha_l_ph_l_hp","SORG_lr_tha_l_ph_l_hp","BEAN_lr_tha_l_ph_l_hp","CHIC_lr_tha_l_ph_l_hp","LENT_lr_tha_l_ph_l_hp","WHEA_lr_tha_l_ph_l_hp","BARL_lr_tha_l_ph_l_hp","ACOF_lr_tha_l_ph_l_hp","RCOF_lr_tha_l_ph_l_hp","PMIL_lr_tha_l_ph_l_hp","SMIL_lr_tha_l_ph_l_hp","POTA_lr_tha_l_ph_l_hp","SWPO_lr_tha_l_ph_l_hp","CASS_lr_tha_l_ph_l_hp","COWP_lr_tha_l_ph_l_hp","PIGE_lr_tha_l_ph_l_hp","SOYB_lr_tha_l_ph_l_hp","GROU_lr_tha_l_ph_l_hp","SUGC_lr_tha_l_ph_l_hp","COTT_lr_tha_l_ph_l_hp","COCO_lr_tha_l_ph_l_hp","TEAS_lr_tha_l_ph_l_hp","TOBA_lr_tha_l_ph_l_hp","MAIZ_lr_tha_h_ph_h_hp","SORG_lr_tha_h_ph_h_hp","BEAN_lr_tha_h_ph_h_hp","CHIC_lr_tha_h_ph_h_hp","LENT_lr_tha_h_ph_h_hp","WHEA_lr_tha_h_ph_h_hp","BARL_lr_tha_h_ph_h_hp","ACOF_lr_tha_h_ph_h_hp","RCOF_lr_tha_h_ph_h_hp","PMIL_lr_tha_h_ph_h_hp","SMIL_lr_tha_h_ph_h_hp","POTA_lr_tha_h_ph_h_hp","SWPO_lr_tha_h_ph_h_hp","CASS_lr_tha_h_ph_h_hp","COWP_lr_tha_h_ph_h_hp","PIGE_lr_tha_h_ph_h_hp","SOYB_lr_tha_h_ph_h_hp","GROU_lr_tha_h_ph_h_hp","SUGC_lr_tha_h_ph_h_hp","COTT_lr_tha_h_ph_h_hp","COCO_lr_tha_h_ph_h_hp","TEAS_lr_tha_h_ph_h_hp","TOBA_lr_tha_h_ph_h_hp","MAIZ_lr_tha_h_ph_l_hp","SORG_lr_tha_h_ph_l_hp","BEAN_lr_tha_h_ph_l_hp","CHIC_lr_tha_h_ph_l_hp","LENT_lr_tha_h_ph_l_hp","WHEA_lr_tha_h_ph_l_hp","BARL_lr_tha_h_ph_l_hp","ACOF_lr_tha_h_ph_l_hp","RCOF_lr_tha_h_ph_l_hp","PMIL_lr_tha_h_ph_l_hp","SMIL_lr_tha_h_ph_l_hp","POTA_lr_tha_h_ph_l_hp","SWPO_lr_tha_h_ph_l_hp","CASS_lr_tha_h_ph_l_hp","COWP_lr_tha_h_ph_l_hp","PIGE_lr_tha_h_ph_l_hp","SOYB_lr_tha_h_ph_l_hp","GROU_lr_tha_h_ph_l_hp","SUGC_lr_tha_h_ph_l_hp","COTT_lr_tha_h_ph_l_hp","COCO_lr_tha_h_ph_l_hp","TEAS_lr_tha_h_ph_l_hp","TOBA_lr_tha_h_ph_l_hp","total","MAIZ_lr_tha","SORG_lr_tha","BEAN_lr_tha","CHIC_lr_tha","LENT_lr_tha","WHEA_lr_tha","BARL_lr_tha","ACOF_lr_tha","RCOF_lr_tha","PMIL_lr_tha","SMIL_lr_tha","POTA_lr_tha","SWPO_lr_tha","CASS_lr_tha","COWP_lr_tha","PIGE_lr_tha","SOYB_lr_tha","GROU_lr_tha","SUGC_lr_tha","COTT_lr_tha","COCO_lr_tha","TEAS_lr_tha","TOBA_lr_tha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Zambia","Central","Chibombo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896.335464604364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896.335464604364,0,0,0,0,0,0,0,896.335464604364,0,896.3,100
"3","Zambia","Central","Chitambo",5212.24390088815,351.698289737235,0.192585089706782,0,0,0.609484679876076,0,0,0,907.581399310795,219.450390012176,0,442.331165443485,24.8030316702959,0,0,118.002358007633,839.298914882351,0,0,0,0,241.403655125586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5823.36439172815,348.795960119882,0.306691439491003,0,0,0.303365000719623,0,0,0,367.663065312236,254.84730644584,0,695.727419112365,0,0,0,209.584238311653,1032.52432514329,0,0,0,0,33.2678507824957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738228713545631,0,0,0,0,0,17124.7,11035.6082926163,700.494249857118,0.499276529197784,0,0,0.912849680595699,0,0,0,1275.24446462303,474.297696458016,0,1138.05858455585,24.8030316702959,0,0,327.586596319286,1872.56146873918,0,0,0,0,274.671505908082,8357.61517484729,0,8766.38461339613,0.738228713545631,17124,100
"5","Zambia","Central","Kabwe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.689150745999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.689150745999,0,0,0,0,0,0,0,369.689150745999,0,369.7,100
"6","Zambia","Central","Kapiri Mposhi",4090.48093321711,32.8461225889435,0,0,0,34.4473841474285,0,0,0,14.6710160931249,11.7000451985801,2.48345532685631,468.581233428556,0,0,0,318.631070364496,1579.61764194762,0,0.27473559255516,0,0,28.7093263154431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15966.9384550227,104.080354075835,0,0,0,70.275258852751,0,0,0,60.4494032707254,56.4333541818071,7.89066216556933,2554.6247900758,0,0,0,811.019950302171,8436.29514233631,0,39.4995819186113,0,0,179.531736044868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34869.5,20057.4193882398,136.926476664778,0,0,0,104.72264300018,0,0,0,75.1204193638503,68.1333993803871,10.3741174924256,3023.20602350435,0,0,0,1129.65102066667,10015.9127842839,0,39.7743175111664,0,0,208.241062360311,6582.44296422071,0,28287.0386882471,0,34869.5,100
"7","Zambia","Central","Luano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.518230692437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.518230692437,0,0,0,0,0,0,0,133.518230692437,0,133.5,100
"8","Zambia","Central","Mkushi",4789.19282172631,112.373406312417,0.305508270272867,0,0,1646.09757646924,166.068139527126,0,0,28.4760978724099,19.5255675120096,11.3693422999712,267.94461610157,32.145134515704,0,0,1698.44682895,1021.0291957432,0,2.03023909907805,0,0,195.738597525522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601.73571891092,37.5691701976795,0,0,0,326.783867845219,32.7868927056246,0,0,8.96926145213133,8.20608683567769,4.24044392277217,94.9385421585303,0,0,0,639.73024841362,803.493870198059,0,0.260429216520521,0,0,26.3485895656401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13575.8,6390.92854063723,149.942576510097,0.305508270272867,0,0,1972.88144431446,198.855032232751,0,0,37.4453593245413,27.7316543476873,15.6097862227434,362.8831582601,32.145134515704,0,0,2338.17707736362,1824.52306594126,0,2.29066831559857,0,0,222.087187091162,9990.74307192484,0,3585.0631214224,0,13575.8,100
"9","Zambia","Central","Mumbwa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.058177067935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.871266012993,1.55845199679224,0,0,0,0,0,0,0,0,0,0,12.9704289653074,0,0,0,73.3331783088185,1485.80645344363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2381.6,753.871266012993,1.55845199679224,0,0,0,0,0,0,0,0,0,0,12.9704289653074,0,0,0,73.3331783088185,1539.86463051156,0,0,0,0,0,54.058177067935,0,2327.53977872754,0,2381.6,100
"11","Zambia","Central","Serenje",5968.76088884848,443.752330275538,0.310131787723003,0,0,0.571829319438461,0,0,0,570.653877746853,286.814376181309,0.0283235068863299,595.859564369638,0,0,0,169.759442158158,1358.30526414945,0,0,0,0,155.498610681253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3375.55131115556,230.434776090667,0,0,0,0,0,0,0,49.7594234083052,165.726213208024,0.0988747002935291,472.260944207207,0,0,0,149.157998499545,1048.04968893402,0,0,0,0,80.5667199534928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15121.9,9344.31220000404,674.187106366205,0.310131787723003,0,0,0.571829319438461,0,0,0,620.413301155158,452.540589389333,0.127198207179859,1068.12050857684,0,0,0,318.917440657703,2406.35495308347,0,0,0,0,236.065330634746,9550.31463902473,0,5571.60595015712,0,15121.9,100
"12","Zambia","Copperbelt","Chililabombwe",5090.93730131055,62.2077855858667,1.14711184671725,0,0,1.85782914517979,0,0,0,45.7915021348833,16.3010057742314,14.9252716081096,546.707242904966,35.144682263143,0.116114321573737,0,13.6178614239494,1297.46819168947,22.2029889142855,0,0,0,19.6253533729151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.734719724071,8.75188447691454,0,0,0,0,0,0,0,3.87078270385788,1.61966692508406,2.30478920044413,69.8635269763668,0,0,0,1.66386835613353,122.938643958015,0,0,0,0,1.21962772749086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7928,5638.67202103462,70.9596700627812,1.14711184671725,0,0,1.85782914517979,0,0,0,49.6622848387412,17.9206726993154,17.2300608085537,616.570769881333,35.144682263143,0.116114321573737,0,15.281729780083,1420.40683564749,22.2029889142855,0,0,0,20.8449811004059,7168.05024229584,0,759.967510048377,0,7928,100
"13","Zambia","Copperbelt","Chingola",12093.3467296617,25.1986906664778,0,0,0,0,0,0,0,51.0552681558924,42.6166263197548,16.6214319243051,1190.91657342552,109.833972196188,0,0,43.4635094713558,2081.74223190199,199.264699970004,0,0,0,66.6344220262996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526.21377083317,4.38823931774598,0,0,0,0,0,0,0,16.7585422472642,6.27010911653966,1.01152914175701,120.067774937971,0,0,0,3.75796381648246,531.257706453644,0,0,0,0,1.14001149560797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18131.6,13619.5605004949,29.5869299842238,0,0,0,0,0,0,0,67.8138104031567,48.8867354362945,17.6329610660621,1310.9843483635,109.833972196188,0,0,47.2214732878383,2612.99993835563,199.264699970004,0,0,0,67.7744335219076,15920.6941557195,0,2210.86564736018,0,18131.6,100
