"","COUNTRY","NAME_1","NAME_2","ACOF_ha_spam","ACOF_area_profitable_ha","ACOF_actual_profit","BARL_ha_spam","BARL_area_profitable_ha","BARL_actual_profit","BEAN_ha_spam","BEAN_area_profitable_ha","BEAN_actual_profit","CASS_ha_spam","CASS_area_profitable_ha","CASS_actual_profit","CHIC_ha_spam","CHIC_area_profitable_ha","CHIC_actual_profit","COCO_ha_spam","COCO_area_profitable_ha","COCO_actual_profit","COTT_ha_spam","COTT_area_profitable_ha","COTT_actual_profit","COWP_ha_spam","COWP_area_profitable_ha","COWP_actual_profit","GROU_ha_spam","GROU_area_profitable_ha","GROU_actual_profit","LENT_ha_spam","LENT_area_profitable_ha","LENT_actual_profit","MAIZ_ha_spam","MAIZ_area_profitable_ha","MAIZ_actual_profit","PIGE_ha_spam","PIGE_area_profitable_ha","PIGE_actual_profit","PMIL_ha_spam","PMIL_area_profitable_ha","PMIL_actual_profit","POTA_ha_spam","POTA_area_profitable_ha","POTA_actual_profit","RCOF_ha_spam","RCOF_area_profitable_ha","RCOF_actual_profit","SMIL_ha_spam","SMIL_area_profitable_ha","SMIL_actual_profit","SORG_ha_spam","SORG_area_profitable_ha","SORG_actual_profit","SOYB_ha_spam","SOYB_area_profitable_ha","SOYB_actual_profit","SUGC_ha_spam","SUGC_area_profitable_ha","SUGC_actual_profit","SWPO_ha_spam","SWPO_area_profitable_ha","SWPO_actual_profit","TEAS_ha_spam","TEAS_area_profitable_ha","TEAS_actual_profit","TOBA_ha_spam","TOBA_area_profitable_ha","TOBA_actual_profit","WHEA_ha_spam","WHEA_area_profitable_ha","WHEA_actual_profit","total_cropland","total_profitable","actutal_profit"
"1","Ethiopia","Addis Abeba","Addis Abeba",0,0,0,1144.43994140625,0,0,1.79999995231628,0,0,0,0,0,0.100000001490116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4399995803833,0,0,0,0,0,0,0,0,5.08999967575073,0,0,0,0,0,0,0,0,89.3699951171875,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,778.799987792969,0,0,2041.04,0,0
"2","Ethiopia","Afar","Afar Zone 1",0,0,0,74.6322615742683,0,0,4.40967698395252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5045.90032863617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.442237496376,0,0,0.971212156116962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5290.36,0,0
"3","Ethiopia","Afar","Afar Zone 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Ethiopia","Afar","Afar Zone 3",0,0,0,311.543398056179,0,0,319.816341638565,0,0,0,0,0,211.564674377441,0,0,0,0,0,1669.55781251192,0,0,0,0,0,0,0,0,191.00399684906,0,0,1783.07450760901,0,0,0,0,0,0,0,0,0.19200000539422,0,0,0,0,0,0.492000009864569,0,0,2702.86752921343,0,0,0.0300000011920929,0,0,17.3751870542765,0,0,4.2983659952879,0,0,0,0,0,4.36800001561642,0,0,269.386665344238,0,0,7485.57,0,0
"5","Ethiopia","Afar","Afar Zone 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Ethiopia","Afar","Afar Zone 5",0,0,0,234.515992432833,0,0,38.6880006790161,0,0,0,0,0,146.057998657227,0,0,0,0,0,58.1219990849495,0,0,0,0,0,0,0,0,141.925994873047,0,0,102.643995285034,0,0,0,0,0,0,0,0,0.0600000023841858,0,0,0,0,0,0.0720000043511391,0,0,923.687966346741,0,0,0,0,0,0.740000024437904,0,0,0.804000020027161,0,0,0,0,0,1.64600002765656,0,0,160.77799987793,0,0,1809.74,0,0
"7","Ethiopia","Amhara","Agew Awi",612.498137190938,0,0,11621.8472760022,0,0,941.918769747019,43.256799697876,301.397637248039,0,0,0,1131.46446752921,4.94179993867874,6.7532257437706,0,0,0,360.219122856855,0,0,0,0,0,2642.62347134948,0,0,3.36422229744494,0,0,55312.6652858853,0,0,0,0,0,0,0,0,3615.0434249714,13.2687997817993,28.1518154144287,0,0,0,41555.3599415636,0,0,19783.5359703898,0,0,1725.4210553728,0,0,81.1655447520316,0,0,114.113265618682,0,0,0,0,0,14.5896972566843,0,0,16722.059995532,0,0,156237.89,61.47,336.3
"8","Ethiopia","Amhara","Argoba",11.7980005741119,0,0,240.480003356934,0,0,55.726001739502,0,0,0,0,0,163.009998321533,0,0,0,0,0,17.6800003051758,0,0,0,0,0,6.64800024032593,0,0,177.195999145508,0,0,205.584007263184,0,0,0,0,0,0,0,0,0.666000030934811,0,0,0,0,0,21.8600001335144,0,0,988.539978027344,0,0,4.56599998474121,0,0,0.464000001549721,0,0,0.164000000804663,0,0,0,0,0,7.52800035476685,0,0,324.523994445801,0,0,2226.43,0,0
"9","Ethiopia","Amhara","Bahir Dar Special Zone",28.7804889678955,0,0,172.804885864258,0,0,36.0804862976074,0,0,0,0,0,111.843902587891,0,0,0,0,0,112.434150695801,0,0,0,0,0,3.49268293380737,0,0,0.639024376869202,0,0,1531.30236816406,0,0,0,0,0,0,0,0,36.8585357666016,0,0,0,0,0,801.448791503906,0,0,31.5390243530273,0,0,4.44390249252319,0,0,68.9048767089844,0,0,1.16829264163971,0,0,0,0,0,0,0,0,219.585357666016,0,0,3161.33,0,0
"10","Ethiopia","Amhara","Debub Gondar",307.170390792191,0,0,43606.9923706055,0,0,12677.3333845139,0,0,0,0,0,15424.443819046,0,0,0,0,0,1129.47337401472,0,0,0,0,0,34.5581950191408,0,0,3368.69836962223,0,0,40515.5747585297,0,0,0,0,0,0,0,0,7933.68681716919,0,0,0,0,0,36593.0171756744,0,0,34832.1919207573,0,0,15.1165368556976,0,0,24.0198535807431,0,0,105.466829098761,0,0,0,0,0,2.34136588871479,0,0,82789.6507225037,0,0,279359.74,0,0
