"","COUNTRY","NAME_1","ACOF_ha_spam","ACOF_area_profitable_ha","ACOF_actual_profit","BARL_ha_spam","BARL_area_profitable_ha","BARL_actual_profit","BEAN_ha_spam","BEAN_area_profitable_ha","BEAN_actual_profit","CASS_ha_spam","CASS_area_profitable_ha","CASS_actual_profit","CHIC_ha_spam","CHIC_area_profitable_ha","CHIC_actual_profit","COCO_ha_spam","COCO_area_profitable_ha","COCO_actual_profit","COTT_ha_spam","COTT_area_profitable_ha","COTT_actual_profit","COWP_ha_spam","COWP_area_profitable_ha","COWP_actual_profit","GROU_ha_spam","GROU_area_profitable_ha","GROU_actual_profit","LENT_ha_spam","LENT_area_profitable_ha","LENT_actual_profit","MAIZ_ha_spam","MAIZ_area_profitable_ha","MAIZ_actual_profit","PIGE_ha_spam","PIGE_area_profitable_ha","PIGE_actual_profit","PMIL_ha_spam","PMIL_area_profitable_ha","PMIL_actual_profit","POTA_ha_spam","POTA_area_profitable_ha","POTA_actual_profit","RCOF_ha_spam","RCOF_area_profitable_ha","RCOF_actual_profit","SMIL_ha_spam","SMIL_area_profitable_ha","SMIL_actual_profit","SORG_ha_spam","SORG_area_profitable_ha","SORG_actual_profit","SOYB_ha_spam","SOYB_area_profitable_ha","SOYB_actual_profit","SUGC_ha_spam","SUGC_area_profitable_ha","SUGC_actual_profit","SWPO_ha_spam","SWPO_area_profitable_ha","SWPO_actual_profit","TEAS_ha_spam","TEAS_area_profitable_ha","TEAS_actual_profit","TOBA_ha_spam","TOBA_area_profitable_ha","TOBA_actual_profit","WHEA_ha_spam","WHEA_area_profitable_ha","WHEA_actual_profit","total_cropland","total_profitable","actutal_profit"
"1","Kenya","Baringo",841.592435330153,0,0,148.780341625214,0,0,11966.3437099457,711.278015136719,60.4124870300293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.207160105929,2.95200012996793,88.9106101989746,0,0,0,27253.5200653076,0,0,0,0,0,725.614325284958,0,0,1308.56683075428,0,0,0,0,0,0,0,0,1076.26985406876,0,0,39.6906695142388,0,0,0,0,0,19.9885542634875,0,0,64.8677096366882,0,0,2.57121954113245,0,0,1027.43464851379,0,0,44646.45,714.23,149.32
"2","Kenya","Bomet",390.9697868824,11.9060001373291,56.3635215759277,221.068904876709,0,0,13512.2009277344,6591.17938232422,3594.28135490417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4680001996458,31.9040001630783,3989.38348960876,0,0,0,49096.196472168,11097.408203125,664.620628356934,0,0,0,1039.66010284424,122.394004821777,280.99596786499,1927.40116691589,235.499996185303,11500.3703613281,0,0,0,0,0,0,825.546175956726,157.785995483398,575.746517181396,46.2360002398491,7.67000025510788,1390.75241851807,0,0,0,792.448970794678,107.516000747681,2994.14340209961,15542.6767616272,0,0,473.304000854492,53.3619995117188,518.663467407227,982.046198498458,1.27000005543232,1780.45851135254,84884.23,18417.89,27345.78
"3","Kenya","Bungoma",180.85999801755,0,0,65.2519989013672,0,0,57878.2419433594,45749.4201660156,5699.86808013916,2907.43198680878,0,0,14.4179992675781,14.4179992675781,168.643280029297,0,0,0,32.9940004348755,0,0,1204.8959903717,641.269998550415,683.337826728821,699.109983921051,696.829983949661,5480.93951034546,7.90000000596046,4.88599993288517,2717.41164016724,91625.6091308594,37011.5883789062,642.848443984985,0,0,0,1407.3519859314,970.89799118042,310.922546863556,2981.48492717743,574.850001335144,7352.88665771484,0,0,0,17.7779998779297,0,0,11744.9258651733,4805.75204467773,522.949955940247,242.360002122819,115.754000902176,1071.79017066956,7868.61803138256,0,0,5805.33191245794,3128.75996017456,3763.71656799316,105.258001804352,0,0,7934.24053311348,0,0,966.285997867584,0,0,193690.34,93714.42,28415.31
"4","Kenya","Busia",94.9980010986328,0,0,0,0,0,25785.808807373,23521.0738220215,4227.56717443466,3504.04782104492,0,0,0,0,0,0,0,0,205.778271652758,0,0,744.12917804718,459.391996383667,679.864664077759,880.077362060547,823.095998764038,4324.54685163498,0,0,0,44288.8152618408,27971.2141113281,693.628894805908,0,0,0,845.859830856323,560.172012329102,311.327920913696,4.66000015288591,3.4040000885725,2741.34495544434,470.779644370079,0,0,1547.6100692749,885.108032226562,170.690719604492,6164.70783615112,3766.25588989258,547.95431137085,136.263818465173,79.6219989061356,494.402221679688,5129.37836456299,0,0,4273.84573745728,2661.20802307129,3959.56861877441,34.5267277956009,0,0,1615.63746422529,36.8040008544922,52.5477828979492,0,0,0,95726.92,60767.35,18203.45
"5","Kenya","Elgeyo-Marakwet",49.3939993977547,0,0,216.881998538971,20.0939993858337,158.395172119141,20208.2119903564,13720.1460876465,2963.45351219177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.784321304411,29.4703237265348,1186.11607170105,0,0,0,40720.3611450195,8605.65148925781,304.59174156189,0,0,0,5356.53347587585,953.25691986084,167.494474411011,3834.75731247663,2065.63603973389,8156.23556518555,0,0,0,0,0,0,2329.84965920448,969.227127075195,295.369453430176,1.88600003346801,0.114000003784895,161.733551025391,3.36600005626678,0,0,248.468146577477,14.8703416734934,1400.08908081055,0,0,0,29.4802496284246,0,0,5694.48097115755,395.491312503815,1092.21477508545,78799.46,26773.96,15885.7
"6","Kenya","Embu",13100.4058799744,0,0,0,0,0,35150.736541748,16636.6404724121,1246.74736022949,411.424002766609,0,0,221.07600402832,221.07600402832,50.0959396362305,0,0,0,936.42599105835,0,0,9078.07194852829,0,0,0,0,0,0.0120000001043081,0.0120000001043081,95.9163131713867,49596.4985351562,4631.48803710938,89.9743309020996,4059.27799546719,293.513984084129,147.548805236816,2478.20798110962,0,0,602.924002755433,106.776000976562,1469.64538574219,0,0,0,0,0,0,6132.0219552815,0.131999999284744,42.8573608398438,3.11400002241135,0,0,0,0,0,850.245997190475,0,0,5102.95787525177,0,0,1353.4399895668,0,0,0,0,0,129076.83,21889.64,3142.79
"7","Kenya","Garissa",0,0,0,0,0,0,965.261770986021,0,0,1082.39600758627,0,0,0,0,0,0,0,0,52.5000002384186,0,0,144.782446824014,0,0,23.9999997615814,0,0,0,0,0,826.629781119525,0,0,13.2739588394761,0,0,0.205268299207091,0,0,0,0,0,0,0,0,0,0,0,4311.54052303545,0,0,0,0,0,2.69999999552965,0,0,56.3539901338518,0,0,0,0,0,0,0,0,0,0,0,7479.65,0,0
"8","Kenya","Homa Bay",96.8939971923828,0,0,0,0,0,456.078002929688,456.078002929688,448.932098388672,5936.11565923691,0,0,0,0,0,0,0,0,3113.5731395781,236.468000411987,51.3312768936157,1235.90183434635,548.248003959656,1123.5060005188,8004.42340222001,5682.21790337563,4808.50979423523,11.5280001759529,11.5280001759529,3471.14953613281,70267.4735240936,24880.9815063477,963.373260498047,0,0,0,3145.0163821429,2751.65799331665,642.514181137085,104.397514481097,99.8940022289753,15261.0595703125,0,0,0,0,0,0,25391.6748161316,7527.65804290771,830.059732437134,373.622625276446,359.699990838766,1807.13079452515,5098.7105140686,0,0,67.3260040283203,67.3260040283203,539.1630859375,2107.39804077148,0,0,0,0,0,1.30199992656708,1.30199992656708,175.749359130859,125411.43,42623.05,30122.48
"9","Kenya","Isiolo",454.948809981346,0,0,7.69999980926514,0,0,1417.3970381394,0,0,40.1894879341125,0,0,0,0,0,0,0,0,146.015690267086,0,0,725.484386190772,0,0,48.8600006103516,0,0,11.2279996871948,0,0,2427.81263543665,0,0,437.621966194361,0,0,181.223604798317,0,0,78.1925609111786,0,0,0,0,0,0,0,0,1276.81262699515,0,0,0.0368563691154122,0,0,0,0,0,714.018152473494,0,0,54.3835124969482,0,0,45.7315109670162,0,0,67.6104259490967,0,0,8135.27,0,0
"10","Kenya","Kajiado",1866.79923248291,0,0,17.1160976886749,0,0,60389.0368101597,2279.7119140625,69.1244583129883,63.3827531337738,0,0,0,0,0,0,0,0,169.708629608154,0,0,1001.07318234444,0,0,16.283174470067,0,0,32.0046570971608,0,0,50173.9240355492,0,0,869.035995483398,100.21199798584,36.1375846862793,107.726678341627,0,0,4158.91089081764,0,0,0,0,0,280.003997802734,0,0,273.311473250389,0,0,0,0,0,0,0,0,176.701753944159,0,0,1105.77067565918,0,0,0.512195110321045,0,0,267.440848603845,0,0,120968.73,2379.92,105.26
