"","COUNTRY","NAME_1","NAME_2","ACOF_ha_spam","ACOF_area_profitable_ha","ACOF_actual_profit","BARL_ha_spam","BARL_area_profitable_ha","BARL_actual_profit","BEAN_ha_spam","BEAN_area_profitable_ha","BEAN_actual_profit","CASS_ha_spam","CASS_area_profitable_ha","CASS_actual_profit","CHIC_ha_spam","CHIC_area_profitable_ha","CHIC_actual_profit","COCO_ha_spam","COCO_area_profitable_ha","COCO_actual_profit","COTT_ha_spam","COTT_area_profitable_ha","COTT_actual_profit","COWP_ha_spam","COWP_area_profitable_ha","COWP_actual_profit","GROU_ha_spam","GROU_area_profitable_ha","GROU_actual_profit","LENT_ha_spam","LENT_area_profitable_ha","LENT_actual_profit","MAIZ_ha_spam","MAIZ_area_profitable_ha","MAIZ_actual_profit","PIGE_ha_spam","PIGE_area_profitable_ha","PIGE_actual_profit","PMIL_ha_spam","PMIL_area_profitable_ha","PMIL_actual_profit","POTA_ha_spam","POTA_area_profitable_ha","POTA_actual_profit","RCOF_ha_spam","RCOF_area_profitable_ha","RCOF_actual_profit","SMIL_ha_spam","SMIL_area_profitable_ha","SMIL_actual_profit","SORG_ha_spam","SORG_area_profitable_ha","SORG_actual_profit","SOYB_ha_spam","SOYB_area_profitable_ha","SOYB_actual_profit","SUGC_ha_spam","SUGC_area_profitable_ha","SUGC_actual_profit","SWPO_ha_spam","SWPO_area_profitable_ha","SWPO_actual_profit","TEAS_ha_spam","TEAS_area_profitable_ha","TEAS_actual_profit","TOBA_ha_spam","TOBA_area_profitable_ha","TOBA_actual_profit","WHEA_ha_spam","WHEA_area_profitable_ha","WHEA_actual_profit","total_cropland","total_profitable","actutal_profit"
"1","Malawi","Balaka","Balaka Town",0,0,0,0,0,0,380.083999633789,0,0,605.190017700195,0,0,2781.47399902344,0,0,0,0,0,8.15999984741211,0,0,84.8380012512207,0,0,2336.31201171875,0,0,0.899999976158142,0,0,4775.13403320312,0,0,245.924003601074,0,0,0,0,0,113.639999389648,0,0,0,0,0,2.86800003051758,0,0,16.0559997558594,0,0,91.6000022888184,0,0,0,0,0,0,0,0,0,0,0,202.552001953125,0,0,0.355999991297722,0,0,11645.09,0,0
"2","Malawi","Balaka","TA Kalembo",0,0,0,0,0,0,1276.56197357178,0,0,4059.80802154541,0,0,12289.752166748,0,0,0,0,0,44.4860002994537,0,0,289.279998779297,0,0,10534.5060119629,0,0,1.533999979496,0,0,16608.5759277344,0,0,837.345985412598,0,0,0,0,0,186.969997406006,0,0,0,0,0,40.6479994058609,0,0,96.8260040283203,0,0,697.018001556396,0,0,0,0,0,0,0,0,0,0,0,1002.45599365234,0,0,2.07799999788404,0,0,47967.85,0,0
"3","Malawi","Balaka","TA Nsamala",3.33199977874756,0,0,0,0,0,2864.49000549316,0,0,7374.76405334473,0,0,26929.2197875977,0,0,0,0,0,78.4819974899292,0,0,672.532011032104,0,0,18594.1818237305,0,0,4.48800000548363,0,0,33396.405456543,0,0,1951.70600128174,0,0,0,0,0,453.441993713379,0,0,0,0,0,40.9240010678768,0,0,112.003998756409,0,0,1031.70000839233,0,0,0,0,0,0,0,0,0,0,0,2198.46800231934,0,0,5.5080000013113,0,0,95711.65,0,0
"4","Malawi","Blantyre","Blantyre City",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9920001029968,0,0,14.99,0,0
"5","Malawi","Blantyre","TA Chigaru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83000016212463,0,0,9.83,0,0
"6","Malawi","Blantyre","TA Kapeni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3759999275208,0,0,11.38,0,0
"7","Malawi","Blantyre","TA Kuntaja",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4379999637604,0,0,12.44,0,0
"8","Malawi","Blantyre","TA Kunthembwe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62599986791611,0,0,9.63,0,0
"9","Malawi","Blantyre","TA Lundu",34.3559989929199,0,0,0,0,0,459.480026245117,0,0,305.80199432373,0,0,235.830001831055,0,0,0,0,0,73.0380020141602,0,0,133.517997741699,0,0,288.37198638916,0,0,3.317999958992,0,0,2628.27600097656,0,0,380.940002441406,0,0,0,0,0,111.468006134033,0,0,0,0,0,37.4219989776611,0,0,59.8920001983643,0,0,180.011993408203,0,0,0,0,0,0,0,0,0,0,0,179.633995056152,0,0,5.99400019645691,0,0,5117.35,0,0
"10","Malawi","Blantyre","TA Machinjili",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6719999313354,0,0,22.67,0,0
"11","Malawi","Blantyre","TA Makata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59999990463257,0,0,7.6,0,0
"12","Malawi","Blantyre","TA Somba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44799995422363,0,0,6.45,0,0
"13","Malawi","Chikwawa","Chikwawa Boma",0,0,0,0,0,0,574.904006958008,0,0,30.3760004043579,0,0,193.998001098633,0,0,0,0,0,1581.85400390625,0,0,135.272003173828,0,0,75.8560028076172,0,0,0,0,0,2573.26605224609,0,0,402.287994384766,0,0,0,0,0,372.072006225586,0,0,0,0,0,793.25,0,0,1515.71197509766,0,0,177.262001037598,0,0,284.280002593994,0,0,0,0,0,0,0,0,0.780000001192093,0,0,0,0,0,8711.17,0,0
"14","Malawi","Chikwawa","Lengwe National Park",0,0,0,0,0,0,1895.66598129272,0,0,99.4180010557175,0,0,429.676008701324,0,0,0,0,0,4019.34202528,0,0,366.389998912811,0,0,261.665998458862,0,0,0,0,0,6269.89392852783,0,0,915.179990887642,0,0,68.4539976119995,0,0,754.723990797997,0,0,0,0,0,1788.81798744202,0,0,3238.24393081665,0,0,361.958004236221,0,0,778.460024744272,0,0,24.4439994096756,0,0,0,0,0,51.8580004125834,0,0,7.28000020980835,0,0,21331.47,0,0
"15","Malawi","Chikwawa","Majete Game Reserve - Chikwawa",0,0,0,0,0,0,575.71814095974,0,0,49.0002548396587,0,0,267.974606513977,0,0,0,0,0,2270.46122899093,0,0,152.179678797722,0,0,86.482082054019,0,0,0,0,0,2429.78963324428,0,0,443.129098415375,0,0,0,0,0,355.45342206955,0,0,0,0,0,876.755826950073,0,0,1481.16460227966,0,0,224.161145269871,0,0,2.57434142380953,0,0,0,0,0,0,0,0,0.940487839281559,0,0,1.4371212720871,0,0,9217.22,0,0
"16","Malawi","Chikwawa","Ngabu Urban",0,0,0,0,0,0,909.846008300781,0,0,52.9160003662109,0,0,350.07999420166,0,0,0,0,0,2437.06005859375,0,0,198.518005371094,0,0,86.7779998779297,0,0,0,0,0,3388.11987304688,0,0,572.332000732422,0,0,0,0,0,650.479995727539,0,0,0,0,0,1406.66397094727,0,0,2653.78601074219,0,0,207.147998809814,0,0,566.510012149811,0,0,0,0,0,0,0,0,1.08000001311302,0,0,0,0,0,13481.32,0,0
"17","Malawi","Chikwawa","TA Chapananga",0,0,0,0,0,0,2359.69407272339,0,0,173.795995235443,0,0,1294.14197921753,0,0,0,0,0,7390.36799621582,0,0,488.684000968933,0,0,317.60999917984,0,0,0,0,0,8256.64785766602,0,0,1352.75400161743,0,0,43.3660001754761,0,0,1755.91000747681,0,0,0,0,0,2502.600025177,0,0,4813.87400817871,0,0,679.487995147705,0,0,5.88799995183945,0,0,15.5959994792938,0,0,0,0,0,47.2300005555153,0,0,0.714000046253204,0,0,31498.36,0,0
"18","Malawi","Chikwawa","TA Kasisi",0,0,0,0,0,0,509.864008426666,0,0,29.2979997396469,0,0,225.497999191284,0,0,0,0,0,1262.2600069046,0,0,111.131998896599,0,0,55.090000808239,0,0,0,0,0,1925.52801132202,0,0,329.917994499207,0,0,0,0,0,416.243995666504,0,0,0,0,0,898.578012466431,0,0,1697.15400123596,0,0,142.692000985146,0,0,114.088001251221,0,0,0,0,0,0,0,0,0.892000030726194,0,0,4.29599994421005,0,0,7722.53,0,0
"19","Malawi","Chikwawa","TA Katunga",0,0,0,0,0,0,998.470001220703,0,0,37.6780004501343,0,0,333.806007385254,0,0,0,0,0,2164.89797973633,0,0,231.454002380371,0,0,125.690002441406,0,0,0,0,0,4666.60009765625,0,0,683.984008789062,0,0,0,0,0,646.098007202148,0,0,0,0,0,1373.39196777344,0,0,2625.60601806641,0,0,277.547996520996,0,0,1157.11999511719,0,0,0,0,0,0,0,0,1.1879999935627,0,0,0,0,0,15323.53,0,0
"20","Malawi","Chikwawa","TA Lundu",0,0,0,0,0,0,391.729995727539,0,0,27.6699995994568,0,0,145.265998840332,0,0,0,0,0,1145.25396728516,0,0,86.5280017852783,0,0,43.6660013198853,0,0,0,0,0,1510.28399658203,0,0,257.477989196777,0,0,0,0,0,275.839996337891,0,0,0,0,0,582.950012207031,0,0,1123.89401245117,0,0,99.7999992370605,0,0,3793.85400390625,0,0,0,0,0,0,0,0,0.476000010967255,0,0,0,0,0,9484.69,0,0
"21","Malawi","Chikwawa","TA Makhwira",0,0,0,0,0,0,918.909980773926,0,0,60.3980011940002,0,0,388.332008361816,0,0,0,0,0,2216.02198028564,0,0,175.582001686096,0,0,83.921998500824,0,0,0,0,0,3973.27203369141,0,0,533.020002365112,0,0,0,0,0,729.372016906738,0,0,0,0,0,1531.73802947998,0,0,2968.33404541016,0,0,204.215999603271,0,0,715.382006645203,0,0,0,0,0,0,0,0,1.11800001189113,0,0,3.10800004005432,0,0,14502.73,0,0
"22","Malawi","Chikwawa","TA Maseya",0,0,0,0,0,0,244.830001831055,0,0,6.86400032043457,0,0,86.2859954833984,0,0,0,0,0,390.246002197266,0,0,54.9360008239746,0,0,29.1479988098145,0,0,0,0,0,1214.22607421875,0,0,162.39599609375,0,0,0,0,0,168,0,0,0,0,0,353.238006591797,0,0,680.802001953125,0,0,60.6119995117188,0,0,1703.38000488281,0,0,0,0,0,0,0,0,0.258000016212463,0,0,0,0,0,5155.22,0,0
"23","Malawi","Chikwawa","TA Ngabu",0,0,0,0,0,0,3223.46601867676,0,0,181.722001075745,0,0,1113.00198745728,0,0,0,0,0,8680.46792602539,0,0,705.561996459961,0,0,326.687999725342,0,0,0,0,0,13731.8678283691,0,0,2009.74398803711,0,0,7.53600001335144,0,0,2023.1840133667,0,0,0,0,0,4517.63194274902,0,0,8306.18008422852,0,0,736.509986877441,0,0,3342.26997208595,0,0,2.3639999628067,0,0,0,0,0,6.95200008153915,0,0,6.03599977493286,0,0,48921.18,0,0
"24","Malawi","Chiradzulu","Chiradzulu Boma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64199995994568,0,0,7.64,0,0
"25","Malawi","Chiradzulu","TA Chitera",121.098003387451,0,0,0,0,0,942.706008911133,0,0,719.541984558105,0,0,489.360008239746,0,0,0,0,0,155.077995300293,0,0,239.085998535156,0,0,593.071998596191,0,0,7.01600015163422,0,0,5192.51013183594,0,0,680.961990356445,0,0,0,0,0,278.125999450684,0,0,0,0,0,114.108003616333,0,0,135.281999588013,0,0,294.960006713867,0,0,0,0,0,0,0,0,0,0,0,256.577995300293,0,0,16.9659998416901,0,0,10236.45,0,0
"26","Malawi","Chiradzulu","TA Kadewere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59999990463257,0,0,7.6,0,0
"27","Malawi","Chiradzulu","TA Likoswe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79999995231628,0,0,3.8,0,0
"28","Malawi","Chiradzulu","TA Mpama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64199995994568,0,0,7.64,0,0
"29","Malawi","Chiradzulu","TA Nchema",84.5880012512207,0,0,0,0,0,493.835998535156,0,0,426.047973632812,0,0,244.355995178223,0,0,0,0,0,80.5139961242676,0,0,111.17399597168,0,0,315.630004882812,0,0,3.52800011634827,0,0,2686.31994628906,0,0,327.096008300781,0,0,0,0,0,150.569999694824,0,0,0,0,0,70.9800033569336,0,0,75.431999206543,0,0,144.396003723145,0,0,0,0,0,0,0,0,0,0,0,124.697998046875,0,0,7.05799984931946,0,0,5346.22,0,0
"30","Malawi","Chiradzulu","TA Nkalo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79999995231628,0,0,3.8,0,0
"31","Malawi","Chitipa","Chitipa Boma",0,0,0,0,0,0,426.42399597168,0,0,431.843994140625,0,0,202.672004699707,0,0,0,0,0,0,0,0,0,0,0,387.103988647461,0,0,0,0,0,4245.72998046875,0,0,280.548004150391,0,0,40.2060012817383,0,0,425.533996582031,0,0,0,0,0,26.9999990463257,0,0,62.1180000305176,0,0,103.024002075195,0,0,30.8040008544922,0,0,17.5199999809265,0,0,0,0,0,759.31201171875,0,0,0,0,0,7439.84,0,0
"32","Malawi","Chitipa","Nyika N.P. - Chitipa",0,0,0,0,0,0,237.898003578186,0,0,167.57000374794,0,0,78.2859988212585,0,0,0,0,0,0,0,0,0,0,0,155.767999529839,0,0,0,0,0,1054.97401046753,0,0,129.600000858307,0,0,0,0,0,166.068004369736,0,0,0,0,0,3.48000013828278,0,0,52.318000793457,0,0,33.6020005941391,0,0,1.25999993085861,0,0,1.44000005722046,0,0,0,0,0,107.856001675129,0,0,0,0,0,2190.12,0,0
"33","Malawi","Chitipa","TA Kameme",299.964004516602,0,0,0,0,0,1337.80799865723,0,0,899.255996704102,0,0,296.926002502441,0,0,0,0,0,0.120000004768372,0,0,0,0,0,895.646003723145,0,0,0,0,0,6280.07794189453,0,0,402.059993743896,0,0,37.1739988327026,0,0,801.424011230469,0,0,0,0,0,111.596001148224,0,0,90.8259992599487,0,0,221.505996704102,0,0,17.0980002880096,0,0,561.954005718231,0,0,0,0,0,1576.2200012207,0,0,24.5579996109009,0,0,13854.21,0,0
"34","Malawi","Chitipa","TA Mwabulambya",0,0,0,0,0,0,2012.53998565674,0,0,1689.09197998047,0,0,1040.34198760986,0,0,0,0,0,0,0,0,0,0,0,1697.70399475098,0,0,0,0,0,18847.8997802734,0,0,1393.87999343872,0,0,52.3980007171631,0,0,2176.86798095703,0,0,0,0,0,34.7279992103577,0,0,279.6859998703,0,0,536.280004501343,0,0,40.3320007324219,0,0,23.1719999313354,0,0,0,0,0,3991.68406677246,0,0,0,0,0,33816.61,0,0
"35","Malawi","Chitipa","TA Mwenemisuku",0,0,0,0,0,0,747.206001281738,0,0,461.641983032227,0,0,236.549999237061,0,0,0,0,0,0,0,0,0,0,0,452.468006134033,0,0,0,0,0,5724.80798339844,0,0,366.758001327515,0,0,0,0,0,513.334011077881,0,0,0,0,0,0,0,0,115.643999099731,0,0,116.687997341156,0,0,0,0,0,0,0,0,0,0,0,631.437965393066,0,0,0,0,0,9366.54,0,0
"36","Malawi","Chitipa","TA Mwenewenya",0,0,0,0,0,0,415.608331680298,0,0,313.629661560059,0,0,115.477996826172,0,0,0,0,0,0,0,0,0,0,0,296.049670219421,0,0,0,0,0,3321.31271362305,0,0,251.155667304993,0,0,0,0,0,438.321002006531,0,0,0,0,0,29.8940005302429,0,0,83.0893321037292,0,0,103.735330820084,0,0,16.5040001869202,0,0,11.3560000658035,0,0,0,0,0,621.761002719402,0,0,0,0,0,6017.89,0,0
"37","Malawi","Chitipa","TA Nthalire",1.37999999523163,0,0,0,0,0,876.310005187988,0,0,858.459991455078,0,0,422.186014175415,0,0,0,0,0,0,0,0,0,0,0,841.025985717773,0,0,0,0,0,6610.36401367188,0,0,607.612007141113,0,0,0,0,0,977.737991333008,0,0,0,0,0,49.7580003738403,0,0,128.263998031616,0,0,312.047998428345,0,0,36.5939989089966,0,0,29.5260009765625,0,0,0,0,0,2512.0779876709,0,0,0,0,0,14263.34,0,0
"38","Malawi","Dedza","Dedza Boma",0.319999992847443,0,0,0,0,0,2798.68798828125,0,0,241.279998779297,0,0,1120.97802734375,0,0,0,0,0,57.6700010299683,0,0,428.328002929688,0,0,797.635986328125,0,0,16.4480001926422,0,0,8652.63195800781,0,0,954.0419921875,0,0,0,0,0,2085.16995239258,0,0,0,0,0,107.089998245239,0,0,309.133995056152,0,0,538.72200012207,0,0,0,0,0,22.7360000610352,0,0,0,0,0,409.833999633789,0,0,64.1699982881546,0,0,18604.88,0,0
"39","Malawi","Dedza","Lake Malawi",0,0,0,0,0,0,367.462124858052,0,0,41.9259986877441,0,0,85.8939971923828,0,0,0,0,0,8.29199981689453,0,0,84.8919982910156,0,0,241.412002563477,0,0,1.36800003051758,0,0,1425.05671325326,0,0,255.216003417969,0,0,0,0,0,84.9400024414062,0,0,0,0,0,4.35400009155273,0,0,24.6280002593994,0,0,76.7620010375977,0,0,0,0,0,0,0,0,505.56457901001,0,0,42.5639991760254,0,0,0.333999991416931,0,0,3250.67,0,0
"40","Malawi","Dedza","SC Chauma",0,0,0,0,0,0,700.325988769531,0,0,165.339996337891,0,0,352.35400390625,0,0,0,0,0,30.503999710083,0,0,148.029998779297,0,0,539.213989257812,0,0,5.1560001373291,0,0,2638.39404296875,0,0,462.216003417969,0,0,0,0,0,492.173980712891,0,0,0,0,0,32.5,0,0,55.9459991455078,0,0,172.839996337891,0,0,0,0,0,0,0,0,0,0,0,180.742004394531,0,0,1.02799999713898,0,0,5976.76,0,0
"41","Malawi","Dedza","SC Chilikumwendo",0,0,0,0,0,0,1826.82800292969,0,0,476.089996337891,0,0,1129.20799255371,0,0,0,0,0,82.2939987182617,0,0,424.75399017334,0,0,1649.38000488281,0,0,16.2400000095367,0,0,7350.90209960938,0,0,1281.15798950195,0,0,0,0,0,1516.78598022461,0,0,0,0,0,96.9020042419434,0,0,154.98999786377,0,0,447.841995239258,0,0,0,0,0,0,0,0,0,0,0,628.470001220703,0,0,3.03400003910065,0,0,17084.88,0,0
"42","Malawi","Dedza","SC Kamenya Gwaza",0.0480000004172325,0,0,0,0,0,1668.82601928711,0,0,277.950000762939,0,0,755.671997070312,0,0,0,0,0,77.5520000457764,0,0,368.701995849609,0,0,741.077987670898,0,0,11.1139998435974,0,0,5667.74401855469,0,0,888.690002441406,0,0,0,0,0,1579.14004516602,0,0,0,0,0,87.8479995727539,0,0,149.967994689941,0,0,561.755996704102,0,0,0,0,0,3.40799999237061,0,0,0,0,0,329.839996337891,0,0,11.7660002112389,0,0,13181.1,0,0
"43","Malawi","Dedza","TA Kachindamoto",0,0,0,0,0,0,5312.6999206543,0,0,828.218002319336,0,0,1597.52002716064,0,0,0,0,0,212.156003475189,0,0,1308.21398925781,0,0,3938.29197692871,0,0,24.3900002837181,0,0,20617.74609375,0,0,3876.37594604492,0,0,0,0,0,1813.09804153442,0,0,0,0,0,94.274002790451,0,0,400.134002685547,0,0,1471.58402252197,0,0,0,0,0,0,0,0,12.7679996490479,0,0,863.459983825684,0,0,5.41000007092953,0,0,42376.34,0,0
