"","COUNTRY","NAME_1","ACOF_ha_spam","ACOF_area_profitable_ha","ACOF_actual_profit","BARL_ha_spam","BARL_area_profitable_ha","BARL_actual_profit","BEAN_ha_spam","BEAN_area_profitable_ha","BEAN_actual_profit","CASS_ha_spam","CASS_area_profitable_ha","CASS_actual_profit","CHIC_ha_spam","CHIC_area_profitable_ha","CHIC_actual_profit","COCO_ha_spam","COCO_area_profitable_ha","COCO_actual_profit","COTT_ha_spam","COTT_area_profitable_ha","COTT_actual_profit","COWP_ha_spam","COWP_area_profitable_ha","COWP_actual_profit","GROU_ha_spam","GROU_area_profitable_ha","GROU_actual_profit","LENT_ha_spam","LENT_area_profitable_ha","LENT_actual_profit","MAIZ_ha_spam","MAIZ_area_profitable_ha","MAIZ_actual_profit","PIGE_ha_spam","PIGE_area_profitable_ha","PIGE_actual_profit","PMIL_ha_spam","PMIL_area_profitable_ha","PMIL_actual_profit","POTA_ha_spam","POTA_area_profitable_ha","POTA_actual_profit","RCOF_ha_spam","RCOF_area_profitable_ha","RCOF_actual_profit","SMIL_ha_spam","SMIL_area_profitable_ha","SMIL_actual_profit","SORG_ha_spam","SORG_area_profitable_ha","SORG_actual_profit","SOYB_ha_spam","SOYB_area_profitable_ha","SOYB_actual_profit","SUGC_ha_spam","SUGC_area_profitable_ha","SUGC_actual_profit","SWPO_ha_spam","SWPO_area_profitable_ha","SWPO_actual_profit","TEAS_ha_spam","TEAS_area_profitable_ha","TEAS_actual_profit","TOBA_ha_spam","TOBA_area_profitable_ha","TOBA_actual_profit","WHEA_ha_spam","WHEA_area_profitable_ha","WHEA_actual_profit","total_cropland","total_profitable","actutal_profit"
"1","Nigeria","Abia",0,0,0,0,0,0,0,0,0,71530.9740600586,10032.8602600098,799.774685025215,0,0,0,1958.2520205006,0,0,0,0,0,1731.06200122833,1272.3646030426,18183.6678671837,147.841997981071,136.319199442863,22567.4841156006,0,0,0,50312.3716430664,27976.5314788818,8220.03455519676,0,0,0,0,0,0,316.961999893188,302.97600030899,31036.569732666,10.9220002070069,1.63280004728585,724.861090913415,0,0,0,18.2739996314049,3.14939986169338,1784.29907417297,0,0,0,0,0,0,25208.2720947266,22151.8738098145,45205.4624061584,0,0,0,0,0,0,0,0,0,151234.94,61877.7,128522.16
"2","Nigeria","Adamawa",3.9658180475235,0,0,0,0,0,1771.13527393341,8.65696334838867,2404.98040986061,2703.69593864679,0,0,0,0,0,3.70000006258488,0,0,40470.8602766693,0,0,75124.8623338342,3.32679998874664,8.43017816543579,80141.3814592957,792.164699316025,2615.21454809606,0,0,0,153030.829895929,5.41380023956299,9.61452674865723,0,0,0,13304.5976403356,0,0,5496.07870323211,9.2119364887476,4450.10475158691,138.399506568909,0,0,0,0,0,107812.171265841,1.16899991035461,15.3270111083984,127.803998731077,0,0,380.016550540924,0,0,1165.00424332172,2.07206972315907,633.511262893677,0,0,0,33.975636228919,0.299090910702944,275.980741500854,214.825998663902,0,0,481923.32,822.32,10413.17
"3","Nigeria","Akwa Ibom",0,0,0,0,0,0,0,0,0,165513.545394897,64738.8291778564,4633.73551678658,0,0,0,788.588486110792,0,0,0,0,0,164.459454476833,107.497147023678,3905.56623458862,0,0,0,0,0,0,45753.7124557495,26583.9028015137,14117.3215808868,0,0,0,0,0,0,0,0,0,13.7760003395379,2.03580003324896,631.517801940441,0,0,0,0,0,0,0,0,0,0,0,0,17427.5055770874,15356.7104291916,56290.2849157453,0,0,0,0,0,0,0,0,0,229661.59,106788.97,79578.45
"4","Nigeria","Anambra",0,0,0,0,0,0,0,0,0,134810.50970459,5981.22860717773,83.0827059745789,0,0,0,46.2759986072779,0,0,2.20200003683567,0,0,285.347997665405,15.0611997842789,401.960197627544,263.686003684998,18.435600977391,7668.9911403656,0,0,0,46873.16015625,11096.3634567261,1305.361749053,0,0,0,117.899995803833,0,0,5023.99799346924,2706.11758899689,43416.1868038177,4.88000008277595,0.0999999977648258,28.375817835331,0,0,0,580.919990301132,231.399197816849,34580.4905433655,0,0,0,674.952013015747,0,0,30923.9996337891,17262.7759437561,12510.3325176239,0,0,0,0,0,0,0,0,0,219607.83,37311.49,99994.77
"5","Nigeria","Bauchi",0,0,0,0,0,0,0,0,0,5795.32227444649,0,0,0,0,0,1.36000001430511,0,0,5859.42766751349,0,0,229401.96657753,0,0,222176.061237335,0,0,0,0,0,154444.747167587,0,0,0,0,0,300220.72753334,0,0,1355.30424356461,0,0,235.909231165424,0,0,0,0,0,402827.168117523,0,0,8272.04751173407,0,0,9201.83996776305,0,0,1634.96198558807,0,0,0,0,0,0,0,0,141.969999909401,0,0,1341568.82,0,0
"6","Nigeria","Bayelsa",0,0,0,0,0,0,0,0,0,7896.02031087875,0,0,0,0,0,11.9860908687115,0,0,0,0,0,2323.44354140759,153.31439896673,116.501750707626,60.0927634313703,37.611658512149,19958.5672292709,0,0,0,24881.4495387077,674.928410053253,110.833966016769,0,0,0,0,0,0,478.300832778215,339.862830717117,47240.0668754578,0.499454552307725,0,0,0,0,0,247.324403464794,2.51980001479387,79.0027360320091,0,0,0,9325.12371826172,0,0,4985.55886173248,2945.27420824766,2991.92428702116,0,0,0,0,0,0,0,0,0,50209.8,4153.52,70496.9
"7","Nigeria","Benue",0,0,0,0,0,0,0,0,0,410292.081542969,0,0,0,0,0,3706.94001328945,0,0,2.64599996805191,0,0,44794.2999916077,411.400994300842,696.639832019806,161376.314529419,15465.5633230209,8396.63436341286,0,0,0,121250.177764893,299.232807159424,73.8591235876083,0,0,0,52165.541891098,14.1489996910095,11.6687340736389,22293.3099946976,1186.61420631409,11030.1308174133,17.3740002978593,0,0,0,0,0,117086.298027039,115.042397499084,62.3620510101318,163767.076344967,2454.02795886993,948.857231855392,6077.87601947784,0,0,133716.147712708,4009.40218067169,1969.90452599525,0,0,0,0,0,0,0,0,0,1236546.09,23955.43,23190.05
"8","Nigeria","Borno",0,0,0,0,0,0,838.219610869884,0,0,94.6333332061768,0,0,0.62078789435327,0,0,0,0,0,11189.2813307159,0,0,231114.122256905,0,0,160624.182099059,0,0,0,0,0,381012.878831238,0,0,0,0,0,376431.405451294,0,0,108.006485942751,0,0,191.999043811113,0,0,0,0,0,315223.658427022,0,0,55.5239989757538,0,0,52.3583332840353,0,0,90.4413348436356,0,0,0,0,0,36.0679696202278,0,0,68475.9908331931,0,0,1545539.39,0,0
"9","Nigeria","Cross River",20.272000014782,0,0,0,0,0,20.5200002416968,18.8221998438239,41467.3095703125,353888.974597696,18438.7441749573,2239.28784126043,0,0,0,309677.99821949,72.4685974121094,2.38632965087891,78.6339997053146,5.61540005728602,183.217090845108,929.36799813062,70.0837988108397,8112.39485883713,3725.088022504,1036.55180865899,39922.3174992949,0,0,0,92715.628800869,21322.2364800572,24657.9740789309,0,0,0,958.035987854004,82.790397644043,810.384063720703,1392.37599229813,186.814198493958,8599.00604629517,172.617995373905,6.21099980548024,1270.0779556632,0,0,0,2239.47601288557,70.6103973388672,281.527893066406,2858.71600341797,78.8375968933105,652.72780418396,138.600003302097,18.4478000849485,146.775102615356,78269.2808666229,46690.7442734241,89375.8234493844,12.8319993019104,0,0,2.90400002151728,2.64440003782511,8372.76123046875,0.896000027656555,0.896000027656555,1136.91284179688,847102.24,88102.52,227230.88
"10","Nigeria","Delta",0,0,0,0,0,0,0,0,0,123497.296472501,9071.11338806152,601.274195730686,0,0,0,4923.36400049925,0,0,0.0900000035762787,0,0,400.954010516405,1.77359996363521,50.8039759397507,258.571732006967,215.353138511535,133474.336963296,0,0,0,102846.070597388,23974.3870859146,5899.34954267368,0,0,0,0,0,0,7359.93704223633,5143.52102214098,149978.505464315,18.956000443548,0.209600002970546,34.9172239303589,0,0,0,243.091999769211,4.60079998522997,94.4175758957863,0,0,0,3279.13807415962,0,0,32517.3120895624,17564.7525430322,33315.9314387739,0,0,0,0,0,0,0,0,0,275344.79,55975.72,323449.53
