"","COUNTRY","NAME_1","NAME_2","ACOF_ha_spam","ACOF_area_profitable_ha","ACOF_actual_profit","BARL_ha_spam","BARL_area_profitable_ha","BARL_actual_profit","BEAN_ha_spam","BEAN_area_profitable_ha","BEAN_actual_profit","CASS_ha_spam","CASS_area_profitable_ha","CASS_actual_profit","CHIC_ha_spam","CHIC_area_profitable_ha","CHIC_actual_profit","COCO_ha_spam","COCO_area_profitable_ha","COCO_actual_profit","COTT_ha_spam","COTT_area_profitable_ha","COTT_actual_profit","COWP_ha_spam","COWP_area_profitable_ha","COWP_actual_profit","GROU_ha_spam","GROU_area_profitable_ha","GROU_actual_profit","LENT_ha_spam","LENT_area_profitable_ha","LENT_actual_profit","MAIZ_ha_spam","MAIZ_area_profitable_ha","MAIZ_actual_profit","PIGE_ha_spam","PIGE_area_profitable_ha","PIGE_actual_profit","PMIL_ha_spam","PMIL_area_profitable_ha","PMIL_actual_profit","POTA_ha_spam","POTA_area_profitable_ha","POTA_actual_profit","RCOF_ha_spam","RCOF_area_profitable_ha","RCOF_actual_profit","SMIL_ha_spam","SMIL_area_profitable_ha","SMIL_actual_profit","SORG_ha_spam","SORG_area_profitable_ha","SORG_actual_profit","SOYB_ha_spam","SOYB_area_profitable_ha","SOYB_actual_profit","SUGC_ha_spam","SUGC_area_profitable_ha","SUGC_actual_profit","SWPO_ha_spam","SWPO_area_profitable_ha","SWPO_actual_profit","TEAS_ha_spam","TEAS_area_profitable_ha","TEAS_actual_profit","TOBA_ha_spam","TOBA_area_profitable_ha","TOBA_actual_profit","WHEA_ha_spam","WHEA_area_profitable_ha","WHEA_actual_profit","total_cropland","total_profitable","actutal_profit"
"1","Sierra Leone","Eastern","Kailahun",0,0,0,0,0,0,0,0,0,20269.6138191223,0,0,0,0,0,12484.8638839722,0,0,7.37999987602234,0,0,0,0,0,4201.53798103333,4201.53798103333,20814.2942428589,0,0,0,1598.1060051918,1598.1060051918,4647.89162397385,0,0,0,29.1060009002686,29.1060009002686,96.471866607666,0,0,0,2486.20798206329,1287.11199569702,1721.9257106781,0,0,0,1915.1160030365,1915.1160030365,4665.46428585052,78.7139985561371,78.7139985561371,792.59122467041,97.204001404345,0,0,2074.91800117493,2074.91800117493,17510.1504325867,0,0,0,3.73200007528067,1.9020000398159,2985.02185821533,0,0,0,45246.5,11186.51,53233.81
"2","Sierra Leone","Eastern","Kenema",0,0,0,0,0,0,0,0,0,25743.2222900391,0,0,0,0,0,11691.7479405403,0,0,0,0,0,0,0,0,5462.38202571869,5462.38202571869,26408.785736084,0,0,0,2281.99001026154,2139.52401447296,5018.51820421219,0,0,0,0,0,0,0,0,0,3231.46802476048,1050.47001552582,922.788519859314,0,0,0,3424.04600477219,3203.53400754929,5143.49441194534,10.6919999718666,10.6919999718666,393.907775878906,19.557999946177,0,0,3015.06400966644,2854.96000766754,18786.2763500214,0,0,0,9.57800019532442,2.24600004591048,1505.05560493469,0,0,0,54889.75,14723.81,58178.83
"3","Sierra Leone","Eastern","Kono",0,0,0,0,0,0,0,0,0,24660.081993103,845.575981140137,1308.33126068115,0,0,0,6934.43797047436,32.1919988393784,138.637628555298,21.3360008075833,21.3360008075833,184.151536941528,0,0,0,6008.86197280884,6008.86197280884,33287.0558776855,0,0,0,3238.26800346375,3238.26800346375,8280.03897571564,0,0,0,142.571996688843,142.571996688843,1616.78271484375,0,0,0,2603.32603815198,641.008010655642,3159.38564014435,0,0,0,1886.08599567413,1886.08599567413,7958.57699346542,0,0,0,9.76800007745624,0,0,3740.80199623108,3740.80199623108,30200.2873573303,0,0,0,5.19600006565452,1.59200001694262,2042.84060668945,0,0,0,49250.74,16558.29,88176.09
"4","Sierra Leone","Northern","Bombali",0,0,0,0,0,0,0,0,0,30400.9037537575,13817.9711709023,7066.03730392456,0,0,0,222.094091663137,97.5654089935124,1519.4454574585,9.74166700989008,9.74166700989008,775.334197998047,0,0,0,15148.0406389236,14993.8706388474,121287.093475342,0,0,0,3044.77252626419,3003.22652387619,29365.6942825317,0,0,0,5068.46531581879,5014.71731567383,24930.7968215942,1.31666672229767,1.31666672229767,3727.91674804688,64.1349519230425,55.7489519473165,13888.7625198364,0,0,0,2139.77786779404,2116.39586782455,30326.8367614746,0,0,0,158.186380106956,69.4083809405565,8788.24737548828,3845.96249437332,3786.77249574661,108245.963104248,0,0,0,3.81193500943482,3.2399349976331,15587.2641830444,0,0,0,60107.21,42969.98,365509.39
"5","Sierra Leone","Northern","Kambia",0,0,0,0,0,0,0,0,0,27046.6189956665,722.266006469727,218.511024475098,0,0,0,242.683031350374,2.59999996423721,51.5226764678955,53.0459995269775,6.80399990081787,30.4172115325928,0,0,0,8411.26417922974,8411.26417922974,20451.7474517822,0,0,0,2221.22870349884,1870.98826694489,4011.08661079407,0,0,0,5300.37816810608,4619.35074043274,4010.96738243103,6.12599986791611,6.12599986791611,7563.30267333984,202.39620625414,29.139998877421,1510.43051528931,0,0,0,1995.64969205856,1715.34744787216,4320.33328914642,0,0,0,90.7591998521239,1.05000007152557,252.750640869141,3650.70087718964,2944.29648113251,15739.0929336548,0,0,0,6.83560100197792,2.85200008004904,3248.66064453125,0,0,0,49227.69,20332.09,61408.82
"6","Sierra Leone","Northern","Koinadugu",0,0,0,0,0,0,0,0,0,23252.8051031828,4283.19435417652,6762.62177276611,0,0,0,1222.66400131583,91.2500008568168,1335.92531013489,14.1380001604557,14.1380001604557,991.032390594482,0,0,0,15556.7041101456,15473.1061077118,134100.189834595,0,0,0,4031.53379631042,3932.21380090714,33384.5222473145,0,0,0,3037.98197603226,3021.59197568893,24086.2273464203,6.07951235771179,6.07951235771179,40646.107421875,658.327998802066,269.248000308871,10747.9808197021,0,0,0,1692.32456755638,1626.86056637764,33061.0257520676,0,0,0,27.1619999092072,8.58999998681247,4086.36671447754,4170.27363014221,4070.53363323212,126334.303722382,0,0,0,3.46400005929172,1.28000001609325,9564.20304870605,0,0,0,53673.46,32798.09,425100.51
"7","Sierra Leone","Northern","Port Loko",0,0,0,0,0,0,0,0,0,49355.8380432129,0,0,0,0,0,101.231999754906,0,0,0,0,0,0,0,0,10856.0919713303,10856.0919713303,27282.143535614,0,0,0,2915.0499958992,2213.73598575592,4767.75801563263,0,0,0,6426.01204299927,5069.12804222107,4567.34777736664,0,0,0,40.9380000717938,7.94600012525916,1027.86841773987,0,0,0,2723.82599496841,2129.99199199677,5073.82118415833,0,0,0,108.001998901367,0,0,4964.97800555825,3615.97800445557,19307.0385894775,0,0,0,7.42200012877584,2.05000002682209,1963.99778747559,0,0,0,77499.39,23894.92,63989.98
"8","Sierra Leone","Northern","Tonkolili",0,0,0,0,0,0,0,0,0,29803.943939209,335.264007568359,105.76545715332,0,0,0,788.99599391222,3.12599992752075,18.4333114624023,0,0,0,0,0,0,11484.2660064697,11484.2660064697,38150.2754135132,0,0,0,3715.04201889038,3678.01001739502,7112.64519715309,0,0,0,4429.25798797607,4420.77998828888,5032.48286819458,0,0,0,398.148004472256,74.1380006670952,2639.36334609985,0,0,0,2744.10000133514,2712.97600078583,7607.16900348663,0,0,0,220.163998350501,0.195999994874001,194.191680908203,2899.7200088501,2873.38400840759,28568.0668210983,0,0,0,8.26400014013052,2.46800006181002,3959.54153442383,0,0,0,56491.9,25584.61,93387.93
"9","Sierra Leone","Southern","Bo",0,0,0,0,0,0,0,0,0,42137.933807373,0,0,0,0,0,3821.11397838593,0,0,0,0,0,0,0,0,7390.19401550293,7390.19401550293,14923.4132843018,0,0,0,2605.95598983765,2111.80598831177,1936.03196883202,0,0,0,160.949998855591,160.949998855591,115.455533027649,0,0,0,1539.49400043488,65.181999206543,249.936531066895,0,0,0,2925.75800514221,2351.1759967804,1724.81837129593,0,0,0,36.9919997304678,0,0,3054.4379825592,2500.99199104309,6640.96243095398,0,0,0,9.34600013494492,0.336000002920628,663.904983520508,0,0,0,63682.18,14580.64,26254.52
"10","Sierra Leone","Southern","Bonthe",0,0,0,0,0,0,0,0,0,26718.4089647532,2498.88000488281,330.567775726318,0,0,0,369.656544402242,9.04200053215027,59.4616756439209,0,0,0,0,0,0,2132.04536557198,2122.5693655014,23402.3917617798,0,0,0,618.53536093235,603.563360929489,6594.14915084839,0,0,0,109.555272728205,103.843272358179,380.498414993286,0,0,0,217.460179999471,24.438000395894,2247.45887756348,0,0,0,735.697101593018,715.919101476669,5524.63157272339,0,0,0,142.459999620914,23.3980007171631,524.550323486328,2166.26299190521,2070.5169916153,20418.7572555542,0,0,0,1.23800000920892,0,0,0,0,0,33211.32,8172.17,59482.47
"11","Sierra Leone","Southern","Moyamba",0,0,0,0,0,0,0,0,0,55103.7604980469,0,0,0,0,0,1152.45435452461,0,0,0,0,0,0,0,0,12672.8878564835,12659.4198570251,20837.6449127197,0,0,0,6035.37020397186,5251.33819198608,2932.64047241211,0,0,0,7204.119805336,6106.87184810638,1845.63728189468,0,0,0,638.699632421136,16.6060004234314,339.167892456055,0,0,0,4114.27174186707,3610.32773542404,2748.55641746521,0,0,0,215.199271865189,0,0,3860.53583431244,3358.82183742523,10017.5068702698,0,0,0,12.6540002021939,0.382000006735325,622.322608947754,0,0,0,91009.95,31003.77,39343.48
"12","Sierra Leone","Southern","Pujehun",0,0,0,0,0,0,0,0,0,25078.5724105835,420.947998046875,71.7761917114258,0,0,0,2850.81767936796,65.2000045776367,19.5612239837646,0,0,0,0,0,0,5219.51462781429,5219.51462781429,24892.9616165161,0,0,0,1338.69054162502,1021.85654354095,6047.3818283081,0,0,0,0,0,0,0,0,0,1157.32563945651,396.133237689734,2532.36624908447,0,0,0,1685.48482227325,1282.47682285309,5259.19094944,4.31199979782104,4.31199979782104,746.085510253906,32.3782732114196,9.32400035858154,117.867568969727,1714.21042609215,1353.67842006683,19626.1216125488,0,0,0,5.63333339616656,1.86800000816584,2351.8419380188,0,0,0,39086.94,9775.31,61665.15
"13","Sierra Leone","Western","Western Rural",0,0,0,0,0,0,0,0,0,5404.39589309692,0,0,0,0,0,148.272365689278,0,0,0,0,0,0,0,0,1339.09829521179,1339.09829521179,1804.36703491211,0,0,0,274.523275375366,189.819272041321,399.740650177002,0,0,0,331.092910289764,216.538912773132,113.302844047546,0,0,0,62.8829983025789,0,0,0,0,0,125.738998413086,90.0629982948303,234.379390716553,0,0,0,15.7055448889732,0,0,752.36164188385,584.251636505127,1341.84967041016,0,0,0,0.412000019103289,0,0,0,0,0,8454.48,2419.77,3893.64
"14","Sierra Leone","Western","Western Urban",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.6240005493164,0,0,0,0,0,0,0,0,200.410003662109,200.410003662109,291.770324707031,0,0,0,76.0900039672852,0,0,0,0,0,150.542007446289,0,0,0,0,0,0.433999985456467,0,0,0,0,0,31.5979995727539,0,0,0,0,0,0,0,0,105.868003845215,0,0,0,0,0,0.0700000002980232,0,0,0,0,0,622.64,200.41,291.77
