"","COUNTRY","NAME_1","ACOF_ha_spam","ACOF_area_profitable_ha","ACOF_actual_profit","BARL_ha_spam","BARL_area_profitable_ha","BARL_actual_profit","BEAN_ha_spam","BEAN_area_profitable_ha","BEAN_actual_profit","CASS_ha_spam","CASS_area_profitable_ha","CASS_actual_profit","CHIC_ha_spam","CHIC_area_profitable_ha","CHIC_actual_profit","COCO_ha_spam","COCO_area_profitable_ha","COCO_actual_profit","COTT_ha_spam","COTT_area_profitable_ha","COTT_actual_profit","COWP_ha_spam","COWP_area_profitable_ha","COWP_actual_profit","GROU_ha_spam","GROU_area_profitable_ha","GROU_actual_profit","LENT_ha_spam","LENT_area_profitable_ha","LENT_actual_profit","MAIZ_ha_spam","MAIZ_area_profitable_ha","MAIZ_actual_profit","PIGE_ha_spam","PIGE_area_profitable_ha","PIGE_actual_profit","PMIL_ha_spam","PMIL_area_profitable_ha","PMIL_actual_profit","POTA_ha_spam","POTA_area_profitable_ha","POTA_actual_profit","RCOF_ha_spam","RCOF_area_profitable_ha","RCOF_actual_profit","SMIL_ha_spam","SMIL_area_profitable_ha","SMIL_actual_profit","SORG_ha_spam","SORG_area_profitable_ha","SORG_actual_profit","SOYB_ha_spam","SOYB_area_profitable_ha","SOYB_actual_profit","SUGC_ha_spam","SUGC_area_profitable_ha","SUGC_actual_profit","SWPO_ha_spam","SWPO_area_profitable_ha","SWPO_actual_profit","TEAS_ha_spam","TEAS_area_profitable_ha","TEAS_actual_profit","TOBA_ha_spam","TOBA_area_profitable_ha","TOBA_actual_profit","WHEA_ha_spam","WHEA_area_profitable_ha","WHEA_actual_profit","total_cropland","total_profitable","actutal_profit"
"1","Uganda","Adjumani",90.726001739502,0,0,0,0,0,53143.9001629353,16325.7459881306,1664.49404716492,2975.40801180154,0,0,0,0,0,68.0659999847412,0,0,46.1059994995594,0,0,384.695982933044,0,0,2901.78000427037,734.552006013691,1636.05598640442,0,0,0,5560.20991076529,328.496002197266,190.432712554932,1796.42003062367,463.860015183687,1477.90039920807,0,0,0,0,0,0,216.855997085571,0,0,92.7159976959229,23.8559989929199,57.8552017211914,2494.37000513449,195.599988251925,187.344470977783,57.9420000612736,4.49399995803833,22.2904453277588,14.7960000783205,0,0,5026.89403266087,219.906005859375,409.047210693359,14.2600001171231,0,0,15.5260004475713,0,0,0,0,0,74900.67,18296.51,5645.42
"2","Uganda","Apac",0,0,0,0,0,0,35575.7891159058,35575.7891159058,44492.864189148,19096.7152633667,743.670028686523,616.299285888672,0,0,0,2316.69781374931,197.60599899292,178.94412612915,6004.2371635437,1066.86199569702,1291.32765579224,1263.97245281935,1256.04645293951,25533.9669418335,13765.2464981079,13765.2464981079,38419.0318222046,0,0,0,37747.6349487305,36100.3409423828,8952.59650421143,5052.55605792999,5052.55605792999,33142.4574127197,0,0,0,144.340363919735,138.120363891125,111864.953491211,23765.7865524292,3996.3879699707,1063.11419296265,6426.10667991638,5959.61267089844,13464.0710754395,4471.82809448242,4193.22209358215,8466.22191047668,43532.3871383667,41751.5431137085,20873.2352428436,1793.10318183899,55.8280000686646,873.237594604492,6481.68701934814,6126.07902526855,30393.6977844238,1135.97755527496,42.6020002365112,248.78551864624,839.113451480865,145.07799911499,10038.8436584473,0,0,0,209413.18,156166.59,349913.65
"3","Uganda","Arua",4780.86599731445,0,0,0.558000013232231,0,0,7792.35804367065,4761.2080078125,5661.94688796997,20502.4819564819,0,0,39.2400007247925,35.6400008201599,910.451049804688,2246.54000377655,0,0,1973.10400772095,33.9700012207031,26.3944988250732,2198.60601520538,232.821999549866,862.043354034424,7517.44604682922,4568.86401367188,5937.01955413818,0,0,0,8516.98607635498,1244.09801483154,570.135662078857,1475.86599230766,864.892001628876,4327.60898399353,183.389999747276,89.8019986152649,113.384113311768,89.4739985466003,3.59999990463257,1024.521484375,98.0700035095215,0,0,2242.55397868156,800.815986633301,764.463920593262,9494.80403137207,1084.14601898193,470.524166107178,1348.62200069427,145.180000305176,423.030658721924,557.67999792099,0,0,7763.9719619751,873.603981018066,1971.66088867188,450.295997142792,0,0,372.379999637604,6.25400018692017,188.755615234375,73.4260010067374,0.540000021457672,95.8710021972656,79718.73,14745.43,23347.8
"4","Uganda","Bugiri",0,0,0,0,0,0,6713.19640159607,6713.19640159607,1768.35537242889,6964.2324142456,0,0,0,0,0,335.534277439117,0,0,1559.29945778847,0,0,76.715999007225,17.8740005493164,222.66654586792,1835.84188508987,1835.84188508987,2019.86884260178,0,0,0,26271.4901275635,5419.52593994141,260.140342712402,26361.4866333008,26361.4866333008,2264.57260227203,0,0,0,0,0,0,5739.16718292236,0,0,833.808004379272,256.260005950928,256.595695495605,1157.56609725952,400.725997924805,155.199634552002,1578.03727865219,371.686004638672,302.866870880127,2449.88781762123,0,0,5990.07657432556,1574.0400390625,561.99006652832,254.065180540085,0,0,254.815642595291,0,0,0,0,0,88375.22,42950.64,7812.26
"5","Uganda","Bundibugyo",227.932733668014,0,0,0.129818186163902,0,0,2584.14104105532,1194.33651065826,112.566643714905,2180.25968074799,0,0,0,0,0,30.6987156420946,0,0,60.0783088840544,0,0,16.0544224344194,0,0,4345.81859636307,934.290031433105,39.4874401092529,0,0,0,30908.4864997864,0,0,0.224000006914139,0,0,74.6673333644867,0,0,267.562907263637,0,0,51.5448209941387,0,0,4.92799985408783,0,0,36.2920581735671,0,0,894.10596517846,0,0,11.5274960324168,0,0,671.160492956638,0,0,44.2940646614879,0,0,30.801268780604,0,0,158.023727178574,0,0,42598.73,2128.63,152.05
"6","Uganda","Bushenyi",420.190003871918,56.1599998474121,22.3520832061768,0,0,0,20960.0550334342,20942.9850330353,8400.1665725708,3830.7176823467,0,0,465.712285906076,465.712285906076,13767.9287414551,68.820294380188,0,0,101.04980760254,10.0620002746582,16.3592128753662,9.2319997549057,8.5959997177124,242.159339904785,3287.41691027395,2172.67440424673,2067.79137229919,0,0,0,103147.109350085,90234.1420898438,1978.21656799316,0,0,0,0,0,0,1546.84602832794,1426.08202528954,13549.8821105957,231.449262619019,0,0,2234.36520004272,1538.24602127075,2061.98857879639,2067.21313147247,1842.81601023674,1523.67786026001,228.939221590757,150.999999046326,1095.86570739746,127.111755043268,0,0,14172.4094758034,4947.19390201569,2002.14656829834,1330.88136351109,0,0,750.675456106663,49.765998840332,381.707580566406,1329.49401772022,1227.28001928329,2943.73015975952,156309.68,125072.73,50053.97
"7","Uganda","Busia",0,0,0,0,0,0,3369.37203979492,2740.97604370117,1138.19217014313,4076.77398681641,0,0,0,0,0,0,0,0,864.247997283936,0,0,26.2639999389648,12.96399974823,101.332565307617,351.062002182007,319.560001373291,1259.09646892548,0,0,0,10242.0239868164,6146.89599609375,169.61771774292,1978.46401977539,1978.46401977539,793.999219894409,43.5679988861084,22.1759986877441,48.8637847900391,0,0,0,2942.9479675293,0,0,683.893985748291,259.046001434326,242.869901657104,1700.05802154541,1000.09001159668,167.734724998474,505.483993530273,306.353996276855,398.985841751099,1109.97805976868,0,0,3654.89797973633,2103.55798339844,646.490154266357,136.64600276947,0,0,146.47400188446,0,0,0,0,0,31832.16,14890.08,4967.18
"8","Uganda","Gulu",260.930000305176,0,0,0,0,0,26635.3703479841,23232.6067504957,25647.0467863083,7692.45591843873,0,0,0,0,0,2689.13993061334,0,0,4321.99467181414,171.670001983643,84.6317520141602,379.639998987317,17.9879999756813,396.901565551758,18680.1219766177,17048.0959535874,20462.7604026794,0,0,0,9772.61619205028,4297.93997883797,3949.63955688477,3759.58587743714,3517.90041934326,12500.8452892303,19.9200005531311,0,0,8.32800005376339,2.71200001239777,2438.8479309082,21568.0319082737,738.049987792969,73.6345710754395,6356.64423758909,2278.78197479248,5585.74489212036,10103.9235889949,3285.23199558258,2644.5903339386,8193.81292284094,4006.17800068855,3890.0895576477,1169.54578074254,0,0,6837.74062842876,2917.69999551773,10001.2514076233,896.994902234524,0,0,820.202219463885,26.2340002059937,673.389251708984,0,0,0,130167,61541.09,88349.38
"9","Uganda","Hoima",210.035999298096,0,0,0,0,0,6655.19416046143,4727.5521697998,2062.93591022491,4153.04677200317,0,0,0,0,0,2087.1580581665,0,0,2141.8926410675,0,0,260.709846287966,115.669994711876,245.550346374512,2236.99204063416,1615.86603927612,3397.56516265869,0,0,0,5332.46115875244,371.363998413086,185.161689758301,202.668243765831,153.54224395752,2507.90215682983,0,0,0,497.363461494446,26.1880006790161,622.603866577148,8480.70458221436,0,0,633.918438434601,38.42799949646,148.186019897461,159.336194515228,7.9500002861023,77.9096832275391,1655.04564797878,2.41799998283386,175.360877990723,645.47901725769,0,0,4555.22015380859,253.518005371094,291.061714172363,434.855562210083,0,0,332.217708110809,0,0,0,0,0,40674.3,7312.5,9714.23
"10","Uganda","Iganga",0,0,0,0,0,0,16866.3538818359,16866.3538818359,5441.16792297363,9124.31587219238,0,0,0,0,0,711.552011966705,0,0,2001.81797790527,113.11799621582,17.9864196777344,660.553993701935,292.475992679596,1545.76422691345,8497.12799072266,8497.12799072266,5720.76651763916,0,0,0,33918.6798706055,17310.614074707,2370.26749610901,1450.13407278061,1450.13407278061,1114.80131530762,0,0,0,0,0,0,7769.92599487305,386.342010498047,15.0545339584351,1734.12994766235,1180.88996505737,1552.12496948242,704.664001941681,547.890002250671,762.18638420105,3459.89200973511,1798.09801483154,1798.2645816803,13297.4637355804,0,0,23796.2020568848,11544.6999816895,3722.43357467651,364.387998580933,0,0,400.673999786377,14.1400003433228,141.462097167969,0,0,0,124757.87,60001.88,24202.28
