"","COUNTRY","NAME_1","ACOF_ha_spam","ACOF_area_profitable_ha","ACOF_actual_profit","BARL_ha_spam","BARL_area_profitable_ha","BARL_actual_profit","BEAN_ha_spam","BEAN_area_profitable_ha","BEAN_actual_profit","CASS_ha_spam","CASS_area_profitable_ha","CASS_actual_profit","CHIC_ha_spam","CHIC_area_profitable_ha","CHIC_actual_profit","COCO_ha_spam","COCO_area_profitable_ha","COCO_actual_profit","COTT_ha_spam","COTT_area_profitable_ha","COTT_actual_profit","COWP_ha_spam","COWP_area_profitable_ha","COWP_actual_profit","GROU_ha_spam","GROU_area_profitable_ha","GROU_actual_profit","LENT_ha_spam","LENT_area_profitable_ha","LENT_actual_profit","MAIZ_ha_spam","MAIZ_area_profitable_ha","MAIZ_actual_profit","PIGE_ha_spam","PIGE_area_profitable_ha","PIGE_actual_profit","PMIL_ha_spam","PMIL_area_profitable_ha","PMIL_actual_profit","POTA_ha_spam","POTA_area_profitable_ha","POTA_actual_profit","RCOF_ha_spam","RCOF_area_profitable_ha","RCOF_actual_profit","SMIL_ha_spam","SMIL_area_profitable_ha","SMIL_actual_profit","SORG_ha_spam","SORG_area_profitable_ha","SORG_actual_profit","SOYB_ha_spam","SOYB_area_profitable_ha","SOYB_actual_profit","SUGC_ha_spam","SUGC_area_profitable_ha","SUGC_actual_profit","SWPO_ha_spam","SWPO_area_profitable_ha","SWPO_actual_profit","TEAS_ha_spam","TEAS_area_profitable_ha","TEAS_actual_profit","TOBA_ha_spam","TOBA_area_profitable_ha","TOBA_actual_profit","WHEA_ha_spam","WHEA_area_profitable_ha","WHEA_actual_profit","total_cropland","total_profitable","actutal_profit"
"1","Zambia","Central",0,0,0,1106.29312074929,174.48916977644,3467.61897659302,0.414259431883693,0.414259431883693,5254.21212768555,2335.4412543457,35.9700009822845,952.581207275391,0,0,0,0,0,0,22373.2762834597,32.6257694214582,2638.98508071899,0,0,0,28900.5880602598,13856.4342210591,160074.800026894,0,0,0,198867.970845353,36062.1922953688,52133.7615032196,0,0,0,2132.89488862175,1126.18686009571,12223.6537370682,204.812124821357,20.6980326743796,147084.400802612,0,0,0,1211.67298164219,749.831162277609,27460.8420734406,2805.95293714851,1191.85622350313,23421.1657152176,22558.4116939651,3147.4121454237,65716.012834549,103.113000869751,0,0,15133.0862435773,4544.55350394547,85576.1151924133,0,0,0,19839.8025214244,720.64957780391,58012.2368011475,16510.4134520106,2680.76113085076,28459.8358306885,334084.14,64344.08,672476.21
"2","Zambia","Copperbelt",0.126000002026558,0,0,1217.97538546845,835.091260593385,8856.90460395813,8.69399976730347,8.69399976730347,7084.25650024414,1342.5917885825,248.277267426252,10553.623046875,0,0,0,0,0,0,75.6113647297025,26.0240008458495,4687.66090965271,2.97033342346549,2.97033342346549,4692.37791442871,10610.023606658,10610.023606658,299495.968963623,0,0,0,80238.9261424541,76713.4312465191,99683.968837738,0,0,0,283.393156407401,275.61576239951,40721.3593864441,131.846306949854,129.997852429748,453496.857650757,0,0,0,145.220000488684,142.491545895115,35753.4424324036,1381.63361695968,1287.18213165365,68220.982088089,6284.4182523787,5843.37837174535,220222.318767548,9211.45599395409,151.641998529434,3828.97271728516,7751.9520245567,7519.44171974808,243204.936393738,0,0,0,500.120726693422,220.889457706362,41895.7950286865,3353.57549875975,2315.54730421305,56273.8196411133,122540.54,106330.72,1598673.26
"3","Zambia","Eastern",26.6359990984201,0,0,3.52363628149033,0,0,3652.15036146343,135.312002182007,110.961282730103,1527.12782025337,0,0,687.853662639856,38.92799949646,79.9385185241699,0,0,0,64487.8982720319,0,0,3216.63663595915,0,0,72458.7820413113,3966.26675510406,1127.72339057922,109.360335618258,8.40599989891052,118.362697601318,252009.878935218,0,0,1001.98799791932,60.9360008239746,71.5924415588379,777.778342153877,0,0,1903.96174439043,0,0,0,0,0,1305.98125430942,0,0,1955.22028639354,0,0,8434.92061934993,0,0,0,0,0,1801.06774521619,0,0,0,0,0,21191.3297206014,0,0,241.674725741148,0,0,436793.77,4209.84,1508.58
"4","Zambia","Luapula",152.097175188363,51.2236700057983,178.630790710449,0.67000001296401,0.528000008314848,332.108840942383,125.948562014848,104.886561755091,8024.2361946106,54427.8966710865,7323.68727624416,25093.0833702087,0,0,0,8.99247676879168,0,0,29.6705401465297,0,0,44.1581308497116,20.2935431180522,2098.38949203491,18874.8825333938,17411.8490489349,304373.877967119,0,0,0,28975.0856689215,18600.5655162334,112907.291988373,0,0,0,1294.08281768113,846.351905809715,45916.5123882294,10.2176587507129,9.51951240189373,225165.219329834,25.6173722147942,0,0,449.744024717249,329.860359337181,51709.4423379898,1417.39768475667,851.328256580979,44560.5845298767,229.733225313947,125.578927522525,146978.09170723,3580.0240213424,1421.83067476749,14712.4344329834,3848.66709853709,1910.56416208297,233905.344169617,560.958531020209,298.545205116272,5557.60326957703,60.9451613705605,14.0740485936403,23932.2405700684,9.52742806449533,6.89342803880572,2118.87089920044,114126.31,49327.59,1247563.98
"5","Zambia","Lusaka",0,0,0,2877.04623232782,0,0,358.614002645016,0,0,227.613236129284,0,0,0,0,0,0,0,0,3322.28256799839,0,0,18.5640001296997,0,0,5128.78701138496,158.441368579865,65.6734766960144,0,0,0,49106.4119980931,0,0,0,0,0,177.389422612265,0,0,513.818454314023,0,0,0,0,0,104.101466152817,0,0,3992.56403588131,0,0,9821.69433425553,0,0,0,0,0,1210.56403171457,0,0,0,0,0,422.896949768066,0,0,8165.97632536292,0,0,85448.33,158.45,65.68
"6","Zambia","Muchinga",1393.60100024939,0,0,23.7539995908737,0,0,1170.14999436215,364.979992035776,716.210771560669,29357.8434299529,104.23584651947,1816.86018371582,303.447996854782,13.9720001220703,36.9974021911621,0,0,0,3745.81898052245,0,0,16.0439991950989,0,0,20844.173938781,9639.1588986218,121057.748353004,0.504000008106232,0,0,55853.8352931142,5740.18894380331,30412.2012605667,406.416008472443,6.57999992370605,44.5116271972656,8564.32987861335,1053.17296090722,14344.0039629936,817.617475066334,5.08890325017273,20550.7644195557,0,0,0,6799.79066580534,1051.90003204346,20249.7317466736,2720.25050999969,157.564247757196,17033.4096183777,2221.29457359388,338.120343327522,40806.061876297,1733.36735128611,0,0,5042.11497111991,735.013492286205,57824.9596595764,0,0,0,4150.20205981657,1.06666672229767,2081.97485351562,9.26799991726875,0,0,145173.81,19211.04,326975.44
"7","Zambia","North-Western",0.71590906381607,0,0,1.75176766514778,1.75176766514778,409.221168518066,18.1499040536582,16.7415706329048,20109.5253314972,23982.8642262062,15332.5115169957,175292.297842026,0,0,0,0,0,0,19.361299328506,0.297560960054398,35.6253471374512,8.63945383392274,8.63945383392274,5014.08781433105,5708.2494604066,5568.43369404227,1315417.31189251,0,0,0,55647.4760882575,50325.7444417793,526899.43740654,0,0,0,193.759848234244,166.194038907066,163785.447717667,225.528051035479,222.6409398783,2578615.58058167,0,0,0,303.42993013002,264.512218715623,262707.322809219,2611.5512496978,2499.12572475336,255863.912198067,535.483800072223,508.619318280369,965881.260353088,1568.623442702,1193.11308341473,48846.1366767883,2385.59992021602,2256.76005209982,1072898.08919525,0,0,0,144.988465832546,39.3620494753122,1895.76797485352,130.908662289381,130.908662289381,646023.289428711,93487.08,78535.36,8039694.34
"8","Zambia","Northern",1781.79303462803,143.700001835823,1505.50562095642,0.108000002801418,0,0,513.887996379286,383.616000834852,1336.99592113495,37289.2327512428,1971.38374695927,14323.922246933,0,0,0,3.80999985337257,0,0,12.1719998158514,0,0,13.3019997477531,0,0,23519.1116646081,20242.5773546249,318936.416338921,0,0,0,59309.9514051378,27874.6277879179,90147.9747562408,0,0,0,8166.54471834004,4710.6677596122,40147.0465703011,385.755153406411,121.722931819037,33288.9608459473,9.53999972343445,0,0,7361.42349642515,3921.40836137533,60526.1841335297,1694.08391946554,777.585710555315,68358.9132051468,2143.37649863958,1025.24855288863,124266.903738022,14710.8834739998,5.94000005722046,155.192932128906,7754.67979174852,3184.4535343647,213264.214279175,18.4413334727287,0.888000011444092,44.651050567627,1323.59155955166,29.1926366835833,2267.81287384033,74.7980007641017,23.1559995524585,384.378162384033,166086.48,64416.18,968955.06
"9","Zambia","Southern",3974.01321840286,0,0,268.023997545242,0,0,14.9823414646089,0,0,51.5273338351399,0,0,0.136000003665686,0,0,0,0,0,4473.96577863768,0,0,0,0,0,30617.4729888141,543.772007793188,529.747413635254,0,0,0,202046.829452336,0,0,0,0,0,1350.3450106103,0,0,78.7034153863788,0,0,0,0,0,489.406144671142,0,0,7614.74058545567,0,0,8676.54029775597,0,0,0,0,0,11015.2345727962,0,0,0,0,0,10259.9060258009,0,0,4648.40156805515,0,0,285580.21,543.76,529.75
"10","Zambia","Western",0,0,0,0,0,0,71.3392667770386,19.3575103282928,159.142730712891,49363.4695600448,0,0,0,0,0,0,0,0,92.332341353409,0.620292704552412,132.51413154602,0,0,0,8663.17688356526,4193.77700909972,60321.2095298767,0,0,0,63769.3716840111,5056.35426330566,3395.16981506348,0,0,0,5045.18913854659,65.7920622490346,2924.83260631561,8.60690917447209,0.140000000596046,405.930450439453,0,0,0,3951.32398775872,165.979584224522,3812.16421127319,3524.15958470851,98.8564379140735,3179.04044818878,111.997018222697,4.38549012690783,3864.36392402649,0,0,0,1796.86062148213,186.783862903714,10955.0717086792,0,0,0,6347.81941939052,82.2755138874054,589.865604400635,1.65945459529757,0,0,142747.3,9874.33,89739.31
