"crop_name","Harvested Area (1000xha)","Current Production (M tons)","Current Value (M USD)","Additional Production (M tons)","Additional Value (M USD)"
"Cereal","806.55","1660.12","477.92","134.31","37.93"
"Maize","686.77","1479.33","410.96","124.69","34.64"
"Sorghum","73.5","77.1","24.84","6.8","2.19"
"Pearl millet","29.7","27.73","10.62","2.25","0.86"
"Others-Cereal","16.58","75.96","31.5","0.57","0.24"
"Commodity","158.51","4765.21","260.3","8.66","0.45"
"Sugarcane","42.04","4460.5","175.3","8.4","0.33"
"Tobacco","9.12","8.24","24.38","0.02","0.05"
"Cotton","8","5.96","3.09","0.08","0.04"
"Others-Commodity","99.35","290.51","57.53","0.16","0.03"
"Legume","411.64","299.03","200.48","103.72","70.95"
"Bean","283.74","218.93","158.16","82.97","59.94"
"Pigeon Pea","57.13","34.89","15.78","11.23","5.08"
"Groundnut","8.77","11.27","6.98","5.37","3.33"
"Others-Legume","62","33.94","19.56","4.15","2.6"
"Sweet potato","28.45","471.66","137.11","27.14","7.89"
"RTBs","77.45","1970.86","714.96","75.46","28.59"
"Potato","22.37","1090.5","468.75","47.94","20.6"
"Cassava","26.63","408.7","109.1","0.38","0.1"
"Others-RTBs","0","0","0","0","0"
